EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, STRASBOURG-ENTZHEIM (STAID: 323).
Blended and updated with sources: 104960 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104960,19790101,    2,    0
104960,19790102,    2,    0
104960,19790103,    0,    0
104960,19790104,    0,    0
104960,19790105,    0,    0
104960,19790106,    0,    0
104960,19790107,    0,    0
104960,19790108,   18,    0
104960,19790109,    2,    0
104960,19790110,   32,    0
104960,19790111,   14,    0
104960,19790112,    0,    0
104960,19790113,    0,    0
104960,19790114,    0,    0
104960,19790115,    0,    0
104960,19790116,    0,    0
104960,19790117,    0,    0
104960,19790118,    7,    0
104960,19790119,    4,    0
104960,19790120,    1,    0
104960,19790121,    0,    0
104960,19790122,   32,    0
104960,19790123,    4,    0
104960,19790124,    3,    0
104960,19790125,    0,    0
104960,19790126,    1,    0
104960,19790127,  169,    0
104960,19790128,    6,    0
104960,19790129,    7,    0
104960,19790130,   14,    0
104960,19790131,    0,    0
104960,19790201,   11,    0
104960,19790202,   88,    0
104960,19790203,    0,    0
104960,19790204,   30,    0
104960,19790205,   19,    0
104960,19790206,    6,    0
104960,19790207,  110,    0
104960,19790208,   36,    0
104960,19790209,  151,    0
104960,19790210,  145,    0
104960,19790211,  102,    0
104960,19790212,    0,    0
104960,19790213,    2,    0
104960,19790214,    3,    0
104960,19790215,    0,    0
104960,19790216,   26,    0
104960,19790217,    7,    0
104960,19790218,    1,    0
104960,19790219,    5,    0
104960,19790220,    0,    0
104960,19790221,    0,    0
104960,19790222,   23,    0
104960,19790223,   21,    0
104960,19790224,    1,    0
104960,19790225,    0,    0
104960,19790226,    0,    0
104960,19790227,    0,    0
104960,19790228,    5,    0
104960,19790301,    0,    0
104960,19790302,    2,    0
104960,19790303,    1,    0
104960,19790304,   13,    0
104960,19790305,   19,    0
104960,19790306,    6,    0
104960,19790307,   12,    0
104960,19790308,    0,    0
104960,19790309,   58,    0
104960,19790310,   43,    0
104960,19790311,   31,    0
104960,19790312,    9,    0
104960,19790313,    0,    0
104960,19790314,   33,    0
104960,19790315,  117,    0
104960,19790316,    0,    0
104960,19790317,    9,    0
104960,19790318,    4,    0
104960,19790319,    0,    0
104960,19790320,   27,    0
104960,19790321,   16,    0
104960,19790322,   30,    0
104960,19790323,    0,    0
104960,19790324,    0,    0
104960,19790325,   20,    0
104960,19790326,   38,    0
104960,19790327,    0,    0
104960,19790328,   14,    0
104960,19790329,    0,    0
104960,19790330,   61,    0
104960,19790331,    9,    0
104960,19790401,    6,    0
104960,19790402,    9,    0
104960,19790403,   21,    0
104960,19790404,    7,    0
104960,19790405,    2,    0
104960,19790406,    0,    0
104960,19790407,    0,    0
104960,19790408,    0,    0
104960,19790409,    0,    0
104960,19790410,    0,    0
104960,19790411,   63,    0
104960,19790412,    0,    0
104960,19790413,    0,    0
104960,19790414,   15,    0
104960,19790415,    9,    0
104960,19790416,  113,    0
104960,19790417,    7,    0
104960,19790418,    0,    0
104960,19790419,    0,    0
104960,19790420,   33,    0
104960,19790421,    3,    0
104960,19790422,   11,    0
104960,19790423,   20,    0
104960,19790424,    7,    0
104960,19790425,   18,    0
104960,19790426,    1,    0
104960,19790427,   15,    0
104960,19790428,    0,    0
104960,19790429,    1,    0
104960,19790430,   54,    0
104960,19790501,   30,    0
104960,19790502,    4,    0
104960,19790503,    5,    0
104960,19790504,    5,    0
104960,19790505,   16,    0
104960,19790506,   13,    0
104960,19790507,    0,    0
104960,19790508,    0,    0
104960,19790509,    0,    0
104960,19790510,    0,    0
104960,19790511,   94,    0
104960,19790512,    0,    0
104960,19790513,    0,    0
104960,19790514,    0,    0
104960,19790515,    0,    0
104960,19790516,    0,    0
104960,19790517,   33,    0
104960,19790518,   95,    0
