EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, DIJON-LONGVIC (STAID: 745).
Blended and updated with sources: 104072 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104072,19790101,    3,    0
104072,19790102,   15,    0
104072,19790103,    0,    0
104072,19790104,   82,    0
104072,19790105,   21,    0
104072,19790106,    0,    0
104072,19790107,    0,    0
104072,19790108,   26,    0
104072,19790109,    6,    0
104072,19790110,   84,    0
104072,19790111,    1,    0
104072,19790112,    2,    0
104072,19790113,    0,    0
104072,19790114,    0,    0
104072,19790115,    0,    0
104072,19790116,    0,    0
104072,19790117,    0,    0
104072,19790118,    0,    0
104072,19790119,   16,    0
104072,19790120,   38,    0
104072,19790121,    0,    0
104072,19790122,  141,    0
104072,19790123,    6,    0
104072,19790124,    3,    0
104072,19790125,    0,    0
104072,19790126,    0,    0
104072,19790127,  270,    0
104072,19790128,    3,    0
104072,19790129,   23,    0
104072,19790130,   32,    0
104072,19790131,    0,    0
104072,19790201,   48,    0
104072,19790202,   18,    0
104072,19790203,    0,    0
104072,19790204,  152,    0
104072,19790205,   21,    0
104072,19790206,   62,    0
104072,19790207,   64,    0
104072,19790208,   33,    0
104072,19790209,   51,    0
104072,19790210,   29,    0
104072,19790211,  157,    0
104072,19790212,    6,    0
104072,19790213,   29,    0
104072,19790214,   24,    0
104072,19790215,   24,    0
104072,19790216,    0,    0
104072,19790217,   16,    0
104072,19790218,    0,    0
104072,19790219,    0,    0
104072,19790220,    0,    0
104072,19790221,    0,    0
104072,19790222,    6,    0
104072,19790223,    0,    0
104072,19790224,    0,    0
104072,19790225,    0,    0
104072,19790226,    0,    0
104072,19790227,    0,    0
104072,19790228,    8,    0
104072,19790301,    0,    0
104072,19790302,    4,    0
104072,19790303,   12,    0
104072,19790304,   34,    0
104072,19790305,    2,    0
104072,19790306,   21,    0
104072,19790307,    3,    0
104072,19790308,    0,    0
104072,19790309,   39,    0
104072,19790310,   57,    0
104072,19790311,    4,    0
104072,19790312,   19,    0
104072,19790313,    0,    0
104072,19790314,  124,    0
104072,19790315,   34,    0
104072,19790316,    6,    0
104072,19790317,   34,    0
104072,19790318,   32,    0
104072,19790319,   42,    0
104072,19790320,  106,    0
104072,19790321,   20,    0
104072,19790322,   11,    0
104072,19790323,    3,    0
104072,19790324,    2,    0
104072,19790325,   99,    0
104072,19790326,   47,    0
104072,19790327,   67,    0
104072,19790328,   20,    0
104072,19790329,   14,    0
104072,19790330,   29,    0
104072,19790331,    5,    0
104072,19790401,    7,    0
104072,19790402,   36,    0
104072,19790403,   50,    0
104072,19790404,   33,    0
104072,19790405,   13,    0
104072,19790406,    2,    0
104072,19790407,    0,    0
104072,19790408,    0,    0
104072,19790409,    0,    0
104072,19790410,   66,    0
104072,19790411,   17,    0
104072,19790412,    0,    0
104072,19790413,    0,    0
104072,19790414,    0,    0
104072,19790415,    2,    0
104072,19790416,    0,    0
104072,19790417,    3,    0
104072,19790418,    0,    0
104072,19790419,    0,    0
104072,19790420,    5,    0
104072,19790421,    0,    0
104072,19790422,   19,    0
104072,19790423,  150,    0
104072,19790424,    6,    0
104072,19790425,   17,    0
104072,19790426,   67,    0
104072,19790427,    6,    0
104072,19790428,    0,    0
104072,19790429,    0,    0
104072,19790430,   39,    0
104072,19790501,   39,    0
104072,19790502,    5,    0
104072,19790503,   13,    0
104072,19790504,   16,    0
104072,19790505,    6,    0
104072,19790506,    0,    0
104072,19790507,    0,    0
104072,19790508,    0,    0
104072,19790509,  113,    0
104072,19790510,    0,    0
104072,19790511,    0,    0
104072,19790512,    0,    0
104072,19790513,    0,    0
104072,19790514,    0,    0
104072,19790515,    0,    0
104072,19790516,    0,    0
104072,19790517,   59,    0
104072,19790518,   74,    0
104072,19790519,   26,    0
104072,19790520,    2,    0
104072,19790521,   19,    0
104072,19790522,   60,    0
104072,19790523,  275,    0
104072,19790524,   52,    0
104072,19790525,    0,    0
104072,19790526,  113,    0
104072,19790527,   41,    0
104072,19790528,    0,    0
104072,19790529,    0,    0
104072,19790530,    0,    0
104072,19790531,  200,    0
104072,19790601,    0,    0
104072,19790602,   15,    0
104072,19790603,    0,    0
104072,19790604,    0,    0
104072,19790605,    0,    0
104072,19790606,    6,    0
104072,19790607,    0,    0
104072,19790608,    0,    0
104072,19790609,    0,    0
104072,19790610,    6,    0
104072,19790611,  154,    0
104072,19790612,   16,    0
104072,19790613,    0,    0
104072,19790614,   35,    0
104072,19790615,   40,    0
104072,19790616,   82,    0
104072,19790617,    0,    0
104072,19790618,    0,    0
104072,19790619,    0,    0
104072,19790620,    0,    0
104072,19790621,    2,    0
104072,19790622,  224,    0
104072,19790623,    0,    0
104072,19790624,    0,    0
104072,19790625,    0,    0
104072,19790626,    0,    0
104072,19790627,  156,    0
104072,19790628,    0,    0
104072,19790629,    0,    0
104072,19790630,    0,    0
104072,19790701,    0,    0
104072,19790702,    0,    0
104072,19790703,    0,    0
104072,19790704,    0,    0
104072,19790705,    0,    0
104072,19790706,    0,    0
104072,19790707,    0,    0
104072,19790708,    0,    0
104072,19790709,    0,    0
104072,19790710,    0,    0
104072,19790711,    3,    0
