EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, ORLY (STAID: 11249).
Blended and updated with sources: 171644 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
171644,19790101,    0,    0
171644,19790102,    4,    0
171644,19790103,    0,    0
171644,19790104,    8,    0
171644,19790105,   32,    0
171644,19790106,    0,    0
171644,19790107,    0,    0
171644,19790108,    8,    0
171644,19790109,   36,    0
171644,19790110,  113,    0
171644,19790111,    0,    0
171644,19790112,   11,    0
171644,19790113,    0,    0
171644,19790114,    0,    0
171644,19790115,    0,    0
171644,19790116,    0,    0
171644,19790117,    0,    0
171644,19790118,    5,    0
171644,19790119,   16,    0
171644,19790120,    2,    0
171644,19790121,    0,    0
171644,19790122,   26,    0
171644,19790123,    2,    0
171644,19790124,    0,    0
171644,19790125,    0,    0
171644,19790126,    0,    0
171644,19790127,    1,    0
171644,19790128,    2,    0
171644,19790129,    7,    0
171644,19790130,   21,    0
171644,19790131,    0,    0
171644,19790201,   87,    0
171644,19790202,   16,    0
171644,19790203,    0,    0
171644,19790204,   72,    0
171644,19790205,    0,    0
171644,19790206,   55,    0
171644,19790207,   57,    0
171644,19790208,   69,    0
171644,19790209,   49,    0
171644,19790210,   52,    0
171644,19790211,   61,    0
171644,19790212,   53,    0
171644,19790213,   38,    0
171644,19790214,   25,    0
171644,19790215,   21,    0
171644,19790216,    0,    0
171644,19790217,    3,    0
171644,19790218,    0,    0
171644,19790219,    0,    0
171644,19790220,    0,    0
171644,19790221,    0,    0
