EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CROATIA, ZAVIZAN (STAID: 1687).
Blended and updated with sources: 105227 914324 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
105227,19790101,  118,    0
105227,19790102,   32,    0
105227,19790103,    8,    0
105227,19790104,   31,    0
105227,19790105,    0,    0
105227,19790106,    0,    0
105227,19790107,    0,    0
105227,19790108,    0,    0
105227,19790109,   72,    0
105227,19790110,  155,    0
105227,19790111,   96,    0
105227,19790112,    0,    0
105227,19790113,    0,    0
105227,19790114,    0,    0
105227,19790115,    0,    0
105227,19790116,   46,    0
105227,19790117,   48,    0
105227,19790118,    2,    0
105227,19790119,    0,    0
105227,19790120,   18,    0
105227,19790121,   79,    0
105227,19790122,   15,    0
105227,19790123,   46,    0
105227,19790124,  105,    0
105227,19790125,   42,    0
105227,19790126,    0,    0
105227,19790127,   66,    0
105227,19790128,   76,    0
105227,19790129,  524,    0
105227,19790130,   55,    0
105227,19790131,    0,    0
105227,19790201,   68,    0
105227,19790202,   36,    0
105227,19790203,   31,    0
105227,19790204,   17,    0
105227,19790205,   94,    0
105227,19790206,   42,    0
105227,19790207,   14,    0
105227,19790208,    0,    0
105227,19790209,   36,    0
105227,19790210,   87,    0
105227,19790211,    4,    0
105227,19790212,  128,    0
105227,19790213,  140,    0
105227,19790214,  240,    0
105227,19790215,   33,    0
105227,19790216,  595,    0
105227,19790217,   72,    0
105227,19790218,  131,    0
105227,19790219,    0,    0
105227,19790220,    0,    0
105227,19790221,    0,    0
