EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUNGARY, SZOMBATHELY (STAID: 2042).
Blended and updated with sources: 152455 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
152455,19790101,    0,    0
152455,19790102,    0,    0
152455,19790103,    0,    0
152455,19790104,    0,    0
152455,19790105,    0,    0
152455,19790106,    0,    0
152455,19790107,    0,    0
152455,19790108,    0,    0
152455,19790109,   54,    0
152455,19790110,   34,    0
152455,19790111,  141,    0
152455,19790112,    0,    0
152455,19790113,    0,    0
152455,19790114,    0,    0
152455,19790115,    0,    0
152455,19790116,   46,    0
152455,19790117,    1,    0
152455,19790118,    0,    0
152455,19790119,    0,    0
152455,19790120,    0,    0
152455,19790121,    2,    0
152455,19790122,    1,    0
152455,19790123,    2,    0
152455,19790124,  144,    0
152455,19790125,    0,    0
152455,19790126,    0,    0
152455,19790127,    0,    0
152455,19790128,   50,    0
152455,19790129,   52,    0
152455,19790130,    0,    0
152455,19790131,    0,    0
152455,19790201,    0,    0
152455,19790202,    0,    0
152455,19790203,    0,    0
152455,19790204,    0,    0
152455,19790205,    0,    0
152455,19790206,    1,    0
152455,19790207,    0,    0
152455,19790208,    4,    0
152455,19790209,    2,    0
152455,19790210,   58,    0
152455,19790211,   25,    0
152455,19790212,    2,    0
152455,19790213,    0,    0
152455,19790214,    3,    0
152455,19790215,   92,    0
152455,19790216,  124,    0
152455,19790217,  115,    0
152455,19790218,   86,    0
152455,19790219,    2,    0
152455,19790220,    0,    0
152455,19790221,    0,    0
152455,19790222,    0,    0
152455,19790223,    0,    0
152455,19790224,    0,    0
152455,19790225,    4,    0
152455,19790226,    1,    0
152455,19790227,    0,    0
152455,19790228,   13,    0
152455,19790301,    0,    0
152455,19790302,    0,    0
152455,19790303,    0,    0
152455,19790304,    0,    0
152455,19790305,    0,    0
152455,19790306,    0,    0
152455,19790307,    9,    0
152455,19790308,    8,    0
152455,19790309,    0,    0
152455,19790310,    0,    0
152455,19790311,    2,    0
152455,19790312,    2,    0
152455,19790313,    5,    0
152455,19790314,    0,    0
152455,19790315,    0,    0
152455,19790316,   77,    0
152455,19790317,    0,    0
152455,19790318,    0,    0
152455,19790319,    0,    0
152455,19790320,    0,    0
152455,19790321,    0,    0
152455,19790322,   69,    0
152455,19790323,    8,    0
152455,19790324,    0,    0
152455,19790325,    0,    0
152455,19790326,    0,    0
152455,19790327,    2,    0
152455,19790328,    2,    0
152455,19790329,   98,    0
152455,19790330,    2,    0
152455,19790331,    0,    0
152455,19790401,   10,    0
152455,19790402,    0,    0
152455,19790403,    0,    0
152455,19790404,  228,    0
