EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CROATIA, SPLIT MARJAN (STAID: 1681).
Blended and updated with sources: 105217 914445 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
105217,19790101,   88,    0
105217,19790102,    0,    0
105217,19790103,  114,    0
105217,19790104,  102,    0
105217,19790105,    0,    0
105217,19790106,    0,    0
105217,19790107,    0,    0
105217,19790108,    0,    0
105217,19790109,  158,    0
105217,19790110,   58,    0
105217,19790111,   58,    0
105217,19790112,    0,    0
105217,19790113,    0,    0
105217,19790114,    0,    0
105217,19790115,    0,    0
105217,19790116,    0,    0
105217,19790117,    0,    0
105217,19790118,    0,    0
105217,19790119,    0,    0
105217,19790120,    0,    0
105217,19790121,    1,    0
105217,19790122,    3,    0
105217,19790123,  117,    0
105217,19790124,   25,    0
105217,19790125,    8,    0
105217,19790126,    0,    0
105217,19790127,    0,    0
105217,19790128,   28,    0
105217,19790129,  221,    0
105217,19790130,  165,    0
105217,19790131,   13,    0
105217,19790201,    1,    0
105217,19790202,    0,    0
105217,19790203,  115,    0
105217,19790204,    5,    0
105217,19790205,    0,    0
105217,19790206,    0,    0
105217,19790207,    0,    0
105217,19790208,    0,    0
105217,19790209,   40,    0
105217,19790210,   41,    0
105217,19790211,    1,    0
105217,19790212,  118,    0
105217,19790213,    0,    0
105217,19790214,  142,    0
105217,19790215,   63,    0
105217,19790216,   20,    0
105217,19790217,   70,    0
105217,19790218,   65,    0
105217,19790219,    0,    0
105217,19790220,    0,    0
105217,19790221,    0,    0
105217,19790222,    0,    0
105217,19790223,    0,    0
105217,19790224,    0,    0
105217,19790225,    0,    0
105217,19790226,    9,    0
105217,19790227,  149,    0
105217,19790228,   34,    0
105217,19790301,   14,    0
105217,19790302,  122,    0
105217,19790303,    4,    0
105217,19790304,    0,    0
105217,19790305,    0,    0
105217,19790306,    0,    0
105217,19790307,    0,    0
105217,19790308,   18,    0
105217,19790309,    0,    0
105217,19790310,   57,    0
105217,19790311,    0,    0
105217,19790312,    0,    0
105217,19790313,    0,    0
105217,19790314,    0,    0
105217,19790315,   10,    0
105217,19790316,   89,    0
105217,19790317,    0,    0
105217,19790318,    0,    0
105217,19790319,    0,    0
105217,19790320,   49,    0
105217,19790321,    0,    0
105217,19790322,   32,    0
105217,19790323,    0,    0
105217,19790324,    0,    0
105217,19790325,    0,    0
105217,19790326,   30,    0
105217,19790327,   32,    0
