EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CROATIA, GOSPIC (STAID: 1684).
Blended and updated with sources: 105182 914330 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
105182,19790101,   32,    0
105182,19790102,    0,    0
105182,19790103,    0,    0
105182,19790104,    0,    0
105182,19790105,    0,    0
105182,19790106,  104,    0
105182,19790107,  147,    0
105182,19790108,  170,    0
105182,19790109,    0,    0
105182,19790110,    0,    0
105182,19790111,    0,    0
105182,19790112,    0,    0
105182,19790113,    8,    0
105182,19790114,    0,    0
105182,19790115,    0,    0
105182,19790116,    0,    0
105182,19790117,    0,    0
105182,19790118,   31,    0
105182,19790119,   24,    0
105182,19790120,    8,    0
105182,19790121,  115,    0
105182,19790122,   27,    0
105182,19790123,    2,    0
105182,19790124,   56,    0
105182,19790125,  131,    0
105182,19790126,  273,    0
105182,19790127,  151,    0
105182,19790128,    0,    0
105182,19790129,   30,    0
105182,19790130,    2,    0
105182,19790131,   28,    0
105182,19790201,    0,    0
105182,19790202,   46,    0
105182,19790203,   38,    0
105182,19790204,    0,    0
105182,19790205,    0,    0
105182,19790206,   66,    0
105182,19790207,  140,    0
105182,19790208,    0,    0
105182,19790209,  223,    0
105182,19790210,  102,    0
105182,19790211,  123,    0
105182,19790212,   53,    0
105182,19790213,  370,    0
105182,19790214,   38,    0
105182,19790215,  108,    0
105182,19790216,    0,    0
105182,19790217,    0,    0
105182,19790218,    0,    0
105182,19790219,    0,    0
105182,19790220,    0,    0
105182,19790221,    0,    0
105182,19790222,    5,    0
105182,19790223,   13,    0
105182,19790224,   46,    0
105182,19790225,    0,    0
105182,19790226,    0,    0
105182,19790227,   20,    0
105182,19790228,    0,    0
105182,19790301,    0,    0
105182,19790302,    0,    0
105182,19790303,    0,    0
105182,19790304,    6,    0
105182,19790305,  183,    0
105182,19790306,    0,    0
105182,19790307,   38,    0
105182,19790308,    0,    0
105182,19790309,    1,    0
105182,19790310,    0,    0
105182,19790311,    0,    0
105182,19790312,    0,    0
105182,19790313,  122,    0
105182,19790314,    0,    0
105182,19790315,   56,    0
105182,19790316,    0,    0
105182,19790317,  170,    0
105182,19790318,   40,    0
105182,19790319,   69,    0
105182,19790320,    0,    0
105182,19790321,    0,    0
105182,19790322,    0,    0
105182,19790323,  125,    0
105182,19790324,   82,    0
105182,19790325,  144,    0
105182,19790326,  261,    0
105182,19790327,   43,    0
105182,19790328,   27,    0
105182,19790329,    0,    0
105182,19790330,    0,    0
105182,19790331,    3,    0
105182,19790401,  191,    0
105182,19790402,   56,    0
105182,19790403,  172,    0
105182,19790404,   22,    0
105182,19790405,    0,    0
105182,19790406,    0,    0
105182,19790407,    0,    0
105182,19790408,    0,    0
105182,19790409,    0,    0
105182,19790410,    0,    0
105182,19790411,    0,    0
105182,19790412,    0,    0
105182,19790413,    0,    0
105182,19790414,  116,    0
105182,19790415,    0,    0
105182,19790416,    0,    0
105182,19790417,    0,    0
105182,19790418,    0,    0
105182,19790419,    0,    0
105182,19790420,    0,    0
