EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, MALIN HEAD (STAID: 122).
Blended and updated with sources: 100458 116293 903980 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100458,19790101,    1,    0
100458,19790102,    0,    0
100458,19790103,   24,    0
100458,19790104,  163,    0
100458,19790105,   12,    0
100458,19790106,   42,    0
100458,19790107,  139,    0
100458,19790108,  110,    0
100458,19790109,   40,    0
100458,19790110,   79,    0
100458,19790111,   41,    0
100458,19790112,   17,    0
100458,19790113,   56,    0
100458,19790114,   39,    0
100458,19790115,   49,    0
100458,19790116,   55,    0
100458,19790117,    0,    0
100458,19790118,    0,    0
100458,19790119,  155,    0
100458,19790120,   48,    0
100458,19790121,    0,    0
100458,19790122,    0,    0
100458,19790123,   19,    0
100458,19790124,   23,    0
100458,19790125,   57,    0
100458,19790126,   56,    0
100458,19790127,   18,    0
100458,19790128,   50,    0
100458,19790129,   29,    0
100458,19790130,   58,    0
100458,19790131,   50,    0
100458,19790201,    0,    0
100458,19790202,   59,    0
100458,19790203,    1,    0
100458,19790204,    0,    0
100458,19790205,    0,    0
100458,19790206,    0,    0
100458,19790207,    0,    0
100458,19790208,    0,    0
100458,19790209,    0,    0
100458,19790210,    0,    0
100458,19790211,    0,    0
100458,19790212,    0,    0
100458,19790213,    0,    0
100458,19790214,    0,    0
100458,19790215,    0,    0
100458,19790216,    0,    0
100458,19790217,    6,    0
100458,19790218,   44,    0
100458,19790219,   15,    0
100458,19790220,    4,    0
100458,19790221,   48,    0
100458,19790222,    8,    0
100458,19790223,    0,    0
100458,19790224,    0,    0
100458,19790225,    0,    0
100458,19790226,   14,    0
100458,19790227,   11,    0
100458,19790228,   70,    0
100458,19790301,   48,    0
100458,19790302,   49,    0
100458,19790303,   23,    0
100458,19790304,    8,    0
100458,19790305,   53,    0
100458,19790306,   73,    0
100458,19790307,   15,    0
100458,19790308,  108,    0
100458,19790309,   27,    0
100458,19790310,   73,    0
100458,19790311,   28,    0
100458,19790312,   44,    0
100458,19790313,    5,    0
100458,19790314,    0,    0
100458,19790315,    2,    0
100458,19790316,    0,    0
100458,19790317,    0,    0
100458,19790318,    0,    0
100458,19790319,    0,    0
100458,19790320,   84,    0
100458,19790321,   10,    0
100458,19790322,   37,    0
100458,19790323,    0,    0
100458,19790324,  133,    0
100458,19790325,    4,    0
100458,19790326,   47,    0
100458,19790327,   15,    0
100458,19790328,    0,    0
100458,19790329,    0,    0
100458,19790330,   28,    0
100458,19790331,   60,    0
100458,19790401,   28,    0
100458,19790402,    2,    0
100458,19790403,    0,    0
100458,19790404,    2,    0
100458,19790405,    7,    0
100458,19790406,    8,    0
100458,19790407,    9,    0
100458,19790408,   42,    0
100458,19790409,   17,    0
100458,19790410,    4,    0
100458,19790411,    9,    0
100458,19790412,   17,    0
100458,19790413,    0,    0
100458,19790414,  105,    0
100458,19790415,    0,    0
100458,19790416,    0,    0
100458,19790417,    1,    0
100458,19790418,   26,    0
100458,19790419,   15,    0
100458,19790420,   11,    0
100458,19790421,    9,    0
100458,19790422,   57,    0
100458,19790423,    8,    0
100458,19790424,    2,    0
100458,19790425,    2,    0
100458,19790426,    0,    0
100458,19790427,   14,    0
100458,19790428,   19,    0
100458,19790429,   35,    0
100458,19790430,   56,    0
100458,19790501,   25,    0
100458,19790502,   12,    0
100458,19790503,   10,    0
100458,19790504,   12,    0
100458,19790505,    1,    0
100458,19790506,   56,    0
100458,19790507,    1,    0
100458,19790508,    0,    0
100458,19790509,    0,    0
100458,19790510,   77,    0
100458,19790511,   23,    0
100458,19790512,    4,    0
100458,19790513,    0,    0
100458,19790514,   25,    0
100458,19790515,   21,    0
100458,19790516,   70,    0
100458,19790517,   10,    0
100458,19790518,    6,    0
100458,19790519,   34,    0
100458,19790520,   53,    0
100458,19790521,   30,    0
100458,19790522,   31,    0
100458,19790523,   34,    0
100458,19790524,    3,    0
100458,19790525,    0,    0
100458,19790526,    0,    0
100458,19790527,  115,    0
100458,19790528,   69,    0
100458,19790529,   68,    0
100458,19790530,   15,    0
100458,19790531,    5,    0
100458,19790601,    0,    0
100458,19790602,    0,    0
100458,19790603,    2,    0
100458,19790604,  141,    0
100458,19790605,    0,    0
100458,19790606,   11,    0
100458,19790607,    1,    0
100458,19790608,    0,    0
100458,19790609,    0,    0
100458,19790610,    0,    0
100458,19790611,  143,    0
100458,19790612,    3,    0
100458,19790613,   48,    0
100458,19790614,   25,    0
100458,19790615,    0,    0
100458,19790616,   11,    0
100458,19790617,    0,    0
100458,19790618,    0,    0
100458,19790619,    0,    0
100458,19790620,   16,    0
100458,19790621,   25,    0
100458,19790622,  153,    0
100458,19790623,   30,    0
100458,19790624,   33,    0
100458,19790625,   12,    0
100458,19790626,    0,    0
100458,19790627,    6,    0
100458,19790628,    7,    0
100458,19790629,   18,    0
100458,19790630,    0,    0
100458,19790701,    1,    0
100458,19790702,    0,    0
100458,19790703,    0,    0
100458,19790704,    0,    0
100458,19790705,    0,    0
100458,19790706,   38,    0
100458,19790707,    5,    0
100458,19790708,   40,    0
100458,19790709,    0,    0
100458,19790710,    0,    0
100458,19790711,    0,    0
100458,19790712,   24,    0
100458,19790713,    8,    0
100458,19790714,    4,    0
100458,19790715,   36,    0
100458,19790716,   41,    0
100458,19790717,   11,    0
100458,19790718,    6,    0
100458,19790719,    3,    0
100458,19790720,   20,    0
100458,19790721,    3,    0
100458,19790722,    1,    0
100458,19790723,    8,    0
100458,19790724,  171,    0
100458,19790725,   87,    0
100458,19790726,    2,    0
100458,19790727,    7,    0
100458,19790728,   25,    0
100458,19790729,   33,    0
100458,19790730,   50,    0
100458,19790731,   56,    0
100458,19790801,    6,    0
100458,19790802,    1,    0
100458,19790803,    0,    0
100458,19790804,   28,    0
100458,19790805,   25,    0
100458,19790806,   10,    0
100458,19790807,   16,    0
100458,19790808,  103,    0
100458,19790809,    0,    0
100458,19790810,    4,    0
100458,19790811,   11,    0
100458,19790812,    8,    0
100458,19790813,   82,    0
100458,19790814,   31,    0
100458,19790815,   62,    0
100458,19790816,    2,    0
100458,19790817,    0,    0
100458,19790818,   11,    0
100458,19790819,   83,    0
100458,19790820,   57,    0
100458,19790821,   63,    0
100458,19790822,  157,    0
100458,19790823,   10,    0
100458,19790824,    0,    0
100458,19790825,    0,    0
100458,19790826,    0,    0
100458,19790827,    0,    0
100458,19790828,    0,    0
100458,19790829,    0,    0
100458,19790830,    2,    0
100458,19790831,   85,    0
100458,19790901,  122,    0
100458,19790902,   42,    0
100458,19790903,    4,    0
100458,19790904,    0,    0
100458,19790905,    2,    0
100458,19790906,   25,    0
100458,19790907,    2,    0
100458,19790908,    0,    0
100458,19790909,    8,    0
100458,19790910,   59,    0
100458,19790911,   13,    0
100458,19790912,    9,    0
100458,19790913,   20,    0
100458,19790914,    0,    0
100458,19790915,    0,    0
100458,19790916,   63,    0
100458,19790917,   15,    0
100458,19790918,    4,    0
100458,19790919,  130,    0
100458,19790920,   20,    0
100458,19790921,    7,    0
100458,19790922,   69,    0
100458,19790923,    0,    0
100458,19790924,  136,    0
100458,19790925,   37,    0
100458,19790926,   33,    0
100458,19790927,    1,    0
100458,19790928,    0,    0
100458,19790929,    0,    0
100458,19790930,    0,    0
100458,19791001,   36,    0
100458,19791002,   53,    0
100458,19791003,  109,    0
100458,19791004,   49,    0
100458,19791005,   12,    0
100458,19791006,    2,    0
100458,19791007,    2,    0
100458,19791008,   20,    0
100458,19791009,    9,    0
100458,19791010,   15,    0
100458,19791011,    4,    0
100458,19791012,    1,    0
100458,19791013,   19,    0
100458,19791014,   34,    0
100458,19791015,    3,    0
100458,19791016,   32,    0
100458,19791017,   32,    0
100458,19791018,   97,    0
100458,19791019,   20,    0
100458,19791020,    9,    0
100458,19791021,    0,    0
100458,19791022,  114,    0
100458,19791023,    0,    0
100458,19791024,  134,    0
100458,19791025,    1,    0
100458,19791026,    0,    0
100458,19791027,   21,    0
100458,19791028,   22,    0
100458,19791029,  132,    0
100458,19791030,   80,    0
100458,19791031,  100,    0
100458,19791101,    8,    0
100458,19791102,  106,    0
100458,19791103,   77,    0
100458,19791104,   96,    0
100458,19791105,   68,    0
100458,19791106,    6,    0
100458,19791107,   61,    0
100458,19791108,   89,    0
100458,19791109,   24,    0
100458,19791110,  149,    0
100458,19791111,   92,    0
100458,19791112,    0,    0
100458,19791113,  215,    0
100458,19791114,  147,    0
100458,19791115,   69,    0
100458,19791116,   17,    0
100458,19791117,   53,    0
100458,19791118,   13,    0
100458,19791119,    0,    0
100458,19791120,   17,    0
100458,19791121,    4,    0
100458,19791122,   55,    0
100458,19791123,   30,    0
100458,19791124,  115,    0
100458,19791125,  361,    0
100458,19791126,   21,    0
100458,19791127,    3,    0
100458,19791128,   45,    0
100458,19791129,   26,    0
100458,19791130,   18,    0
100458,19791201,   64,    0
100458,19791202,    9,    0
100458,19791203,  158,    0
100458,19791204,   99,    0
100458,19791205,   28,    0
100458,19791206,  118,    0
100458,19791207,   83,    0
100458,19791208,   55,    0
100458,19791209,   77,    0
100458,19791210,    5,    0
100458,19791211,    3,    0
100458,19791212,   39,    0
100458,19791213,    1,    0
100458,19791214,    0,    0
100458,19791215,   34,    0
100458,19791216,   84,    0
100458,19791217,   38,    0
100458,19791218,   46,    0
100458,19791219,   10,    0
100458,19791220,    2,    0
100458,19791221,    0,    0
100458,19791222,    3,    0
100458,19791223,   28,    0
100458,19791224,    0,    0
100458,19791225,   33,    0
100458,19791226,   60,    0
100458,19791227,    3,    0
100458,19791228,   58,    0
100458,19791229,   50,    0
100458,19791230,   10,    0
100458,19791231,    9,    0
100458,19800101,    0,    0
100458,19800102,   43,    0
100458,19800103,   40,    0
100458,19800104,   50,    0
100458,19800105,   11,    0
100458,19800106,    0,    0
100458,19800107,    0,    0
100458,19800108,   20,    0
100458,19800109,   45,    0
100458,19800110,    3,    0
100458,19800111,    0,    0
100458,19800112,    0,    0
100458,19800113,   54,    0
100458,19800114,   20,    0
100458,19800115,    0,    0
100458,19800116,    0,    0
100458,19800117,    0,    0
100458,19800118,    1,    0
100458,19800119,  108,    0
100458,19800120,   12,    0
100458,19800121,  100,    0
100458,19800122,   39,    0
100458,19800123,   18,    0
100458,19800124,   26,    0
100458,19800125,    0,    0
100458,19800126,    0,    0
100458,19800127,  141,    0
100458,19800128,   16,    0
100458,19800129,    4,    0
100458,19800130,    0,    0
100458,19800131,   10,    0
100458,19800201,  129,    0
100458,19800202,    0,    0
100458,19800203,   22,    0
100458,19800204,  207,    0
100458,19800205,    7,    0
100458,19800206,   26,    0
100458,19800207,   37,    0
100458,19800208,   35,    0
100458,19800209,    5,    0
100458,19800210,    3,    0
100458,19800211,   61,    0
100458,19800212,   62,    0
100458,19800213,   33,    0
100458,19800214,   11,    0
100458,19800215,   16,    0
100458,19800216,    0,    0
100458,19800217,   47,    0
100458,19800218,   57,    0
100458,19800219,   24,    0
100458,19800220,    0,    0
100458,19800221,    6,    0
100458,19800222,    0,    0
100458,19800223,    0,    0
100458,19800224,    0,    0
100458,19800225,    0,    0
100458,19800226,    3,    0
100458,19800227,    0,    0
100458,19800228,    0,    0
100458,19800229,    5,    0
100458,19800301,    0,    0
100458,19800302,    1,    0
100458,19800303,    0,    0
100458,19800304,   27,    0
100458,19800305,    7,    0
100458,19800306,   31,    0
100458,19800307,    0,    0
100458,19800308,    7,    0
100458,19800309,   56,    0
100458,19800310,  121,    0
100458,19800311,   50,    0
100458,19800312,   53,    0
100458,19800313,   56,    0
100458,19800314,    0,    0
100458,19800315,    0,    0
100458,19800316,  128,    0
100458,19800317,   26,    0
100458,19800318,    0,    0
100458,19800319,    1,    0
100458,19800320,   38,    0
100458,19800321,   39,    0
100458,19800322,    3,    0
100458,19800323,   75,    0
100458,19800324,   22,    0
100458,19800325,   11,    0
100458,19800326,   39,    0
100458,19800327,    0,    0
100458,19800328,   27,    0
100458,19800329,   18,    0
100458,19800330,   50,    0
100458,19800331,    2,    0
100458,19800401,   35,    0
100458,19800402,    2,    0
100458,19800403,    0,    0
100458,19800404,    0,    0
100458,19800405,    0,    0
100458,19800406,    6,    0
100458,19800407,    4,    0
100458,19800408,    1,    0
100458,19800409,   11,    0
100458,19800410,    0,    0
100458,19800411,    0,    0
100458,19800412,    0,    0
100458,19800413,   13,    0
100458,19800414,   91,    0
100458,19800415,    0,    0
100458,19800416,    0,    0
100458,19800417,    0,    0
100458,19800418,    0,    0
100458,19800419,    0,    0
100458,19800420,    0,    0
100458,19800421,    4,    0
100458,19800422,    5,    0
100458,19800423,    0,    0
100458,19800424,    0,    0
100458,19800425,   44,    0
