EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, VALENTIA OBSERVATORY (STAID: 123).
Blended and updated with sources: 100462 117969 903953 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100462,19790101,    0,    0
100462,19790102,   13,    0
100462,19790103,    1,    0
100462,19790104,    0,    0
100462,19790105,    0,    0
100462,19790106,   73,    0
100462,19790107,   39,    0
100462,19790108,   17,    0
100462,19790109,  136,    0
100462,19790110,   26,    0
100462,19790111,   20,    0
100462,19790112,    0,    0
100462,19790113,   51,    0
100462,19790114,   47,    0
100462,19790115,   17,    0
100462,19790116,    0,    0
100462,19790117,    0,    0
100462,19790118,    0,    0
100462,19790119,    8,    0
100462,19790120,  153,    0
100462,19790121,   29,    0
100462,19790122,   25,    0
100462,19790123,   25,    0
100462,19790124,   80,    0
100462,19790125,   66,    0
100462,19790126,   66,    0
100462,19790127,   42,    0
100462,19790128,   45,    0
100462,19790129,   87,    0
100462,19790130,   12,    0
100462,19790131,  476,    0
100462,19790201,   12,    0
100462,19790202,    0,    0
100462,19790203,   48,    0
100462,19790204,  154,    0
100462,19790205,   11,    0
100462,19790206,   28,    0
100462,19790207,    0,    0
100462,19790208,  110,    0
100462,19790209,   70,    0
100462,19790210,    1,    0
100462,19790211,    0,    0
100462,19790212,    1,    0
100462,19790213,   21,    0
100462,19790214,    2,    0
100462,19790215,    0,    0
100462,19790216,    0,    0
100462,19790217,  359,    0
100462,19790218,    0,    0
100462,19790219,    6,    0
100462,19790220,  160,    0
100462,19790221,    6,    0
100462,19790222,    0,    0
100462,19790223,    0,    0
100462,19790224,    0,    0
100462,19790225,    0,    0
100462,19790226,   81,    0
100462,19790227,  107,    0
100462,19790228,   56,    0
100462,19790301,   33,    0
100462,19790302,   55,    0
100462,19790303,    2,    0
100462,19790304,   15,    0
100462,19790305,  172,    0
100462,19790306,   25,    0
100462,19790307,   19,    0
100462,19790308,   93,    0
100462,19790309,   53,    0
100462,19790310,   71,    0
100462,19790311,    5,    0
100462,19790312,   36,    0
100462,19790313,   20,    0
100462,19790314,    5,    0
100462,19790315,    1,    0
100462,19790316,    0,    0
100462,19790317,    2,    0
