EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, MARKREE CASTLE (STAID: 1756).
Blended and updated with sources: 107906 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107906,19790101,    0,    0
107906,19790102,    0,    0
107906,19790103,    0,    0
107906,19790104,    0,    0
107906,19790105,   28,    0
107906,19790106,   43,    0
107906,19790107,   40,    0
107906,19790108,   28,    0
107906,19790109,   73,    0
107906,19790110,   76,    0
107906,19790111,  125,    0
107906,19790112,    0,    0
107906,19790113,   63,    0
107906,19790114,   25,    0
107906,19790115,   22,    0
107906,19790116,    0,    0
107906,19790117,    0,    0
107906,19790118,    0,    0
107906,19790119,   68,    0
107906,19790120,   36,    0
107906,19790121,    0,    0
107906,19790122,    0,    0
107906,19790123,   16,    0
107906,19790124,   60,    0
107906,19790125,   28,    0
107906,19790126,   32,    0
107906,19790127,   34,    0
107906,19790128,   36,    0
107906,19790129,   15,    0
107906,19790130,   12,    0
107906,19790131,   36,    0
107906,19790201,    0,    0
107906,19790202,    0,    0
107906,19790203,    0,    0
107906,19790204,    0,    0
107906,19790205,    0,    0
107906,19790206,    0,    0
107906,19790207,    0,    0
107906,19790208,    0,    0
107906,19790209,    0,    0
107906,19790210,   13,    0
107906,19790211,    0,    0
107906,19790212,   14,    0
107906,19790213,   22,    0
107906,19790214,    0,    0
107906,19790215,    0,    0
