EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, GLENAMADDY (GORTNAGIER) (STAID: 1981).
Blended and updated with sources: 107723 107851 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107851,19790101,    0,    0
107851,19790102,    0,    0
107851,19790103,    0,    0
107851,19790104,    0,    0
107851,19790105,    8,    0
107851,19790106,    7,    0
107851,19790107,   11,    0
107851,19790108,    7,    0
107851,19790109,   83,    0
107851,19790110,   92,    0
107851,19790111,    0,    0
107851,19790112,    0,    0
107851,19790113,  101,    0
107851,19790114,    3,    0
107851,19790115,   30,    0
107851,19790116,    0,    0
107851,19790117,    0,    0
107851,19790118,    0,    0
107851,19790119,   43,    0
107851,19790120,    1,    0
107851,19790121,    1,    0
107851,19790122,    0,    0
107851,19790123,    1,    0
107851,19790124,    0,    0
107851,19790125,    3,    0
107851,19790126,    6,    0
107851,19790127,   20,    0
107851,19790128,   81,    0
107851,19790129,    8,    0
107851,19790130,   13,    0
107851,19790131,   94,    0
107851,19790201,    0,    0
107851,19790202,    0,    0
107851,19790203,    0,    0
107851,19790204,    0,    0
107851,19790205,    0,    0
107851,19790206,    0,    0
107851,19790207,    1,    0
107851,19790208,   68,    0
107851,19790209,    3,    0
107851,19790210,    1,    0
107851,19790211,    3,    0
107851,19790212,   12,    0
107851,19790213,   20,    0
107851,19790214,    0,    0
107851,19790215,    0,    0
107851,19790216,    0,    0
107851,19790217,   70,    0
107851,19790218,    0,    0
107851,19790219,    0,    0
107851,19790220,   95,    0
107851,19790221,   18,    0
107851,19790222,    1,    0
107851,19790223,    0,    0
107851,19790224,    0,    0
107851,19790225,    0,    0
107851,19790226,   58,    0
107851,19790227,   31,    0
107851,19790228,   30,    0
107851,19790301,   31,    0
107851,19790302,   32,    0
107851,19790303,   10,    0
107851,19790304,    8,    0
107851,19790305,   99,    0
107851,19790306,   23,    0
107851,19790307,   81,    0
107851,19790308,  128,    0
107851,19790309,-9999,    9
107851,19790310,-9999,    9
107851,19790311,    2,    0
107851,19790312,    0,    0
107851,19790313,    0,    0
107851,19790314,    1,    0
107851,19790315,    1,    0
107851,19790316,    0,    0
107851,19790317,    1,    0
107851,19790318,    1,    0
107723,19790319,    0,    0
107723,19790320,   58,    0
107723,19790321,    0,    0
107851,19790322,    0,    0
107851,19790323,   40,    0
107851,19790324,  112,    0
107851,19790325,   41,    0
107851,19790326,  104,    0
107851,19790327,   45,    0
107851,19790328,   16,    0
107851,19790329,    1,    0
107851,19790330,    4,    0
107851,19790331,    0,    0
107851,19790401,-9999,    9
107851,19790402,-9999,    9
107851,19790403,-9999,    9
107851,19790404,-9999,    9
107851,19790405,-9999,    9
107851,19790406,-9999,    9
107851,19790407,-9999,    9
107851,19790408,-9999,    9
107851,19790409,-9999,    9
107851,19790410,-9999,    9
107851,19790411,-9999,    9
107851,19790412,-9999,    9
107851,19790413,-9999,    9
107851,19790414,-9999,    9
107851,19790415,-9999,    9
107851,19790416,-9999,    9
107851,19790417,-9999,    9
107851,19790418,-9999,    9
107851,19790419,-9999,    9
107851,19790420,-9999,    9
107851,19790421,-9999,    9
107851,19790422,-9999,    9
107851,19790423,-9999,    9
107851,19790424,-9999,    9
107851,19790425,-9999,    9
107851,19790426,-9999,    9
107851,19790427,-9999,    9
107851,19790428,-9999,    9
107851,19790429,-9999,    9
107851,19790430,-9999,    9
107723,19790501,   49,    0
107723,19790502,   35,    0
107723,19790503,   30,    0
107723,19790504,    1,    0
107851,19790505,-9999,    9
107851,19790506,-9999,    9
107851,19790507,-9999,    9
107851,19790508,-9999,    9
107723,19790509,   38,    0
107723,19790510,   51,    0
107851,19790511,-9999,    9
107723,19790512,    0,    0
107851,19790513,-9999,    9
107723,19790514,    0,    0
107723,19790515,   30,    0
107723,19790516,   51,    0
107723,19790517,   32,    0
107851,19790518,-9999,    9
107851,19790519,-9999,    9
107723,19790520,   23,    0
107851,19790521,-9999,    9
107851,19790522,-9999,    9
107851,19790523,-9999,    9
107851,19790524,-9999,    9
107851,19790525,-9999,    9
107851,19790526,-9999,    9
107851,19790527,-9999,    9
107851,19790528,-9999,    9
107851,19790529,-9999,    9
107723,19790530,   28,    0
107723,19790531,    6,    0
107851,19790601,    0,    0
107851,19790602,    0,    0
107851,19790603,   30,    0
107851,19790604,   28,    0
107851,19790605,   95,    0
107851,19790606,   21,    0
107851,19790607,   28,    0
107851,19790608,    0,    0
107851,19790609,    0,    0
107723,19790610,   73,    0
107723,19790611,   36,    0
107723,19790612,   11,    0
107723,19790613,    7,    0
107851,19790614,-9999,    9
107851,19790615,    0,    0
107851,19790616,    0,    0
107851,19790617,    0,    0
107723,19790618,    0,    0
107723,19790619,    0,    0
107723,19790620,   23,    0
107851,19790621,    8,    0
107851,19790622,   51,    0
107851,19790623,    5,    0
107851,19790624,   17,    0
107851,19790625,    1,    0
107723,19790626,    0,    0
107851,19790627,    8,    0
107723,19790628,    0,    0
107851,19790629,    7,    0
107851,19790630,   53,    0
107851,19790701,    0,    0
107851,19790702,    0,    0
107851,19790703,    0,    0
107851,19790704,    0,    0
107851,19790705,    0,    0
107851,19790706,   14,    0
107851,19790707,    1,    0
107851,19790708,    6,    0
107851,19790709,    0,    0
107851,19790710,    0,    0
107851,19790711,    0,    0
107851,19790712,   18,    0
107851,19790713,    0,    0
107851,19790714,    0,    0
107851,19790715,    0,    0
107851,19790716,    2,    0
107851,19790717,    1,    0
107851,19790718,    0,    0
107851,19790719,    0,    0
107851,19790720,    6,    0
107851,19790721,    0,    0
107851,19790722,    5,    0
107851,19790723,    7,    0
107851,19790724,   35,    0
107851,19790725,    6,    0
107851,19790726,    0,    0
107851,19790727,    7,    0
107851,19790728,  105,    0
107851,19790729,   46,    0
107851,19790730,  115,    0
107851,19790731,   42,    0
107851,19790801,   18,    0
107723,19790802,   13,    0
107851,19790803,    0,    0
107851,19790804,   32,    0
107851,19790805,  106,    0
107851,19790806,  108,    0
107851,19790807,    2,    0
107851,19790808,  156,    0
107851,19790809,    0,    0
107851,19790810,   14,    0
107851,19790811,   10,    0
107851,19790812,   54,    0
107851,19790813,  224,    0
107851,19790814,   51,    0
107851,19790815,   52,    0
107851,19790816,   50,    0
107851,19790817,    1,    0
107851,19790818,    6,    0
107851,19790819,    2,    0
107851,19790820,   11,    0
107851,19790821,   58,    0
107851,19790822,   71,    0
107851,19790823,    8,    0
107851,19790824,   55,    0
107851,19790825,    5,    0
107851,19790826,    0,    0
107851,19790827,    0,    0
107851,19790828,    0,    0
107851,19790829,    0,    0
107851,19790830,    6,    0
107851,19790831,   36,    0
107851,19790901,   59,    0
107851,19790902,   32,    0
107851,19790903,    2,    0
107851,19790904,    0,    0
107851,19790905,   16,    0
107851,19790906,   26,    0
107851,19790907,  126,    0
107851,19790908,    1,    0
107851,19790909,    0,    0
107851,19790910,    3,    0
107851,19790911,   25,    0
107851,19790912,    3,    0
107851,19790913,    0,    0
107851,19790914,    0,    0
107851,19790915,    0,    0
107851,19790916,    0,    0
107851,19790917,   55,    0
107851,19790918,    1,    0
107851,19790919,   18,    0
107851,19790920,   22,    0
107851,19790921,   11,    0
107851,19790922,   28,    0
107851,19790923,    1,    0
107851,19790924,   97,    0
107851,19790925,   21,    0
107851,19790926,    0,    0
107851,19790927,    0,    0
107851,19790928,    0,    0
107851,19790929,    0,    0
107851,19790930,    1,    0
107851,19791001,   27,    0
107851,19791002,   95,    0
107851,19791003,    0,    0
107851,19791004,    0,    0
107851,19791005,   25,    0
107851,19791006,   57,    0
107851,19791007,    9,    0
107851,19791008,   14,    0
107851,19791009,   14,    0
107851,19791010,   51,    0
107851,19791011,   62,    0
107851,19791012,    3,    0
107851,19791013,   32,    0
107851,19791014,    6,    0
107851,19791015,    3,    0
107851,19791016,   30,    0
107851,19791017,   41,    0
107851,19791018,  230,    0
107851,19791019,    5,    0
107851,19791020,    1,    0
107851,19791021,    2,    0
107851,19791022,  178,    0
107851,19791023,    0,    0
107851,19791024,   51,    0
107851,19791025,    0,    0
107851,19791026,    2,    0
107851,19791027,    1,    0
107851,19791028,   36,    0
107851,19791029,   34,    0
107851,19791030,    3,    0
107851,19791031,   86,    0
107851,19791101,    2,    0
107851,19791102,  112,    0
107851,19791103,   23,    0
107851,19791104,   34,    0
107851,19791105,   53,    0
107851,19791106,  135,    0
107851,19791107,   14,    0
107851,19791108,   46,    0
107851,19791109,   15,    0
107851,19791110,   21,    0
107851,19791111,   19,    0
107851,19791112,    1,    0
107851,19791113,  170,    0
107851,19791114,    2,    0
107851,19791115,   11,    0
107851,19791116,   50,    0
107851,19791117,   15,    0
107851,19791118,    1,    0
107851,19791119,   10,    0
107851,19791120,   32,    0
107851,19791121,   41,    0
107851,19791122,   72,    0
107851,19791123,    4,    0
107851,19791124,  113,    0
107851,19791125,  212,    0
107851,19791126,  105,    0
107851,19791127,    1,    0
107851,19791128,   22,    0
107851,19791129,   15,    0
107851,19791130,    6,    0
107851,19791201,  167,    0
107851,19791202,   31,    0
107851,19791203,   82,    0
107851,19791204,  108,    0
107851,19791205,   42,    0
107851,19791206,   41,    0
107851,19791207,   55,    0
107851,19791208,   51,    0
107851,19791209,   92,    0
107851,19791210,   95,    0
107851,19791211,   33,    0
107851,19791212,  126,    0
