EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, INISHCARRA (GEN.STN.) (STAID: 1997).
Blended and updated with sources: 107870 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107870,19790101,    0,    0
107870,19790102,    5,    0
107870,19790103,    4,    0
107870,19790104,    0,    0
107870,19790105,    0,    0
107870,19790106,    4,    0
107870,19790107,    5,    0
107870,19790108,    5,    0
107870,19790109,  158,    0
107870,19790110,   55,    0
107870,19790111,   13,    0
107870,19790112,    0,    0
107870,19790113,   95,    0
107870,19790114,    5,    0
107870,19790115,    7,    0
107870,19790116,    0,    0
107870,19790117,   17,    0
107870,19790118,   62,    0
107870,19790119,   79,    0
107870,19790120,  105,    0
107870,19790121,    2,    0
107870,19790122,  124,    0
107870,19790123,    0,    0
107870,19790124,   30,    0
107870,19790125,   18,    0
107870,19790126,    0,    0
107870,19790127,   37,    0
107870,19790128,   23,    0
107870,19790129,    0,    0
107870,19790130,    0,    0
107870,19790131,  297,    0
107870,19790201,   56,    0
107870,19790202,    0,    0
107870,19790203,   24,    0
107870,19790204,   41,    0
107870,19790205,   11,    0
107870,19790206,   84,    0
107870,19790207,    0,    0
107870,19790208,  300,    0
107870,19790209,  205,    0
107870,19790210,   45,    0
107870,19790211,   30,    0
107870,19790212,    0,    0
107870,19790213,   25,    0
107870,19790214,    0,    0
107870,19790215,    0,    0
107870,19790216,    0,    0
107870,19790217,  205,    0
107870,19790218,    3,    0
107870,19790219,    5,    0
107870,19790220,  124,    0
107870,19790221,    0,    0
107870,19790222,    0,    0
107870,19790223,    0,    0
107870,19790224,    0,    0
107870,19790225,    0,    0
107870,19790226,    7,    0
107870,19790227,   80,    0
107870,19790228,    4,    0
107870,19790301,    5,    0
107870,19790302,   20,    0
107870,19790303,    2,    0
107870,19790304,    3,    0
107870,19790305,  165,    0
107870,19790306,   13,    0
107870,19790307,   11,    0
107870,19790308,   37,    0
107870,19790309,   43,    0
107870,19790310,    7,    0
107870,19790311,    0,    0
107870,19790312,   37,    0
107870,19790313,    6,    0
107870,19790314,    0,    0
107870,19790315,   14,    0
107870,19790316,    6,    0
107870,19790317,    3,    0
107870,19790318,    7,    0
107870,19790319,    0,    0
107870,19790320,   24,    0
107870,19790321,    0,    0
107870,19790322,    0,    0
107870,19790323,   68,    0
107870,19790324,  285,    0
107870,19790325,   88,    0
107870,19790326,   25,    0
107870,19790327,   36,    0
107870,19790328,   17,    0
107870,19790329,    0,    0
107870,19790330,    6,    0
107870,19790331,    0,    0
107870,19790401,    2,    0
107870,19790402,    0,    0
107870,19790403,    1,    0
107870,19790404,    2,    0
107870,19790405,   10,    0
107870,19790406,   13,    0
107870,19790407,   45,    0
107870,19790408,   48,    0
107870,19790409,    0,    0
107870,19790410,    0,    0
107870,19790411,  115,    0
107870,19790412,   74,    0
107870,19790413,   69,    0
107870,19790414,    0,    0
107870,19790415,    0,    0
107870,19790416,    0,    0
107870,19790417,   13,    0
107870,19790418,    8,    0
107870,19790419,   11,    0
107870,19790420,    1,    0
107870,19790421,    0,    0
107870,19790422,   34,    0
107870,19790423,   14,    0
107870,19790424,    1,    0
107870,19790425,    0,    0
107870,19790426,    0,    0
107870,19790427,    0,    0
107870,19790428,    0,    0
107870,19790429,    0,    0
107870,19790430,   33,    0
107870,19790501,   17,    0
107870,19790502,   23,    0
107870,19790503,    0,    0
107870,19790504,    6,    0
107870,19790505,    0,    0
107870,19790506,    0,    0
107870,19790507,    3,    0
107870,19790508,   19,    0
107870,19790509,  189,    0
107870,19790510,   16,    0
107870,19790511,    0,    0
107870,19790512,    0,    0
107870,19790513,    0,    0
107870,19790514,    0,    0
107870,19790515,   28,    0
107870,19790516,   14,    0
107870,19790517,   13,    0
107870,19790518,   12,    0
107870,19790519,  125,    0
107870,19790520,   48,    0
107870,19790521,   83,    0
107870,19790522,   58,    0
107870,19790523,   53,    0
107870,19790524,   47,    0
107870,19790525,   53,    0
107870,19790526,   22,    0
107870,19790527,  131,    0
107870,19790528,   10,    0
107870,19790529,    0,    0
107870,19790530,    0,    0
107870,19790531,    0,    0
107870,19790601,    0,    0
107870,19790602,    0,    0
107870,19790603,    8,    0
107870,19790604,   27,    0
107870,19790605,   89,    0
107870,19790606,    7,    0
107870,19790607,   60,    0
107870,19790608,   27,    0
107870,19790609,    0,    0
107870,19790610,  282,    0
107870,19790611,   73,    0
107870,19790612,   44,    0
107870,19790613,    6,    0
107870,19790614,    0,    0
107870,19790615,-9999,    9
107870,19790616,    0,    0
107870,19790617,    0,    0
107870,19790618,    0,    0
107870,19790619,    0,    0
107870,19790620,   29,    0
107870,19790621,    4,    0
107870,19790622,   17,    0
107870,19790623,    0,    0
107870,19790624,   19,    0
107870,19790625,    0,    0
107870,19790626,    0,    0
107870,19790627,    0,    0
107870,19790628,    0,    0
107870,19790629,    0,    0
107870,19790630,    0,    0
107870,19790701,    0,    0
107870,19790702,    0,    0
107870,19790703,    0,    0
107870,19790704,    0,    0
107870,19790705,    0,    0
107870,19790706,    0,    0
107870,19790707,    0,    0
107870,19790708,    0,    0
107870,19790709,    0,    0
107870,19790710,    0,    0
107870,19790711,    0,    0
107870,19790712,    0,    0
107870,19790713,   29,    0
107870,19790714,    0,    0
107870,19790715,    0,    0
107870,19790716,    0,    0
107870,19790717,    0,    0
107870,19790718,    0,    0
107870,19790719,    0,    0
107870,19790720,    0,    0
107870,19790721,    0,    0
107870,19790722,-9999,    9
107870,19790723,    3,    0
107870,19790724,    0,    0
107870,19790725,    0,    0
107870,19790726,    0,    0
107870,19790727,   16,    0
107870,19790728,   18,    0
107870,19790729,   10,    0
107870,19790730,   17,    0
107870,19790731,    7,    0
107870,19790801,    0,    0
107870,19790802,    0,    0
107870,19790803,    0,    0
107870,19790804,   67,    0
107870,19790805,   12,    0
107870,19790806,   36,    0
107870,19790807,    0,    0
107870,19790808,   98,    0
107870,19790809,    0,    0
107870,19790810,    1,    0
107870,19790811,    0,    0
107870,19790812,    6,    0
107870,19790813,  146,    0
107870,19790814,   27,    0
107870,19790815,   75,    0
107870,19790816,    8,    0
107870,19790817,    2,    0
107870,19790818,   10,    0
107870,19790819,    0,    0
107870,19790820,    0,    0
107870,19790821,    4,    0
107870,19790822,   41,    0
107870,19790823,    7,    0
107870,19790824,   48,    0
107870,19790825,   49,    0
107870,19790826,    0,    0
107870,19790827,-9999,    9
107870,19790828,    0,    0
107870,19790829,    0,    0
107870,19790830,   53,    0
107870,19790831,  172,    0
107870,19790901,   35,    0
107870,19790902,    2,    0
107870,19790903,    0,    0
107870,19790904,    3,    0
107870,19790905,   20,    0
107870,19790906,    6,    0
107870,19790907,  122,    0
107870,19790908,    0,    0
107870,19790909,    0,    0
107870,19790910,    0,    0
107870,19790911,    0,    0
107870,19790912,    1,    0
107870,19790913,    0,    0
107870,19790914,    0,    0
107870,19790915,    0,    0
107870,19790916,    0,    0
107870,19790917,    0,    0
107870,19790918,    0,    0
107870,19790919,    8,    0
107870,19790920,    0,    0
107870,19790921,    1,    0
107870,19790922,    3,    0
107870,19790923,    0,    0
107870,19790924,   13,    0
107870,19790925,    3,    0
107870,19790926,   18,    0
107870,19790927,    0,    0
