EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, LECARROW (STAID: 2003).
Blended and updated with sources: 107877 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107877,19790101,    0,    0
107877,19790102,    0,    0
107877,19790103,    0,    0
107877,19790104,    0,    0
107877,19790105,    3,    0
107877,19790106,   59,    0
107877,19790107,    4,    0
107877,19790108,   12,    0
107877,19790109,   69,    0
107877,19790110,   84,    0
107877,19790111,    2,    0
107877,19790112,    2,    0
107877,19790113,  109,    0
107877,19790114,    1,    0
107877,19790115,   19,    0
107877,19790116,    0,    0
107877,19790117,    0,    0
107877,19790118,    0,    0
107877,19790119,   60,    0
107877,19790120,   21,    0
107877,19790121,    0,    0
107877,19790122,    0,    0
107877,19790123,    2,    0
107877,19790124,   14,    0
107877,19790125,    4,    0
107877,19790126,    0,    0
107877,19790127,   44,    0
107877,19790128,   70,    0
107877,19790129,    1,    0
107877,19790130,    5,    0
107877,19790131,  165,    0
107877,19790201,    4,    0
107877,19790202,    0,    0
107877,19790203,    0,    0
107877,19790204,    0,    0
107877,19790205,    0,    0
107877,19790206,    0,    0
107877,19790207,    0,    0
107877,19790208,   68,    0
107877,19790209,    5,    0
107877,19790210,    9,    0
107877,19790211,    0,    0
107877,19790212,    2,    0
107877,19790213,   20,    0
107877,19790214,    0,    0
107877,19790215,    0,    0
107877,19790216,    1,    0
107877,19790217,  113,    0
107877,19790218,    1,    0
107877,19790219,    1,    0
107877,19790220,   45,    0
107877,19790221,    8,    0
107877,19790222,    2,    0
107877,19790223,    0,    0
107877,19790224,    0,    0
107877,19790225,    1,    0
107877,19790226,   61,    0
107877,19790227,   51,    0
107877,19790228,   17,    0
107877,19790301,   11,    0
107877,19790302,   92,    0
107877,19790303,    4,    0
107877,19790304,    9,    0
107877,19790305,   50,    0
107877,19790306,   23,    0
107877,19790307,   42,    0
107877,19790308,  120,    0
107877,19790309,   26,    0
107877,19790310,   45,    0
107877,19790311,    2,    0
107877,19790312,    0,    0
107877,19790313,    0,    0
107877,19790314,    8,    0
107877,19790315,    4,    0
107877,19790316,    1,    0
107877,19790317,    0,    0
107877,19790318,    0,    0
107877,19790319,    0,    0
107877,19790320,   44,    0
107877,19790321,   16,    0
107877,19790322,   14,    0
107877,19790323,   25,    0
107877,19790324,  149,    0
107877,19790325,   42,    0
107877,19790326,   71,    0
107877,19790327,   10,    0
107877,19790328,   10,    0
107877,19790329,    0,    0
107877,19790330,    0,    0
107877,19790331,    4,    0
107877,19790401,   11,    0
107877,19790402,   29,    0
107877,19790403,   25,    0
107877,19790404,    3,    0
107877,19790405,   11,    0
107877,19790406,   54,    0
107877,19790407,   19,    0
107877,19790408,-9999,    9
107877,19790409,-9999,    9
107877,19790410,   15,    0
107877,19790411,   11,    0
107877,19790412,   20,    0
107877,19790413,  133,    0
107877,19790414,  113,    0
107877,19790415,    0,    0
107877,19790416,    0,    0
107877,19790417,    0,    0
107877,19790418,   20,    0
107877,19790419,    2,    0
107877,19790420,    0,    0
107877,19790421,    0,    0
107877,19790422,   92,    0
107877,19790423,   25,    0
107877,19790424,   19,    0
107877,19790425,    0,    0
107877,19790426,    0,    0
107877,19790427,   25,    0
107877,19790428,    1,    0
107877,19790429,    5,    0
107877,19790430,   10,    0
107877,19790501,   18,    0
107877,19790502,   21,    0
107877,19790503,    3,    0
107877,19790504,    1,    0
107877,19790505,   15,    0
107877,19790506,  133,    0
107877,19790507,  188,    0
107877,19790508,    1,    0
107877,19790509,   38,    0
107877,19790510,   53,    0
107877,19790511,    1,    0
107877,19790512,    0,    0
107877,19790513,    0,    0
107877,19790514,   10,    0
107877,19790515,   27,    0
107877,19790516,   54,    0
107877,19790517,   66,    0
107877,19790518,    5,    0
107877,19790519,   60,    0
107877,19790520,   90,    0
107877,19790521,   14,    0
107877,19790522,   32,    0
107877,19790523,   48,    0
107877,19790524,    3,    0
107877,19790525,   34,    0
107877,19790526,   48,    0
107877,19790527,  147,    0
107877,19790528,    7,    0
107877,19790529,    5,    0
107877,19790530,    0,    0
107877,19790531,    9,    0
107877,19790601,    0,    0
107877,19790602,    0,    0
107877,19790603,   51,    0
107877,19790604,   11,    0
107877,19790605,  140,    0
107877,19790606,  119,    0
107877,19790607,    1,    0
107877,19790608,    0,    0
107877,19790609,    0,    0
107877,19790610,   66,    0
107877,19790611,    3,    0
107877,19790612,   24,    0
107877,19790613,    5,    0
107877,19790614,    3,    0
107877,19790615,    0,    0
107877,19790616,    0,    0
107877,19790617,    1,    0
107877,19790618,    0,    0
107877,19790619,    0,    0
107877,19790620,   37,    0
107877,19790621,    0,    0
107877,19790622,   29,    0
107877,19790623,   14,    0
107877,19790624,   16,    0
107877,19790625,   10,    0
107877,19790626,    0,    0
107877,19790627,    6,    0
107877,19790628,    1,    0
107877,19790629,    0,    0
107877,19790630,    0,    0
107877,19790701,    0,    0
107877,19790702,    0,    0
107877,19790703,    0,    0
107877,19790704,    0,    0
107877,19790705,    0,    0
107877,19790706,    6,    0
107877,19790707,    0,    0
107877,19790708,    9,    0
107877,19790709,    0,    0
107877,19790710,    0,    0
107877,19790711,    0,    0
107877,19790712,   15,    0
107877,19790713,    0,    0
107877,19790714,    0,    0
107877,19790715,    0,    0
107877,19790716,    0,    0
107877,19790717,    6,    0
107877,19790718,    0,    0
107877,19790719,    0,    0
107877,19790720,    1,    0
107877,19790721,    0,    0
107877,19790722,   17,    0
107877,19790723,    5,    0
107877,19790724,   27,    0
107877,19790725,    9,    0
107877,19790726,    1,    0
107877,19790727,   20,    0
107877,19790728,  257,    0
107877,19790729,   39,    0
107877,19790730,  146,    0
107877,19790731,   72,    0
107877,19790801,   37,    0
107877,19790802,    4,    0
107877,19790803,    0,    0
107877,19790804,   54,    0
107877,19790805,    6,    0
107877,19790806,   43,    0
107877,19790807,    1,    0
107877,19790808,  147,    0
107877,19790809,    1,    0
107877,19790810,   19,    0
107877,19790811,   22,    0
107877,19790812,   89,    0
107877,19790813,  181,    0
107877,19790814,   43,    0
107877,19790815,   50,    0
107877,19790816,   53,    0
107877,19790817,    0,    0
107877,19790818,   14,    0
107877,19790819,    2,    0
107877,19790820,    5,    0
107877,19790821,   24,    0
107877,19790822,   39,    0
107877,19790823,   14,    0
107877,19790824,   45,    0
107877,19790825,    1,    0
107877,19790826,    0,    0
107877,19790827,    0,    0
107877,19790828,    0,    0
107877,19790829,    0,    0
107877,19790830,    8,    0
107877,19790831,   68,    0
107877,19790901,  193,    0
107877,19790902,   22,    0
107877,19790903,    0,    0
107877,19790904,    0,    0
107877,19790905,    1,    0
107877,19790906,-9999,    9
107877,19790907,-9999,    9
107877,19790908,-9999,    9
107877,19790909,    0,    0
107877,19790910,    0,    0
107877,19790911,    7,    0
107877,19790912,    4,    0
107877,19790913,    0,    0
107877,19790914,    0,    0
107877,19790915,    0,    0
107877,19790916,    0,    0
107877,19790917,   34,    0
107877,19790918,    0,    0
107877,19790919,   28,    0
107877,19790920,   37,    0
107877,19790921,    6,    0
107877,19790922,   14,    0
107877,19790923,    0,    0
107877,19790924,   62,    0
107877,19790925,   86,    0
107877,19790926,    6,    0
107877,19790927,    0,    0
107877,19790928,    0,    0
107877,19790929,    0,    0
107877,19790930,    0,    0
107877,19791001,    1,    0
107877,19791002,   66,    0
107877,19791003,    0,    0
107877,19791004,    0,    0
107877,19791005,   31,    0
107877,19791006,  145,    0
107877,19791007,   63,    0
107877,19791008,   37,    0
107877,19791009,   15,    0
107877,19791010,   12,    0
107877,19791011,   33,    0
107877,19791012,    4,    0
107877,19791013,   52,    0
107877,19791014,    5,    0
107877,19791015,    1,    0
107877,19791016,   16,    0
107877,19791017,   23,    0
107877,19791018,  126,    0
107877,19791019,   52,    0
107877,19791020,    0,    0
107877,19791021,    0,    0
107877,19791022,  231,    0
107877,19791023,    1,    0
107877,19791024,   60,    0
107877,19791025,    1,    0
107877,19791026,    1,    0
107877,19791027,    6,    0
107877,19791028,    1,    0
107877,19791029,   28,    0
107877,19791030,   64,    0
107877,19791031,   62,    0
107877,19791101,    7,    0
107877,19791102,  112,    0
107877,19791103,   68,    0
107877,19791104,   47,    0
107877,19791105,   27,    0
107877,19791106,  115,    0
107877,19791107,   28,    0
107877,19791108,   15,    0
107877,19791109,    2,    0
107877,19791110,   20,    0
107877,19791111,    0,    0
107877,19791112,    1,    0
107877,19791113,  122,    0
107877,19791114,    2,    0
107877,19791115,   13,    0
107877,19791116,   46,    0
107877,19791117,    8,    0
107877,19791118,   14,    0
107877,19791119,    1,    0
107877,19791120,   42,    0
107877,19791121,   24,    0
107877,19791122,   84,    0
107877,19791123,    3,    0
