EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, GREENCASTLE (STAID: 2177).
Blended and updated with sources: 107898 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107898,19790101,    2,    0
107898,19790102,    0,    0
107898,19790103,    5,    0
107898,19790104,   18,    0
107898,19790105,   12,    0
107898,19790106,   38,    0
107898,19790107,   51,    0
107898,19790108,   31,    0
107898,19790109,   24,    0
107898,19790110,   83,    0
107898,19790111,   33,    0
107898,19790112,    0,    0
107898,19790113,   40,    0
107898,19790114,   37,    0
107898,19790115,   46,    0
107898,19790116,   21,    0
107898,19790117,    2,    0
107898,19790118,   22,    0
107898,19790119,  125,    0
107898,19790120,   10,    0
107898,19790121,    1,    0
107898,19790122,    1,    0
107898,19790123,   46,    0
107898,19790124,   45,    0
107898,19790125,   70,    0
107898,19790126,   36,    0
107898,19790127,   26,    0
107898,19790128,    5,    0
107898,19790129,   18,    0
107898,19790130,   20,    0
107898,19790131,   50,    0
107898,19790201,    2,    0
107898,19790202,   63,    0
107898,19790203,   20,    0
107898,19790204,    1,    0
107898,19790205,    0,    0
107898,19790206,    0,    0
107898,19790207,    0,    0
107898,19790208,    0,    0
107898,19790209,    0,    0
107898,19790210,    0,    0
107898,19790211,    0,    0
107898,19790212,    0,    0
107898,19790213,    0,    0
107898,19790214,    0,    0
107898,19790215,    0,    0
107898,19790216,    0,    0
107898,19790217,   25,    0
107898,19790218,   16,    0
107898,19790219,   16,    0
107898,19790220,   42,    0
107898,19790221,   35,    0
107898,19790222,    3,    0
107898,19790223,    0,    0
107898,19790224,    0,    0
107898,19790225,    0,    0
107898,19790226,    3,    0
107898,19790227,   15,    0
107898,19790228,   44,    0
107898,19790301,   65,    0
107898,19790302,   52,    0
107898,19790303,   37,    0
107898,19790304,   15,    0
107898,19790305,   62,    0
107898,19790306,  141,    0
107898,19790307,   27,    0
107898,19790308,  113,    0
107898,19790309,   23,    0
107898,19790310,   78,    0
107898,19790311,   42,    0
107898,19790312,   41,    0
107898,19790313,   11,    0
107898,19790314,-9999,    9
107898,19790315,    0,    0
107898,19790316,    1,    0
107898,19790317,    6,    0
107898,19790318,    1,    0
107898,19790319,    0,    0
107898,19790320,   78,    0
107898,19790321,   16,    0
107898,19790322,    0,    0
107898,19790323,    1,    0
107898,19790324,   62,    0
107898,19790325,   17,    0
107898,19790326,   34,    0
107898,19790327,   11,    0
107898,19790328,    1,    0
107898,19790329,-9999,    9
107898,19790330,   46,    0
107898,19790331,   20,    0
107898,19790401,   42,    0
107898,19790402,   35,    0
107898,19790403,    1,    0
107898,19790404,    7,    0
107898,19790405,    4,    0
107898,19790406,    5,    0
107898,19790407,   20,    0
107898,19790408,   34,    0
107898,19790409,   30,    0
107898,19790410,    7,    0
107898,19790411,   14,    0
107898,19790412,   33,    0
107898,19790413,    1,    0
107898,19790414,    1,    0
107898,19790415,    0,    0
107898,19790416,    0,    0
107898,19790417,    0,    0
107898,19790418,   30,    0
107898,19790419,   19,    0
107898,19790420,   38,    0
107898,19790421,   20,    0
107898,19790422,   60,    0
107898,19790423,   12,    0
