EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  120,100450,BIRR                                    ,IE,+53:05:25,-007:52:35,  70, RR3,19541001,20090930,   17,Conor Daly                                        
  120,116290,GURTEEN                                 ,IE,+53:01:48,-008:00:36,  76, RR3,20100101,20210731,   17,Conor Daly                                        
  120,117972,BIRR                                    ,IE,+53:05:25,-007:52:35,  70, RR1,19541001,20090923,   50,GHCND                                             
  120,903965,BIRR                                    ,IE,+53:05:00,-007:53:00,  70, RR8,19820101,20090930,     ,                    
  120,903966,GURTEEN                                 ,IE,+53:01:00,-008:00:00,  76, RR8,20100419,20200229,     ,                    
  121,100454,DUBLIN PHOENIX PARK                     ,IE,+53:21:50,-006:19:10,  49, RR3,18670101,20210731,   17,Conor Daly                                        
  121,107880,LEIXLIP (GEN.STN.)                      ,IE,+53:21:43,-006:29:13,  42, RR3,19490501,20100331,   17,Conor Daly                                        
  121,107895,DUBLIN AIRPORT                          ,IE,+53:25:41,-006:14:28,  71, RR3,19410101,20210731,   17,Conor Daly                                        
  121,116291,DUBLIN PHOENIX PARK                     ,IE,+53:21:50,-006:19:10,  49, RR3,20060109,20100329,   17,Conor Daly                                        
  122,100458,MALIN HEAD                              ,IE,+55:22:19,-007:20:24,  21, RR3,18850101,20210731,   17,Conor Daly                                        
  122,116293,MALIN HEAD                              ,IE,+55:22:19,-007:20:24,  21, RR3,20060102,20091231,   17,Conor Daly                                        
  122,903980,MALIN HEAD                              ,IE,+55:22:00,-007:20:00,  21, RR8,19820101,20200229,     ,                    
  123,100462,VALENTIA OBSERVATORY                    ,IE,+51:56:23,-010:13:20,   9, RR3,19410101,20100331,   17,Conor Daly                                        
  123,117969,VALENTIA OBSERVATORY                    ,IE,+51:56:23,-010:13:20,   9, RR1,19410101,20110123,   50,GHCND                                             
  123,903953,VALENTIA OBSERVATORY                    ,IE,+51:56:00,-010:15:00,  30, RR8,19820101,20200229,     ,                    
  441,101859,GALWAY                                  ,IE,+53:16:48,-009:01:12,   8, RR1,18610107,20021231,   46,Marcus Keane                                      
  441,107811,LAGHTGEORGE G.S.                        ,IE,+53:21:22,-008:55:52,  14, RR3,19411201,19940531,   17,Conor Daly                                        
  441,903964,GALWAY                                  ,IE,+53:17:00,-009:01:00,  21, RR8,19820103,19900622,     ,                    
 2135,107674,ROCHES POINT                            ,IE,+51:47:35,-008:14:38,  43, RR3,18730701,20210731,   17,Conor Daly                                        
 2135,903952,ROCHES POINT                            ,IE,+51:48:00,-008:15:00,  41, RR8,19820102,20200229,     ,                    
 1766,107692,ROUNDWOOD (FILTER BEDS)                 ,IE,+53:03:11,-006:11:10, 195, RR3,19430101,20210430,   17,Conor Daly                                        
 1766,107920,MONEYSTOWN                              ,IE,+53:00:00,-006:13:30, 207, RR3,19480701,20210730,   17,Conor Daly                                        
 1770,107703,PETTIGO (LOUGH DERG)                    ,IE,+54:36:22,-007:51:40, 146, RR3,19520610,20210731,   17,Conor Daly                                        
 1770,107736,PETTIGO (MEENSHEEFIN)                   ,IE,+54:34:44,-007:58:30, 148, RR3,19520610,20001130,   17,Conor Daly                                        
 1771,107704,FOULKESMILLS (LONGRAIGUE)               ,IE,+52:18:40,-006:46:01,  67, RR3,19410101,20210630,   17,Conor Daly                                        
 1772,107706,SNEEM                                   ,IE,+51:50:20,-009:54:11,  14, RR3,19491101,20210731,   17,Conor Daly                                        
 1772,107900,KENMARE (DERREEN)                       ,IE,+51:46:08,-009:46:52,  24, RR3,19410101,20210731,   17,Conor Daly                                        
 1774,107708,LOUGHGLINN                              ,IE,+53:49:19,-008:33:22,  98, RR3,19440329,20210731,   17,Conor Daly                                        
 1774,107869,BALLAGHADERREEN (VOC.SCH.)              ,IE,+53:54:00,-008:34:59,  87, RR3,19440401,19891231,   17,Conor Daly                                        
 1777,107712,CASTLEISLAND (COOM)                     ,IE,+52:13:59,-009:21:22, 157, RR3,19440601,20210731,   17,Conor Daly                                        
 1777,107801,FARRANFORE (CLOUNLEA)                   ,IE,+52:08:35,-009:24:11, 177, RR3,19500518,20050831,   17,Conor Daly                                        
 1777,107931,KNOCKNAGOSHEL G.S.                      ,IE,+52:19:59,-009:22:34, 152, RR3,19411101,19890823,   17,Conor Daly                                        
 1779,107714,TULLA                                   ,IE,+52:52:08,-008:45:29,  61, RR3,19430715,20210731,   17,Conor Daly                                        
 1781,107716,GURTEEN G.S.                            ,IE,+53:59:31,-008:30:40,  73, RR3,19420226,19890220,   17,Conor Daly                                        
 1781,107869,BALLAGHADERREEN (VOC.SCH.)              ,IE,+53:54:00,-008:34:59,  87, RR3,19440401,19891231,   17,Conor Daly                                        
 1783,107718,LOUTH G.S.                              ,IE,+53:57:11,-006:32:10,  37, RR3,19430323,19860731,   17,Conor Daly                                        
 1783,107768,ARDEE (ST.BRIGIDS HOSP.)                ,IE,+53:51:14,-006:32:46,  32, RR3,19520904,20210630,   17,Conor Daly                                        
 1786,107721,SHANAGLISH G.S.                         ,IE,+53:00:22,-008:50:10,  40, RR3,19430715,19900731,   17,Conor Daly                                        
 1786,107919,CRUSHEEN G.S.                           ,IE,+52:56:20,-008:54:00,  34, RR3,19430601,19900912,   17,Conor Daly                                        
 1788,107723,DUNMORE G.S.                            ,IE,+53:37:08,-008:43:59,  61, RR3,19411123,19880430,   17,Conor Daly                                        
 1788,107847,MILLTOWN                                ,IE,+53:36:43,-008:53:31,  50, RR3,19440428,20210730,   17,Conor Daly                                        
 1788,107851,GLENAMADDY (GORTNAGIER)                 ,IE,+53:36:11,-008:33:40,  84, RR3,19440501,20210731,   17,Conor Daly                                        
 1789,107724,CAVAN (TRANS.STN.)                      ,IE,+53:59:49,-007:21:29,  88, RR3,19420701,19870131,   17,Conor Daly                                        
 1789,107735,REDHILLS G.S.                           ,IE,+54:06:11,-007:19:01,  66, RR3,19420605,19990920,   17,Conor Daly                                        
