EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, BELLACORRICK (MONEYNIERIN) (STAID: 965).
Blended and updated with sources: 107813 107819 107939 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107939,19790101,    0,    0
107939,19790102,    2,    0
107939,19790103,    2,    0
107939,19790104,   68,    0
107939,19790105,   34,    0
107939,19790106,  121,    0
107939,19790107,   93,    0
107939,19790108,   32,    0
107939,19790109,  191,    0
107939,19790110,   52,    0
107939,19790111,   18,    0
107939,19790112,    0,    0
107939,19790113,   91,    0
107939,19790114,   15,    0
107939,19790115,   23,    0
107939,19790116,   15,    0
107939,19790117,    2,    0
107939,19790118,    0,    0
107939,19790119,   24,    0
107939,19790120,   23,    0
107813,19790121,    1,    0
107939,19790122,    0,    0
107939,19790123,   48,    0
107939,19790124,   42,    0
107939,19790125,   30,    0
107939,19790126,   31,    0
107939,19790127,  190,    0
107939,19790128,   42,    0
107939,19790129,   68,    0
107939,19790130,   19,    0
107939,19790131,   37,    0
107813,19790201,    0,    0
107939,19790202,    0,    0
107939,19790203,    0,    0
107939,19790204,    0,    0
107939,19790205,    0,    0
107813,19790206,    0,    0
107939,19790207,    0,    0
107939,19790208,    9,    0
107939,19790209,   22,    0
107939,19790210,   25,    0
107813,19790211,    2,    0
107939,19790212,    5,    0
107939,19790213,   25,    0
107939,19790214,   13,    0
107939,19790215,-9999,    9
107939,19790216,    0,    0
107939,19790217,  100,    0
107939,19790218,    4,    0
107939,19790219,    3,    0
107939,19790220,   68,    0
107939,19790221,   11,    0
107939,19790222,   18,    0
107939,19790223,    1,    0
107939,19790224,    0,    0
107939,19790225,    9,    0
107939,19790226,   95,    0
107939,19790227,   58,    0
107939,19790228,   50,    0
107939,19790301,   39,    0
107939,19790302,  128,    0
107939,19790303,   45,    0
107939,19790304,   42,    0
107939,19790305,  152,    0
107939,19790306,   57,    0
107939,19790307,   92,    0
107939,19790308,  202,    0
107939,19790309,   27,    0
107939,19790310,  110,    0
107939,19790311,   22,    0
107939,19790312,   25,    0
107939,19790313,   37,    0
107939,19790314,    3,    0
107939,19790315,    2,    0
107939,19790316,    2,    0
107939,19790317,    1,    0
107939,19790318,    0,    0
107939,19790319,    0,    0
107939,19790320,   98,    0
107939,19790321,    2,    0
107939,19790322,    1,    0
107939,19790323,   90,    0
107939,19790324,  167,    0
107939,19790325,   57,    0
107939,19790326,  216,    0
107939,19790327,   73,    0
107939,19790328,   52,    0
107939,19790329,    7,    0
107939,19790330,   25,    0
107939,19790331,   34,    0
107939,19790401,   60,    0
107939,19790402,   58,    0
107939,19790403,   22,    0
107939,19790404,   11,    0
