EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, PETTIGO (LOUGH DERG) (STAID: 1770).
Blended and updated with sources: 107703 107736 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107703,19790101,    0,    0
107736,19790102,    0,    0
107703,19790103,    0,    0
107703,19790104,    7,    0
107703,19790105,   25,    0
107703,19790106,  129,    0
107703,19790107,   69,    0
107703,19790108,  166,    0
107703,19790109,  182,    0
107703,19790110,   36,    0
107703,19790111,   93,    0
107736,19790112,    0,    0
107703,19790113,  153,    0
107703,19790114,   71,    0
107703,19790115,   30,    0
107736,19790116,    0,    0
107703,19790117,    0,    0
107703,19790118,    0,    0
107703,19790119,  150,    0
107703,19790120,   15,    0
107736,19790121,    0,    0
107703,19790122,    0,    0
107703,19790123,   21,    0
107703,19790124,   36,    0
107703,19790125,   42,    0
107703,19790126,   27,    0
107703,19790127,   51,    0
107736,19790128,    0,    0
107703,19790129,   15,    0
107703,19790130,    5,    0
107703,19790131,    9,    0
107703,19790201,    0,    0
107703,19790202,   35,    0
107703,19790203,   39,    0
107703,19790204,    0,    0
107703,19790205,   10,    0
107703,19790206,    0,    0
107703,19790207,    0,    0
107703,19790208,    0,    0
107703,19790209,    0,    0
107703,19790210,    0,    0
107703,19790211,    0,    0
107736,19790212,    0,    0
107703,19790213,    0,    0
107703,19790214,    6,    0
107703,19790215,    0,    0
107736,19790216,    2,    0
107703,19790217,  102,    0
107703,19790218,   22,    0
107703,19790219,   27,    0
107703,19790220,   91,    0
107703,19790221,   31,    0
107703,19790222,   36,    0
107703,19790223,    0,    0
107703,19790224,    0,    0
107703,19790225,   16,    0
107703,19790226,   50,    0
107703,19790227,   22,    0
107703,19790228,   72,    0
107703,19790301,   70,    0
107703,19790302,  155,    0
107703,19790303,   42,    0
107703,19790304,   12,    0
107703,19790305,  101,    0
107703,19790306,   65,    0
107703,19790307,   62,    0
107703,19790308,  262,    0
107703,19790309,   32,    0
107703,19790310,  211,    0
107703,19790311,   51,    0
107703,19790312,   11,    0
107703,19790313,   13,    0
107736,19790314,    0,    0
107703,19790315,    5,    0
107736,19790316,    1,    0
107736,19790317,    1,    0
107703,19790318,    0,    0
107703,19790319,    0,    0
107703,19790320,   52,    0
107703,19790321,   21,    0
107736,19790322,   10,    0
107703,19790323,    0,    0
107703,19790324,  175,    0
107703,19790325,    5,    0
107703,19790326,  139,    0
107703,19790327,   13,    0
107703,19790328,   31,    0
107736,19790329,    0,    0
107703,19790330,   27,    0
107703,19790331,   61,    0
107703,19790401,   51,    0
107703,19790402,   13,    0
107736,19790403,    3,    0
107736,19790404,    4,    0
107703,19790405,   37,    0
107736,19790406,    1,    0
107703,19790407,   54,    0
107703,19790408,  110,    0
107703,19790409,    8,    0
107703,19790410,   10,    0
107703,19790411,   14,    0
107703,19790412,   43,    0
107736,19790413,    0,    0
107703,19790414,  149,    0
107703,19790415,    0,    0
107703,19790416,    0,    0
107703,19790417,    0,    0
107703,19790418,   39,    0
107703,19790419,   60,    0
107703,19790420,   55,    0
107703,19790421,   34,    0
107703,19790422,  259,    0
107703,19790423,   11,    0
107703,19790424,   18,    0
107703,19790425,   22,    0
107703,19790426,    6,    0
107703,19790427,   21,    0
107703,19790428,   16,    0
107703,19790429,   49,    0
107703,19790430,   39,    0
107703,19790501,   29,    0
107703,19790502,   37,    0
107703,19790503,   36,    0
107703,19790504,   10,    0
107703,19790505,   31,    0
107703,19790506,   44,    0
107703,19790507,   51,    0
107703,19790508,    0,    0
107703,19790509,   31,    0
107703,19790510,  145,    0
