EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, FOULKESMILLS (LONGRAIGUE) (STAID: 1771).
Blended and updated with sources: 107704 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107704,19790101,    0,    0
107704,19790102,    6,    0
107704,19790103,-9999,    9
107704,19790104,    0,    0
107704,19790105,    1,    0
107704,19790106,   32,    0
107704,19790107,    0,    0
107704,19790108,    2,    0
107704,19790109,   93,    0
107704,19790110,-9999,    9
107704,19790111,    0,    0
107704,19790112,    0,    0
107704,19790113,  120,    0
107704,19790114,    1,    0
107704,19790115,    0,    0
107704,19790116,    3,    0
107704,19790117,    9,    0
107704,19790118,    1,    0
107704,19790119,   52,    0
107704,19790120,   19,    0
107704,19790121,-9999,    9
107704,19790122,   39,    0
107704,19790123,    3,    0
107704,19790124,   16,    0
107704,19790125,    1,    0
107704,19790126,    1,    0
107704,19790127,   60,    0
107704,19790128,    1,    0
107704,19790129,    1,    0
107704,19790130,    0,    0
107704,19790131,  316,    0
107704,19790201,   66,    0
107704,19790202,    1,    0
107704,19790203,    0,    0
107704,19790204,   16,    0
107704,19790205,   24,    0
107704,19790206,   56,    0
107704,19790207,    1,    0
107704,19790208,  140,    0
107704,19790209,  139,    0
107704,19790210,   63,    0
107704,19790211,    5,    0
107704,19790212,-9999,    9
107704,19790213,    6,    0
107704,19790214,   19,    0
107704,19790215,   11,    0
107704,19790216,    2,    0
107704,19790217,  159,    0
107704,19790218,    1,    0
107704,19790219,    1,    0
107704,19790220,   26,    0
107704,19790221,  143,    0
107704,19790222,    4,    0
107704,19790223,-9999,    9
107704,19790224,    0,    0
107704,19790225,    0,    0
107704,19790226,    0,    0
107704,19790227,  101,    0
107704,19790228,    2,    0
107704,19790301,    6,    0
107704,19790302,   13,    0
107704,19790303,-9999,    9
107704,19790304,-9999,    9
107704,19790305,   26,    0
107704,19790306,  116,    0
107704,19790307,   16,    0
107704,19790308,   47,    0
107704,19790309,   42,    0
107704,19790310,   28,    0
107704,19790311,    1,    0
107704,19790312,    3,    0
107704,19790313,   10,    0
107704,19790314,    1,    0
107704,19790315,   33,    0
107704,19790316,   32,    0
107704,19790317,   45,    0
107704,19790318,   56,    0
107704,19790319,    1,    0
107704,19790320,    1,    0
107704,19790321,    1,    0
107704,19790322,    0,    0
107704,19790323,    3,    0
107704,19790324,  257,    0
107704,19790325,   89,    0
107704,19790326,   19,    0
107704,19790327,    4,    0
107704,19790328,    6,    0
107704,19790329,    1,    0
107704,19790330,   10,    0
107704,19790331,    1,    0
107704,19790401,   12,    0
107704,19790402,    4,    0
107704,19790403,    3,    0
107704,19790404,    4,    0
107704,19790405,   26,    0
107704,19790406,   46,    0
107704,19790407,   87,    0
107704,19790408,    7,    0
107704,19790409,   13,    0
107704,19790410,    5,    0
107704,19790411,   54,    0
107704,19790412,   32,    0
107704,19790413,    6,    0
107704,19790414,   14,    0
107704,19790415,-9999,    9
107704,19790416,    0,    0
107704,19790417,    0,    0
107704,19790418,    0,    0
107704,19790419,   28,    0
107704,19790420,   11,    0
107704,19790421,-9999,    9
107704,19790422,   72,    0
107704,19790423,   16,    0
107704,19790424,   11,    0
107704,19790425,   17,    0
107704,19790426,-9999,    9
107704,19790427,    1,    0
107704,19790428,-9999,    9
107704,19790429,   11,    0
107704,19790430,   60,    0
107704,19790501,   57,    0
107704,19790502,    3,    0
107704,19790503,   26,    0
107704,19790504,    2,    0
107704,19790505,    1,    0
107704,19790506,   31,    0
107704,19790507,   73,    0
107704,19790508,   11,    0
107704,19790509,  125,    0
107704,19790510,   77,    0
107704,19790511,-9999,    9
107704,19790512,-9999,    9
107704,19790513,-9999,    9
107704,19790514,-9999,    9
107704,19790515,-9999,    9
107704,19790516,   37,    0
107704,19790517,   13,    0
107704,19790518,   24,    0
107704,19790519,-9999,    9
107704,19790520,   73,    0
107704,19790521,   45,    0
107704,19790522,   50,    0
107704,19790523,   20,    0
107704,19790524,   21,    0
107704,19790525,    6,    0
107704,19790526,   68,    0
