EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, LOUTH G.S. (STAID: 1783).
Blended and updated with sources: 107718 107768 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107718,19790101,    0,    0
107718,19790102,    0,    0
107718,19790103,    0,    0
107718,19790104,-9999,    9
107768,19790105,    0,    0
107718,19790106,   11,    0
107768,19790107,    3,    0
107718,19790108,    4,    0
107718,19790109,   52,    0
107718,19790110,   27,    0
107718,19790111,    6,    0
107718,19790112,    5,    0
107718,19790113,  126,    0
107718,19790114,   11,    0
107718,19790115,   12,    0
107718,19790116,    0,    0
107718,19790117,    2,    0
107718,19790118,    0,    0
107718,19790119,  143,    0
107718,19790120,   75,    0
107718,19790121,    0,    0
107718,19790122,    0,    0
107718,19790123,    4,    0
107718,19790124,    3,    0
107718,19790125,    5,    0
107718,19790126,    6,    0
107718,19790127,   36,    0
107718,19790128,   33,    0
107718,19790129,    1,    0
107718,19790130,    0,    0
107718,19790131,   96,    0
107768,19790201,   29,    0
107718,19790202,-9999,    9
107768,19790203,    0,    0
107768,19790204,    0,    0
107718,19790205,-9999,    9
107768,19790206,    0,    0
107768,19790207,    0,    0
107768,19790208,    3,    0
107768,19790209,    0,    0
107768,19790210,   68,    0
107768,19790211,    8,    0
107768,19790212,   16,    0
107768,19790213,   66,    0
107768,19790214,    1,    0
107718,19790215,-9999,    9
107768,19790216,   10,    0
107768,19790217,   45,    0
107768,19790218,   52,    0
107768,19790219,    4,    0
107768,19790220,   30,    0
107768,19790221,   26,    0
107768,19790222,    0,    0
107768,19790223,    0,    0
107768,19790224,    0,    0
107768,19790225,    1,    0
107768,19790226,    5,    0
107768,19790227,   72,    0
107718,19790228,-9999,    9
107718,19790301,   49,    0
107718,19790302,   28,    0
107718,19790303,    0,    0
107718,19790304,    0,    0
107718,19790305,   20,    0
107718,19790306,   37,    0
107718,19790307,   15,    0
107718,19790308,  112,    0
107718,19790309,   36,    0
107718,19790310,   23,    0
107718,19790311,    0,    0
107718,19790312,    0,    0
107718,19790313,    0,    0
107718,19790314,    3,    0
107718,19790315,   18,    0
107718,19790316,   19,    0
107718,19790317,    4,    0
107718,19790318,    2,    0
107768,19790319,    0,    0
107718,19790320,   51,    0
107718,19790321,    2,    0
107718,19790322,    0,    0
107718,19790323,    0,    0
107718,19790324,  123,    0
107718,19790325,   82,    0
107718,19790326,   28,    0
107718,19790327,    0,    0
107718,19790328,    0,    0
107718,19790329,    0,    0
107718,19790330,    1,    0
107718,19790331,   24,    0
107718,19790401,    1,    0
107718,19790402,    8,    0
107718,19790403,   10,    0
107718,19790404,   13,    0
107718,19790405,   32,    0
107718,19790406,    7,    0
107718,19790407,   92,    0
107718,19790408,   50,    0
107718,19790409,   12,    0
107718,19790410,   22,    0
107718,19790411,   76,    0
107718,19790412,    9,    0
107718,19790413,   44,    0
107718,19790414,    1,    0
107718,19790415,    0,    0
107718,19790416,    0,    0
107718,19790417,    0,    0
107718,19790418,    5,    0
107718,19790419,   15,    0
107718,19790420,    2,    0
107718,19790421,    0,    0
107718,19790422,   66,    0
107718,19790423,   16,    0
107718,19790424,    2,    0
107718,19790425,    1,    0
107768,19790426,    0,    0
107718,19790427,    3,    0
107768,19790428,    1,    0
107718,19790429,    0,    0
107718,19790430,    8,    0
107718,19790501,    8,    0
107718,19790502,   11,    0
107718,19790503,-9999,    9
107718,19790504,    2,    0
107718,19790505,   17,    0
107718,19790506,   60,    0
107718,19790507,  106,    0
107718,19790508,   45,    0
107718,19790509,   30,    0
107718,19790510,   26,    0
107718,19790511,    2,    0
107718,19790512,    0,    0
107718,19790513,    0,    0
107718,19790514,   23,    0
107718,19790515,   50,    0
107718,19790516,   80,    0
107718,19790517,   54,    0
107718,19790518,    0,    0
107718,19790519,    0,    0
107718,19790520,   25,    0
107718,19790521,   87,    0
107768,19790522,    0,    0
107768,19790523,   21,    0
107718,19790524,    1,    0
107718,19790525,    0,    0
107718,19790526,    0,    0
107768,19790527,   67,    0
107768,19790528,   19,    0
107718,19790529,   30,    0
107718,19790530,   16,    0
107718,19790531,   21,    0
107718,19790601,    0,    0
107718,19790602,    2,    0
107718,19790603,    1,    0
107718,19790604,    5,    0
107718,19790605,    1,    0
107768,19790606,    9,    0
107768,19790607,   18,    0
107718,19790608,    0,    0
107718,19790609,    0,    0
107718,19790610,    2,    0
107718,19790611,   61,    0
107718,19790612,  141,    0
107768,19790613,    1,    0
107718,19790614,   21,    0
107718,19790615,    0,    0
107718,19790616,    0,    0
107718,19790617,    0,    0
107718,19790618,    0,    0
107718,19790619,    0,    0
107718,19790620,   22,    0
107718,19790621,    0,    0
107718,19790622,   15,    0
107718,19790623,    5,    0
107718,19790624,   23,    0
107718,19790625,    0,    0
107718,19790626,    0,    0
107718,19790627,    2,    0
107718,19790628,    0,    0
107718,19790629,    0,    0
107718,19790630,    0,    0
107718,19790701,    0,    0
107718,19790702,    0,    0
107718,19790703,    0,    0
107718,19790704,    0,    0
107718,19790705,    0,    0
107718,19790706,    1,    0
107718,19790707,    0,    0
107718,19790708,    8,    0
107718,19790709,    0,    0
107718,19790710,    0,    0
107718,19790711,    0,    0
107718,19790712,    0,    0
107718,19790713,    0,    0
107718,19790714,    0,    0
107718,19790715,   20,    0
107718,19790716,   12,    0
107718,19790717,    3,    0
107718,19790718,    0,    0
107718,19790719,-9999,    9
107718,19790720,   15,    0
107718,19790721,    0,    0
107718,19790722,    0,    0
107718,19790723,    4,    0
107718,19790724,    5,    0
107718,19790725,   61,    0
107768,19790726,    0,    0
107718,19790727,   14,    0
107718,19790728,  306,    0
107718,19790729,  132,    0
107718,19790730,    6,    0
107718,19790731,   56,    0
107718,19790801,   45,    0
107718,19790802,   13,    0
107718,19790803,    0,    0
107718,19790804,   14,    0
107718,19790805,   25,    0
107718,19790806,  257,    0
107718,19790807,    3,    0
107718,19790808,   74,    0
107718,19790809,    0,    0
107718,19790810,    5,    0
107718,19790811,   22,    0
107768,19790812,  110,    0
107768,19790813,   89,    0
107768,19790814,   15,    0
107768,19790815,    5,    0
107768,19790816,   57,    0
107768,19790817,    0,    0
107718,19790818,   34,    0
107718,19790819,    3,    0
107718,19790820,   14,    0
107718,19790821,   23,    0
107718,19790822,   41,    0
107718,19790823,   38,    0
107718,19790824,   70,    0
107718,19790825,    1,    0
107718,19790826,    0,    0
107718,19790827,    0,    0
107718,19790828,    0,    0
107768,19790829,    0,    0
107718,19790830,    0,    0
107718,19790831,   78,    0
107768,19790901,   72,    0
107768,19790902,   20,    0
107768,19790903,    0,    0
107768,19790904,    0,    0
107718,19790905,    0,    0
107768,19790906,    3,    0
107768,19790907,  176,    0
107768,19790908,    1,    0
107768,19790909,    0,    0
107718,19790910,    0,    0
107718,19790911,   25,    0
107718,19790912,    0,    0
107718,19790913,    0,    0
107718,19790914,    0,    0
107718,19790915,    0,    0
107718,19790916,    0,    0
107718,19790917,    2,    0
107768,19790918,    0,    0
107768,19790919,   11,    0
107718,19790920,    1,    0
107718,19790921,    7,    0
107718,19790922,    1,    0
107718,19790923,    0,    0
107718,19790924,   20,    0
107718,19790925,   15,    0
107718,19790926,   26,    0
107718,19790927,    1,    0
107718,19790928,    0,    0
107718,19790929,    0,    0
107718,19790930,    0,    0
107718,19791001,    0,    0
107718,19791002,   98,    0
107718,19791003,  210,    0
107718,19791004,    3,    0
107718,19791005,   23,    0
107718,19791006,   53,    0
107718,19791007,    1,    0
107718,19791008,   17,    0
107718,19791009,    0,    0
107718,19791010,   10,    0
107718,19791011,   72,    0
107718,19791012,    2,    0
107718,19791013,    5,    0
107718,19791014,   22,    0
107768,19791015,    0,    0
107718,19791016,    6,    0
107718,19791017,   44,    0
107718,19791018,   40,    0
107718,19791019,    4,    0
107718,19791020,    0,    0
107718,19791021,    0,    0
107718,19791022,  262,    0
107718,19791023,   24,    0
107718,19791024,  182,    0
107718,19791025,    1,    0
107718,19791026,    0,    0
107718,19791027,   20,    0
107718,19791028,    0,    0
107718,19791029,   46,    0
107718,19791030,   52,    0
107718,19791031,   20,    0
107768,19791101,    0,    0
107718,19791102,  113,    0
107718,19791103,   14,    0
107718,19791104,   33,    0
107718,19791105,   16,    0
107768,19791106,   41,    0
107768,19791107,   55,    0
107718,19791108,    1,    0
107718,19791109,    0,    0
107718,19791110,   36,    0
107718,19791111,   30,    0
107718,19791112,    0,    0
107718,19791113,  111,    0
107718,19791114,    1,    0
107718,19791115,    0,    0
107718,19791116,   49,    0
107718,19791117,   16,    0
107768,19791118,   11,    0
107718,19791119,    0,    0
107718,19791120,   20,    0
107718,19791121,    1,    0
107718,19791122,   70,    0
107718,19791123,    1,    0
107718,19791124,   87,    0
107718,19791125,   86,    0
107718,19791126,   70,    0
107718,19791127,    1,    0
107718,19791128,    1,    0
107718,19791129,    0,    0
107718,19791130,   10,    0
107718,19791201,   63,    0
107718,19791202,   16,    0
107718,19791203,   80,    0
107718,19791204,   63,    0
107718,19791205,   39,    0
107718,19791206,   89,    0
107718,19791207,   20,    0
107718,19791208,   90,    0
107718,19791209,   18,    0
107718,19791210,   98,    0
107718,19791211,   15,    0
107718,19791212,   46,    0
107718,19791213,    1,    0
107718,19791214,  119,    0
107718,19791215,    2,    0
107718,19791216,    8,    0
107718,19791217,   58,    0
107718,19791218,   30,    0
107718,19791219,    2,    0
107718,19791220,    1,    0
107718,19791221,    3,    0
107718,19791222,   22,    0
107718,19791223,    5,    0
107718,19791224,    1,    0
107718,19791225,   30,    0
107718,19791226,  172,    0
107718,19791227,    1,    0
107768,19791228,    0,    0
107718,19791229,    2,    0
107718,19791230,    0,    0
107718,19791231,    0,    0
107718,19800101,    0,    0
107718,19800102,  104,    0
107718,19800103,   20,    0
107718,19800104,    2,    0
107768,19800105,    2,    0
107718,19800106,    0,    0
107768,19800107,    1,    0
107718,19800108,   18,    0
107718,19800109,   67,    0
107718,19800110,   13,    0
107718,19800111,    2,    0
107718,19800112,    2,    0
107718,19800113,   45,    0
107718,19800114,    5,    0
107718,19800115,    0,    0
107718,19800116,    0,    0
107768,19800117,    0,    0
107718,19800118,   97,    0
107718,19800119,  156,    0
107718,19800120,  247,    0
107718,19800121,   35,    0
107718,19800122,   13,    0
107718,19800123,-9999,    9
107718,19800124,    0,    0
107718,19800125,    1,    0
107718,19800126,-9999,    9
107718,19800127,   78,    0
107718,19800128,   15,    0
107718,19800129,   31,    0
107718,19800130,   27,    0
107718,19800131,    0,    0
107718,19800201,  113,    0
107718,19800202,   45,    0
107718,19800203,   66,    0
107718,19800204,  147,    0
107718,19800205,   15,    0
107718,19800206,   81,    0
107718,19800207,   47,    0
107718,19800208,    3,    0
107718,19800209,   11,    0
107718,19800210,    1,    0
107718,19800211,    0,    0
107718,19800212,   55,    0
107718,19800213,    9,    0
107718,19800214,   12,    0
107718,19800215,    4,    0
107718,19800216,    0,    0
107718,19800217,   45,    0
107718,19800218,   34,    0
107718,19800219,   54,    0
107718,19800220,    2,    0
107718,19800221,   29,    0
107718,19800222,    2,    0
107718,19800223,    0,    0
107718,19800224,    0,    0
107718,19800225,    4,    0
107718,19800226,    0,    0
107718,19800227,    0,    0
107768,19800228,    0,    0
107768,19800229,    0,    0
107718,19800301,    0,    0
107718,19800302,    0,    0
107718,19800303,    0,    0
107718,19800304,   64,    0
107718,19800305,   25,    0
107718,19800306,   25,    0
107768,19800307,    5,    0
107718,19800308,-9999,    9
107718,19800309,  139,    0
107718,19800310,   67,    0
107768,19800311,   14,    0
107768,19800312,    3,    0
107718,19800313,-9999,    9
107768,19800314,    0,    0
107718,19800315,    1,    0
107718,19800316,   49,    0
107718,19800317,  127,    0
107718,19800318,   95,    0
107718,19800319,    1,    0
107768,19800320,    5,    0
107768,19800321,    0,    0
107768,19800322,    0,    0
107718,19800323,   90,    0
107718,19800324,   87,    0
107718,19800325,   22,    0
107718,19800326,   23,    0
107718,19800327,   38,    0
107718,19800328,  132,    0
107768,19800329,   13,    0
107768,19800330,   14,    0
107768,19800331,    0,    0
107718,19800401,    1,    0
107718,19800402,    2,    0
107718,19800403,    0,    0
107718,19800404,    0,    0
107718,19800405,    0,    0
107768,19800406,    0,    0
107718,19800407,    0,    0
107718,19800408,    0,    0
107718,19800409,    0,    0
107718,19800410,    0,    0
107718,19800411,    0,    0
107718,19800412,    0,    0
107718,19800413,    1,    0
107718,19800414,   22,    0
107718,19800415,    4,    0
107718,19800416,    1,    0
107718,19800417,    0,    0
107718,19800418,    0,    0
107718,19800419,    0,    0
107718,19800420,    0,    0
107718,19800421,    0,    0
107718,19800422,    9,    0
107718,19800423,    0,    0
107718,19800424,   40,    0
107718,19800425,   12,    0
107768,19800426,    0,    0
107718,19800427,    1,    0
107718,19800428,    0,    0
107718,19800429,    0,    0
107718,19800430,    0,    0
107718,19800501,    0,    0
107718,19800502,    0,    0
107718,19800503,    0,    0
107718,19800504,    0,    0
107718,19800505,    0,    0
107718,19800506,    0,    0
107718,19800507,    0,    0
107718,19800508,    0,    0
107718,19800509,    0,    0
107718,19800510,    0,    0
107718,19800511,    0,    0
107718,19800512,    2,    0
107718,19800513,    0,    0
107718,19800514,    0,    0
107718,19800515,    0,    0
107718,19800516,    0,    0
107718,19800517,    0,    0
107718,19800518,    0,    0
107718,19800519,   31,    0
107718,19800520,    6,    0
107718,19800521,    0,    0
107718,19800522,    0,    0
107718,19800523,    0,    0
107718,19800524,    1,    0
107718,19800525,   66,    0
107718,19800526,    0,    0
107718,19800527,   35,    0
107718,19800528,    1,    0
107718,19800529,   17,    0
107718,19800530,   95,    0
107718,19800531,    3,    0
107718,19800601,   35,    0
107718,19800602,   19,    0
107718,19800603,    2,    0
107718,19800604,   72,    0
107718,19800605,    1,    0
107718,19800606,   80,    0
107718,19800607,   10,    0
107718,19800608,    1,    0
107718,19800609,   11,    0
107718,19800610,    6,    0
107718,19800611,   88,    0
107718,19800612,   37,    0
107718,19800613,   24,    0
107718,19800614,   14,    0
107718,19800615,   26,    0
107718,19800616,   59,    0
107718,19800617,    0,    0
107718,19800618,    1,    0
107718,19800619,    0,    0
107718,19800620,   30,    0
107768,19800621,   25,    0
