EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, MACROOM G.S. (STAID: 1886).
Blended and updated with sources: 107728 107743 107771 107864 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107743,19790101,    2,    0
107743,19790102,    9,    0
107743,19790103,    6,    0
107743,19790104,    0,    0
107743,19790105,    0,    0
107743,19790106,   22,    0
107743,19790107,    6,    0
107743,19790108,    5,    0
107864,19790109,  205,    0
107864,19790110,   58,    0
107743,19790111,   23,    0
107743,19790112,   12,    0
107743,19790113,   80,    0
107743,19790114,   11,    0
107743,19790115,    2,    0
107864,19790116,    1,    0
107743,19790117,   14,    0
107743,19790118,   73,    0
107743,19790119,   78,    0
107743,19790120,   18,    0
107728,19790121,   26,    0
107864,19790122,  111,    0
107728,19790123,   41,    0
107864,19790124,   26,    0
107864,19790125,   21,    0
107864,19790126,    5,    0
107864,19790127,   63,    0
107743,19790128,  105,    0
107864,19790129,   11,    0
107728,19790130,   10,    0
107743,19790131,  260,    0
107864,19790201,   35,    0
107864,19790202,    0,    0
107864,19790203,   34,    0
107864,19790204,   39,    0
107864,19790205,   24,    0
107864,19790206,   77,    0
107728,19790207,    0,    0
107864,19790208,  259,    0
107864,19790209,  177,    0
107864,19790210,   43,    0
107864,19790211,   32,    0
107864,19790212,    1,    0
107864,19790213,   28,    0
107864,19790214,    5,    0
107864,19790215,    1,    0
107864,19790216,    6,    0
107864,19790217,  213,    0
107728,19790218,    6,    0
107864,19790219,    4,    0
107864,19790220,  169,    0
107864,19790221,    8,    0
107743,19790222,-9999,    9
107864,19790223,    0,    0
107864,19790224,    0,    0
107864,19790225,    0,    0
107864,19790226,   14,    0
107864,19790227,  118,    0
107864,19790228,   22,    0
107864,19790301,   16,    0
107864,19790302,   34,    0
107864,19790303,    3,    0
107743,19790304,   48,    0
107743,19790305,  131,    0
107864,19790306,   29,    0
107864,19790307,    8,    0
107743,19790308,   85,    0
107743,19790309,   79,    0
107743,19790310,    6,    0
107743,19790311,   15,    0
107743,19790312,   37,    0
107743,19790313,    5,    0
107743,19790314,    0,    0
107743,19790315,    4,    0
107743,19790316,   54,    0
107864,19790317,    4,    0
107864,19790318,   16,    0
107864,19790319,    0,    0
107743,19790320,   34,    0
107743,19790321,    0,    0
107743,19790322,   10,    0
107743,19790323,   98,    0
107864,19790324,  307,    0
107864,19790325,   90,    0
107743,19790326,   65,    0
107743,19790327,   75,    0
107743,19790328,    6,    0
