EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, KESHCARRIGAN G.S. (STAID: 1896).
Blended and updated with sources: 107742 107753 107758 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107753,19790101,    0,    0
107753,19790102,    0,    0
107753,19790103,    0,    0
107753,19790104,    0,    0
107753,19790105,   12,    0
107753,19790106,   61,    0
107753,19790107,   44,    0
107742,19790108,   23,    0
107742,19790109,  135,    0
107742,19790110,   40,    0
107742,19790111,   35,    0
107742,19790112,    0,    0
107742,19790113,  100,    0
107753,19790114,   20,    0
107753,19790115,   12,    0
107753,19790116,    0,    0
107753,19790117,    0,    0
107753,19790118,   13,    0
107753,19790119,   47,    0
107753,19790120,   33,    0
107753,19790121,    0,    0
107753,19790122,    0,    0
107753,19790123,    4,    0
107753,19790124,   21,    0
107753,19790125,   22,    0
107753,19790126,    0,    0
107753,19790127,   49,    0
107753,19790128,    2,    0
107753,19790129,    8,    0
107753,19790130,    0,    0
107753,19790131,   76,    0
107753,19790201,    0,    0
107753,19790202,    0,    0
107753,19790203,    0,    0
107753,19790204,    0,    0
107753,19790205,   12,    0
107753,19790206,    0,    0
107753,19790207,    0,    0
107758,19790208,    0,    0
107753,19790209,    0,    0
107753,19790210,    0,    0
107753,19790211,    0,    0
107753,19790212,   18,    0
107753,19790213,    2,    0
107753,19790214,    0,    0
107753,19790215,    0,    0
107753,19790216,    5,    0
107753,19790217,   64,    0
107753,19790218,   81,    0
107758,19790219,   20,    0
107753,19790220,  110,    0
107753,19790221,    8,    0
107753,19790222,    0,    0
107753,19790223,    0,    0
107758,19790224,    0,    0
107758,19790225,    0,    0
107758,19790226,    8,    0
107753,19790227,   29,    0
107753,19790228,   30,    0
107753,19790301,   36,    0
107753,19790302,   18,    0
107758,19790303,   10,    0
107758,19790304,    8,    0
107758,19790305,   82,    0
107753,19790306,   12,    0
107753,19790307,   28,    0
107758,19790308,  128,    0
107758,19790309,   71,    0
107758,19790310,   88,    0
107753,19790311,   11,    0
107758,19790312,    6,    0
107753,19790313,    1,    0
107753,19790314,    0,    0
107753,19790315,    0,    0
107753,19790316,    0,    0
107753,19790317,    2,    0
107753,19790318,    0,    0
107753,19790319,    0,    0
107753,19790320,   24,    0
107758,19790321,    2,    0
107758,19790322,    0,    0
107758,19790323,    0,    0
107758,19790324,  274,    0
107758,19790325,    1,    0
107758,19790326,  104,    0
107758,19790327,   13,    0
107758,19790328,    8,    0
107758,19790329,    0,    0
107758,19790330,   12,    0
107758,19790331,   23,    0
107742,19790401,    6,    0
107753,19790402,-9999,    9
107742,19790403,   26,    0
107742,19790404,    3,    0
107742,19790405,   22,    0
107753,19790406,  166,    0
107753,19790407,   34,    0
107753,19790408,   39,    0
107753,19790409,    0,    0
107753,19790410,   10,    0
107753,19790411,   13,    0
107753,19790412,  114,    0
107753,19790413,   44,    0
107753,19790414,  115,    0
107753,19790415,    0,    0
107753,19790416,    0,    0
107742,19790417,    3,    0
107742,19790418,   21,    0
107742,19790419,    4,    0
107742,19790420,    3,    0
107742,19790421,    1,    0
107742,19790422,  108,    0
107753,19790423,   32,    0
107753,19790424,   12,    0
107753,19790425,   15,    0
107742,19790426,    1,    0
107753,19790427,   15,    0
107742,19790428,    5,    0
107753,19790429,   20,    0
107753,19790430,   22,    0
107753,19790501,   23,    0
107753,19790502,    5,    0
107753,19790503,    3,    0
107753,19790504,    0,    0
107753,19790505,   31,    0
107753,19790506,  131,    0
107753,19790507,  191,    0
107753,19790508,    0,    0
107753,19790509,   21,    0
107753,19790510,   34,    0
107753,19790511,   11,    0
107753,19790512,    0,    0
107753,19790513,    0,    0
107753,19790514,    4,    0
107753,19790515,    0,    0
107753,19790516,   84,    0
107753,19790517,   26,    0
107753,19790518,    0,    0
107753,19790519,  104,    0
107753,19790520,   73,    0
107753,19790521,   37,    0
107753,19790522,   11,    0
107753,19790523,   29,    0
107753,19790524,   11,    0
107753,19790525,   27,    0
107753,19790526,   41,    0
107753,19790527,  116,    0
107753,19790528,   36,    0
107753,19790529,   26,    0
107753,19790530,    6,    0
107753,19790531,   31,    0
107753,19790601,    0,    0
107753,19790602,    3,    0
107753,19790603,   78,    0
107742,19790604,    4,    0
107753,19790605,   12,    0
107753,19790606,   68,    0
107753,19790607,    1,    0
107753,19790608,    0,    0
107753,19790609,    0,    0
107753,19790610,    6,    0
107753,19790611,   34,    0
107753,19790612,   51,    0
107753,19790613,   20,    0
107753,19790614,    0,    0
107758,19790615,    3,    0
107753,19790616,    0,    0
107753,19790617,    0,    0
107753,19790618,    0,    0
107753,19790619,    0,    0
107753,19790620,   36,    0
107753,19790621,   12,    0
107753,19790622,   27,    0
107753,19790623,    0,    0
107753,19790624,    4,    0
107753,19790625,    0,    0
107753,19790626,    0,    0
107753,19790627,   18,    0
107758,19790628,    2,    0
107753,19790629,    7,    0
107753,19790630,    0,    0
107753,19790701,    0,    0
107753,19790702,    0,    0
107753,19790703,    0,    0
107753,19790704,    0,    0
107753,19790705,    0,    0
107753,19790706,   31,    0
107758,19790707,    0,    0
107758,19790708,   15,    0
107758,19790709,    1,    0
107758,19790710,    0,    0
107758,19790711,    0,    0
107758,19790712,   38,    0
107758,19790713,    2,    0
107753,19790714,    0,    0
107753,19790715,    2,    0
107758,19790716,    5,    0
107758,19790717,    8,    0
107753,19790718,    6,    0
107758,19790719,    3,    0
107753,19790720,    0,    0
107758,19790721,    2,    0
107758,19790722,    1,    0
107758,19790723,    5,    0
107758,19790724,   21,    0
107753,19790725,   29,    0
107753,19790726,    0,    0
107753,19790727,   15,    0
107758,19790728,    4,    0
107753,19790729,  111,    0
107753,19790730,   49,    0
107753,19790731,   78,    0
107753,19790801,   19,    0
107753,19790802,    0,    0
107753,19790803,    0,    0
107753,19790804,   69,    0
107753,19790805,   96,    0
107753,19790806,   86,    0
107753,19790807,    0,    0
107753,19790808,   76,    0
107753,19790809,    0,    0
107753,19790810,   22,    0
107753,19790811,   39,    0
107753,19790812,   49,    0
107753,19790813,  156,    0
107753,19790814,   24,    0
107753,19790815,   35,    0
107753,19790816,  159,    0
107753,19790817,    0,    0
107753,19790818,   41,    0
107753,19790819,   29,    0
107753,19790820,   43,    0
107753,19790821,   28,    0
107753,19790822,  101,    0
107753,19790823,   14,    0
107753,19790824,   60,    0
107753,19790825,    0,    0
107753,19790826,    0,    0
107753,19790827,    0,    0
107753,19790828,    0,    0
107753,19790829,    0,    0
107753,19790830,    0,    0
107753,19790831,  239,    0
107758,19790901,   78,    0
107758,19790902,  182,    0
107753,19790903,    1,    0
107753,19790904,    2,    0
107753,19790905,   11,    0
107758,19790906,   28,    0
107758,19790907,  110,    0
107758,19790908,    1,    0
107753,19790909,    0,    0
107753,19790910,   21,    0
107753,19790911,   11,    0
107753,19790912,    8,    0
107753,19790913,    1,    0
107753,19790914,    0,    0
107753,19790915,    0,    0
107753,19790916,   27,    0
107753,19790917,   35,    0
107753,19790918,    0,    0
107753,19790919,   11,    0
107753,19790920,   21,    0
107753,19790921,   10,    0
107753,19790922,   20,    0
107753,19790923,    0,    0
107753,19790924,  106,    0
107753,19790925,   29,    0
107753,19790926,    0,    0
107753,19790927,    0,    0
107753,19790928,    0,    0
107753,19790929,    0,    0
107753,19790930,    4,    0
107753,19791001,    3,    0
107753,19791002,   46,    0
107753,19791003,    0,    0
107753,19791004,    0,    0
107758,19791005,   53,    0
107758,19791006,  144,    0
107758,19791007,   16,    0
107753,19791008,   42,    0
107753,19791009,   28,    0
107753,19791010,   13,    0
107753,19791011,   32,    0
107753,19791012,   31,    0
107753,19791013,   33,    0
107758,19791014,    4,    0
107758,19791015,   13,    0
107758,19791016,   23,    0
107753,19791017,   83,    0
107753,19791018,  177,    0
107753,19791019,    0,    0
107753,19791020,    0,    0
107758,19791021,    0,    0
107758,19791022,  179,    0
107758,19791023,    1,    0
107753,19791024,  103,    0
107753,19791025,    0,    0
107758,19791026,    0,    0
107758,19791027,   25,    0
107758,19791028,    5,    0
107758,19791029,   79,    0
107753,19791030,   12,    0
107753,19791031,   11,    0
107753,19791101,    0,    0
107753,19791102,    0,    0
107753,19791103,  234,    0
107753,19791104,   73,    0
107753,19791105,  129,    0
107753,19791106,   91,    0
107753,19791107,   27,    0
107753,19791108,    0,    0
107753,19791109,    0,    0
107753,19791110,    0,    0
107753,19791111,  183,    0
107753,19791112,    0,    0
107753,19791113,  121,    0
107753,19791114,   56,    0
107753,19791115,    0,    0
107753,19791116,   35,    0
107753,19791117,   50,    0
107753,19791118,    0,    0
107753,19791119,    0,    0
107753,19791120,    0,    0
107753,19791121,    1,    0
107753,19791122,   71,    0
107753,19791123,    0,    0
107753,19791124,    0,    0
107753,19791125,  334,    0
107753,19791126,   92,    0
107753,19791127,    0,    0
107753,19791128,   14,    0
107753,19791129,   31,    0
107753,19791130,   35,    0
107753,19791201,  127,    0
107753,19791202,   16,    0
107753,19791203,   37,    0
107753,19791204,   85,    0
107753,19791205,   53,    0
107753,19791206,   27,    0
107753,19791207,   75,    0
107753,19791208,  104,    0
107753,19791209,   76,    0
107753,19791210,  112,    0
107753,19791211,   13,    0
107753,19791212,   95,    0
107753,19791213,    0,    0
107753,19791214,   62,    0
107753,19791215,   40,    0
107753,19791216,   25,    0
