EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, CLOONACOOL (LOUGH EASKEY) (STAID: 1982).
Blended and updated with sources: 107852 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107852,19790101,    0,    0
107852,19790102,    0,    0
107852,19790103,-9999,    9
107852,19790104,    2,    0
107852,19790105,   40,    0
107852,19790106,   45,    0
107852,19790107,   50,    0
107852,19790108,   45,    0
107852,19790109,  100,    0
107852,19790110,  115,    0
107852,19790111,   37,    0
107852,19790112,    0,    0
107852,19790113,  139,    0
107852,19790114,   15,    0
107852,19790115,   60,    0
107852,19790116,    5,    0
107852,19790117,    0,    0
107852,19790118,    0,    0
107852,19790119,   62,    0
107852,19790120,   74,    0
107852,19790121,    0,    0
107852,19790122,    4,    0
107852,19790123,    8,    0
107852,19790124,   82,    0
107852,19790125,   20,    0
107852,19790126,  151,    0
107852,19790127,   70,    0
107852,19790128,   44,    0
107852,19790129,   30,    0
107852,19790130,   32,    0
107852,19790131,   40,    0
107852,19790201,    0,    0
107852,19790202,    0,    0
107852,19790203,    0,    0
107852,19790204,    0,    0
107852,19790205,   12,    0
107852,19790206,    0,    0
107852,19790207,    0,    0
107852,19790208,   13,    0
107852,19790209,    0,    0
107852,19790210,   15,    0
107852,19790211,    0,    0
107852,19790212,    5,    0
107852,19790213,    2,    0
107852,19790214,   13,    0
107852,19790215,    0,    0
107852,19790216,    0,    0
107852,19790217,  139,    0
107852,19790218,   12,    0
107852,19790219,   11,    0
107852,19790220,  101,    0
107852,19790221,   13,    0
107852,19790222,   13,    0
107852,19790223,    0,    0
107852,19790224,    0,    0
107852,19790225,   12,    0
107852,19790226,   90,    0
107852,19790227,   21,    0
107852,19790228,   88,    0
107852,19790301,   55,    0
107852,19790302,  105,    0
107852,19790303,   31,    0
107852,19790304,   42,    0
107852,19790305,  165,    0
107852,19790306,   15,    0
107852,19790307,   76,    0
107852,19790308,  154,    0
107852,19790309,   46,    0
107852,19790310,  100,    0
107852,19790311,    5,    0
107852,19790312,   10,    0
107852,19790313,-9999,    9
107852,19790314,    5,    0
107852,19790315,    0,    0
107852,19790316,    2,    0
107852,19790317,-9999,    9
107852,19790318,    0,    0
107852,19790319,    0,    0
107852,19790320,-9999,    9
107852,19790321,-9999,    9
107852,19790322,-9999,    9
107852,19790323,-9999,    9
107852,19790324,  169,    0
107852,19790325,   55,    0
107852,19790326,   98,    0
107852,19790327,   56,    0
107852,19790328,   22,    0
107852,19790329,   17,    0
107852,19790330,   36,    0
107852,19790331,   48,    0
107852,19790401,   48,    0
107852,19790402,    3,    0
107852,19790403,   12,    0
107852,19790404,   15,    0
107852,19790405,    9,    0
107852,19790406,   60,    0
107852,19790407,   23,    0
107852,19790408,   46,    0
107852,19790409,-9999,    9
107852,19790410,    0,    0
107852,19790411,-9999,    9
107852,19790412,-9999,    9
107852,19790413,   28,    0
107852,19790414,   65,    0
107852,19790415,    0,    0
107852,19790416,   10,    0
107852,19790417,   12,    0
107852,19790418,   37,    0
107852,19790419,   30,    0
107852,19790420,   20,    0
107852,19790421,   13,    0
107852,19790422,  158,    0
107852,19790423,   36,    0
107852,19790424,   34,    0
107852,19790425,   11,    0
107852,19790426,   13,    0
107852,19790427,   53,    0
107852,19790428,   35,    0
107852,19790429,   28,    0
107852,19790430,   57,    0
107852,19790501,   48,    0
107852,19790502,   44,    0
107852,19790503,    5,    0
107852,19790504,   65,    0
107852,19790505,   32,    0
107852,19790506,   91,    0
107852,19790507,  150,    0
107852,19790508,    5,    0
107852,19790509,   51,    0
107852,19790510,   71,    0
107852,19790511,   16,    0
107852,19790512,    0,    0
107852,19790513,    0,    0
107852,19790514,   30,    0
107852,19790515,   76,    0
107852,19790516,   28,    0
107852,19790517,   72,    0
107852,19790518,    1,    0
107852,19790519,  111,    0
107852,19790520,   60,    0
107852,19790521,   25,    0
107852,19790522,   27,    0
107852,19790523,  123,    0
107852,19790524,   46,    0
107852,19790525,   10,    0
107852,19790526,   10,    0
107852,19790527,  163,    0
107852,19790528,   66,    0
107852,19790529,   42,    0
107852,19790530,  207,    0
107852,19790531,   16,    0
107852,19790601,    0,    0
107852,19790602,   11,    0
107852,19790603,    7,    0
107852,19790604,   17,    0
107852,19790605,   73,    0
107852,19790606,   19,    0
107852,19790607,    0,    0
107852,19790608,    0,    0
107852,19790609,    0,    0
107852,19790610,   43,    0
107852,19790611,   21,    0
107852,19790612,    6,    0
107852,19790613,   27,    0
107852,19790614,   16,    0
107852,19790615,    1,    0
107852,19790616,    0,    0
107852,19790617,    0,    0
107852,19790618,    0,    0
107852,19790619,    0,    0
107852,19790620,   46,    0
107852,19790621,   14,    0
107852,19790622,   45,    0
107852,19790623,   16,    0
107852,19790624,   46,    0
107852,19790625,    0,    0
107852,19790626,    2,    0
107852,19790627,   21,    0
107852,19790628,    5,    0
107852,19790629,   39,    0
107852,19790630,    1,    0
107852,19790701,   12,    0
107852,19790702,    0,    0
107852,19790703,    0,    0
107852,19790704,    0,    0
107852,19790705,    0,    0
107852,19790706,    0,    0
107852,19790707,   62,    0
107852,19790708,   30,    0
107852,19790709,    0,    0
107852,19790710,    0,    0
107852,19790711,    0,    0
107852,19790712,   41,    0
107852,19790713,    0,    0
107852,19790714,    0,    0
107852,19790715,    7,    0
107852,19790716,   16,    0
107852,19790717,   25,    0
107852,19790718,   11,    0
107852,19790719,    9,    0
107852,19790720,   40,    0
107852,19790721,    5,    0
107852,19790722,   21,    0
107852,19790723,   25,    0
107852,19790724,   71,    0
107852,19790725,    6,    0
107852,19790726,    0,    0
107852,19790727,    6,    0
107852,19790728,   55,    0
107852,19790729,   57,    0
107852,19790730,   78,    0
107852,19790731,  120,    0
107852,19790801,   83,    0
107852,19790802,   34,    0
107852,19790803,    0,    0
107852,19790804,   55,    0
107852,19790805,  258,    0
107852,19790806,   74,    0
107852,19790807,    7,    0
107852,19790808,  122,    0
107852,19790809,   12,    0
107852,19790810,   47,    0
107852,19790811,   20,    0
107852,19790812,   73,    0
107852,19790813,  305,    0
107852,19790814,   81,    0
107852,19790815,   71,    0
107852,19790816,   90,    0
107852,19790817,    1,    0
107852,19790818,   72,    0
107852,19790819,   22,    0
107852,19790820,   22,    0
107852,19790821,   60,    0
107852,19790822,  115,    0
107852,19790823,   46,    0
107852,19790824,  205,    0
107852,19790825,   22,    0
107852,19790826,    0,    0
107852,19790827,    0,    0
107852,19790828,    0,    0
107852,19790829,    0,    0
107852,19790830,   76,    0
107852,19790831,  197,    0
107852,19790901,  145,    0
107852,19790902,  128,    0
107852,19790903,    4,    0
107852,19790904,    0,    0
107852,19790905,  105,    0
107852,19790906,   33,    0
107852,19790907,   41,    0
107852,19790908,    3,    0
107852,19790909,    4,    0
107852,19790910,   32,    0
107852,19790911,   41,    0
107852,19790912,   18,    0
107852,19790913,    5,    0
107852,19790914,    1,    0
107852,19790915,-9999,    9
107852,19790916,   75,    0
107852,19790917,   49,    0
107852,19790918,   25,    0
107852,19790919,   43,    0
107852,19790920,   35,    0
107852,19790921,   33,    0
107852,19790922,   45,    0
107852,19790923,    0,    0
107852,19790924,  188,    0
107852,19790925,   12,    0
107852,19790926,   21,    0
107852,19790927,    2,    0
107852,19790928,    0,    0
107852,19790929,    0,    0
107852,19790930,   22,    0
107852,19791001,   55,    0
107852,19791002,  148,    0
107852,19791003,    1,    0
107852,19791004,-9999,    9
107852,19791005,   78,    0
107852,19791006,   31,    0
107852,19791007,  136,    0
107852,19791008,   23,    0
107852,19791009,   30,    0
107852,19791010,  123,    0
107852,19791011,   48,    0
107852,19791012,    1,    0
107852,19791013,   20,    0
107852,19791014,   19,    0
107852,19791015,   18,    0
107852,19791016,   48,    0
107852,19791017,   83,    0
107852,19791018,  222,    0
107852,19791019,    2,    0
107852,19791020,    0,    0
107852,19791021,    0,    0
107852,19791022,  167,    0
107852,19791023,    1,    0
107852,19791024,  290,    0
107852,19791025,    0,    0
107852,19791026,    2,    0
107852,19791027,   23,    0
107852,19791028,    5,    0
107852,19791029,  148,    0
107852,19791030,  105,    0
107852,19791031,   61,    0
107852,19791101,   25,    0
107852,19791102,  290,    0
107852,19791103,   82,    0
107852,19791104,  110,    0
107852,19791105,   90,    0
107852,19791106,  125,    0
