EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, CLOUGHJORDAN G.S. (STAID: 1991).
Blended and updated with sources: 107863 107868 116290 903966 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107863,19790101,    0,    0
107868,19790102,    0,    0
107863,19790103,    0,    0
107863,19790104,    0,    0
107863,19790105,    4,    0
107863,19790106,   44,    0
107863,19790107,   10,    0
107863,19790108,   25,    0
107863,19790109,  208,    0
107863,19790110,   22,    0
107863,19790111,    0,    0
107863,19790112,    0,    0
107863,19790113,   35,    0
107863,19790114,-9999,    9
107863,19790115,   13,    0
107863,19790116,    0,    0
107863,19790117,    2,    0
107868,19790118,    0,    0
107863,19790119,   40,    0
107863,19790120,   11,    0
107863,19790121,    0,    0
107863,19790122,    8,    0
107863,19790123,    4,    0
107863,19790124,   43,    0
107863,19790125,    0,    0
107863,19790126,   10,    0
107863,19790127,   26,    0
107863,19790128,   53,    0
107863,19790129,    2,    0
107868,19790130,    0,    0
107863,19790131,  209,    0
107863,19790201,   72,    0
107863,19790202,    0,    0
107863,19790203,    3,    0
107863,19790204,   10,    0
107868,19790205,    0,    0
107863,19790206,    9,    0
107863,19790207,    0,    0
107863,19790208,   40,    0
107863,19790209,   15,    0
107863,19790210,   31,    0
107863,19790211,    0,    0
107863,19790212,    0,    0
107863,19790213,   14,    0
107863,19790214,    0,    0
107863,19790215,    0,    0
107863,19790216,    0,    0
107863,19790217,   50,    0
107868,19790218,    0,    0
107863,19790219,    0,    0
107863,19790220,   70,    0
107863,19790221,   35,    0
107863,19790222,    0,    0
107863,19790223,    0,    0
107863,19790224,    0,    0
107863,19790225,    0,    0
107863,19790226,   11,    0
107863,19790227,   72,    0
107863,19790228,   15,    0
107863,19790301,   15,    0
107863,19790302,   52,    0
107863,19790303,   11,    0
107863,19790304,    0,    0
107863,19790305,   66,    0
107863,19790306,   16,    0
107863,19790307,   17,    0
107863,19790308,  141,    0
107863,19790309,   69,    0
107863,19790310,   37,    0
107863,19790311,    4,    0
107868,19790312,    0,    0
107863,19790313,    7,    0
107863,19790314,    1,    0
107863,19790315,   15,    0
107863,19790316,   11,    0
107863,19790317,    2,    0
107863,19790318,   16,    0
107863,19790319,    0,    0
107863,19790320,   30,    0
107863,19790321,    3,    0
107863,19790322,    5,    0
107863,19790323,    5,    0
107863,19790324,   76,    0
107868,19790325,  102,    0
107868,19790326,   51,    0
107863,19790327,   25,    0
107863,19790328,    2,    0
107863,19790329,    0,    0
107863,19790330,   11,    0
107863,19790331,    0,    0
107863,19790401,   22,    0
107863,19790402,    5,    0
107863,19790403,   13,    0
107863,19790404,-9999,    9
107863,19790405,-9999,    9
107863,19790406,   95,    0
107863,19790407,    3,    0
107863,19790408,   35,    0
107863,19790409,    0,    0
107863,19790410,   16,    0
107863,19790411,   15,    0
107863,19790412,   62,    0
107863,19790413,  112,    0
107863,19790414,   67,    0
107863,19790415,    0,    0
107863,19790416,    0,    0
107863,19790417,    0,    0
107863,19790418,   22,    0
107863,19790419,    4,    0
107863,19790420,-9999,    9
107863,19790421,    0,    0
107863,19790422,   88,    0
107863,19790423,   23,    0
107863,19790424,    7,    0
107863,19790425,    5,    0
107863,19790426,    0,    0
107863,19790427,    5,    0
107863,19790428,    2,    0
107863,19790429,-9999,    9
107863,19790430,-9999,    9
107863,19790501,   16,    0
107863,19790502,    4,    0
107863,19790503,   30,    0
107863,19790504,    2,    0
107863,19790505,   11,    0
107863,19790506,  234,    0
107863,19790507,   71,    0
107863,19790508,   75,    0
107863,19790509,  133,    0
107863,19790510,  112,    0
107863,19790511,    1,    0
107863,19790512,    0,    0
107863,19790513,    0,    0
107863,19790514,   10,    0
107863,19790515,   30,    0
107863,19790516,   62,    0
107863,19790517,    5,    0
107863,19790518,    0,    0
107863,19790519,   10,    0
107863,19790520,   37,    0
107863,19790521,   18,    0
107863,19790522,  115,    0
107863,19790523,   78,    0
107863,19790524,   28,    0
107863,19790525,   15,    0
107863,19790526,   60,    0
107863,19790527,   67,    0
107863,19790528,    4,    0
107868,19790529,    5,    0
107863,19790530,  154,    0
107863,19790531,    5,    0
107863,19790601,    0,    0
107863,19790602,    0,    0
107863,19790603,    4,    0
107863,19790604,    1,    0
107868,19790605,  125,    0
107868,19790606,  204,    0
107863,19790607,   11,    0
107863,19790608,    0,    0
107863,19790609,    0,    0
107863,19790610,   76,    0
107863,19790611,    1,    0
107863,19790612,    6,    0
107863,19790613,   10,    0
107863,19790614,   30,    0
107863,19790615,    0,    0
107863,19790616,    0,    0
107863,19790617,    0,    0
107863,19790618,    0,    0
107863,19790619,    0,    0
107863,19790620,   13,    0
107863,19790621,    4,    0
107863,19790622,   14,    0
107868,19790623,    0,    0
107863,19790624,   30,    0
107863,19790625,    0,    0
107863,19790626,    0,    0
107863,19790627,    4,    0
107863,19790628,    1,    0
107863,19790629,    2,    0
107863,19790630,    0,    0
107863,19790701,    0,    0
107863,19790702,    0,    0
107863,19790703,    0,    0
107863,19790704,    0,    0
107863,19790705,    0,    0
107863,19790706,    3,    0
107863,19790707,    0,    0
107863,19790708,   10,    0
107863,19790709,    0,    0
107863,19790710,    0,    0
107863,19790711,    0,    0
107863,19790712,    7,    0
107863,19790713,    0,    0
107863,19790714,    0,    0
107863,19790715,    1,    0
107863,19790716,    0,    0
107863,19790717,    7,    0
107863,19790718,    0,    0
107863,19790719,    0,    0
107863,19790720,    0,    0
107863,19790721,    0,    0
107863,19790722,   21,    0
107863,19790723,    6,    0
107863,19790724,    6,    0
107863,19790725,    0,    0
107863,19790726,    0,    0
107863,19790727,   19,    0
107863,19790728,   85,    0
107863,19790729,    5,    0
107863,19790730,   19,    0
107863,19790731,   65,    0
107863,19790801,   75,    0
107863,19790802,   14,    0
107863,19790803,    0,    0
107863,19790804,   42,    0
107863,19790805,-9999,    9
107863,19790806,   95,    0
107863,19790807,    2,    0
107863,19790808,  110,    0
107863,19790809,    4,    0
107863,19790810,   59,    0
107863,19790811,    1,    0
107863,19790812,   54,    0
107863,19790813,  203,    0
107863,19790814,   34,    0
107863,19790815,   79,    0
107863,19790816,   20,    0
107863,19790817,   21,    0
107863,19790818,   11,    0
107863,19790819,    0,    0
107863,19790820,    4,    0
107863,19790821,    8,    0
107863,19790822,   24,    0
107863,19790823,   18,    0
107863,19790824,   50,    0
107863,19790825,    1,    0
107863,19790826,   10,    0
107863,19790827,    0,    0
107863,19790828,    0,    0
107863,19790829,    0,    0
107863,19790830,   35,    0
107863,19790831,  110,    0
107863,19790901,   55,    0
107863,19790902,   29,    0
107863,19790903,-9999,    9
107863,19790904,    0,    0
107863,19790905,    2,    0
107863,19790906,-9999,    9
107863,19790907,-9999,    9
107863,19790908,-9999,    9
107863,19790909,    0,    0
107863,19790910,    0,    0
107863,19790911,    5,    0
107863,19790912,    5,    0
107863,19790913,    1,    0
107863,19790914,    0,    0
107863,19790915,    0,    0
107863,19790916,    0,    0
107863,19790917,    6,    0
107863,19790918,   12,    0
107863,19790919,    8,    0
107863,19790920,    5,    0
107863,19790921,    0,    0
107863,19790922,   21,    0
107863,19790923,    2,    0
107863,19790924,   20,    0
107863,19790925,   36,    0
107863,19790926,   30,    0
107863,19790927,    6,    0
107863,19790928,    0,    0
107863,19790929,-9999,    9
107863,19790930,    0,    0
107863,19791001,    0,    0
107863,19791002,   34,    0
107863,19791003,    0,    0
107863,19791004,    0,    0
107863,19791005,   14,    0
107863,19791006,   98,    0
107863,19791007,    4,    0
107863,19791008,   67,    0
107863,19791009,    8,    0
107863,19791010,    0,    0
107863,19791011,   97,    0
107863,19791012,    3,    0
107863,19791013,   22,    0
107863,19791014,   10,    0
107863,19791015,   27,    0
107863,19791016,    8,    0
107863,19791017,   55,    0
107863,19791018,   73,    0
107863,19791019,   30,    0
107863,19791020,    0,    0
107863,19791021,    3,    0
107863,19791022,  164,    0
107863,19791023,    0,    0
107863,19791024,  200,    0
107863,19791025,    1,    0
107863,19791026,    0,    0
107863,19791027,   25,    0
107863,19791028,    4,    0
107863,19791029,   25,    0
107863,19791030,   29,    0
107863,19791031,   48,    0
107863,19791101,    7,    0
107863,19791102,   57,    0
107863,19791103,   22,    0
107863,19791104,   90,    0
107863,19791105,  130,    0
107863,19791106,  102,    0
107863,19791107,   31,    0
107863,19791108,   28,    0
107863,19791109,    2,    0
107863,19791110,   25,    0
107863,19791111,-9999,    9
107863,19791112,-9999,    9
107863,19791113,-9999,    9
107863,19791114,    4,    0
107863,19791115,    9,    0
107863,19791116,   41,    0
107863,19791117,   25,    0
107863,19791118,   21,    0
107863,19791119,   11,    0
107863,19791120,   18,    0
107863,19791121,    0,    0
107863,19791122,  152,    0
107863,19791123,    4,    0
107863,19791124,   41,    0
107863,19791125,   73,    0
107863,19791126,   80,    0
107863,19791127,    0,    0
107863,19791128,    0,    0
107863,19791129,   12,    0
107863,19791130,   18,    0
107863,19791201,   73,    0
107863,19791202,   45,    0
107863,19791203,  111,    0
107863,19791204,  174,    0
107863,19791205,    9,    0
107863,19791206,   17,    0
107863,19791207,   36,    0
107863,19791208,   62,    0
107863,19791209,   53,    0
107863,19791210,   18,    0
107868,19791211,   14,    0
107868,19791212,   47,    0
107863,19791213,    0,    0
107863,19791214,   99,    0
107863,19791215,    4,    0
107863,19791216,   14,    0
107863,19791217,   55,    0
107863,19791218,    0,    0
107863,19791219,    0,    0
107863,19791220,   20,    0
107863,19791221,    0,    0
107863,19791222,   53,    0
107863,19791223,   18,    0
107863,19791224,    2,    0
107863,19791225,   78,    0
107863,19791226,  179,    0
107863,19791227,    5,    0
107863,19791228,   80,    0
107863,19791229,   29,    0
107863,19791230,   14,    0
107863,19791231,   18,    0
107863,19800101,    0,    0
107863,19800102,   42,    0
107863,19800103,   51,    0
107863,19800104,   34,    0
107863,19800105,    1,    0
107863,19800106,    0,    0
107863,19800107,   26,    0
107863,19800108,   71,    0
107863,19800109,   64,    0
107863,19800110,   10,    0
107863,19800111,    4,    0
107863,19800112,    0,    0
107863,19800113,   28,    0
107863,19800114,   10,    0
107863,19800115,    0,    0
107863,19800116,    0,    0
107863,19800117,    0,    0
107863,19800118,   10,    0
107863,19800119,    0,    0
107863,19800120,   73,    0
107863,19800121,   22,    0
107863,19800122,   36,    0
107863,19800123,    0,    0
107863,19800124,    0,    0
107863,19800125,    0,    0
107863,19800126,    0,    0
107868,19800127,    6,    0
107863,19800128,    4,    0
107863,19800129,    5,    0
107863,19800130,  160,    0
107863,19800131,    5,    0
107863,19800201,   90,    0
107863,19800202,   55,    0
107863,19800203,   65,    0
107863,19800204,   91,    0
107863,19800205,   22,    0
107863,19800206,   51,    0
107863,19800207,   24,    0
107863,19800208,    0,    0
107863,19800209,   12,    0
107863,19800210,    6,    0
107863,19800211,   96,    0
107863,19800212,   32,    0
107863,19800213,    6,    0
107863,19800214,   20,    0
107863,19800215,   42,    0
107863,19800216,   15,    0
107863,19800217,   60,    0
107863,19800218,   39,    0
107863,19800219,    4,    0
107863,19800220,    0,    0
107863,19800221,   30,    0
107863,19800222,   24,    0
107863,19800223,    0,    0
107863,19800224,    0,    0
107863,19800225,    0,    0
107868,19800226,    2,    0
107863,19800227,    6,    0
107863,19800228,    0,    0
107863,19800229,    0,    0
107863,19800301,    0,    0
107863,19800302,   14,    0
107863,19800303,    0,    0
107863,19800304,   59,    0
107863,19800305,   68,    0
107863,19800306,   80,    0
107863,19800307,   32,    0
107863,19800308,    4,    0
107863,19800309,   81,    0
107863,19800310,   18,    0
107863,19800311,   75,    0
107863,19800312,    6,    0
107863,19800313,   24,    0
107863,19800314,    0,    0
107863,19800315,    0,    0
107863,19800316,   12,    0
107863,19800317,   56,    0
107863,19800318,   71,    0
107863,19800319,    0,    0
107863,19800320,    0,    0
107868,19800321,    3,    0
107868,19800322,    8,    0
107868,19800323,   22,    0
107868,19800324,   14,    0
107863,19800325,   48,    0
107863,19800326,    0,    0
107863,19800327,   23,    0
107863,19800328,   79,    0
107863,19800329,    0,    0
107863,19800330,   15,    0
107863,19800331,    1,    0
107863,19800401,   31,    0
107863,19800402,   21,    0
107863,19800403,    0,    0
107863,19800404,    0,    0
107863,19800405,    0,    0
107863,19800406,    0,    0
107863,19800407,    0,    0
107863,19800408,    0,    0
107863,19800409,   12,    0
107863,19800410,    2,    0
107863,19800411,    0,    0
107863,19800412,   30,    0
107863,19800413,   10,    0
107863,19800414,  212,    0
107863,19800415,    0,    0
107863,19800416,    0,    0
107863,19800417,    0,    0
107863,19800418,    0,    0
107863,19800419,    0,    0
107868,19800420,   13,    0
107863,19800421,    4,    0
107863,19800422,    0,    0
107863,19800423,    2,    0
107863,19800424,  145,    0
107863,19800425,   33,    0
107863,19800426,    0,    0
107863,19800427,    4,    0
107863,19800428,    0,    0
107863,19800429,    0,    0
107863,19800430,    0,    0
107863,19800501,    0,    0
107863,19800502,    0,    0
107863,19800503,    0,    0
107863,19800504,    0,    0
107863,19800505,    0,    0
107863,19800506,    0,    0
107863,19800507,    1,    0
107863,19800508,    0,    0
107863,19800509,    0,    0
107863,19800510,    0,    0
107863,19800511,    0,    0
107863,19800512,    9,    0
107868,19800513,    0,    0
107863,19800514,    0,    0
107863,19800515,    0,    0
107863,19800516,    0,    0
107863,19800517,    0,    0
107863,19800518,    0,    0
107868,19800519,   62,    0
107868,19800520,    3,    0
107868,19800521,    0,    0
107868,19800522,    0,    0
107868,19800523,    0,    0
107868,19800524,    0,    0
107868,19800525,   26,    0
107863,19800526,   59,    0
107868,19800527,   50,    0
107868,19800528,   18,    0
107868,19800529,    7,    0
107868,19800530,   27,    0
107868,19800531,   72,    0
107863,19800601,   21,    0
107863,19800602,   20,    0
107863,19800603,    5,    0
107868,19800604,    6,    0
107868,19800605,    5,    0
107868,19800606,   62,    0
107863,19800607,    8,    0
107863,19800608,    6,    0
107863,19800609,  120,    0
107863,19800610,   14,    0
107863,19800611,   56,    0
107863,19800612,   15,    0
107863,19800613,    6,    0
107863,19800614,    0,    0
107863,19800615,    5,    0
107863,19800616,   20,    0
107863,19800617,    1,    0
107863,19800618,   14,    0
107863,19800619,   31,    0
107863,19800620,   15,    0
107868,19800621,   24,    0
107868,19800622,   24,    0
107863,19800623,  175,    0
107863,19800624,   14,    0
107863,19800625,    9,    0
107863,19800626,   41,    0
107863,19800627,   43,    0
107863,19800628,    0,    0
107863,19800629,   30,    0
107863,19800630,    4,    0
107863,19800701,    0,    0
