EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, ARDNACRUSHA (GEN.STN.NO.2) (STAID: 1999).
Blended and updated with sources: 107748 107875 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107875,19790101,    0,    0
107875,19790102,    0,    0
107875,19790103,    0,    0
107875,19790104,    0,    0
107875,19790105,    3,    0
107875,19790106,   63,    0
107875,19790107,   16,    0
107875,19790108,   40,    0
107875,19790109,  142,    0
107875,19790110,   30,    0
107875,19790111,    0,    0
107875,19790112,    0,    0
107875,19790113,  114,    0
107875,19790114,    0,    0
107875,19790115,    9,    0
107875,19790116,    0,    0
107875,19790117,    0,    0
107875,19790118,    0,    0
107875,19790119,   49,    0
107875,19790120,   20,    0
107875,19790121,    0,    0
107875,19790122,    5,    0
107875,19790123,    0,    0
107875,19790124,   51,    0
107875,19790125,   10,    0
107875,19790126,    6,    0
107875,19790127,   36,    0
107875,19790128,   73,    0
107875,19790129,    9,    0
107875,19790130,    4,    0
107875,19790131,  237,    0
107875,19790201,   47,    0
107875,19790202,    0,    0
107875,19790203,    0,    0
107875,19790204,   10,    0
107875,19790205,    0,    0
107875,19790206,    5,    0
107875,19790207,    1,    0
107875,19790208,   20,    0
107875,19790209,   11,    0
107875,19790210,    0,    0
107875,19790211,    0,    0
107875,19790212,    0,    0
107875,19790213,   34,    0
107875,19790214,    0,    0
107875,19790215,    0,    0
107875,19790216,    0,    0
107875,19790217,   85,    0
107875,19790218,    2,    0
107875,19790219,    7,    0
107875,19790220,  115,    0
107875,19790221,    5,    0
107875,19790222,   14,    0
107875,19790223,    0,    0
107875,19790224,    0,    0
107875,19790225,    0,    0
107875,19790226,   20,    0
107875,19790227,   78,    0
107875,19790228,   35,    0
107875,19790301,   35,    0
107875,19790302,   75,    0
107875,19790303,    2,    0
107875,19790304,    0,    0
107875,19790305,   62,    0
107875,19790306,   23,    0
107875,19790307,   32,    0
107875,19790308,  195,    0
107875,19790309,  105,    0
107875,19790310,   70,    0
107875,19790311,    7,    0
107875,19790312,    0,    0
107875,19790313,    5,    0
107875,19790314,    0,    0
107875,19790315,    0,    0
107875,19790316,    0,    0
107875,19790317,    2,    0
107875,19790318,   15,    0
107875,19790319,    0,    0
107875,19790320,   10,    0
107875,19790321,   18,    0
107875,19790322,    0,    0
107875,19790323,   10,    0
107875,19790324,   83,    0
107875,19790325,   75,    0
107875,19790326,   45,    0
107875,19790327,   20,    0
107875,19790328,    7,    0
107875,19790329,    0,    0
107875,19790330,   10,    0
107875,19790331,   45,    0
107875,19790401,   40,    0
107875,19790402,    8,    0
107875,19790403,   11,    0
107875,19790404,    4,    0
107875,19790405,   12,    0
107875,19790406,   40,    0
107875,19790407,    9,    0
107875,19790408,   12,    0
107875,19790409,    0,    0
107875,19790410,    0,    0
107875,19790411,   20,    0
107875,19790412,   35,    0
107875,19790413,  128,    0
107875,19790414,   55,    0
107875,19790415,    0,    0
107875,19790416,    0,    0
107875,19790417,    0,    0
107875,19790418,   30,    0
107875,19790419,   13,    0
107875,19790420,   49,    0
