EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, CREESLOUGH (BROCKAGH) (STAID: 2314).
Blended and updated with sources: 107897 107926 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107926,19790101,   12,    0
107926,19790102,    0,    0
107926,19790103,   21,    0
107926,19790104,  114,    0
107926,19790105,  123,    0
107926,19790106,  204,    0
107926,19790107,  168,    0
107926,19790108,  123,    0
107926,19790109,  130,    0
107926,19790110,  126,    0
107926,19790111,  162,    0
107926,19790112,   53,    0
107926,19790113,   49,    0
107926,19790114,    5,    0
107926,19790115,   35,    0
107926,19790116,   67,    0
107926,19790117,    3,    0
107926,19790118,    4,    0
107926,19790119,  143,    0
107926,19790120,    4,    0
107926,19790121,    0,    0
107926,19790122,    1,    0
107926,19790123,   61,    0
107926,19790124,  121,    0
107926,19790125,    6,    0
107926,19790126,  152,    0
107926,19790127,   14,    0
107926,19790128,  130,    0
107926,19790129,   98,    0
107926,19790130,  134,    0
107926,19790131,  242,    0
107926,19790201,    0,    0
107926,19790202,  126,    0
107926,19790203,   94,    0
107926,19790204,    0,    0
107926,19790205,    0,    0
107926,19790206,    0,    0
107926,19790207,    0,    0
107926,19790208,    0,    0
107926,19790209,    0,    0
107926,19790210,    0,    0
107926,19790211,    0,    0
107926,19790212,    0,    0
107926,19790213,    0,    0
107926,19790214,    0,    0
107926,19790215,    0,    0
107926,19790216,    0,    0
107926,19790217,   98,    0
107897,19790218,   12,    0
107897,19790219,   12,    0
107897,19790220,  127,    0
107926,19790221,    5,    0
107926,19790222,    0,    0
107926,19790223,    3,    0
107926,19790224,    0,    0
107926,19790225,    5,    0
107926,19790226,  146,    0
107926,19790227,  116,    0
107926,19790228,  124,    0
107926,19790301,  158,    0
107926,19790302,  287,    0
107926,19790303,  156,    0
107926,19790304,   26,    0
107926,19790305,  175,    0
107926,19790306,  132,    0
107926,19790307,  112,    0
107926,19790308,  248,    0
107926,19790309,   32,    0
107926,19790310,  136,    0
107926,19790311,  146,    0
107926,19790312,   29,    0
107926,19790313,   68,    0
107926,19790314,   24,    0
107926,19790315,    3,    0
107926,19790316,    0,    0
107926,19790317,    0,    0
107926,19790318,    0,    0
107926,19790319,    0,    0
107926,19790320,  146,    0
107926,19790321,   19,    0
107926,19790322,    6,    0
107926,19790323,   10,    0
107926,19790324,  208,    0
107926,19790325,    6,    0
107926,19790326,  162,    0
107926,19790327,   19,    0
107926,19790328,   24,    0
107926,19790329,   11,    0
107926,19790330,   89,    0
107926,19790331,  149,    0
107926,19790401,  126,    0
107926,19790402,    9,    0
107926,19790403,    3,    0
107926,19790404,    6,    0
107926,19790405,    3,    0
107926,19790406,    9,    0
107926,19790407,   46,    0
107926,19790408,   36,    0
107926,19790409,   40,    0
107926,19790410,    8,    0
107926,19790411,   11,    0
107926,19790412,   25,    0
107926,19790413,    0,    0
107926,19790414,  136,    0
107926,19790415,    2,    0
107926,19790416,    0,    0
107926,19790417,    0,    0
107926,19790418,   21,    0
107926,19790419,   38,    0
107926,19790420,   29,    0
107926,19790421,   56,    0
107926,19790422,   98,    0
107926,19790423,   62,    0
107926,19790424,  149,    0
107926,19790425,   16,    0
107926,19790426,   25,    0
107926,19790427,   99,    0
107926,19790428,   64,    0
107926,19790429,  162,    0
107926,19790430,   56,    0
107926,19790501,   56,    0
107926,19790502,   23,    0
107926,19790503,   32,    0
107926,19790504,   45,    0
