EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, GURTEEN (STAID: 3548).
Blended and updated with sources: 100450 107863 107868 116290 117972 903965 903966 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107868,19790101,    0,    0
107868,19790102,    0,    0
107868,19790103,    0,    0
107868,19790104,    0,    0
107868,19790105,   84,    0
107868,19790106,   32,    0
107868,19790107,   14,    0
107863,19790108,   25,    0
107863,19790109,  208,    0
107868,19790110,   49,    0
107868,19790111,    0,    0
107868,19790112,    0,    0
107868,19790113,   35,    0
100450,19790114,    0,    0
107868,19790115,   11,    0
107868,19790116,    2,    0
107868,19790117,    0,    0
107868,19790118,    0,    0
107868,19790119,   39,    0
107868,19790120,    0,    0
107868,19790121,    2,    0
107868,19790122,    4,    0
107868,19790123,   14,    0
107868,19790124,   40,    0
107863,19790125,    0,    0
107868,19790126,    0,    0
107868,19790127,    4,    0
107868,19790128,   64,    0
107868,19790129,    6,    0
107868,19790130,    0,    0
107868,19790131,  216,    0
107863,19790201,   72,    0
107863,19790202,    0,    0
107863,19790203,    3,    0
107863,19790204,   10,    0
107868,19790205,    0,    0
107868,19790206,   15,    0
107868,19790207,    4,    0
107868,19790208,   31,    0
107863,19790209,   15,    0
107863,19790210,   31,    0
107863,19790211,    0,    0
107863,19790212,    0,    0
107868,19790213,    4,    0
107868,19790214,    0,    0
107863,19790215,    0,    0
107868,19790216,    0,    0
107868,19790217,   69,    0
107868,19790218,    0,    0
107868,19790219,    0,    0
107863,19790220,   70,    0
107863,19790221,   35,    0
107868,19790222,   25,    0
107868,19790223,    0,    0
107868,19790224,    0,    0
107868,19790225,    0,    0
107868,19790226,    8,    0
107868,19790227,   66,    0
107868,19790228,   14,    0
107868,19790301,   36,    0
107868,19790302,   36,    0
107868,19790303,    8,    0
107868,19790304,    5,    0
107868,19790305,   92,    0
107868,19790306,   22,    0
107868,19790307,    8,    0
107868,19790308,  101,    0
107868,19790309,   56,    0
107868,19790310,   30,    0
107868,19790311,    3,    0
107868,19790312,    0,    0
107868,19790313,   12,    0
107868,19790314,    3,    0
107868,19790315,    0,    0
107868,19790316,   15,    0
107868,19790317,   13,    0
107868,19790318,    4,    0
107868,19790319,    0,    0
107868,19790320,   18,    0
107868,19790321,   16,    0
107868,19790322,    9,    0
107868,19790323,   54,    0
107868,19790324,   71,    0
107868,19790325,  102,    0
107868,19790326,   51,    0
107868,19790327,   21,    0
107868,19790328,   13,    0
107868,19790329,    6,    0
107868,19790330,   11,    0
107868,19790331,   12,    0
107863,19790401,   22,    0
107863,19790402,    5,    0
107863,19790403,   13,    0
100450,19790404,    4,    0
100450,19790405,    8,    0
107863,19790406,   95,    0
107863,19790407,    3,    0
107863,19790408,   35,    0
107863,19790409,    0,    0
107863,19790410,   16,    0
107863,19790411,   15,    0
107863,19790412,   62,    0
107863,19790413,  112,    0
107863,19790414,   67,    0
107863,19790415,    0,    0
107863,19790416,    0,    0
107863,19790417,    0,    0
107863,19790418,   22,    0
107863,19790419,    4,    0
100450,19790420,    3,    0
107863,19790421,    0,    0
107863,19790422,   88,    0
107863,19790423,   23,    0
107863,19790424,    7,    0
107863,19790425,    5,    0
107863,19790426,    0,    0
107863,19790427,    5,    0
107863,19790428,    2,    0
100450,19790429,    1,    0
100450,19790430,  120,    0
107868,19790501,   22,    0
107868,19790502,   30,    0
107868,19790503,   16,    0
107868,19790504,   42,    0
107868,19790505,   29,    0
107868,19790506,  232,    0
107868,19790507,   57,    0
107868,19790508,   57,    0
107868,19790509,  105,    0
107868,19790510,  131,    0
107868,19790511,    4,    0
