EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BRINDISI (STAID: 174).
Blended and updated with sources: 100557 118385 916320 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100557,19790101,    0,    0
100557,19790102,   34,    0
100557,19790103,    3,    0
100557,19790104,   54,    0
100557,19790105,    8,    0
100557,19790106,    1,    0
100557,19790107,    8,    0
100557,19790108,    0,    0
100557,19790109,    0,    0
100557,19790110,   24,    0
100557,19790111,    1,    0
100557,19790112,   46,    0
100557,19790113,    1,    0
100557,19790114,   96,    0
100557,19790115,    1,    0
100557,19790116,    6,    0
100557,19790117,   26,    0
100557,19790118,   30,    0
100557,19790119,   16,    0
100557,19790120,    0,    0
100557,19790121,    0,    0
100557,19790122,    0,    0
100557,19790123,    8,    0
100557,19790124,   18,    0
100557,19790125,  140,    0
100557,19790126,  102,    0
100557,19790127,    2,    0
100557,19790128,    0,    0
100557,19790129,    1,    0
100557,19790130,    0,    0
100557,19790131,   36,    0
100557,19790201,    0,    0
100557,19790202,    0,    0
100557,19790203,    2,    0
100557,19790204,   90,    0
100557,19790205,   20,    0
100557,19790206,   28,    0
100557,19790207,    0,    0
100557,19790208,  130,    0
100557,19790209,    0,    0
100557,19790210,    0,    0
100557,19790211,    0,    0
100557,19790212,    0,    0
100557,19790213,    0,    0
100557,19790214,    0,    0
100557,19790215,    0,    0
100557,19790216,   28,    0
100557,19790217,   66,    0
100557,19790218,    4,    0
100557,19790219,  158,    0
100557,19790220,  134,    0
100557,19790221,    0,    0
100557,19790222,    0,    0
100557,19790223,    1,    0
100557,19790224,    2,    0
100557,19790225,    0,    0
100557,19790226,    0,    0
100557,19790227,   38,    0
100557,19790228,   12,    0
100557,19790301,    0,    0
100557,19790302,    0,    0
100557,19790303,   33,    0
100557,19790304,    4,    0
100557,19790305,    4,    0
100557,19790306,    0,    0
100557,19790307,    0,    0
100557,19790308,    0,    0
100557,19790309,    0,    0
100557,19790310,    2,    0
100557,19790311,   64,    0
100557,19790312,    0,    0
100557,19790313,    0,    0
100557,19790314,    4,    0
100557,19790315,    0,    0
100557,19790316,  138,    0
100557,19790317,    0,    0
100557,19790318,    1,    0
100557,19790319,    1,    0
100557,19790320,    2,    0
100557,19790321,    2,    0
100557,19790322,    0,    0
100557,19790323,    0,    0
100557,19790324,    0,    0
100557,19790325,    0,    0
100557,19790326,    0,    0
100557,19790327,    6,    0
100557,19790328,   68,    0
100557,19790329,    0,    0
100557,19790330,    0,    0
100557,19790331,    0,    0
100557,19790401,   49,    0
100557,19790402,   34,    0
100557,19790403,    0,    0
100557,19790404,    0,    0
100557,19790405,    0,    0
100557,19790406,    1,    0
100557,19790407,   10,    0
100557,19790408,    4,    0
100557,19790409,    0,    0
100557,19790410,    0,    0
100557,19790411,    0,    0
100557,19790412,    0,    0
100557,19790413,    0,    0
100557,19790414,    0,    0
100557,19790415,    0,    0
100557,19790416,    0,    0
100557,19790417,  278,    0
100557,19790418,   42,    0
100557,19790419,    0,    0
100557,19790420,    0,    0
100557,19790421,    0,    0
100557,19790422,    1,    0
100557,19790423,    0,    0
100557,19790424,    0,    0
100557,19790425,    1,    0
100557,19790426,  144,    0
100557,19790427,    0,    0
100557,19790428,    0,    0
100557,19790429,    2,    0
100557,19790430,    0,    0
100557,19790501,    0,    0
100557,19790502,    0,    0
100557,19790503,    0,    0
100557,19790504,    0,    0
100557,19790505,    0,    0
100557,19790506,    0,    0
100557,19790507,   24,    0
100557,19790508,    0,    0
100557,19790509,    0,    0
100557,19790510,    0,    0
100557,19790511,   18,    0
100557,19790512,    0,    0
100557,19790513,    0,    0
100557,19790514,    0,    0
100557,19790515,    0,    0
100557,19790516,    0,    0
100557,19790517,    0,    0
100557,19790518,    0,    0
100557,19790519,    0,    0
100557,19790520,    0,    0
100557,19790521,    0,    0
100557,19790522,    0,    0
100557,19790523,    0,    0
100557,19790524,    0,    0
100557,19790525,    0,    0
100557,19790526,    0,    0
100557,19790527,    0,    0
100557,19790528,    0,    0
100557,19790529,    0,    0
100557,19790530,    0,    0
100557,19790531,    0,    0
100557,19790601,    0,    0
100557,19790602,    0,    0
100557,19790603,    0,    0
100557,19790604,    0,    0
100557,19790605,    0,    0
100557,19790606,    0,    0
100557,19790607,    0,    0
100557,19790608,    1,    0
100557,19790609,    1,    0
100557,19790610,    1,    0
100557,19790611,    0,    0
100557,19790612,    0,    0
100557,19790613,    0,    0
100557,19790614,    0,    0
100557,19790615,    0,    0
100557,19790616,    0,    0
100557,19790617,    8,    0
100557,19790618,   10,    0
100557,19790619,    0,    0
100557,19790620,   12,    0
100557,19790621,  142,    0
