EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CAPOTERRA (STAID: 16478).
Blended and updated with sources: 100560 191120 916560 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
191120,19790101,    0,    0
191120,19790102,    0,    0
191120,19790103,    0,    0
191120,19790104,    0,    0
191120,19790105,   30,    0
191120,19790106,    0,    0
191120,19790107,    0,    0
191120,19790108,    0,    0
191120,19790109,    0,    0
191120,19790110,    0,    0
191120,19790111,    0,    0
191120,19790112,  120,    0
191120,19790113,    0,    0
191120,19790114,    0,    0
191120,19790115,    0,    0
191120,19790116,    0,    0
191120,19790117,    0,    0
191120,19790118,    0,    0
191120,19790119,   34,    0
191120,19790120,    7,    0
191120,19790121,   20,    0
191120,19790122,    3,    0
191120,19790123,  151,    0
191120,19790124,  110,    0
191120,19790125,    0,    0
191120,19790126,    0,    0
191120,19790127,    0,    0
191120,19790128,    0,    0
191120,19790129,    0,    0
191120,19790130,   10,    0
191120,19790131,   50,    0
191120,19790201,    0,    0
191120,19790202,    0,    0
191120,19790203,   21,    0
191120,19790204,    1,    0
191120,19790205,    0,    0
191120,19790206,   21,    0
191120,19790207,    0,    0
191120,19790208,    0,    0
191120,19790209,    0,    0
191120,19790210,    0,    0
191120,19790211,    0,    0
191120,19790212,    0,    0
191120,19790213,  170,    0
191120,19790214,   62,    0
191120,19790215,  111,    0
191120,19790216,    2,    0
191120,19790217,    1,    0
191120,19790218,    0,    0
191120,19790219,    2,    0
191120,19790220,    0,    0
191120,19790221,    0,    0
191120,19790222,    0,    0
191120,19790223,  200,    0
191120,19790224,   54,    0
191120,19790225,  218,    0
191120,19790226,    0,    0
191120,19790227,    0,    0
191120,19790228,    0,    0
191120,19790301,    0,    0
191120,19790302,  121,    0
191120,19790303,   50,    0
191120,19790304,    0,    0
191120,19790305,    0,    0
191120,19790306,    0,    0
191120,19790307,    0,    0
191120,19790308,    0,    0
191120,19790309,    0,    0
191120,19790310,    0,    0
191120,19790311,    0,    0
191120,19790312,    0,    0
191120,19790313,    0,    0
191120,19790314,    0,    0
191120,19790315,    0,    0
191120,19790316,    0,    0
191120,19790317,    0,    0
191120,19790318,    0,    0
191120,19790319,    0,    0
191120,19790320,    0,    0
191120,19790321,    0,    0
191120,19790322,   51,    0
191120,19790323,    0,    0
191120,19790324,    0,    0
191120,19790325,    0,    0
191120,19790326,    0,    0
191120,19790327,    0,    0
191120,19790328,   53,    0
191120,19790329,   15,    0
191120,19790330,   23,    0
191120,19790331,    0,    0
191120,19790401,    0,    0
191120,19790402,    0,    0
191120,19790403,    0,    0
191120,19790404,    0,    0
191120,19790405,   23,    0
191120,19790406,   67,    0
191120,19790407,    0,    0
191120,19790408,    0,    0
191120,19790409,    0,    0
191120,19790410,    0,    0
191120,19790411,    0,    0
191120,19790412,   58,    0
191120,19790413,    0,    0
191120,19790414,    0,    0
191120,19790415,    0,    0
191120,19790416,  200,    0
191120,19790417,  110,    0
191120,19790418,  221,    0
191120,19790419,    0,    0
191120,19790420,    0,    0
191120,19790421,   10,    0
191120,19790422,    0,    0
191120,19790423,   10,    0
191120,19790424,    0,    0
191120,19790425,    0,    0
191120,19790426,    0,    0
191120,19790427,    0,    0
191120,19790428,   34,    0
191120,19790429,    3,    0
191120,19790430,    0,    0
191120,19790501,    0,    0
191120,19790502,    0,    0
191120,19790503,    0,    0
191120,19790504,    0,    0
191120,19790505,    0,    0
191120,19790506,   50,    0
191120,19790507,   72,    0
191120,19790508,    0,    0
191120,19790509,    0,    0
191120,19790510,    0,    0
191120,19790511,    0,    0
191120,19790512,    0,    0
191120,19790513,    0,    0
191120,19790514,    0,    0
191120,19790515,    0,    0
191120,19790516,    0,    0
191120,19790517,    0,    0
191120,19790518,    0,    0
191120,19790519,    0,    0
191120,19790520,    0,    0
191120,19790521,    0,    0
191120,19790522,    0,    0
