EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CAGLIARI (STAID: 16613).
Blended and updated with sources: 100560 191255 916560 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
191255,19790101,    0,    0
191255,19790102,    0,    0
191255,19790103,    0,    0
191255,19790104,    0,    0
191255,19790105,    6,    0
191255,19790106,    0,    0
191255,19790107,    0,    0
191255,19790108,    0,    0
191255,19790109,    0,    0
191255,19790110,   10,    0
191255,19790111,   10,    0
191255,19790112,   84,    0
191255,19790113,    6,    0
191255,19790114,    0,    0
191255,19790115,    0,    0
191255,19790116,    0,    0
191255,19790117,    0,    0
191255,19790118,    0,    0
191255,19790119,   28,    0
191255,19790120,    8,    0
191255,19790121,   28,    0
191255,19790122,    0,    0
191255,19790123,  110,    0
191255,19790124,    0,    0
191255,19790125,    4,    0
191255,19790126,    0,    0
191255,19790127,    0,    0
191255,19790128,    0,    0
191255,19790129,    8,    0
191255,19790130,   16,    0
191255,19790131,   74,    0
191255,19790201,    0,    0
191255,19790202,    0,    0
191255,19790203,   12,    0
191255,19790204,    0,    0
191255,19790205,    4,    0
191255,19790206,   28,    0
191255,19790207,    0,    0
191255,19790208,    6,    0
191255,19790209,    0,    0
191255,19790210,    0,    0
191255,19790211,    0,    0
191255,19790212,    0,    0
191255,19790213,   80,    0
191255,19790214,  116,    0
191255,19790215,   90,    0
191255,19790216,    4,    0
191255,19790217,   10,    0
191255,19790218,    0,    0
191255,19790219,   10,    0
191255,19790220,    0,    0
191255,19790221,    0,    0
191255,19790222,  142,    0
191255,19790223,   62,    0
191255,19790224,   18,    0
191255,19790225,  148,    0
191255,19790226,    0,    0
191255,19790227,    0,    0
191255,19790228,    0,    0
191255,19790301,    0,    0
191255,19790302,  148,    0
191255,19790303,   50,    0
191255,19790304,   72,    0
191255,19790305,   88,    0
191255,19790306,    0,    0
191255,19790307,    0,    0
191255,19790308,    0,    0
191255,19790309,    0,    0
191255,19790310,    0,    0
191255,19790311,    0,    0
191255,19790312,    0,    0
191255,19790313,    0,    0
191255,19790314,    0,    0
191255,19790315,    0,    0
191255,19790316,   20,    0
191255,19790317,   22,    0
191255,19790318,    0,    0
191255,19790319,    0,    0
191255,19790320,   18,    0
191255,19790321,    0,    0
191255,19790322,   24,    0
191255,19790323,    2,    0
191255,19790324,    6,    0
191255,19790325,    0,    0
191255,19790326,    0,    0
191255,19790327,    0,    0
191255,19790328,    2,    0
191255,19790329,   16,    0
191255,19790330,    6,    0
191255,19790331,    2,    0
191255,19790401,    4,    0
191255,19790402,    0,    0
191255,19790403,    0,    0
191255,19790404,    2,    0
191255,19790405,    2,    0
191255,19790406,   62,    0
191255,19790407,    2,    0
191255,19790408,    6,    0
191255,19790409,    0,    0
191255,19790410,    0,    0
191255,19790411,    0,    0
191255,19790412,   68,    0
191255,19790413,    0,    0
191255,19790414,    0,    0
191255,19790415,    2,    0
191255,19790416,  178,    0
191255,19790417,   28,    0
191255,19790418,  256,    0
191255,19790419,    2,    0
191255,19790420,  192,    0
191255,19790421,   20,    0
191255,19790422,    0,    0
191255,19790423,    4,    0
191255,19790424,    0,    0
191255,19790425,    2,    0
191255,19790426,    0,    0
191255,19790427,    4,    0
191255,19790428,   26,    0
191255,19790429,   14,    0
191255,19790430,    0,    0
191255,19790501,   12,    0
191255,19790502,    0,    0
191255,19790503,    0,    0
191255,19790504,    0,    0
191255,19790505,    0,    0
191255,19790506,   24,    0
191255,19790507,   98,    0
191255,19790508,    0,    0
191255,19790509,    0,    0
191255,19790510,    0,    0
191255,19790511,   16,    0
191255,19790512,    0,    0
191255,19790513,    0,    0
191255,19790514,    0,    0
191255,19790515,    0,    0
191255,19790516,    0,    0
191255,19790517,    0,    0
191255,19790518,    0,    0
191255,19790519,    0,    0
191255,19790520,    0,    0
191255,19790521,    0,    0
191255,19790522,    0,    0
191255,19790523,    0,    0
191255,19790524,    0,    0
191255,19790525,    0,    0
191255,19790526,    0,    0
191255,19790527,    0,    0
191255,19790528,    0,    0
191255,19790529,    0,    0
