EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LUXEMBOURG, DAHL (STAID: 22468).
Blended and updated with sources: 100951 221058 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100951,19790101,    0,    0
100951,19790102,   52,    0
100951,19790103,    0,    0
100951,19790104,    0,    0
100951,19790105,    0,    0
100951,19790106,    0,    0
100951,19790107,    0,    0
100951,19790108,    0,    0
100951,19790109,    0,    0
100951,19790110,  158,    0
100951,19790111,   68,    0
100951,19790112,   72,    0
100951,19790113,   16,    0
100951,19790114,    0,    0
100951,19790115,    0,    0
100951,19790116,    0,    0
100951,19790117,    0,    0
100951,19790118,    0,    0
100951,19790119,    0,    0
100951,19790120,    0,    0
100951,19790121,    0,    0
100951,19790122,    4,    0
100951,19790123,   56,    0
100951,19790124,   23,    0
100951,19790125,    0,    0
100951,19790126,    0,    0
100951,19790127,   12,    0
100951,19790128,    0,    0
100951,19790129,   73,    0
100951,19790130,   34,    0
100951,19790131,    3,    0
100951,19790201,  106,    0
100951,19790202,   27,    0
100951,19790203,    0,    0
100951,19790204,    0,    0
100951,19790205,    0,    0
100951,19790206,    0,    0
100951,19790207,  197,    0
100951,19790208,    0,    0
100951,19790209,    0,    0
100951,19790210,   12,    0
100951,19790211,   76,    0
100951,19790212,   42,    0
100951,19790213,   51,    0
100951,19790214,  158,    0
100951,19790215,    0,    0
100951,19790216,    0,    0
100951,19790217,   29,    0
100951,19790218,    0,    0
100951,19790219,    0,    0
100951,19790220,    0,    0
100951,19790221,    0,    0
100951,19790222,   18,    0
100951,19790223,    9,    0
100951,19790224,    0,    0
100951,19790225,    0,    0
100951,19790226,    0,    0
100951,19790227,    0,    0
100951,19790228,    3,    0
100951,19790301,    8,    0
100951,19790302,   31,    0
100951,19790303,    0,    0
100951,19790304,   47,    0
100951,19790305,    0,    0
100951,19790306,   36,    0
100951,19790307,   22,    0
100951,19790308,    0,    0
100951,19790309,  238,    0
100951,19790310,   41,    0
100951,19790311,   59,    0
100951,19790312,   16,    0
100951,19790313,   89,    0
100951,19790314,  115,    0
100951,19790315,   52,    0
100951,19790316,   14,    0
100951,19790317,   15,    0
100951,19790318,  129,    0
100951,19790319,    0,    0
100951,19790320,   16,    0
100951,19790321,   33,    0
100951,19790322,  118,    0
100951,19790323,    0,    0
100951,19790324,   26,    0
100951,19790325,  142,    0
100951,19790326,   16,    0
100951,19790327,  274,    0
100951,19790328,   34,    0
100951,19790329,    7,    0
100951,19790330,    0,    0
100951,19790331,    9,    0
