EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUNGARY, DEBRECEN AIRPORT (STAID: 852).
Blended and updated with sources: 152440 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
152440,19790101,    0,    0
152440,19790102,   11,    0
152440,19790103,    0,    0
152440,19790104,    1,    0
152440,19790105,    0,    0
152440,19790106,    0,    0
152440,19790107,    0,    0
152440,19790108,    0,    0
152440,19790109,    0,    0
152440,19790110,   44,    0
152440,19790111,   41,    0
152440,19790112,    0,    0
152440,19790113,    6,    0
152440,19790114,   64,    0
152440,19790115,   40,    0
152440,19790116,    0,    0
152440,19790117,    0,    0
152440,19790118,    1,    0
152440,19790119,    0,    0
152440,19790120,    0,    0
152440,19790121,    0,    0
152440,19790122,   12,    0
152440,19790123,    5,    0
152440,19790124,  145,    0
152440,19790125,  127,    0
152440,19790126,   40,    0
152440,19790127,    8,    0
152440,19790128,   73,    0
152440,19790129,  184,    0
152440,19790130,   36,    0
152440,19790131,    0,    0
152440,19790201,    0,    0
152440,19790202,   14,    0
152440,19790203,    3,    0
152440,19790204,    1,    0
152440,19790205,   22,    0
152440,19790206,    0,    0
152440,19790207,    0,    0
152440,19790208,    8,    0
152440,19790209,    0,    0
152440,19790210,   93,    0
152440,19790211,    4,    0
152440,19790212,  103,    0
152440,19790213,    8,    0
152440,19790214,    0,    0
152440,19790215,   62,    0
152440,19790216,   18,    0
152440,19790217,   12,    0
152440,19790218,    0,    0
152440,19790219,    0,    0
152440,19790220,    0,    0
152440,19790221,    0,    0
152440,19790222,    0,    0
152440,19790223,    0,    0
152440,19790224,    0,    0
152440,19790225,    0,    0
152440,19790226,    0,    0
152440,19790227,    0,    0
152440,19790228,    0,    0
152440,19790301,    0,    0
152440,19790302,    0,    0
152440,19790303,    0,    0
152440,19790304,    0,    0
152440,19790305,    0,    0
152440,19790306,   11,    0
152440,19790307,    0,    0
152440,19790308,   63,    0
152440,19790309,   34,    0
152440,19790310,   13,    0
152440,19790311,    0,    0
152440,19790312,   26,    0
152440,19790313,   13,    0
152440,19790314,    0,    0
152440,19790315,    0,    0
152440,19790316,   23,    0
152440,19790317,    0,    0
152440,19790318,    8,    0
152440,19790319,   16,    0
152440,19790320,    0,    0
152440,19790321,    0,    0
152440,19790322,   35,    0
152440,19790323,    3,    0
152440,19790324,    0,    0
152440,19790325,    0,    0
152440,19790326,  102,    0
152440,19790327,  454,    0
152440,19790328,    0,    0
152440,19790329,   55,    0
152440,19790330,   38,    0
152440,19790331,    3,    0
152440,19790401,    0,    0
152440,19790402,    0,    0
152440,19790403,    0,    0
152440,19790404,   26,    0
152440,19790405,    0,    0
152440,19790406,   95,    0
152440,19790407,    0,    0
152440,19790408,    0,    0
152440,19790409,    0,    0
152440,19790410,    0,    0
152440,19790411,    0,    0
152440,19790412,    0,    0
152440,19790413,    0,    0
152440,19790414,    0,    0
152440,19790415,   15,    0
152440,19790416,    0,    0
