EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, HOORN (STAID: 149).
Blended and updated with sources: 100501 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100501,19790101,    7,    0
100501,19790102,   59,    0
100501,19790103,   15,    0
100501,19790104,    0,    0
100501,19790105,    0,    0
100501,19790106,    0,    0
100501,19790107,   51,    0
100501,19790108,   15,    0
100501,19790109,    0,    0
100501,19790110,   62,    0
100501,19790111,   23,    0
100501,19790112,   31,    0
100501,19790113,   11,    0
100501,19790114,    0,    0
100501,19790115,    0,    0
100501,19790116,    0,    0
100501,19790117,    0,    0
100501,19790118,    0,    0
100501,19790119,    0,    0
100501,19790120,   18,    0
100501,19790121,    0,    0
100501,19790122,   33,    0
100501,19790123,   48,    0
100501,19790124,   35,    0
100501,19790125,   36,    0
100501,19790126,   27,    0
100501,19790127,    0,    0
100501,19790128,   17,    0
100501,19790129,   11,    0
100501,19790130,    2,    0
100501,19790131,    7,    0
100501,19790201,  119,    0
100501,19790202,    0,    0
100501,19790203,    7,    0
100501,19790204,    0,    0
100501,19790205,    0,    0
100501,19790206,    0,    0
100501,19790207,   34,    0
100501,19790208,    0,    0
100501,19790209,    0,    0
100501,19790210,    0,    0
100501,19790211,   45,    0
100501,19790212,   72,    0
100501,19790213,  114,    0
100501,19790214,   45,    0
100501,19790215,    5,    0
100501,19790216,    0,    0
100501,19790217,    1,    0
100501,19790218,    0,    0
100501,19790219,    0,    0
100501,19790220,    0,    0
100501,19790221,    0,    0
100501,19790222,   34,    0
100501,19790223,   25,    0
100501,19790224,    0,    0
100501,19790225,    0,    0
100501,19790226,    0,    0
100501,19790227,    0,    0
100501,19790228,    6,    0
100501,19790301,   45,    0
100501,19790302,   42,    0
100501,19790303,  152,    0
100501,19790304,    3,    0
100501,19790305,    0,    0
100501,19790306,    8,    0
100501,19790307,    9,    0
100501,19790308,   67,    0
100501,19790309,  107,    0
100501,19790310,   31,    0
100501,19790311,   27,    0
100501,19790312,    0,    0
100501,19790313,    3,    0
100501,19790314,    2,    0
100501,19790315,  141,    0
100501,19790316,   57,    0
100501,19790317,    1,    0
100501,19790318,    0,    0
100501,19790319,    0,    0
100501,19790320,    8,    0
100501,19790321,   62,    0
100501,19790322,   34,    0
100501,19790323,    0,    0
100501,19790324,   40,    0
100501,19790325,   39,    0
100501,19790326,   84,    0
100501,19790327,   83,    0
100501,19790328,    4,    0
100501,19790329,   18,    0
100501,19790330,    0,    0
100501,19790331,    4,    0
100501,19790401,   14,    0
100501,19790402,   67,    0
100501,19790403,   26,    0
100501,19790404,    1,    0
100501,19790405,   65,    0
100501,19790406,    5,    0
100501,19790407,    0,    0
100501,19790408,    0,    0
100501,19790409,    0,    0
100501,19790410,    0,    0
100501,19790411,    8,    0
100501,19790412,   33,    0
100501,19790413,    0,    0
100501,19790414,    0,    0
100501,19790415,   32,    0
100501,19790416,    1,    0
100501,19790417,    0,    0
100501,19790418,    0,    0
100501,19790419,   25,    0
100501,19790420,   62,    0
100501,19790421,   15,    0
100501,19790422,   23,    0
100501,19790423,    4,    0
100501,19790424,   14,    0
100501,19790425,  109,    0
100501,19790426,    7,    0
100501,19790427,    7,    0
100501,19790428,   56,    0
100501,19790429,  135,    0
100501,19790430,   27,    0
100501,19790501,  204,    0
100501,19790502,  102,    0
100501,19790503,   27,    0
100501,19790504,    1,    0
100501,19790505,    9,    0
100501,19790506,    0,    0
100501,19790507,    2,    0
100501,19790508,    0,    0
100501,19790509,    0,    0
100501,19790510,   47,    0
100501,19790511,    8,    0
100501,19790512,    0,    0
100501,19790513,    0,    0
100501,19790514,    0,    0
100501,19790515,    0,    0
100501,19790516,    0,    0
100501,19790517,   15,    0
100501,19790518,    0,    0
100501,19790519,    0,    0
100501,19790520,    7,    0
100501,19790521,   19,    0
100501,19790522,    7,    0
100501,19790523,   35,    0
100501,19790524,   34,    0
100501,19790525,    7,    0
100501,19790526,   90,    0
100501,19790527,   19,    0
100501,19790528,  104,    0
100501,19790529,   35,    0
100501,19790530,  120,    0
100501,19790531,  273,    0
100501,19790601,    1,    0
100501,19790602,    0,    0
100501,19790603,  224,    0
100501,19790604,   62,    0
100501,19790605,    0,    0
100501,19790606,   23,    0
100501,19790607,    4,    0
100501,19790608,    4,    0
100501,19790609,    0,    0
100501,19790610,   46,    0
100501,19790611,   14,    0
100501,19790612,    3,    0
100501,19790613,   70,    0
100501,19790614,  117,    0
100501,19790615,   14,    0
100501,19790616,    0,    0
100501,19790617,    0,    0
100501,19790618,    0,    0
100501,19790619,    0,    0
100501,19790620,    0,    0
100501,19790621,    2,    0
100501,19790622,    0,    0
100501,19790623,    2,    0
100501,19790624,   88,    0
100501,19790625,   12,    0
100501,19790626,    0,    0
100501,19790627,    0,    0
100501,19790628,   21,    0
100501,19790629,    0,    0
100501,19790630,   25,    0
100501,19790701,    4,    0
100501,19790702,    0,    0
100501,19790703,    0,    0
100501,19790704,    0,    0
100501,19790705,    0,    0
100501,19790706,    0,    0
100501,19790707,   15,    0
100501,19790708,   28,    0
100501,19790709,    0,    0
100501,19790710,    0,    0
100501,19790711,    0,    0
100501,19790712,    0,    0
100501,19790713,    0,    0
100501,19790714,    0,    0
100501,19790715,    0,    0
100501,19790716,   25,    0
100501,19790717,    0,    0
100501,19790718,   56,    0
100501,19790719,    0,    0
100501,19790720,    3,    0
100501,19790721,   16,    0
100501,19790722,    3,    0
100501,19790723,    0,    0
100501,19790724,    0,    0
100501,19790725,    0,    0
100501,19790726,    0,    0
100501,19790727,    0,    0
100501,19790728,   19,    0
100501,19790729,   18,    0
100501,19790730,    0,    0
100501,19790731,    3,    0
100501,19790801,   32,    0
100501,19790802,   70,    0
100501,19790803,    2,    0
100501,19790804,    0,    0
100501,19790805,    0,    0
100501,19790806,    0,    0
100501,19790807,    4,    0
100501,19790808,    8,    0
100501,19790809,  107,    0
100501,19790810,    0,    0
100501,19790811,    0,    0
100501,19790812,    1,    0
100501,19790813,    0,    0
100501,19790814,    0,    0
100501,19790815,    0,    0
100501,19790816,    0,    0
100501,19790817,   18,    0
100501,19790818,    0,    0
100501,19790819,    0,    0
100501,19790820,    6,    0
100501,19790821,   15,    0
100501,19790822,   56,    0
100501,19790823,  112,    0
100501,19790824,   57,    0
100501,19790825,   47,    0
100501,19790826,   15,    0
100501,19790827,   17,    0
100501,19790828,    2,    0
100501,19790829,    0,    0
100501,19790830,    0,    0
100501,19790831,    0,    0
100501,19790901,    0,    0
100501,19790902,   28,    0
100501,19790903,  124,    0
100501,19790904,    0,    0
100501,19790905,    0,    0
100501,19790906,    0,    0
100501,19790907,    0,    0
100501,19790908,    0,    0
100501,19790909,    0,    0
100501,19790910,    0,    0
100501,19790911,    0,    0
100501,19790912,    0,    0
100501,19790913,    0,    0
100501,19790914,   26,    0
100501,19790915,    0,    0
100501,19790916,    0,    0
100501,19790917,    4,    0
100501,19790918,  182,    0
100501,19790919,  144,    0
100501,19790920,   20,    0
100501,19790921,   65,    0
100501,19790922,    0,    0
100501,19790923,   13,    0
100501,19790924,    0,    0
100501,19790925,    2,    0
100501,19790926,   27,    0
100501,19790927,    3,    0
100501,19790928,    0,    0
100501,19790929,    0,    0
100501,19790930,    0,    0
100501,19791001,    0,    0
100501,19791002,    0,    0
100501,19791003,    1,    0
100501,19791004,   18,    0
100501,19791005,   24,    0
100501,19791006,    0,    0
100501,19791007,    1,    0
100501,19791008,    0,    0
100501,19791009,    4,    0
100501,19791010,    0,    0
100501,19791011,   54,    0
100501,19791012,   83,    0
100501,19791013,   26,    0
100501,19791014,   15,    0
100501,19791015,  124,    0
100501,19791016,    9,    0
100501,19791017,   21,    0
100501,19791018,    1,    0
100501,19791019,   10,    0
100501,19791020,    0,    0
100501,19791021,    0,    0
100501,19791022,    0,    0
100501,19791023,    0,    0
100501,19791024,    0,    0
100501,19791025,    0,    0
100501,19791026,    0,    0
100501,19791027,    0,    0
100501,19791028,    0,    0
100501,19791029,    0,    0
100501,19791030,   28,    0
100501,19791031,   47,    0
100501,19791101,    6,    0
100501,19791102,    2,    0
100501,19791103,   24,    0
100501,19791104,  238,    0
100501,19791105,  123,    0
100501,19791106,   35,    0
100501,19791107,   66,    0
100501,19791108,   63,    0
100501,19791109,   52,    0
100501,19791110,   38,    0
100501,19791111,   56,    0
100501,19791112,   65,    0
100501,19791113,    3,    0
100501,19791114,   18,    0
100501,19791115,    1,    0
100501,19791116,    1,    0
100501,19791117,   23,    0
100501,19791118,    7,    0
100501,19791119,    1,    0
100501,19791120,    0,    0
100501,19791121,    0,    0
100501,19791122,    1,    0
100501,19791123,   25,    0
100501,19791124,    0,    0
100501,19791125,    0,    0
100501,19791126,   21,    0
100501,19791127,    1,    0
100501,19791128,    0,    0
100501,19791129,    0,    0
100501,19791130,   23,    0
100501,19791201,    0,    0
100501,19791202,    1,    0
100501,19791203,    1,    0
100501,19791204,    5,    0
100501,19791205,   28,    0
100501,19791206,    1,    0
100501,19791207,  111,    0
100501,19791208,    7,    0
100501,19791209,  178,    0
100501,19791210,   62,    0
100501,19791211,   13,    0
100501,19791212,   66,    0
100501,19791213,   85,    0
100501,19791214,   83,    0
100501,19791215,  145,    0
100501,19791216,   31,    0
100501,19791217,   22,    0
100501,19791218,   23,    0
100501,19791219,   14,    0
100501,19791220,   14,    0
100501,19791221,    0,    0
100501,19791222,    7,    0
100501,19791223,   48,    0
100501,19791224,   13,    0
100501,19791225,    2,    0
100501,19791226,    0,    0
100501,19791227,  111,    0
100501,19791228,   74,    0
100501,19791229,  132,    0
100501,19791230,   29,    0
