EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, HEERDE (STAID: 150).
Blended and updated with sources: 100502 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100502,19790101,    0,    0
100502,19790102,   62,    0
100502,19790103,   11,    0
100502,19790104,    0,    0
100502,19790105,    0,    0
100502,19790106,    0,    0
100502,19790107,   57,    0
100502,19790108,   44,    0
100502,19790109,   21,    0
100502,19790110,   82,    0
100502,19790111,   11,    0
100502,19790112,   51,    0
100502,19790113,    2,    0
100502,19790114,    0,    0
100502,19790115,    0,    0
100502,19790116,    0,    0
100502,19790117,    1,    0
100502,19790118,    1,    0
100502,19790119,    0,    0
100502,19790120,    0,    0
100502,19790121,    0,    0
100502,19790122,   24,    0
100502,19790123,   37,    0
100502,19790124,    8,    0
100502,19790125,   53,    0
100502,19790126,   13,    0
100502,19790127,    0,    0
100502,19790128,    4,    0
100502,19790129,   24,    0
100502,19790130,    3,    0
100502,19790131,    3,    0
100502,19790201,  141,    0
100502,19790202,    2,    0
100502,19790203,    4,    0
100502,19790204,    0,    0
100502,19790205,    0,    0
100502,19790206,    0,    0
100502,19790207,   37,    0
100502,19790208,    0,    0
100502,19790209,    0,    0
100502,19790210,    0,    0
100502,19790211,   66,    0
100502,19790212,   68,    0
100502,19790213,  129,    0
100502,19790214,   87,    0
100502,19790215,   17,    0
100502,19790216,    0,    0
100502,19790217,   10,    0
100502,19790218,    0,    0
100502,19790219,    0,    0
100502,19790220,    0,    0
100502,19790221,    0,    0
100502,19790222,   24,    0
100502,19790223,    3,    0
100502,19790224,    0,    0
100502,19790225,    0,    0
100502,19790226,    0,    0
100502,19790227,    0,    0
100502,19790228,    0,    0
100502,19790301,   20,    0
100502,19790302,   18,    0
100502,19790303,   85,    0
100502,19790304,   15,    0
100502,19790305,    0,    0
100502,19790306,    9,    0
100502,19790307,   34,    0
100502,19790308,   25,    0
100502,19790309,   62,    0
100502,19790310,   41,    0
100502,19790311,   37,    0
100502,19790312,    0,    0
100502,19790313,   18,    0
100502,19790314,   12,    0
100502,19790315,  113,    0
100502,19790316,   24,    0
100502,19790317,    0,    0
100502,19790318,    1,    0
100502,19790319,    0,    0
100502,19790320,   12,    0
100502,19790321,    9,    0
100502,19790322,   27,    0
100502,19790323,    0,    0
100502,19790324,   16,    0
100502,19790325,   49,    0
100502,19790326,   39,    0
100502,19790327,   66,    0
100502,19790328,    7,    0
100502,19790329,    8,    0
100502,19790330,    2,    0
100502,19790331,    8,    0
100502,19790401,   17,    0
100502,19790402,   44,    0
100502,19790403,    7,    0
100502,19790404,   53,    0
100502,19790405,    0,    0
100502,19790406,    1,    0
100502,19790407,    0,    0
100502,19790408,    0,    0
100502,19790409,    0,    0
100502,19790410,    0,    0
100502,19790411,   16,    0
100502,19790412,    4,    0
100502,19790413,    0,    0
100502,19790414,    0,    0
100502,19790415,   97,    0
100502,19790416,    2,    0
100502,19790417,    0,    0
100502,19790418,    0,    0
100502,19790419,    8,    0
100502,19790420,   90,    0
100502,19790421,   74,    0
100502,19790422,   40,    0
100502,19790423,   72,    0
100502,19790424,   14,    0
100502,19790425,   13,    0
100502,19790426,    4,    0
100502,19790427,    1,    0
100502,19790428,   27,    0
100502,19790429,  138,    0
100502,19790430,   18,    0
100502,19790501,  321,    0
100502,19790502,   72,    0
100502,19790503,   11,    0
100502,19790504,    0,    0
100502,19790505,    0,    0
100502,19790506,    0,    0
100502,19790507,    0,    0
100502,19790508,    0,    0
100502,19790509,    0,    0
100502,19790510,   76,    0
100502,19790511,   33,    0
100502,19790512,    0,    0
100502,19790513,    0,    0
100502,19790514,    0,    0
100502,19790515,    0,    0
100502,19790516,    5,    0
100502,19790517,    7,    0
100502,19790518,    0,    0
100502,19790519,    0,    0
100502,19790520,   25,    0
100502,19790521,   21,    0
100502,19790522,    5,    0
100502,19790523,   37,    0
100502,19790524,   20,    0
100502,19790525,   11,    0
100502,19790526,   29,    0
100502,19790527,   55,    0
100502,19790528,    0,    0
100502,19790529,  101,    0
100502,19790530,   66,    0
100502,19790531,  104,    0
100502,19790601,   14,    0
100502,19790602,    0,    0
100502,19790603,  148,    0
100502,19790604,   13,    0
100502,19790605,    0,    0
100502,19790606,    0,    0
100502,19790607,    2,    0
100502,19790608,   18,    0
100502,19790609,    0,    0
100502,19790610,   61,    0
100502,19790611,   18,    0
100502,19790612,   20,    0
100502,19790613,   73,    0
100502,19790614,  115,    0
100502,19790615,   12,    0
100502,19790616,    0,    0
100502,19790617,    0,    0
100502,19790618,    0,    0
100502,19790619,    0,    0
100502,19790620,    0,    0
100502,19790621,   18,    0
