EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, KERKWERVE (STAID: 154).
Blended and updated with sources: 100506 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100506,19790101,    2,    0
100506,19790102,    3,    0
100506,19790103,    0,    0
100506,19790104,    1,    0
100506,19790105,    3,    0
100506,19790106,    2,    0
100506,19790107,   77,    0
100506,19790108,   32,    0
100506,19790109,    3,    0
100506,19790110,   68,    0
100506,19790111,   52,    0
100506,19790112,   32,    0
100506,19790113,   44,    0
100506,19790114,    0,    0
100506,19790115,    0,    0
100506,19790116,    0,    0
100506,19790117,    0,    0
100506,19790118,    1,    0
100506,19790119,    0,    0
100506,19790120,   47,    0
100506,19790121,    1,    0
100506,19790122,   29,    0
100506,19790123,   37,    0
100506,19790124,   14,    0
100506,19790125,    9,    0
100506,19790126,    2,    0
100506,19790127,    0,    0
100506,19790128,    2,    0
100506,19790129,   13,    0
100506,19790130,    8,    0
100506,19790131,    4,    0
100506,19790201,  146,    0
100506,19790202,    1,    0
100506,19790203,    0,    0
100506,19790204,    0,    0
100506,19790205,    0,    0
100506,19790206,   42,    0
100506,19790207,   12,    0
100506,19790208,    2,    0
100506,19790209,    0,    0
100506,19790210,    0,    0
100506,19790211,   49,    0
100506,19790212,   15,    0
100506,19790213,   85,    0
100506,19790214,   21,    0
100506,19790215,    0,    0
100506,19790216,    0,    0
100506,19790217,    1,    0
100506,19790218,    0,    0
100506,19790219,    0,    0
100506,19790220,    0,    0
100506,19790221,    0,    0
100506,19790222,   38,    0
100506,19790223,    9,    0
100506,19790224,    3,    0
100506,19790225,    0,    0
100506,19790226,    1,    0
100506,19790227,    0,    0
100506,19790228,    0,    0
100506,19790301,   33,    0
100506,19790302,    8,    0
100506,19790303,  111,    0
100506,19790304,   14,    0
100506,19790305,    0,    0
100506,19790306,   13,    0
100506,19790307,    0,    0
100506,19790308,   59,    0
100506,19790309,  128,    0
100506,19790310,   42,    0
100506,19790311,  116,    0
100506,19790312,    0,    0
100506,19790313,  127,    0
100506,19790314,   57,    0
100506,19790315,   88,    0
100506,19790316,    4,    0
100506,19790317,    2,    0
100506,19790318,    0,    0
100506,19790319,    0,    0
100506,19790320,    0,    0
100506,19790321,   24,    0
100506,19790322,   15,    0
100506,19790323,    0,    0
100506,19790324,   61,    0
100506,19790325,   18,    0
100506,19790326,   24,    0
100506,19790327,   47,    0
100506,19790328,   23,    0
100506,19790329,    9,    0
100506,19790330,    3,    0
100506,19790331,   15,    0
100506,19790401,    5,    0
100506,19790402,   37,    0
100506,19790403,   18,    0
100506,19790404,    2,    0
100506,19790405,   22,    0
100506,19790406,   92,    0
100506,19790407,    0,    0
100506,19790408,    0,    0
100506,19790409,    0,    0
100506,19790410,    0,    0
100506,19790411,    3,    0
100506,19790412,   56,    0
100506,19790413,    2,    0
100506,19790414,    0,    0
100506,19790415,    0,    0
100506,19790416,   11,    0
100506,19790417,    1,    0
100506,19790418,    0,    0
100506,19790419,   29,    0
100506,19790420,   44,    0
100506,19790421,   13,    0
100506,19790422,   24,    0
100506,19790423,    0,    0
100506,19790424,   13,    0
100506,19790425,    0,    0
100506,19790426,    2,    0
100506,19790427,   18,    0
100506,19790428,   95,    0
100506,19790429,   69,    0
100506,19790430,    0,    0
100506,19790501,  219,    0
100506,19790502,    2,    0
100506,19790503,    0,    0
100506,19790504,   24,    0
100506,19790505,   16,    0
100506,19790506,    0,    0
100506,19790507,    0,    0
100506,19790508,    0,    0
100506,19790509,    0,    0
100506,19790510,   73,    0
100506,19790511,    6,    0
100506,19790512,    0,    0
100506,19790513,    0,    0
100506,19790514,    0,    0
100506,19790515,    0,    0
100506,19790516,    0,    0
100506,19790517,   21,    0
100506,19790518,    0,    0
100506,19790519,    0,    0
100506,19790520,    3,    0
100506,19790521,   43,    0
100506,19790522,   34,    0
100506,19790523,   49,    0
100506,19790524,  128,    0
100506,19790525,   36,    0
100506,19790526,   89,    0
100506,19790527,   54,    0
100506,19790528,   79,    0
100506,19790529,   29,    0
100506,19790530,   30,    0
100506,19790531,   25,    0
100506,19790601,    2,    0
100506,19790602,    0,    0
100506,19790603,   49,    0
100506,19790604,    3,    0
100506,19790605,    0,    0
100506,19790606,    9,    0
100506,19790607,   23,    0
100506,19790608,    2,    0
100506,19790609,    1,    0
100506,19790610,  125,    0
100506,19790611,    2,    0
100506,19790612,  258,    0
100506,19790613,   40,    0
100506,19790614,  158,    0
100506,19790615,   45,    0
100506,19790616,    1,    0
100506,19790617,    0,    0
100506,19790618,    0,    0
100506,19790619,    1,    0
100506,19790620,    0,    0
100506,19790621,    3,    0
100506,19790622,    0,    0
100506,19790623,   56,    0
100506,19790624,   30,    0
100506,19790625,    5,    0
100506,19790626,    2,    0
100506,19790627,    0,    0
100506,19790628,    0,    0
100506,19790629,    0,    0
100506,19790630,    0,    0
100506,19790701,    0,    0
100506,19790702,    0,    0
100506,19790703,    0,    0
100506,19790704,    0,    0
100506,19790705,    0,    0
100506,19790706,    0,    0
100506,19790707,    6,    0
