EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, EELDE (STAID: 164).
Blended and updated with sources: 109384 152470 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
152470,19790101,   28,    0
152470,19790102,    3,    0
152470,19790103,   35,    0
152470,19790104,    0,    0
152470,19790105,    0,    0
152470,19790106,    0,    0
152470,19790107,   54,    0
152470,19790108,    5,    0
152470,19790109,   23,    0
152470,19790110,   47,    0
152470,19790111,   12,    0
152470,19790112,   57,    0
152470,19790113,   36,    0
152470,19790114,    0,    0
152470,19790115,    0,    0
152470,19790116,    0,    0
152470,19790117,    0,    0
152470,19790118,    0,    0
152470,19790119,    0,    0
152470,19790120,    0,    0
152470,19790121,    0,    0
152470,19790122,    0,    0
152470,19790123,   71,    0
152470,19790124,    8,    0
152470,19790125,   21,    0
152470,19790126,  172,    0
152470,19790127,    2,    0
152470,19790128,    0,    0
152470,19790129,    5,    0
152470,19790130,   15,    0
152470,19790131,    3,    0
152470,19790201,   57,    0
152470,19790202,   51,    0
152470,19790203,    3,    0
152470,19790204,    3,    0
152470,19790205,    1,    0
152470,19790206,    0,    0
152470,19790207,    8,    0
152470,19790208,    0,    0
152470,19790209,    0,    0
152470,19790210,    0,    0
152470,19790211,    0,    0
152470,19790212,   24,    0
152470,19790213,   87,    0
152470,19790214,  104,    0
152470,19790215,    1,    0
152470,19790216,    0,    0
152470,19790217,    4,    0
152470,19790218,    0,    0
152470,19790219,    0,    0
152470,19790220,    0,    0
152470,19790221,    0,    0
152470,19790222,    0,    0
152470,19790223,    6,    0
152470,19790224,    0,    0
152470,19790225,    0,    0
152470,19790226,    0,    0
152470,19790227,    0,    0
152470,19790228,    0,    0
152470,19790301,    0,    0
152470,19790302,   13,    0
152470,19790303,   28,    0
152470,19790304,   67,    0
152470,19790305,    0,    0
152470,19790306,    0,    0
152470,19790307,   31,    0
152470,19790308,    0,    0
152470,19790309,  118,    0
152470,19790310,    1,    0
152470,19790311,   84,    0
152470,19790312,    0,    0
152470,19790313,    0,    0
152470,19790314,    0,    0
152470,19790315,   69,    0
152470,19790316,  125,    0
152470,19790317,    5,    0
152470,19790318,    0,    0
152470,19790319,    0,    0
152470,19790320,   15,    0
152470,19790321,   19,    0
152470,19790322,   26,    0
152470,19790323,    1,    0
152470,19790324,    0,    0
152470,19790325,   44,    0
152470,19790326,   37,    0
152470,19790327,   21,    0
152470,19790328,   19,    0
152470,19790329,    7,    0
152470,19790330,   11,    0
152470,19790331,    0,    0
152470,19790401,    0,    0
152470,19790402,    6,    0
152470,19790403,   68,    0
152470,19790404,   14,    0
152470,19790405,    0,    0
152470,19790406,    0,    0
152470,19790407,    0,    0
152470,19790408,    0,    0
152470,19790409,    0,    0
152470,19790410,    0,    0
152470,19790411,    0,    0
152470,19790412,   12,    0
152470,19790413,    0,    0
152470,19790414,    0,    0
152470,19790415,    0,    0
152470,19790416,  128,    0
152470,19790417,    2,    0
152470,19790418,    0,    0
152470,19790419,    0,    0
152470,19790420,  117,    0
152470,19790421,   47,    0
152470,19790422,    7,    0
152470,19790423,   72,    0
152470,19790424,   99,    0
152470,19790425,   17,    0
152470,19790426,   30,    0
152470,19790427,    1,    0
152470,19790428,    4,    0
152470,19790429,   61,    0
152470,19790430,   65,    0
152470,19790501,   61,    0
152470,19790502,  137,    0
152470,19790503,   86,    0
152470,19790504,    0,    0
152470,19790505,   62,    0
152470,19790506,    8,    0
152470,19790507,    1,    0
152470,19790508,    0,    0
152470,19790509,    0,    0
152470,19790510,    0,    0
152470,19790511,   84,    0
152470,19790512,    0,    0
152470,19790513,    0,    0
152470,19790514,    0,    0
152470,19790515,    0,    0
152470,19790516,    5,    0
152470,19790517,   27,    0
152470,19790518,    2,    0
152470,19790519,    0,    0
152470,19790520,   47,    0
152470,19790521,    3,    0
152470,19790522,    4,    0
152470,19790523,   36,    0
152470,19790524,   38,    0
152470,19790525,    6,    0
152470,19790526,   28,    0
152470,19790527,  132,    0
152470,19790528,    0,    0
152470,19790529,   26,    0
152470,19790530,    3,    0
152470,19790531,    0,    0
152470,19790601,  137,    0
152470,19790602,    0,    0
152470,19790603,    0,    0
152470,19790604,   57,    0
152470,19790605,    4,    0
152470,19790606,    0,    0
152470,19790607,   69,    0
152470,19790608,   15,    0
152470,19790609,    0,    0
152470,19790610,    0,    0
152470,19790611,   59,    0
152470,19790612,    2,    0
152470,19790613,   37,    0
152470,19790614,  245,    0
152470,19790615,   23,    0
152470,19790616,    0,    0
152470,19790617,    0,    0
152470,19790618,    0,    0
152470,19790619,    0,    0
152470,19790620,    0,    0
152470,19790621,   50,    0
152470,19790622,   23,    0
152470,19790623,    0,    0
152470,19790624,   22,    0
152470,19790625,   73,    0
152470,19790626,    1,    0
152470,19790627,    0,    0
152470,19790628,    0,    0
152470,19790629,   22,    0
152470,19790630,    8,    0
152470,19790701,   12,    0
152470,19790702,    6,    0
152470,19790703,    0,    0
152470,19790704,    0,    0
152470,19790705,    0,    0
152470,19790706,    0,    0
152470,19790707,   13,    0
152470,19790708,   38,    0
152470,19790709,   31,    0
152470,19790710,    0,    0
152470,19790711,    0,    0
152470,19790712,    0,    0
152470,19790713,    0,    0
152470,19790714,    0,    0
152470,19790715,    0,    0
152470,19790716,   71,    0
152470,19790717,   12,    0
152470,19790718,   51,    0
152470,19790719,    5,    0
152470,19790720,    3,    0
152470,19790721,  101,    0
152470,19790722,   45,    0
152470,19790723,  106,    0
152470,19790724,   36,    0
152470,19790725,  219,    0
152470,19790726,    0,    0
152470,19790727,    0,    0
152470,19790728,    0,    0
152470,19790729,   27,    0
152470,19790730,   85,    0
152470,19790731,    8,    0
152470,19790801,   80,    0
152470,19790802,    6,    0
152470,19790803,   57,    0
152470,19790804,    0,    0
152470,19790805,    0,    0
152470,19790806,    0,    0
152470,19790807,   26,    0
152470,19790808,   26,    0
152470,19790809,  115,    0
152470,19790810,  103,    0
152470,19790811,    4,    0
152470,19790812,    0,    0
152470,19790813,   20,    0
152470,19790814,    0,    0
152470,19790815,    0,    0
152470,19790816,   36,    0
152470,19790817,    0,    0
152470,19790818,    0,    0
152470,19790819,    0,    0
152470,19790820,    0,    0
152470,19790821,   15,    0
152470,19790822,   39,    0
152470,19790823,   58,    0
152470,19790824,   15,    0
152470,19790825,   27,    0
152470,19790826,    2,    0
152470,19790827,   13,    0
152470,19790828,    5,    0
152470,19790829,    0,    0
152470,19790830,    0,    0
152470,19790831,    0,    0
152470,19790901,    0,    0
152470,19790902,    5,    0
152470,19790903,   68,    0
152470,19790904,    2,    0
152470,19790905,    0,    0
