EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, MAASTRICHT (STAID: 168).
Blended and updated with sources: 108988 152472 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
152472,19790101,    0,    0
152472,19790102,   49,    0
152472,19790103,    0,    0
152472,19790104,    0,    0
152472,19790105,    0,    0
152472,19790106,    0,    0
152472,19790107,    1,    0
152472,19790108,   52,    0
152472,19790109,   63,    0
152472,19790110,    6,    0
152472,19790111,   64,    0
152472,19790112,   21,    0
152472,19790113,    5,    0
152472,19790114,    0,    0
152472,19790115,    0,    0
152472,19790116,    0,    0
152472,19790117,    0,    0
152472,19790118,    0,    0
152472,19790119,    0,    0
152472,19790120,   26,    0
152472,19790121,    0,    0
152472,19790122,    6,    0
152472,19790123,   59,    0
152472,19790124,   14,    0
152472,19790125,    2,    0
152472,19790126,   16,    0
152472,19790127,    0,    0
152472,19790128,    0,    0
152472,19790129,    3,    0
152472,19790130,    0,    0
152472,19790131,    2,    0
152472,19790201,   23,    0
152472,19790202,   79,    0
152472,19790203,    0,    0
152472,19790204,    0,    0
152472,19790205,    0,    0
152472,19790206,    0,    0
152472,19790207,   93,    0
152472,19790208,    7,    0
152472,19790209,    0,    0
152472,19790210,    0,    0
152472,19790211,   46,    0
152472,19790212,   12,    0
152472,19790213,   21,    0
152472,19790214,   67,    0
152472,19790215,   15,    0
152472,19790216,    0,    0
152472,19790217,   13,    0
152472,19790218,    0,    0
152472,19790219,    0,    0
152472,19790220,    0,    0
152472,19790221,    0,    0
152472,19790222,   21,    0
152472,19790223,   40,    0
152472,19790224,    1,    0
152472,19790225,    0,    0
152472,19790226,    0,    0
152472,19790227,    0,    0
152472,19790228,    0,    0
152472,19790301,    4,    0
152472,19790302,   14,    0
152472,19790303,    0,    0
152472,19790304,  106,    0
152472,19790305,    0,    0
152472,19790306,    0,    0
152472,19790307,   44,    0
152472,19790308,    0,    0
152472,19790309,  103,    0
152472,19790310,    0,    0
152472,19790311,  147,    0
152472,19790312,   24,    0
152472,19790313,   18,    0
152472,19790314,   90,    0
152472,19790315,   42,    0
152472,19790316,    0,    0
152472,19790317,    3,    0
152472,19790318,  120,    0
152472,19790319,    0,    0
152472,19790320,    1,    0
152472,19790321,   14,    0
152472,19790322,   54,    0
152472,19790323,    0,    0
152472,19790324,    0,    0
152472,19790325,   16,    0
152472,19790326,    9,    0
152472,19790327,   21,    0
152472,19790328,   46,    0
152472,19790329,    0,    0
152472,19790330,   46,    0
152472,19790331,    1,    0
152472,19790401,    3,    0
152472,19790402,   24,    0
152472,19790403,   14,    0
152472,19790404,   32,    0
152472,19790405,    3,    0
152472,19790406,    0,    0
152472,19790407,    0,    0
152472,19790408,    0,    0
152472,19790409,    0,    0
152472,19790410,    0,    0
152472,19790411,    7,    0
152472,19790412,    6,    0
152472,19790413,    0,    0
152472,19790414,    0,    0
152472,19790415,    0,    0
152472,19790416,   34,    0
152472,19790417,   14,    0
152472,19790418,    7,    0
152472,19790419,    0,    0
152472,19790420,   48,    0
152472,19790421,    6,    0
152472,19790422,   50,    0
152472,19790423,   61,    0
152472,19790424,   52,    0
152472,19790425,   20,    0
152472,19790426,  180,    0
152472,19790427,    2,    0
152472,19790428,   10,    0
152472,19790429,   12,    0
152472,19790430,   54,    0
152472,19790501,   34,    0
152472,19790502,   20,    0
152472,19790503,   10,    0
152472,19790504,   42,    0
152472,19790505,    0,    0
152472,19790506,    1,    0
152472,19790507,    0,    0
152472,19790508,    0,    0
152472,19790509,    0,    0
152472,19790510,    0,    0
152472,19790511,   85,    0
152472,19790512,    0,    0
152472,19790513,    0,    0
152472,19790514,    0,    0
152472,19790515,    0,    0
152472,19790516,    0,    0
152472,19790517,   51,    0
152472,19790518,    0,    0
152472,19790519,    0,    0
152472,19790520,   11,    0
152472,19790521,   16,    0
152472,19790522,    1,    0
152472,19790523,   65,    0
152472,19790524,   11,    0
152472,19790525,   34,    0
152472,19790526,   45,    0
152472,19790527,   48,    0
152472,19790528,    0,    0
152472,19790529,   10,    0
152472,19790530,   85,    0
152472,19790531,    2,    0
152472,19790601,   42,    0
152472,19790602,    0,    0
152472,19790603,    0,    0
152472,19790604,    0,    0
152472,19790605,    4,    0
152472,19790606,    0,    0
152472,19790607,   24,    0
152472,19790608,    0,    0
152472,19790609,    1,    0
152472,19790610,   43,    0
152472,19790611,    0,    0
152472,19790612,    0,    0
152472,19790613,  220,    0
