EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, MAKKUM (STAID: 504).
Blended and updated with sources: 101889 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
101889,19790101,    0,    0
101889,19790102,    0,    0
101889,19790103,    0,    0
101889,19790104,    0,    0
101889,19790105,    0,    0
101889,19790106,    0,    0
101889,19790107,   70,    0
101889,19790108,   28,    0
101889,19790109,    1,    0
101889,19790110,   89,    0
101889,19790111,   22,    0
101889,19790112,   22,    0
101889,19790113,   22,    0
101889,19790114,    0,    0
101889,19790115,    0,    0
101889,19790116,    0,    0
101889,19790117,    0,    0
101889,19790118,    0,    0
101889,19790119,    0,    0
101889,19790120,    0,    0
101889,19790121,    0,    0
101889,19790122,    0,    0
101889,19790123,   76,    0
101889,19790124,   13,    0
101889,19790125,   30,    0
101889,19790126,   50,    0
101889,19790127,    0,    0
101889,19790128,    0,    0
101889,19790129,   27,    0
101889,19790130,    5,    0
101889,19790131,   48,    0
101889,19790201,  121,    0
101889,19790202,    0,    0
101889,19790203,    0,    0
101889,19790204,    0,    0
101889,19790205,    0,    0
101889,19790206,    0,    0
101889,19790207,   21,    0
101889,19790208,    0,    0
101889,19790209,    0,    0
101889,19790210,    0,    0
101889,19790211,    0,    0
101889,19790212,   12,    0
101889,19790213,  130,    0
101889,19790214,    0,    0
101889,19790215,    0,    0
101889,19790216,    0,    0
101889,19790217,    0,    0
101889,19790218,    0,    0
101889,19790219,    0,    0
101889,19790220,    0,    0
101889,19790221,    0,    0
101889,19790222,   31,    0
101889,19790223,    0,    0
101889,19790224,    0,    0
101889,19790225,    0,    0
101889,19790226,    0,    0
101889,19790227,    0,    0
101889,19790228,    8,    0
101889,19790301,   27,    0
101889,19790302,   32,    0
101889,19790303,   61,    0
101889,19790304,    0,    0
101889,19790305,    0,    0
101889,19790306,   20,    0
101889,19790307,    1,    0
101889,19790308,   71,    0
101889,19790309,  113,    0
101889,19790310,   37,    0
101889,19790311,   26,    0
101889,19790312,    0,    0
101889,19790313,    0,    0
101889,19790314,    0,    0
101889,19790315,  161,    0
101889,19790316,   72,    0
101889,19790317,    0,    0
101889,19790318,    0,    0
101889,19790319,    0,    0
101889,19790320,   13,    0
101889,19790321,   46,    0
101889,19790322,   60,    0
101889,19790323,    0,    0
101889,19790324,   40,    0
101889,19790325,   13,    0
101889,19790326,  107,    0
101889,19790327,   19,    0
101889,19790328,   18,    0
101889,19790329,   15,    0
101889,19790330,    0,    0
101889,19790331,    1,    0
101889,19790401,   22,    0
101889,19790402,    2,    0
101889,19790403,   30,    0
101889,19790404,    0,    0
101889,19790405,   52,    0
101889,19790406,    0,    0
101889,19790407,    0,    0
101889,19790408,    0,    0
101889,19790409,    0,    0
101889,19790410,    0,    0
101889,19790411,    2,    0
101889,19790412,   47,    0
101889,19790413,    0,    0
101889,19790414,    0,    0
101889,19790415,   15,    0
101889,19790416,    0,    0
101889,19790417,    0,    0
101889,19790418,    0,    0
101889,19790419,   21,    0
101889,19790420,   83,    0
101889,19790421,   11,    0
101889,19790422,   27,    0
101889,19790423,    6,    0
101889,19790424,   25,    0
101889,19790425,    0,    0
101889,19790426,    0,    0
101889,19790427,    1,    0
101889,19790428,   50,    0
101889,19790429,  116,    0
101889,19790430,   29,    0
101889,19790501,  112,    0
101889,19790502,   17,    0
101889,19790503,   19,    0
101889,19790504,    0,    0
101889,19790505,   10,    0
101889,19790506,    0,    0
101889,19790507,    0,    0
101889,19790508,    0,    0
101889,19790509,    0,    0
101889,19790510,   31,    0
101889,19790511,   32,    0
101889,19790512,    0,    0
101889,19790513,    0,    0
101889,19790514,    0,    0
101889,19790515,    0,    0
101889,19790516,    6,    0
101889,19790517,   36,    0
101889,19790518,    0,    0
101889,19790519,    0,    0
101889,19790520,   20,    0
101889,19790521,   14,    0
101889,19790522,    0,    0
101889,19790523,   25,    0
101889,19790524,    6,    0
101889,19790525,    5,    0
101889,19790526,   90,    0
101889,19790527,   20,    0
101889,19790528,    0,    0
101889,19790529,  393,    0
101889,19790530,   54,    0
101889,19790531,  323,    0
101889,19790601,    0,    0
101889,19790602,    0,    0
101889,19790603,   75,    0
101889,19790604,   48,    0
101889,19790605,    1,    0
101889,19790606,    4,    0
101889,19790607,    0,    0
101889,19790608,    0,    0
101889,19790609,    0,    0
101889,19790610,    0,    0
101889,19790611,   65,    0
101889,19790612,    0,    0
101889,19790613,   54,    0
101889,19790614,  104,    0
101889,19790615,   31,    0
101889,19790616,    0,    0
101889,19790617,    0,    0
101889,19790618,    0,    0
101889,19790619,    0,    0
101889,19790620,    0,    0
101889,19790621,    6,    0
101889,19790622,    0,    0
101889,19790623,    0,    0
101889,19790624,   72,    0
101889,19790625,   22,    0
101889,19790626,    0,    0
101889,19790627,    0,    0
101889,19790628,   20,    0
101889,19790629,    0,    0
101889,19790630,   18,    0
101889,19790701,    0,    0
101889,19790702,    0,    0
101889,19790703,    0,    0
101889,19790704,    0,    0
101889,19790705,    0,    0
101889,19790706,    0,    0
101889,19790707,   29,    0
101889,19790708,   16,    0
101889,19790709,    0,    0
101889,19790710,    0,    0
101889,19790711,    0,    0
101889,19790712,    0,    0
101889,19790713,    0,    0
101889,19790714,    0,    0
101889,19790715,    0,    0
101889,19790716,   31,    0
101889,19790717,    0,    0
101889,19790718,   37,    0
101889,19790719,    0,    0
101889,19790720,   25,    0
101889,19790721,   62,    0
101889,19790722,   11,    0
101889,19790723,    0,    0
101889,19790724,   17,    0
101889,19790725,    0,    0
101889,19790726,    0,    0
101889,19790727,    0,    0
101889,19790728,    6,    0
101889,19790729,   52,    0
101889,19790730,    0,    0
101889,19790731,   10,    0
101889,19790801,   80,    0
101889,19790802,   30,    0
101889,19790803,   72,    0
101889,19790804,    0,    0
101889,19790805,    0,    0
101889,19790806,    0,    0
101889,19790807,    9,    0
101889,19790808,    0,    0
101889,19790809,  113,    0
101889,19790810,    0,    0
101889,19790811,   10,    0
101889,19790812,    0,    0
101889,19790813,    0,    0
101889,19790814,    0,    0
101889,19790815,    0,    0
101889,19790816,    0,    0
101889,19790817,    7,    0
101889,19790818,    0,    0
101889,19790819,    0,    0
101889,19790820,   17,    0
101889,19790821,   21,    0
101889,19790822,   23,    0
101889,19790823,   68,    0
101889,19790824,   17,    0
101889,19790825,   32,    0
101889,19790826,   11,    0
101889,19790827,   47,    0
101889,19790828,    0,    0
101889,19790829,    0,    0
101889,19790830,    0,    0
101889,19790831,    0,    0
101889,19790901,    0,    0
101889,19790902,   18,    0
101889,19790903,  168,    0
101889,19790904,    0,    0
101889,19790905,    0,    0
101889,19790906,    0,    0
101889,19790907,    0,    0
101889,19790908,    0,    0
101889,19790909,    0,    0
101889,19790910,    0,    0
101889,19790911,    0,    0
101889,19790912,    0,    0
101889,19790913,    0,    0
101889,19790914,    5,    0
101889,19790915,    0,    0
101889,19790916,    0,    0
101889,19790917,   18,    0
101889,19790918,   18,    0
101889,19790919,  105,    0
101889,19790920,   44,    0
101889,19790921,   21,    0
101889,19790922,    1,    0
101889,19790923,    7,    0
101889,19790924,    0,    0
101889,19790925,    7,    0
101889,19790926,   36,    0
101889,19790927,    5,    0
101889,19790928,    0,    0
101889,19790929,    0,    0
101889,19790930,    0,    0
101889,19791001,    0,    0
101889,19791002,    0,    0
101889,19791003,    0,    0
101889,19791004,   27,    0
101889,19791005,   10,    0
101889,19791006,    0,    0
101889,19791007,    0,    0
101889,19791008,    0,    0
101889,19791009,    0,    0
101889,19791010,    0,    0
101889,19791011,   16,    0
101889,19791012,  143,    0
101889,19791013,   20,    0
101889,19791014,   14,    0
101889,19791015,  356,    0
101889,19791016,   15,    0
101889,19791017,   20,    0
101889,19791018,    0,    0
101889,19791019,    0,    0
101889,19791020,    0,    0
101889,19791021,    0,    0
101889,19791022,    0,    0
101889,19791023,    0,    0
101889,19791024,    0,    0
101889,19791025,    0,    0
101889,19791026,    0,    0
101889,19791027,    0,    0
101889,19791028,    0,    0
101889,19791029,   50,    0
101889,19791030,   17,    0
101889,19791031,   46,    0
101889,19791101,    0,    0
101889,19791102,    0,    0
101889,19791103,   39,    0
101889,19791104,  169,    0
101889,19791105,  185,    0
101889,19791106,   23,    0
101889,19791107,  104,    0
101889,19791108,   53,    0
101889,19791109,  103,    0
101889,19791110,   66,    0
101889,19791111,   49,    0
101889,19791112,   65,    0
101889,19791113,    3,    0
101889,19791114,   20,    0
101889,19791115,    0,    0
101889,19791116,    0,    0
101889,19791117,   52,    0
101889,19791118,   72,    0
101889,19791119,    0,    0
101889,19791120,   13,    0
101889,19791121,    0,    0
101889,19791122,    0,    0
101889,19791123,    0,    0
101889,19791124,    0,    0
101889,19791125,    0,    0
101889,19791126,   27,    0
101889,19791127,    0,    0
101889,19791128,    0,    0
101889,19791129,    0,    0
101889,19791130,   25,    0
101889,19791201,    0,    0
101889,19791202,    0,    0
101889,19791203,    0,    0
101889,19791204,    0,    0
101889,19791205,   50,    0
101889,19791206,    0,    0
101889,19791207,   79,    0
101889,19791208,    0,    0
101889,19791209,  127,    0
101889,19791210,   42,    0
101889,19791211,   18,    0
101889,19791212,   77,    0
101889,19791213,   68,    0
101889,19791214,  222,    0
101889,19791215,  109,    0
101889,19791216,   10,    0
101889,19791217,   59,    0
101889,19791218,  115,    0
101889,19791219,   48,    0
101889,19791220,   15,    0
101889,19791221,    0,    0
101889,19791222,    0,    0
101889,19791223,   47,    0
101889,19791224,   29,    0
101889,19791225,    8,    0
101889,19791226,    0,    0
101889,19791227,   89,    0
101889,19791228,   60,    0
101889,19791229,   39,    0
101889,19791230,   44,    0
101889,19791231,   14,    0
101889,19800101,   29,    0
101889,19800102,    8,    0
101889,19800103,   36,    0
101889,19800104,   71,    0
101889,19800105,   42,    0
101889,19800106,   28,    0
101889,19800107,    0,    0
101889,19800108,    0,    0
101889,19800109,    0,    0
101889,19800110,    0,    0
101889,19800111,    0,    0
101889,19800112,    0,    0
101889,19800113,    0,    0
101889,19800114,    0,    0
101889,19800115,    0,    0
101889,19800116,    0,    0
101889,19800117,    0,    0
101889,19800118,    0,    0
101889,19800119,    0,    0
101889,19800120,    0,    0
101889,19800121,   50,    0
101889,19800122,    0,    0
101889,19800123,   19,    0
101889,19800124,    5,    0
101889,19800125,    9,    0
101889,19800126,   29,    0
101889,19800127,    0,    0
101889,19800128,   61,    0
101889,19800129,   30,    0
101889,19800130,    7,    0
101889,19800131,   57,    0
101889,19800201,   10,    0
101889,19800202,   89,    0
101889,19800203,  104,    0
101889,19800204,   98,    0
101889,19800205,   25,    0
101889,19800206,   23,    0
101889,19800207,   47,    0
101889,19800208,   87,    0
101889,19800209,    9,    0
101889,19800210,    0,    0
101889,19800211,   14,    0
101889,19800212,    0,    0
101889,19800213,    1,    0
101889,19800214,    0,    0
101889,19800215,   21,    0
101889,19800216,    1,    0
101889,19800217,    0,    0
101889,19800218,    0,    0
101889,19800219,    0,    0
101889,19800220,    0,    0
101889,19800221,    0,    0
101889,19800222,    0,    0
101889,19800223,    0,    0
101889,19800224,    0,    0
101889,19800225,    0,    0
101889,19800226,    0,    0
101889,19800227,    0,    0
101889,19800228,    0,    0
101889,19800229,    0,    0
101889,19800301,    0,    0
101889,19800302,    3,    0
101889,19800303,   21,    0
101889,19800304,   10,    0
101889,19800305,    0,    0
101889,19800306,   65,    0
101889,19800307,   28,    0
101889,19800308,    0,    0
101889,19800309,    0,    0
101889,19800310,   14,    0
101889,19800311,    3,    0
101889,19800312,  128,    0
101889,19800313,    0,    0
101889,19800314,    0,    0
101889,19800315,    0,    0
101889,19800316,    0,    0
101889,19800317,    2,    0
101889,19800318,   11,    0
101889,19800319,    0,    0
101889,19800320,    0,    0
101889,19800321,    8,    0
101889,19800322,    4,    0
101889,19800323,    0,    0
101889,19800324,    0,    0
101889,19800325,   18,    0
101889,19800326,    1,    0
101889,19800327,   85,    0
101889,19800328,   32,    0
101889,19800329,   72,    0
101889,19800330,    0,    0
101889,19800331,   23,    0
101889,19800401,   23,    0
101889,19800402,   19,    0
101889,19800403,    0,    0
101889,19800404,    0,    0
101889,19800405,    0,    0
101889,19800406,    0,    0
101889,19800407,    0,    0
101889,19800408,    3,    0
101889,19800409,    0,    0
101889,19800410,    0,    0
101889,19800411,    0,    0
101889,19800412,    0,    0
101889,19800413,    0,    0
101889,19800414,    0,    0
101889,19800415,    0,    0
101889,19800416,    0,    0
101889,19800417,    0,    0
101889,19800418,    9,    0
101889,19800419,   51,    0
101889,19800420,   24,    0
101889,19800421,    1,    0
101889,19800422,    0,    0
101889,19800423,    0,    0
101889,19800424,    5,    0
101889,19800425,   23,    0
101889,19800426,    0,    0
101889,19800427,    0,    0
101889,19800428,    7,    0
101889,19800429,    0,    0
101889,19800430,    0,    0
101889,19800501,    0,    0
101889,19800502,    0,    0
101889,19800503,    0,    0
101889,19800504,    0,    0
101889,19800505,    0,    0
101889,19800506,   22,    0
101889,19800507,   20,    0
101889,19800508,    0,    0
101889,19800509,    0,    0
101889,19800510,    0,    0
101889,19800511,    0,    0
101889,19800512,    0,    0
101889,19800513,    0,    0
101889,19800514,    0,    0
101889,19800515,    0,    0
101889,19800516,    0,    0
101889,19800517,    0,    0
101889,19800518,    0,    0
101889,19800519,    0,    0
101889,19800520,    0,    0
101889,19800521,    0,    0
101889,19800522,    0,    0
101889,19800523,    4,    0
101889,19800524,    1,    0
101889,19800525,    0,    0
101889,19800526,    0,    0
101889,19800527,    0,    0
101889,19800528,    0,    0
101889,19800529,  110,    0
101889,19800530,    0,    0
101889,19800531,   14,    0
101889,19800601,    0,    0
101889,19800602,    0,    0
101889,19800603,    0,    0
101889,19800604,    0,    0
101889,19800605,    0,    0
101889,19800606,    2,    0
101889,19800607,   41,    0
101889,19800608,    0,    0
101889,19800609,    0,    0
101889,19800610,    0,    0
101889,19800611,    3,    0
101889,19800612,    0,    0
101889,19800613,   14,    0
101889,19800614,   11,    0
101889,19800615,    0,    0
101889,19800616,   58,    0
101889,19800617,    5,    0
101889,19800618,    0,    0
101889,19800619,   46,    0
101889,19800620,   45,    0
101889,19800621,    0,    0
101889,19800622,    0,    0
101889,19800623,  107,    0
101889,19800624,  155,    0
101889,19800625,   12,    0
101889,19800626,   59,    0
101889,19800627,   27,    0
101889,19800628,   23,    0
101889,19800629,   19,    0
101889,19800630,  178,    0
101889,19800701,   86,    0
101889,19800702,    0,    0
101889,19800703,    0,    0
101889,19800704,   65,    0
101889,19800705,   35,    0
101889,19800706,   52,    0
101889,19800707,   31,    0
101889,19800708,  159,    0
101889,19800709,   23,    0
101889,19800710,    3,    0
101889,19800711,    4,    0
101889,19800712,  113,    0
101889,19800713,    9,    0
101889,19800714,  188,    0
101889,19800715,   16,    0
101889,19800716,    5,    0
101889,19800717,   44,    0
101889,19800718,   35,    0
101889,19800719,  111,    0
101889,19800720,   33,    0
101889,19800721,    2,    0
101889,19800722,    0,    0
