EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, ANNA PAULOWNA (STAID: 521).
Blended and updated with sources: 101922 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
101922,19790101,    1,    0
101922,19790102,    1,    0
101922,19790103,   16,    0
101922,19790104,    0,    0
101922,19790105,    0,    0
101922,19790106,    0,    0
101922,19790107,   23,    0
101922,19790108,   23,    0
101922,19790109,    0,    0
101922,19790110,   29,    0
101922,19790111,   22,    0
101922,19790112,   48,    0
101922,19790113,    4,    0
101922,19790114,    0,    0
101922,19790115,    0,    0
101922,19790116,    2,    0
101922,19790117,    0,    0
101922,19790118,    0,    0
101922,19790119,    0,    0
101922,19790120,    5,    0
101922,19790121,    0,    0
101922,19790122,   15,    0
101922,19790123,   45,    0
101922,19790124,   24,    0
101922,19790125,   16,    0
101922,19790126,   24,    0
101922,19790127,    0,    0
101922,19790128,    8,    0
101922,19790129,    0,    0
101922,19790130,    6,    0
101922,19790131,    9,    0
101922,19790201,  122,    0
101922,19790202,    0,    0
101922,19790203,    3,    0
101922,19790204,   32,    0
101922,19790205,    0,    0
101922,19790206,    0,    0
101922,19790207,   32,    0
101922,19790208,    0,    0
101922,19790209,    0,    0
101922,19790210,    0,    0
101922,19790211,    4,    0
101922,19790212,   63,    0
101922,19790213,   65,    0
101922,19790214,    1,    0
101922,19790215,    1,    0
101922,19790216,    0,    0
101922,19790217,    0,    0
101922,19790218,    0,    0
101922,19790219,    0,    0
101922,19790220,    0,    0
101922,19790221,    0,    0
101922,19790222,   28,    0
101922,19790223,   15,    0
101922,19790224,    0,    0
101922,19790225,    0,    0
101922,19790226,    0,    0
101922,19790227,    0,    0
101922,19790228,   11,    0
101922,19790301,   13,    0
101922,19790302,   18,    0
101922,19790303,   51,    0
101922,19790304,    0,    0
101922,19790305,    0,    0
101922,19790306,   13,    0
101922,19790307,    4,    0
101922,19790308,   31,    0
101922,19790309,   65,    0
101922,19790310,   38,    0
101922,19790311,   36,    0
101922,19790312,    0,    0
101922,19790313,    3,    0
101922,19790314,    2,    0
101922,19790315,  169,    0
101922,19790316,   76,    0
101922,19790317,    0,    0
101922,19790318,    0,    0
101922,19790319,    0,    0
101922,19790320,   21,    0
101922,19790321,   38,    0
101922,19790322,   38,    0
101922,19790323,    0,    0
101922,19790324,   39,    0
101922,19790325,   31,    0
101922,19790326,   37,    0
101922,19790327,   63,    0
101922,19790328,    8,    0
101922,19790329,   15,    0
101922,19790330,    0,    0
101922,19790331,    3,    0
101922,19790401,   29,    0
101922,19790402,   24,    0
101922,19790403,    5,    0
101922,19790404,    0,    0
101922,19790405,   85,    0
101922,19790406,   17,    0
101922,19790407,    0,    0
101922,19790408,    0,    0
101922,19790409,    0,    0
101922,19790410,    0,    0
101922,19790411,    6,    0
101922,19790412,   60,    0
101922,19790413,    0,    0
101922,19790414,    0,    0
101922,19790415,   17,    0
101922,19790416,    0,    0
101922,19790417,    0,    0
101922,19790418,    0,    0
101922,19790419,   35,    0
101922,19790420,   59,    0
101922,19790421,   26,    0
101922,19790422,   31,    0
101922,19790423,    0,    0
101922,19790424,   39,    0
101922,19790425,    1,    0
101922,19790426,    1,    0
101922,19790427,    5,    0
101922,19790428,   43,    0
101922,19790429,   88,    0
101922,19790430,   19,    0
101922,19790501,  197,    0
101922,19790502,   89,    0
101922,19790503,    0,    0
101922,19790504,    0,    0
101922,19790505,    3,    0
101922,19790506,    0,    0
101922,19790507,    3,    0
101922,19790508,    0,    0
101922,19790509,    0,    0
101922,19790510,   46,    0
101922,19790511,    8,    0
101922,19790512,    0,    0
101922,19790513,    0,    0
101922,19790514,    0,    0
101922,19790515,    0,    0
101922,19790516,    7,    0
101922,19790517,    4,    0
101922,19790518,    0,    0
101922,19790519,    0,    0
101922,19790520,   15,    0
101922,19790521,   16,    0
101922,19790522,   21,    0
101922,19790523,   53,    0
101922,19790524,   15,    0
101922,19790525,   32,    0
101922,19790526,  138,    0
101922,19790527,    8,    0
101922,19790528,   97,    0
101922,19790529,  124,    0
101922,19790530,   73,    0
101922,19790531,  336,    0
101922,19790601,    0,    0
101922,19790602,    0,    0
101922,19790603,   70,    0
101922,19790604,    9,    0
101922,19790605,    0,    0
101922,19790606,   10,    0
101922,19790607,    4,    0
101922,19790608,    0,    0
101922,19790609,    0,    0
101922,19790610,  180,    0
101922,19790611,   85,    0
101922,19790612,    0,    0
101922,19790613,   81,    0
101922,19790614,   54,    0
101922,19790615,    7,    0
101922,19790616,    0,    0
101922,19790617,    0,    0
101922,19790618,    0,    0
101922,19790619,    0,    0
101922,19790620,    0,    0
101922,19790621,    2,    0
101922,19790622,    0,    0
101922,19790623,   18,    0
101922,19790624,   30,    0
101922,19790625,   41,    0
101922,19790626,    0,    0
101922,19790627,    0,    0
101922,19790628,   35,    0
101922,19790629,    6,    0
101922,19790630,   40,    0
101922,19790701,    6,    0
101922,19790702,    0,    0
101922,19790703,    0,    0
101922,19790704,    0,    0
101922,19790705,    0,    0
101922,19790706,    0,    0
101922,19790707,   13,    0
101922,19790708,   21,    0
101922,19790709,    0,    0
101922,19790710,    0,    0
101922,19790711,    0,    0
101922,19790712,    0,    0
101922,19790713,    0,    0
101922,19790714,    0,    0
101922,19790715,    0,    0
101922,19790716,   23,    0
101922,19790717,    0,    0
101922,19790718,   53,    0
101922,19790719,    1,    0
101922,19790720,   23,    0
101922,19790721,   21,    0
101922,19790722,    2,    0
101922,19790723,    0,    0
101922,19790724,    0,    0
101922,19790725,    0,    0
101922,19790726,    0,    0
101922,19790727,    0,    0
101922,19790728,   25,    0
101922,19790729,   35,    0
101922,19790730,   10,    0
101922,19790731,   11,    0
101922,19790801,   60,    0
101922,19790802,   38,    0
101922,19790803,   29,    0
101922,19790804,    0,    0
101922,19790805,    0,    0
101922,19790806,    2,    0
101922,19790807,   18,    0
101922,19790808,    7,    0
101922,19790809,   83,    0
101922,19790810,    0,    0
101922,19790811,    0,    0
101922,19790812,    0,    0
101922,19790813,    2,    0
101922,19790814,    0,    0
101922,19790815,    0,    0
101922,19790816,    0,    0
101922,19790817,    5,    0
101922,19790818,    0,    0
101922,19790819,    0,    0
101922,19790820,   26,    0
101922,19790821,    3,    0
101922,19790822,    6,    0
101922,19790823,  200,    0
101922,19790824,   55,    0
101922,19790825,   52,    0
101922,19790826,    2,    0
101922,19790827,   36,    0
101922,19790828,    0,    0
101922,19790829,    0,    0
101922,19790830,    0,    0
101922,19790831,    0,    0
101922,19790901,   46,    0
101922,19790902,   34,    0
101922,19790903,  147,    0
101922,19790904,    0,    0
101922,19790905,    0,    0
101922,19790906,    0,    0
101922,19790907,    0,    0
101922,19790908,    0,    0
101922,19790909,    0,    0
101922,19790910,    0,    0
101922,19790911,    0,    0
101922,19790912,    0,    0
101922,19790913,    0,    0
101922,19790914,   19,    0
101922,19790915,    0,    0
101922,19790916,    0,    0
101922,19790917,   18,    0
101922,19790918,   87,    0
101922,19790919,  131,    0
101922,19790920,   17,    0
101922,19790921,   13,    0
101922,19790922,    0,    0
101922,19790923,   55,    0
101922,19790924,    8,    0
101922,19790925,    2,    0
101922,19790926,   47,    0
101922,19790927,    0,    0
101922,19790928,    0,    0
101922,19790929,    0,    0
101922,19790930,    0,    0
101922,19791001,    0,    0
101922,19791002,    0,    0
101922,19791003,    5,    0
101922,19791004,  191,    0
101922,19791005,    1,    0
101922,19791006,    0,    0
101922,19791007,    2,    0
101922,19791008,    0,    0
101922,19791009,    0,    0
101922,19791010,    0,    0
101922,19791011,   40,    0
101922,19791012,   63,    0
101922,19791013,   36,    0
101922,19791014,   11,    0
101922,19791015,  126,    0
101922,19791016,    7,    0
101922,19791017,   21,    0
101922,19791018,    0,    0
101922,19791019,    3,    0
101922,19791020,    0,    0
101922,19791021,    0,    0
101922,19791022,    0,    0
101922,19791023,    0,    0
101922,19791024,    0,    0
101922,19791025,    0,    0
101922,19791026,    0,    0
101922,19791027,    0,    0
101922,19791028,    0,    0
101922,19791029,    0,    0
101922,19791030,   13,    0
101922,19791031,   37,    0
101922,19791101,   27,    0
101922,19791102,    0,    0
101922,19791103,   25,    0
101922,19791104,  254,    0
101922,19791105,   65,    0
101922,19791106,    7,    0
101922,19791107,   74,    0
101922,19791108,   12,    0
101922,19791109,   28,    0
101922,19791110,   22,    0
101922,19791111,  142,    0
101922,19791112,   28,    0
101922,19791113,    3,    0
101922,19791114,   33,    0
101922,19791115,    2,    0
101922,19791116,    1,    0
101922,19791117,   46,    0
101922,19791118,   82,    0
101922,19791119,    1,    0
101922,19791120,    0,    0
101922,19791121,    0,    0
101922,19791122,    1,    0
101922,19791123,   23,    0
101922,19791124,    0,    0
101922,19791125,    0,    0
101922,19791126,   34,    0
101922,19791127,    0,    0
101922,19791128,    0,    0
101922,19791129,    0,    0
101922,19791130,   20,    0
101922,19791201,    0,    0
101922,19791202,    0,    0
101922,19791203,    0,    0
101922,19791204,    0,    0
101922,19791205,   48,    0
101922,19791206,    2,    0
101922,19791207,   74,    0
101922,19791208,    1,    0
101922,19791209,  114,    0
101922,19791210,   46,    0
101922,19791211,   26,    0
101922,19791212,   54,    0
101922,19791213,   73,    0
101922,19791214,  148,    0
101922,19791215,  131,    0
101922,19791216,    6,    0
101922,19791217,    7,    0
101922,19791218,   27,    0
101922,19791219,   37,    0
101922,19791220,   32,    0
101922,19791221,    0,    0
101922,19791222,    2,    0
101922,19791223,   57,    0
101922,19791224,   59,    0
101922,19791225,    9,    0
101922,19791226,    0,    0
101922,19791227,  156,    0
101922,19791228,   42,    0
101922,19791229,   76,    0
101922,19791230,   35,    0
101922,19791231,   26,    0
101922,19800101,   15,    0
101922,19800102,   10,    0
101922,19800103,   37,    0
101922,19800104,   49,    0
101922,19800105,   44,    0
101922,19800106,   12,    0
101922,19800107,    1,    0
101922,19800108,    0,    0
101922,19800109,    0,    0
101922,19800110,    0,    0
101922,19800111,    0,    0
101922,19800112,    0,    0
101922,19800113,    0,    0
101922,19800114,    0,    0
101922,19800115,    2,    0
101922,19800116,    0,    0
101922,19800117,    0,    0
101922,19800118,    0,    0
101922,19800119,    0,    0
101922,19800120,    0,    0
101922,19800121,   40,    0
101922,19800122,    0,    0
101922,19800123,   43,    0
101922,19800124,    2,    0
101922,19800125,    3,    0
101922,19800126,   29,    0
101922,19800127,    1,    0
101922,19800128,   43,    0
101922,19800129,   20,    0
101922,19800130,   34,    0
101922,19800131,   26,    0
101922,19800201,   16,    0
101922,19800202,   76,    0
101922,19800203,   59,    0
101922,19800204,   55,    0
101922,19800205,   34,    0
101922,19800206,   18,    0
101922,19800207,   43,    0
101922,19800208,   67,    0
101922,19800209,   10,    0
101922,19800210,    1,    0
101922,19800211,    0,    0
101922,19800212,    0,    0
101922,19800213,    3,    0
101922,19800214,    0,    0
101922,19800215,   15,    0
101922,19800216,    0,    0
101922,19800217,    0,    0
101922,19800218,    0,    0
101922,19800219,    0,    0
101922,19800220,    0,    0
101922,19800221,    0,    0
101922,19800222,    0,    0
101922,19800223,    0,    0
101922,19800224,    0,    0
101922,19800225,    0,    0
101922,19800226,    1,    0
101922,19800227,    0,    0
101922,19800228,    0,    0
101922,19800229,    0,    0
101922,19800301,    0,    0
101922,19800302,    3,    0
101922,19800303,    7,    0
101922,19800304,    0,    0
101922,19800305,    0,    0
101922,19800306,   72,    0
101922,19800307,  100,    0
101922,19800308,    1,    0
101922,19800309,    0,    0
101922,19800310,   12,    0
101922,19800311,    0,    0
101922,19800312,  190,    0
101922,19800313,   36,    0
101922,19800314,    0,    0
101922,19800315,    0,    0
101922,19800316,    0,    0
101922,19800317,    1,    0
101922,19800318,    2,    0
101922,19800319,    0,    0
101922,19800320,    0,    0
101922,19800321,    4,    0
101922,19800322,    5,    0
101922,19800323,    0,    0
101922,19800324,    0,    0
101922,19800325,   37,    0
101922,19800326,   18,    0
101922,19800327,  106,    0
101922,19800328,   52,    0
101922,19800329,   31,    0
101922,19800330,    2,    0
101922,19800331,   19,    0
101922,19800401,   34,    0
101922,19800402,    2,    0
101922,19800403,    1,    0
101922,19800404,    0,    0
101922,19800405,    0,    0
101922,19800406,    0,    0
101922,19800407,    5,    0
101922,19800408,    6,    0
101922,19800409,    4,    0
101922,19800410,    0,    0
101922,19800411,    0,    0
101922,19800412,    0,    0
101922,19800413,    0,    0
101922,19800414,    0,    0
101922,19800415,    0,    0
101922,19800416,    0,    0
101922,19800417,    0,    0
101922,19800418,    8,    0
101922,19800419,   26,    0
101922,19800420,   12,    0
101922,19800421,    1,    0
101922,19800422,    0,    0
101922,19800423,    1,    0
101922,19800424,    0,    0
101922,19800425,   18,    0
101922,19800426,    0,    0
101922,19800427,    0,    0
101922,19800428,    4,    0
101922,19800429,    3,    0
101922,19800430,    0,    0
101922,19800501,    0,    0
101922,19800502,    0,    0
101922,19800503,    0,    0
101922,19800504,    0,    0
101922,19800505,    0,    0
101922,19800506,    2,    0
101922,19800507,    1,    0
101922,19800508,    0,    0
101922,19800509,    0,    0
101922,19800510,    0,    0
101922,19800511,    0,    0
101922,19800512,    0,    0
101922,19800513,    0,    0
101922,19800514,    0,    0
101922,19800515,    0,    0
101922,19800516,    0,    0
101922,19800517,    0,    0
101922,19800518,    0,    0
101922,19800519,    0,    0
101922,19800520,    0,    0
101922,19800521,    0,    0
101922,19800522,    0,    0
101922,19800523,    0,    0
101922,19800524,    8,    0
101922,19800525,    0,    0
101922,19800526,    0,    0
101922,19800527,   18,    0
101922,19800528,    0,    0
101922,19800529,   29,    0
101922,19800530,    0,    0
101922,19800531,   60,    0
101922,19800601,    0,    0
101922,19800602,    4,    0
101922,19800603,    0,    0
101922,19800604,    0,    0
101922,19800605,    0,    0
101922,19800606,   23,    0
101922,19800607,    6,    0
101922,19800608,    0,    0
101922,19800609,    0,    0
101922,19800610,    6,    0
101922,19800611,    0,    0
101922,19800612,   12,    0
101922,19800613,   12,    0
101922,19800614,    0,    0
101922,19800615,    1,    0
101922,19800616,   72,    0
101922,19800617,    0,    0
101922,19800618,    7,    0
101922,19800619,   44,    0
101922,19800620,   12,    0
101922,19800621,    7,    0
101922,19800622,   80,    0
101922,19800623,   72,    0
101922,19800624,   10,    0
101922,19800625,   52,    0
101922,19800626,   12,    0
101922,19800627,   35,    0
101922,19800628,   63,    0
101922,19800629,    6,    0
101922,19800630,  224,    0
101922,19800701,   37,    0
101922,19800702,    0,    0
101922,19800703,    0,    0
101922,19800704,   14,    0
