EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, SCHOONLOO (STAID: 529).
Blended and updated with sources: 101944 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
101944,19790101,    4,    0
101944,19790102,    0,    0
101944,19790103,   21,    0
101944,19790104,    0,    0
101944,19790105,    0,    0
101944,19790106,    0,    0
101944,19790107,   95,    0
101944,19790108,   18,    0
101944,19790109,   24,    0
101944,19790110,   45,    0
101944,19790111,    8,    0
101944,19790112,   70,    0
101944,19790113,   14,    0
101944,19790114,    0,    0
101944,19790115,    0,    0
101944,19790116,    0,    0
101944,19790117,    6,    0
101944,19790118,    0,    0
101944,19790119,    0,    0
101944,19790120,    0,    0
101944,19790121,    0,    0
101944,19790122,    4,    0
101944,19790123,   71,    0
101944,19790124,    5,    0
101944,19790125,   43,    0
101944,19790126,   33,    0
101944,19790127,    0,    0
101944,19790128,    0,    0
101944,19790129,   17,    0
101944,19790130,    3,    0
101944,19790131,    5,    0
101944,19790201,   90,    0
101944,19790202,    0,    0
101944,19790203,    3,    0
101944,19790204,   13,    0
101944,19790205,    0,    0
101944,19790206,    0,    0
101944,19790207,   24,    0
101944,19790208,    0,    0
101944,19790209,    0,    0
101944,19790210,    0,    0
101944,19790211,   23,    0
101944,19790212,   16,    0
101944,19790213,  210,    0
101944,19790214,   95,    0
101944,19790215,   12,    0
101944,19790216,    0,    0
101944,19790217,   11,    0
101944,19790218,    0,    0
101944,19790219,    0,    0
101944,19790220,    0,    0
101944,19790221,    0,    0
101944,19790222,    4,    0
101944,19790223,    0,    0
101944,19790224,    0,    0
101944,19790225,    0,    0
101944,19790226,    0,    0
101944,19790227,    0,    0
101944,19790228,   10,    0
