EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, DIRKSLAND (STAID: 545).
Blended and updated with sources: 101973 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
101973,19790101,    6,    0
101973,19790102,   25,    0
101973,19790103,    0,    0
101973,19790104,    0,    0
101973,19790105,    0,    0
101973,19790106,    0,    0
101973,19790107,  115,    0
101973,19790108,   33,    0
101973,19790109,    1,    0
101973,19790110,   42,    0
101973,19790111,   44,    0
101973,19790112,   23,    0
101973,19790113,   29,    0
101973,19790114,    0,    0
101973,19790115,    0,    0
101973,19790116,    0,    0
101973,19790117,    0,    0
101973,19790118,    0,    0
101973,19790119,    0,    0
101973,19790120,   70,    0
101973,19790121,    0,    0
101973,19790122,   28,    0
101973,19790123,   35,    0
101973,19790124,   21,    0
101973,19790125,   28,    0
101973,19790126,    8,    0
101973,19790127,    0,    0
101973,19790128,   20,    0
101973,19790129,   18,    0
101973,19790130,   10,    0
101973,19790131,   11,    0
101973,19790201,  131,    0
101973,19790202,    0,    0
101973,19790203,    0,    0
101973,19790204,    0,    0
101973,19790205,    0,    0
101973,19790206,   42,    0
101973,19790207,    5,    0
101973,19790208,    0,    0
101973,19790209,    0,    0
101973,19790210,    0,    0
101973,19790211,   40,    0
101973,19790212,   21,    0
101973,19790213,  107,    0
101973,19790214,   10,    0
101973,19790215,    0,    0
101973,19790216,    0,    0
101973,19790217,    0,    0
101973,19790218,    0,    0
101973,19790219,    0,    0
101973,19790220,    0,    0
101973,19790221,    0,    0
101973,19790222,   33,    0
101973,19790223,   13,    0
101973,19790224,    0,    0
101973,19790225,    0,    0
101973,19790226,    0,    0
101973,19790227,    0,    0
101973,19790228,    7,    0
101973,19790301,   25,    0
101973,19790302,   11,    0
101973,19790303,  126,    0
101973,19790304,   10,    0
101973,19790305,    0,    0
101973,19790306,   12,    0
101973,19790307,   28,    0
101973,19790308,   30,    0
101973,19790309,  115,    0
101973,19790310,   66,    0
101973,19790311,   99,    0
101973,19790312,    0,    0
101973,19790313,  122,    0
101973,19790314,   36,    0
101973,19790315,  105,    0
101973,19790316,   16,    0
101973,19790317,    4,    0
101973,19790318,    0,    0
101973,19790319,    0,    0
101973,19790320,    4,    0
101973,19790321,   26,    0
101973,19790322,   15,    0
101973,19790323,    0,    0
