EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, APELDOORN (STAID: 552).
Blended and updated with sources: 101993 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
101993,19790101,    0,    0
101993,19790102,   73,    0
101993,19790103,    1,    0
101993,19790104,    1,    0
101993,19790105,    1,    0
101993,19790106,    0,    0
101993,19790107,   49,    0
101993,19790108,   49,    0
101993,19790109,   17,    0
101993,19790110,   88,    0
101993,19790111,   44,    0
101993,19790112,   33,    0
101993,19790113,    3,    0
101993,19790114,    0,    0
101993,19790115,    0,    0
101993,19790116,    1,    0
101993,19790117,    3,    0
101993,19790118,    0,    0
101993,19790119,    0,    0
101993,19790120,    1,    0
101993,19790121,    0,    0
101993,19790122,   31,    0
101993,19790123,   28,    0
101993,19790124,   18,    0
101993,19790125,   50,    0
101993,19790126,    1,    0
101993,19790127,    0,    0
101993,19790128,   15,    0
101993,19790129,   33,    0
101993,19790130,    9,    0
101993,19790131,    2,    0
101993,19790201,  175,    0
101993,19790202,    2,    0
101993,19790203,    0,    0
101993,19790204,    2,    0
101993,19790205,    0,    0
101993,19790206,    0,    0
101993,19790207,   51,    0
101993,19790208,    0,    0
101993,19790209,    0,    0
101993,19790210,    0,    0
101993,19790211,   60,    0
101993,19790212,   38,    0
101993,19790213,  185,    0
101993,19790214,   47,    0
101993,19790215,    7,    0
101993,19790216,    0,    0
101993,19790217,    9,    0
101993,19790218,    0,    0
101993,19790219,    0,    0
101993,19790220,    0,    0
101993,19790221,    2,    0
101993,19790222,   25,    0
101993,19790223,    2,    0
101993,19790224,    0,    0
101993,19790225,    0,    0
101993,19790226,    0,    0
101993,19790227,    0,    0
101993,19790228,    1,    0
101993,19790301,   26,    0
101993,19790302,   21,    0
101993,19790303,  123,    0
101993,19790304,   14,    0
101993,19790305,    0,    0
101993,19790306,   12,    0
101993,19790307,   51,    0
101993,19790308,   56,    0
101993,19790309,  123,    0
101993,19790310,   46,    0
101993,19790311,   79,    0
101993,19790312,    0,    0
101993,19790313,   18,    0
101993,19790314,   29,    0
101993,19790315,   95,    0
101993,19790316,   41,    0
101993,19790317,    6,    0
101993,19790318,    0,    0
101993,19790319,    0,    0
101993,19790320,    7,    0
101993,19790321,   12,    0
101993,19790322,   30,    0
101993,19790323,    0,    0
101993,19790324,   18,    0
101993,19790325,   44,    0
101993,19790326,   39,    0
101993,19790327,  105,    0
101993,19790328,   13,    0
101993,19790329,   17,    0
101993,19790330,    2,    0
101993,19790331,    8,    0
101993,19790401,   17,    0
101993,19790402,   18,    0
101993,19790403,   80,    0
101993,19790404,   59,    0
101993,19790405,    0,    0
101993,19790406,    0,    0
101993,19790407,    0,    0
101993,19790408,    0,    0
101993,19790409,    0,    0
101993,19790410,    0,    0
101993,19790411,   13,    0
101993,19790412,    3,    0
101993,19790413,    0,    0
101993,19790414,    0,    0
101993,19790415,   55,    0
101993,19790416,    5,    0
101993,19790417,    1,    0
101993,19790418,    0,    0
101993,19790419,    7,    0
101993,19790420,   62,    0
101993,19790421,   64,    0
101993,19790422,   31,    0
101993,19790423,   67,    0
101993,19790424,   16,    0
101993,19790425,   12,    0
101993,19790426,   19,    0
101993,19790427,    0,    0
101993,19790428,   26,    0
101993,19790429,  149,    0
101993,19790430,   41,    0
101993,19790501,  211,    0
101993,19790502,   60,    0
101993,19790503,   43,    0
101993,19790504,   53,    0
101993,19790505,    6,    0
101993,19790506,    4,    0
101993,19790507,    0,    0
101993,19790508,    0,    0
101993,19790509,    0,    0
101993,19790510,   62,    0
101993,19790511,   39,    0
101993,19790512,    0,    0
101993,19790513,    0,    0
101993,19790514,    0,    0
101993,19790515,    0,    0
101993,19790516,    7,    0
101993,19790517,    5,    0
101993,19790518,    0,    0
101993,19790519,    0,    0
101993,19790520,   38,    0
101993,19790521,   20,    0
101993,19790522,   10,    0
101993,19790523,   40,    0
101993,19790524,   11,    0
101993,19790525,   56,    0
101993,19790526,   38,    0
101993,19790527,   26,    0
101993,19790528,    0,    0
101993,19790529,   30,    0
101993,19790530,   89,    0
101993,19790531,  216,    0
101993,19790601,    6,    0
101993,19790602,    0,    0
101993,19790603,   21,    0
101993,19790604,  106,    0
101993,19790605,    0,    0
101993,19790606,   16,    0
101993,19790607,   28,    0
101993,19790608,  114,    0
101993,19790609,    0,    0
101993,19790610,  114,    0
101993,19790611,    4,    0
101993,19790612,   62,    0
101993,19790613,   59,    0
101993,19790614,  127,    0
101993,19790615,   29,    0
101993,19790616,    0,    0
101993,19790617,    0,    0
101993,19790618,    0,    0
101993,19790619,    0,    0
101993,19790620,    0,    0
101993,19790621,   32,    0
101993,19790622,    1,    0
101993,19790623,    2,    0
101993,19790624,   14,    0
101993,19790625,   20,    0
101993,19790626,    1,    0
101993,19790627,    0,    0
101993,19790628,   14,    0
101993,19790629,    5,    0
101993,19790630,    8,    0
101993,19790701,   23,    0
101993,19790702,    0,    0
101993,19790703,    0,    0
101993,19790704,    0,    0
101993,19790705,    0,    0
101993,19790706,    0,    0
101993,19790707,    5,    0
101993,19790708,   18,    0
101993,19790709,    5,    0
101993,19790710,    0,    0
101993,19790711,    0,    0
101993,19790712,    0,    0
101993,19790713,    0,    0
101993,19790714,    0,    0
101993,19790715,    0,    0
101993,19790716,    9,    0
101993,19790717,   11,    0
101993,19790718,   90,    0
101993,19790719,    0,    0
101993,19790720,    3,    0
101993,19790721,   52,    0
101993,19790722,   10,    0
101993,19790723,  103,    0
101993,19790724,   18,    0
