EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, ALMEN (STAID: 563).
Blended and updated with sources: 102032 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
102032,19790101,    0,    0
102032,19790102,   23,    0
102032,19790103,    4,    0
102032,19790104,    0,    0
102032,19790105,    0,    0
102032,19790106,    0,    0
102032,19790107,   11,    0
102032,19790108,   97,    0
102032,19790109,   32,    0
102032,19790110,   68,    0
102032,19790111,   17,    0
102032,19790112,   38,    0
102032,19790113,    7,    0
102032,19790114,    0,    0
102032,19790115,    0,    0
102032,19790116,    0,    0
102032,19790117,    3,    0
102032,19790118,    0,    0
102032,19790119,    0,    0
102032,19790120,    0,    0
102032,19790121,    0,    0
102032,19790122,    0,    0
102032,19790123,   36,    0
102032,19790124,    9,    0
102032,19790125,   20,    0
102032,19790126,   15,    0
102032,19790127,    0,    0
102032,19790128,    8,    0
102032,19790129,    7,    0
102032,19790130,    0,    0
102032,19790131,    0,    0
102032,19790201,  173,    0
102032,19790202,    0,    0
102032,19790203,    8,    0
102032,19790204,    0,    0
102032,19790205,    0,    0
102032,19790206,    0,    0
102032,19790207,   44,    0
102032,19790208,    0,    0
102032,19790209,    0,    0
102032,19790210,    0,    0
102032,19790211,   29,    0
102032,19790212,   18,    0
102032,19790213,  156,    0
102032,19790214,   68,    0
102032,19790215,    3,    0
102032,19790216,    0,    0
102032,19790217,   15,    0
102032,19790218,    0,    0
102032,19790219,    0,    0
102032,19790220,    0,    0
102032,19790221,    0,    0
102032,19790222,   19,    0
102032,19790223,    0,    0
102032,19790224,    0,    0
102032,19790225,    0,    0
102032,19790226,    0,    0
102032,19790227,    0,    0
102032,19790228,    0,    0
102032,19790301,   13,    0
102032,19790302,   20,    0
102032,19790303,   59,    0
102032,19790304,   15,    0
102032,19790305,    0,    0
102032,19790306,    8,    0
102032,19790307,   49,    0
102032,19790308,   24,    0
102032,19790309,  102,    0
102032,19790310,   46,    0
102032,19790311,   46,    0
102032,19790312,    0,    0
102032,19790313,   30,    0
102032,19790314,   42,    0
102032,19790315,  114,    0
102032,19790316,   22,    0
102032,19790317,    9,    0
102032,19790318,    0,    0
102032,19790319,    0,    0
102032,19790320,   10,    0
102032,19790321,   19,    0
102032,19790322,   56,    0
102032,19790323,    1,    0
102032,19790324,   14,    0
102032,19790325,   42,    0
102032,19790326,   25,    0
102032,19790327,   91,    0
102032,19790328,    7,    0
102032,19790329,   10,    0
102032,19790330,    2,    0
102032,19790331,    6,    0
102032,19790401,   15,    0
102032,19790402,   26,    0
102032,19790403,   76,    0
102032,19790404,   53,    0
102032,19790405,    0,    0
102032,19790406,    0,    0
102032,19790407,    0,    0
102032,19790408,    0,    0
102032,19790409,    0,    0
102032,19790410,    0,    0
102032,19790411,   20,    0
102032,19790412,    2,    0
102032,19790413,    0,    0
102032,19790414,    0,    0
102032,19790415,   44,    0
102032,19790416,    7,    0
102032,19790417,    2,    0
102032,19790418,    0,    0
102032,19790419,    4,    0
102032,19790420,   83,    0
102032,19790421,   28,    0
102032,19790422,   34,    0
102032,19790423,   64,    0
102032,19790424,   38,    0
102032,19790425,    0,    0
102032,19790426,   70,    0
102032,19790427,    1,    0
102032,19790428,   10,    0
102032,19790429,   99,    0
102032,19790430,   11,    0
102032,19790501,  186,    0
102032,19790502,   48,    0
102032,19790503,   36,    0
102032,19790504,   26,    0
102032,19790505,   16,    0
102032,19790506,    1,    0
102032,19790507,    0,    0
102032,19790508,    0,    0
102032,19790509,    0,    0
102032,19790510,   56,    0
102032,19790511,   34,    0
102032,19790512,    0,    0
102032,19790513,    0,    0
102032,19790514,    0,    0
102032,19790515,    0,    0
102032,19790516,   11,    0
102032,19790517,   19,    0
102032,19790518,    0,    0
102032,19790519,    0,    0
102032,19790520,   27,    0
102032,19790521,    6,    0
102032,19790522,   17,    0
102032,19790523,   30,    0
102032,19790524,   28,    0
102032,19790525,   48,    0
102032,19790526,  102,    0
102032,19790527,   30,    0
102032,19790528,    0,    0
102032,19790529,    7,    0
102032,19790530,    2,    0
102032,19790531,   43,    0
102032,19790601,   31,    0
102032,19790602,    4,    0
102032,19790603,    6,    0
102032,19790604,   42,    0
102032,19790605,    0,    0
102032,19790606,    2,    0
102032,19790607,    2,    0
102032,19790608,   21,    0
102032,19790609,    0,    0
102032,19790610,   61,    0
102032,19790611,    0,    0
102032,19790612,   32,    0
102032,19790613,   72,    0
102032,19790614,   27,    0
102032,19790615,   30,    0
102032,19790616,    0,    0
102032,19790617,    0,    0
102032,19790618,    0,    0
102032,19790619,    0,    0
102032,19790620,    0,    0
102032,19790621,   20,    0
102032,19790622,    7,    0
102032,19790623,   12,    0
102032,19790624,   40,    0
102032,19790625,   12,    0
102032,19790626,    0,    0
102032,19790627,    0,    0
102032,19790628,    4,    0
102032,19790629,    5,    0
102032,19790630,    0,    0
102032,19790701,   24,    0
102032,19790702,    0,    0
102032,19790703,    0,    0
102032,19790704,    0,    0
102032,19790705,    0,    0
102032,19790706,    0,    0
102032,19790707,    7,    0
