EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, KAPELLEBRUG (STAID: 573).
Blended and updated with sources: 102061 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
102061,19790101,    0,    0
102061,19790102,   22,    0
102061,19790103,    0,    0
102061,19790104,    0,    0
102061,19790105,    0,    0
102061,19790106,    0,    0
102061,19790107,   67,    0
102061,19790108,  137,    0
102061,19790109,    6,    0
102061,19790110,  118,    0
102061,19790111,   80,    0
102061,19790112,   24,    0
102061,19790113,   68,    0
102061,19790114,    0,    0
102061,19790115,    0,    0
102061,19790116,    0,    0
102061,19790117,    0,    0
102061,19790118,    0,    0
102061,19790119,    0,    0
102061,19790120,   52,    0
102061,19790121,    2,    0
102061,19790122,   29,    0
102061,19790123,   17,    0
102061,19790124,   22,    0
102061,19790125,   19,    0
102061,19790126,    6,    0
102061,19790127,    0,    0
102061,19790128,   14,    0
102061,19790129,    5,    0
102061,19790130,    3,    0
102061,19790131,    0,    0
102061,19790201,  130,    0
102061,19790202,    0,    0
102061,19790203,    0,    0
102061,19790204,    0,    0
102061,19790205,    0,    0
102061,19790206,   49,    0
102061,19790207,   16,    0
102061,19790208,    0,    0
102061,19790209,    0,    0
102061,19790210,    0,    0
102061,19790211,   46,    0
102061,19790212,   64,    0
102061,19790213,   95,    0
102061,19790214,   32,    0
102061,19790215,    0,    0
102061,19790216,    0,    0
102061,19790217,    1,    0
102061,19790218,    0,    0
102061,19790219,    0,    0
102061,19790220,    0,    0
102061,19790221,    1,    0
102061,19790222,   36,    0
102061,19790223,    8,    0
102061,19790224,    0,    0
102061,19790225,    0,    0
102061,19790226,    0,    0
102061,19790227,    0,    0
102061,19790228,    3,    0
102061,19790301,   23,    0
102061,19790302,   24,    0
