EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, VLIELAND (STAID: 601).
Blended and updated with sources: 152493 155415 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
155415,19790101,   12,    0
155415,19790102,   40,    0
155415,19790103,    9,    0
155415,19790104,    0,    0
155415,19790105,    0,    0
155415,19790106,    0,    0
155415,19790107,   93,    0
155415,19790108,   12,    0
155415,19790109,    6,    0
155415,19790110,   56,    0
155415,19790111,   24,    0
155415,19790112,   59,    0
155415,19790113,   16,    0
155415,19790114,    0,    0
155415,19790115,    1,    0
155415,19790116,   29,    0
155415,19790117,    1,    0
155415,19790118,    0,    0
155415,19790119,    0,    0
155415,19790120,    0,    0
155415,19790121,    0,    0
155415,19790122,    1,    0
155415,19790123,   68,    0
155415,19790124,   18,    0
155415,19790125,  128,    0
155415,19790126,   60,    0
155415,19790127,    0,    0
155415,19790128,    1,    0
155415,19790129,   16,    0
155415,19790130,    2,    0
155415,19790131,   28,    0
155415,19790201,  122,    0
155415,19790202,    0,    0
155415,19790203,    2,    0
155415,19790204,    6,    0
155415,19790205,    2,    0
155415,19790206,    1,    0
155415,19790207,   10,    0
155415,19790208,    1,    0
155415,19790209,    0,    0
155415,19790210,    0,    0
155415,19790211,    7,    0
155415,19790212,   71,    0
155415,19790213,   45,    0
155415,19790214,    8,    0
155415,19790215,    1,    0
155415,19790216,    0,    0
155415,19790217,    1,    0
155415,19790218,    0,    0
155415,19790219,    1,    0
155415,19790220,    1,    0
155415,19790221,    1,    0
155415,19790222,   26,    0
155415,19790223,    8,    0
155415,19790224,    2,    0
155415,19790225,    1,    0
155415,19790226,    1,    0
155415,19790227,    0,    0
155415,19790228,    8,    0
155415,19790301,   19,    0
155415,19790302,   20,    0
155415,19790303,   51,    0
155415,19790304,    0,    0
155415,19790305,    0,    0
155415,19790306,   21,    0
155415,19790307,    0,    0
155415,19790308,   61,    0
155415,19790309,   75,    0
155415,19790310,   40,    0
155415,19790311,  121,    0
155415,19790312,    0,    0
155415,19790313,    0,    0
155415,19790314,    0,    0
155415,19790315,  171,    0
155415,19790316,   58,    0
155415,19790317,    2,    0
155415,19790318,    0,    0
155415,19790319,    1,    0
155415,19790320,    2,    0
155415,19790321,   40,    0
155415,19790322,   26,    0
155415,19790323,    0,    0
155415,19790324,   39,    0
155415,19790325,   42,    0
155415,19790326,   50,    0
155415,19790327,   36,    0
155415,19790328,   35,    0
155415,19790329,   16,    0
155415,19790330,    0,    0
155415,19790331,    1,    0
