EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, 'S HEERENHOEK (STAID: 2350).
Blended and updated with sources: 108958 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
108958,19790101,    4,    0
108958,19790102,   18,    0
108958,19790103,    0,    0
108958,19790104,    0,    0
108958,19790105,    0,    0
108958,19790106,    0,    0
108958,19790107,   54,    0
108958,19790108,   75,    0
108958,19790109,    0,    0
108958,19790110,   71,    0
108958,19790111,   41,    0
108958,19790112,   27,    0
108958,19790113,   27,    0
108958,19790114,    0,    0
108958,19790115,    0,    0
108958,19790116,    0,    0
108958,19790117,    0,    0
108958,19790118,    0,    0
108958,19790119,    5,    0
108958,19790120,   44,    0
108958,19790121,    0,    0
108958,19790122,   33,    0
108958,19790123,   30,    0
108958,19790124,   15,    0
108958,19790125,   16,    0
108958,19790126,    9,    0
108958,19790127,    0,    0
108958,19790128,   18,    0
108958,19790129,   18,    0
108958,19790130,    8,    0
108958,19790131,    4,    0
108958,19790201,  100,    0
108958,19790202,    0,    0
108958,19790203,    0,    0
108958,19790204,    0,    0
108958,19790205,    0,    0
108958,19790206,   38,    0
108958,19790207,   18,    0
108958,19790208,    0,    0
108958,19790209,    0,    0
108958,19790210,    0,    0
108958,19790211,   58,    0
108958,19790212,   23,    0
108958,19790213,  142,    0
108958,19790214,    2,    0
108958,19790215,    0,    0
108958,19790216,    0,    0
108958,19790217,    1,    0
108958,19790218,    0,    0
108958,19790219,    0,    0
108958,19790220,    0,    0
108958,19790221,    3,    0
108958,19790222,   36,    0
108958,19790223,    7,    0
108958,19790224,    0,    0
108958,19790225,    0,    0
108958,19790226,    2,    0
108958,19790227,    0,    0
108958,19790228,    0,    0
108958,19790301,   26,    0
108958,19790302,   13,    0
108958,19790303,   98,    0
108958,19790304,   16,    0
108958,19790305,    0,    0
108958,19790306,   27,    0
108958,19790307,   37,    0
108958,19790308,   43,    0
108958,19790309,  174,    0
108958,19790310,   27,    0
108958,19790311,   64,    0
108958,19790312,    0,    0
108958,19790313,  185,    0
108958,19790314,   73,    0
108958,19790315,   88,    0
108958,19790316,    8,    0
108958,19790317,    0,    0
108958,19790318,    0,    0
108958,19790319,    0,    0
108958,19790320,    0,    0
108958,19790321,   30,    0
108958,19790322,   28,    0
108958,19790323,    0,    0
108958,19790324,   64,    0
108958,19790325,   14,    0
108958,19790326,   29,    0
108958,19790327,   80,    0
108958,19790328,   30,    0
108958,19790329,   11,    0
108958,19790330,    9,    0
108958,19790331,    0,    0
108958,19790401,    8,    0
108958,19790402,   37,    0
108958,19790403,    8,    0
108958,19790404,    0,    0
108958,19790405,   88,    0
108958,19790406,   15,    0
108958,19790407,    0,    0
108958,19790408,    0,    0
108958,19790409,    0,    0
108958,19790410,    0,    0
108958,19790411,    0,    0
108958,19790412,   50,    0
108958,19790413,    0,    0
108958,19790414,    0,    0
108958,19790415,    0,    0
108958,19790416,   10,    0
108958,19790417,    1,    0
108958,19790418,    0,    0
108958,19790419,   26,    0
108958,19790420,   33,    0
108958,19790421,   24,    0
108958,19790422,   40,    0
108958,19790423,   11,    0
108958,19790424,   40,    0
108958,19790425,    1,    0
108958,19790426,    2,    0
108958,19790427,   20,    0
108958,19790428,   92,    0
108958,19790429,   88,    0
108958,19790430,    2,    0
108958,19790501,  173,    0
108958,19790502,   75,    0
108958,19790503,    3,    0
108958,19790504,   24,    0
108958,19790505,   10,    0
108958,19790506,    0,    0
108958,19790507,    0,    0
108958,19790508,    0,    0
108958,19790509,    0,    0
108958,19790510,   70,    0
108958,19790511,   31,    0
108958,19790512,    0,    0
108958,19790513,    0,    0
108958,19790514,    0,    0
108958,19790515,    0,    0
108958,19790516,    8,    0
108958,19790517,   38,    0
108958,19790518,    0,    0
108958,19790519,    5,    0
108958,19790520,   12,    0
108958,19790521,   24,    0
108958,19790522,   45,    0
108958,19790523,   38,    0
108958,19790524,  102,    0
108958,19790525,   12,    0
108958,19790526,  100,    0
108958,19790527,   55,    0
108958,19790528,   32,    0
108958,19790529,   97,    0
108958,19790530,    2,    0
108958,19790531,   30,    0
108958,19790601,    0,    0
108958,19790602,    0,    0
108958,19790603,    0,    0
108958,19790604,    6,    0
108958,19790605,    0,    0
108958,19790606,   21,    0
108958,19790607,   50,    0
108958,19790608,    1,    0
108958,19790609,    0,    0
108958,19790610,  134,    0
108958,19790611,    5,    0
108958,19790612,  128,    0
108958,19790613,   65,    0
108958,19790614,  103,    0
108958,19790615,  107,    0
108958,19790616,    0,    0
108958,19790617,    0,    0
108958,19790618,    0,    0
108958,19790619,    0,    0
108958,19790620,    0,    0
108958,19790621,    4,    0
108958,19790622,    0,    0
108958,19790623,   66,    0
108958,19790624,   23,    0
108958,19790625,   13,    0
108958,19790626,    3,    0
108958,19790627,    0,    0
108958,19790628,    0,    0
