EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, AALSMEER (STAID: 2351).
Blended and updated with sources: 108960 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
108960,19790101,    0,    0
108960,19790102,   35,    0
108960,19790103,    1,    0
108960,19790104,    0,    0
108960,19790105,    0,    0
108960,19790106,    0,    0
108960,19790107,   87,    0
108960,19790108,   27,    0
108960,19790109,   12,    0
108960,19790110,   85,    0
108960,19790111,   45,    0
108960,19790112,   11,    0
108960,19790113,   13,    0
108960,19790114,    0,    0
108960,19790115,    0,    0
108960,19790116,    0,    0
108960,19790117,    0,    0
108960,19790118,    0,    0
108960,19790119,    0,    0
108960,19790120,   77,    0
108960,19790121,    0,    0
108960,19790122,   27,    0
108960,19790123,   45,    0
108960,19790124,    5,    0
108960,19790125,   50,    0
108960,19790126,   19,    0
108960,19790127,    0,    0
108960,19790128,   21,    0
108960,19790129,   40,    0
108960,19790130,   11,    0
108960,19790131,   11,    0
108960,19790201,  211,    0
108960,19790202,    0,    0
108960,19790203,    0,    0
108960,19790204,    0,    0
108960,19790205,    0,    0
108960,19790206,    0,    0
108960,19790207,   38,    0
108960,19790208,    0,    0
108960,19790209,    0,    0
108960,19790210,    0,    0
108960,19790211,   53,    0
108960,19790212,   41,    0
108960,19790213,  184,    0
108960,19790214,   15,    0
108960,19790215,    7,    0
108960,19790216,    0,    0
108960,19790217,    5,    0
108960,19790218,    0,    0
108960,19790219,    0,    0
108960,19790220,    0,    0
108960,19790221,    0,    0
108960,19790222,   31,    0
108960,19790223,   26,    0
108960,19790224,    0,    0
108960,19790225,    0,    0
108960,19790226,    0,    0
108960,19790227,    0,    0
108960,19790228,    2,    0
108960,19790301,   31,    0
108960,19790302,   39,    0
108960,19790303,  196,    0
108960,19790304,    9,    0
108960,19790305,    0,    0
108960,19790306,    7,    0
108960,19790307,   21,    0
108960,19790308,   58,    0
108960,19790309,  110,    0
108960,19790310,   53,    0
108960,19790311,   58,    0
108960,19790312,    0,    0
108960,19790313,   23,    0
108960,19790314,    5,    0
108960,19790315,  126,    0
108960,19790316,   24,    0
108960,19790317,    0,    0
108960,19790318,    0,    0
108960,19790319,    0,    0
108960,19790320,    0,    0
108960,19790321,   30,    0
108960,19790322,   20,    0
108960,19790323,    0,    0
108960,19790324,   72,    0
108960,19790325,   26,    0
108960,19790326,  106,    0
108960,19790327,   71,    0
108960,19790328,    7,    0
108960,19790329,   19,    0
108960,19790330,    1,    0
108960,19790331,    4,    0
108960,19790401,   13,    0
108960,19790402,   91,    0
108960,19790403,   18,    0
108960,19790404,    0,    0
108960,19790405,   49,    0
108960,19790406,   17,    0
108960,19790407,    0,    0
108960,19790408,    0,    0
108960,19790409,    0,    0
108960,19790410,    0,    0
108960,19790411,   11,    0
108960,19790412,   41,    0
108960,19790413,    0,    0
108960,19790414,    0,    0
108960,19790415,   44,    0
108960,19790416,    6,    0
108960,19790417,    0,    0
108960,19790418,    0,    0
108960,19790419,   33,    0
108960,19790420,   63,    0
108960,19790421,   37,    0
108960,19790422,   18,    0
108960,19790423,   10,    0
108960,19790424,   22,    0
108960,19790425,   50,    0
108960,19790426,   11,    0
108960,19790427,   16,    0
108960,19790428,   66,    0
108960,19790429,  142,    0
108960,19790430,    9,    0
108960,19790501,  271,    0
108960,19790502,   82,    0
108960,19790503,    3,    0
108960,19790504,    2,    0
108960,19790505,   40,    0
108960,19790506,    0,    0
108960,19790507,    0,    0
108960,19790508,    0,    0
108960,19790509,    0,    0
108960,19790510,   70,    0
108960,19790511,   20,    0
108960,19790512,    0,    0
108960,19790513,    0,    0
108960,19790514,    0,    0
108960,19790515,    0,    0
108960,19790516,    3,    0
108960,19790517,   14,    0
108960,19790518,    0,    0
108960,19790519,    0,    0
108960,19790520,    3,    0
108960,19790521,   15,    0
108960,19790522,   30,    0
108960,19790523,   35,    0
