EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, AMSTERDAM (STAID: 2358).
Blended and updated with sources: 101920 108974 109368 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
108974,19790101,    0,    0
108974,19790102,   54,    0
108974,19790103,    0,    0
108974,19790104,    0,    0
108974,19790105,    0,    0
108974,19790106,    0,    0
108974,19790107,   37,    0
108974,19790108,   14,    0
108974,19790109,    8,    0
108974,19790110,   32,    0
108974,19790111,   48,    0
108974,19790112,   21,    0
108974,19790113,   12,    0
108974,19790114,    0,    0
108974,19790115,    0,    0
108974,19790116,    0,    0
108974,19790117,    0,    0
108974,19790118,    0,    0
108974,19790119,    0,    0
108974,19790120,   90,    0
108974,19790121,    0,    0
108974,19790122,   23,    0
108974,19790123,   45,    0
108974,19790124,    4,    0
108974,19790125,   62,    0
108974,19790126,   28,    0
108974,19790127,    0,    0
108974,19790128,   14,    0
108974,19790129,   32,    0
108974,19790130,   35,    0
108974,19790131,    7,    0
108974,19790201,  211,    0
108974,19790202,    0,    0
108974,19790203,    0,    0
108974,19790204,    0,    0
108974,19790205,    0,    0
108974,19790206,    1,    0
108974,19790207,   26,    0
108974,19790208,    0,    0
108974,19790209,    0,    0
108974,19790210,    0,    0
108974,19790211,   57,    0
108974,19790212,   43,    0
108974,19790213,  198,    0
108974,19790214,   15,    0
108974,19790215,    6,    0
108974,19790216,    0,    0
108974,19790217,    0,    0
108974,19790218,    0,    0
108974,19790219,    0,    0
108974,19790220,    0,    0
108974,19790221,    0,    0
108974,19790222,   26,    0
108974,19790223,   26,    0
108974,19790224,    0,    0
108974,19790225,    1,    0
108974,19790226,    0,    0
108974,19790227,    0,    0
108974,19790228,    1,    0
108974,19790301,   31,    0
108974,19790302,   36,    0
108974,19790303,  211,    0
108974,19790304,    6,    0
108974,19790305,    0,    0
108974,19790306,    3,    0
108974,19790307,   30,    0
108974,19790308,   46,    0
108974,19790309,   98,    0
108974,19790310,   47,    0
108974,19790311,   67,    0
108974,19790312,    0,    0
108974,19790313,   14,    0
108974,19790314,    3,    0
108974,19790315,  139,    0
108974,19790316,   18,    0
108974,19790317,    4,    0
108974,19790318,    0,    0
108974,19790319,    0,    0
108974,19790320,    2,    0
108974,19790321,   43,    0
108974,19790322,   21,    0
108974,19790323,    0,    0
108974,19790324,   59,    0
108974,19790325,   41,    0
108974,19790326,   67,    0
108974,19790327,   64,    0
108974,19790328,    7,    0
108974,19790329,   32,    0
108974,19790330,    0,    0
108974,19790331,    3,    0
108974,19790401,   10,    0
108974,19790402,   89,    0
108974,19790403,    2,    0
108974,19790404,    0,    0
108974,19790405,   52,    0
108974,19790406,    6,    0
108974,19790407,    0,    0
108974,19790408,    0,    0
108974,19790409,    0,    0
108974,19790410,    0,    0
108974,19790411,    9,    0
108974,19790412,   51,    0
108974,19790413,    0,    0
108974,19790414,    0,    0
108974,19790415,   63,    0
108974,19790416,    6,    0
108974,19790417,    0,    0
108974,19790418,    0,    0
108974,19790419,   34,    0
108974,19790420,   76,    0
108974,19790421,   97,    0
108974,19790422,   23,    0
108974,19790423,    1,    0
108974,19790424,   18,    0
108974,19790425,   90,    0
108974,19790426,   39,    0
108974,19790427,   15,    0
108974,19790428,   71,    0
108974,19790429,  163,    0
108974,19790430,   11,    0
108974,19790501,  250,    0
108974,19790502,   76,    0
108974,19790503,    3,    0
108974,19790504,   14,    0
108974,19790505,   15,    0
108974,19790506,    0,    0
108974,19790507,    0,    0
108974,19790508,    0,    0
108974,19790509,    0,    0
108974,19790510,   67,    0
108974,19790511,   24,    0
108974,19790512,    0,    0
108974,19790513,    0,    0
108974,19790514,    0,    0
108974,19790515,    0,    0
108974,19790516,    1,    0
108974,19790517,   20,    0
108974,19790518,    0,    0
108974,19790519,    0,    0
108974,19790520,    4,    0
108974,19790521,   13,    0
108974,19790522,   36,    0
108974,19790523,   54,    0
108974,19790524,   33,    0
108974,19790525,   24,    0
108974,19790526,  119,    0
108974,19790527,   62,    0
108974,19790528,   57,    0
108974,19790529,   94,    0
108974,19790530,  111,    0
108974,19790531,  365,    0
108974,19790601,    2,    0
108974,19790602,    0,    0
108974,19790603,  200,    0
108974,19790604,  104,    0
108974,19790605,    0,    0
108974,19790606,   17,    0
108974,19790607,   26,    0
108974,19790608,    0,    0
108974,19790609,    0,    0
108974,19790610,   83,    0
108974,19790611,   38,    0
108974,19790612,   23,    0
108974,19790613,  129,    0
108974,19790614,  211,    0
108974,19790615,   22,    0
108974,19790616,    0,    0
108974,19790617,    0,    0
108974,19790618,    0,    0
108974,19790619,    0,    0
108974,19790620,    0,    0
108974,19790621,    8,    0
108974,19790622,    0,    0
108974,19790623,   16,    0
108974,19790624,   24,    0
108974,19790625,   17,    0
108974,19790626,    0,    0
108974,19790627,    0,    0
108974,19790628,    7,    0
108974,19790629,   15,    0
108974,19790630,    0,    0
108974,19790701,    4,    0
108974,19790702,    0,    0
108974,19790703,    0,    0
108974,19790704,    0,    0
108974,19790705,    0,    0
108974,19790706,    0,    0
108974,19790707,   11,    0
108974,19790708,   35,    0
108974,19790709,    0,    0
108974,19790710,    0,    0
108974,19790711,    0,    0
108974,19790712,    0,    0
108974,19790713,    0,    0
108974,19790714,    0,    0
108974,19790715,    0,    0
108974,19790716,   25,    0
108974,19790717,    0,    0
108974,19790718,   71,    0
108974,19790719,    0,    0
108974,19790720,    0,    0
108974,19790721,   46,    0
108974,19790722,    0,    0
108974,19790723,   97,    0
108974,19790724,    3,    0
108974,19790725,    0,    0
108974,19790726,    0,    0
