EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, BLOKZIJL (STAID: 2373).
Blended and updated with sources: 109004 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109004,19790101,    0,    0
109004,19790102,   46,    0
109004,19790103,   17,    0
109004,19790104,    0,    0
109004,19790105,    0,    0
109004,19790106,    0,    0
109004,19790107,  104,    0
109004,19790108,   28,    0
109004,19790109,   15,    0
109004,19790110,   20,    0
109004,19790111,   30,    0
109004,19790112,   54,    0
109004,19790113,   21,    0
109004,19790114,    0,    0
109004,19790115,    0,    0
109004,19790116,    0,    0
109004,19790117,    2,    0
109004,19790118,    0,    0
109004,19790119,    0,    0
109004,19790120,    0,    0
109004,19790121,    0,    0
109004,19790122,   13,    0
109004,19790123,   57,    0
109004,19790124,    0,    0
109004,19790125,   31,    0
109004,19790126,   19,    0
109004,19790127,    0,    0
109004,19790128,    0,    0
109004,19790129,   15,    0
109004,19790130,    9,    0
109004,19790131,   23,    0
109004,19790201,  128,    0
109004,19790202,    0,    0
109004,19790203,    4,    0
109004,19790204,    0,    0
109004,19790205,    0,    0
109004,19790206,    0,    0
109004,19790207,   31,    0
109004,19790208,    0,    0
109004,19790209,    2,    0
109004,19790210,    0,    0
109004,19790211,    9,    0
109004,19790212,   26,    0
109004,19790213,  101,    0
109004,19790214,   37,    0
109004,19790215,    0,    0
109004,19790216,    0,    0
109004,19790217,   10,    0
109004,19790218,    0,    0
109004,19790219,    0,    0
109004,19790220,    0,    0
109004,19790221,    0,    0
109004,19790222,   25,    0
109004,19790223,    0,    0
109004,19790224,    0,    0
109004,19790225,    0,    0
109004,19790226,    0,    0
109004,19790227,    0,    0
109004,19790228,    0,    0
109004,19790301,   24,    0
109004,19790302,   17,    0
109004,19790303,  133,    0
109004,19790304,   11,    0
109004,19790305,    0,    0
109004,19790306,   13,    0
109004,19790307,   33,    0
109004,19790308,   28,    0
109004,19790309,   90,    0
109004,19790310,   34,    0
109004,19790311,   48,    0
109004,19790312,    0,    0
109004,19790313,    2,    0
109004,19790314,    1,    0
109004,19790315,  119,    0
109004,19790316,   37,    0
109004,19790317,    0,    0
109004,19790318,    0,    0
109004,19790319,    0,    0
109004,19790320,   11,    0
109004,19790321,   15,    0
109004,19790322,   27,    0
109004,19790323,    0,    0
109004,19790324,   22,    0
109004,19790325,   38,    0
109004,19790326,   78,    0
109004,19790327,   53,    0
109004,19790328,   37,    0
109004,19790329,   13,    0
109004,19790330,    0,    0
109004,19790331,    5,    0
109004,19790401,    8,    0
109004,19790402,   20,    0
109004,19790403,   25,    0
109004,19790404,   19,    0
109004,19790405,    2,    0
109004,19790406,    5,    0
109004,19790407,    0,    0
109004,19790408,    0,    0
109004,19790409,    0,    0
109004,19790410,    0,    0
109004,19790411,    3,    0
109004,19790412,   20,    0
109004,19790413,    0,    0
109004,19790414,    0,    0
109004,19790415,   61,    0
109004,19790416,    1,    0
109004,19790417,    0,    0
109004,19790418,    0,    0
109004,19790419,   18,    0
109004,19790420,  123,    0
109004,19790421,   39,    0
109004,19790422,   38,    0
109004,19790423,   47,    0
109004,19790424,   22,    0
