EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, BOSKOOP (STAID: 2375).
Blended and updated with sources: 109008 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109008,19790101,    5,    0
109008,19790102,   44,    0
109008,19790103,    0,    0
109008,19790104,    2,    0
109008,19790105,    0,    0
109008,19790106,    0,    0
109008,19790107,   84,    0
109008,19790108,   28,    0
109008,19790109,    0,    0
109008,19790110,   62,    0
109008,19790111,   58,    0
109008,19790112,   32,    0
109008,19790113,   28,    0
109008,19790114,    0,    0
109008,19790115,    0,    0
109008,19790116,    0,    0
109008,19790117,    0,    0
109008,19790118,    0,    0
109008,19790119,    0,    0
109008,19790120,   68,    0
109008,19790121,    0,    0
109008,19790122,   35,    0
109008,19790123,   37,    0
109008,19790124,    9,    0
109008,19790125,   59,    0
109008,19790126,   17,    0
109008,19790127,    1,    0
109008,19790128,   32,    0
109008,19790129,   34,    0
109008,19790130,    9,    0
109008,19790131,    6,    0
109008,19790201,  171,    0
109008,19790202,    0,    0
109008,19790203,    0,    0
109008,19790204,    0,    0
109008,19790205,    0,    0
109008,19790206,    7,    0
109008,19790207,   34,    0
109008,19790208,    0,    0
109008,19790209,    0,    0
109008,19790210,    0,    0
109008,19790211,   60,    0
109008,19790212,   22,    0
109008,19790213,  168,    0
109008,19790214,   11,    0
109008,19790215,    6,    0
109008,19790216,    0,    0
109008,19790217,    2,    0
109008,19790218,    4,    0
109008,19790219,    0,    0
109008,19790220,    0,    0
109008,19790221,    2,    0
109008,19790222,   32,    0
109008,19790223,   20,    0
109008,19790224,    0,    0
109008,19790225,    0,    0
109008,19790226,    0,    0
109008,19790227,    0,    0
109008,19790228,    0,    0
109008,19790301,   35,    0
109008,19790302,   28,    0
109008,19790303,  181,    0
109008,19790304,   12,    0
109008,19790305,    0,    0
109008,19790306,    7,    0
109008,19790307,   22,    0
109008,19790308,   47,    0
109008,19790309,  108,    0
109008,19790310,   63,    0
109008,19790311,  103,    0
109008,19790312,    0,    0
109008,19790313,   76,    0
109008,19790314,   13,    0
109008,19790315,  107,    0
109008,19790316,    5,    0
109008,19790317,    1,    0
109008,19790318,    0,    0
109008,19790319,    0,    0
109008,19790320,    4,    0
109008,19790321,   24,    0
109008,19790322,   30,    0
109008,19790323,    0,    0
109008,19790324,   69,    0
109008,19790325,   21,    0
109008,19790326,   62,    0
109008,19790327,   81,    0
109008,19790328,   17,    0
109008,19790329,   14,    0
109008,19790330,    0,    0
109008,19790331,    5,    0
109008,19790401,   16,    0
109008,19790402,   80,    0
109008,19790403,   28,    0
109008,19790404,    0,    0
109008,19790405,   36,    0
109008,19790406,   33,    0
109008,19790407,    1,    0
109008,19790408,    0,    0
109008,19790409,    0,    0
109008,19790410,    0,    0
109008,19790411,   17,    0
109008,19790412,   52,    0
109008,19790413,    0,    0
109008,19790414,    0,    0
109008,19790415,   12,    0
109008,19790416,   15,    0
109008,19790417,    3,    0
109008,19790418,    0,    0
109008,19790419,   31,    0
109008,19790420,   49,    0
109008,19790421,   44,    0
109008,19790422,   24,    0
109008,19790423,   13,    0
109008,19790424,   66,    0
109008,19790425,   38,    0
109008,19790426,   10,    0
109008,19790427,   16,    0
109008,19790428,   87,    0
109008,19790429,  128,    0
109008,19790430,    8,    0
109008,19790501,  313,    0
109008,19790502,   24,    0
109008,19790503,    0,    0
109008,19790504,   14,    0
109008,19790505,   35,    0
109008,19790506,    0,    0
109008,19790507,    0,    0
109008,19790508,    0,    0
109008,19790509,    0,    0
109008,19790510,   62,    0
109008,19790511,   24,    0
109008,19790512,    0,    0
109008,19790513,    0,    0
109008,19790514,    0,    0
109008,19790515,    0,    0
109008,19790516,    4,    0
109008,19790517,   23,    0
109008,19790518,    0,    0
109008,19790519,    0,    0
109008,19790520,    7,    0
109008,19790521,   11,    0
109008,19790522,   51,    0
109008,19790523,   55,    0
109008,19790524,    7,    0
109008,19790525,   16,    0
109008,19790526,  117,    0
109008,19790527,   82,    0
109008,19790528,   22,    0
109008,19790529,   34,    0
109008,19790530,  160,    0
109008,19790531,  228,    0
109008,19790601,    0,    0
109008,19790602,    0,    0
109008,19790603,    3,    0
109008,19790604,    0,    0
109008,19790605,    0,    0
109008,19790606,    4,    0
109008,19790607,   17,    0
109008,19790608,    0,    0
109008,19790609,    0,    0
109008,19790610,   26,    0
109008,19790611,    9,    0
109008,19790612,  133,    0
109008,19790613,   88,    0
109008,19790614,  198,    0
109008,19790615,  209,    0
109008,19790616,    0,    0
109008,19790617,    0,    0
109008,19790618,    0,    0
109008,19790619,    0,    0
109008,19790620,    0,    0
109008,19790621,   12,    0
109008,19790622,    0,    0
109008,19790623,   12,    0
109008,19790624,   81,    0
109008,19790625,    9,    0
109008,19790626,    3,    0
109008,19790627,    0,    0
109008,19790628,    3,    0
109008,19790629,    0,    0
109008,19790630,    0,    0
109008,19790701,    0,    0
109008,19790702,    0,    0
109008,19790703,    0,    0
109008,19790704,    0,    0
109008,19790705,    0,    0
109008,19790706,    0,    0
109008,19790707,   36,    0
109008,19790708,   40,    0
109008,19790709,    6,    0
109008,19790710,    0,    0
109008,19790711,    0,    0
109008,19790712,    0,    0
109008,19790713,    3,    0
109008,19790714,    0,    0
109008,19790715,    0,    0
109008,19790716,   25,    0
