EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, BOXTEL (STAID: 2376).
Blended and updated with sources: 109010 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109010,19790101,    0,    0
109010,19790102,   27,    0
109010,19790103,    0,    0
109010,19790104,    0,    0
109010,19790105,    0,    0
109010,19790106,    0,    0
109010,19790107,   57,    0
109010,19790108,  123,    0
109010,19790109,   30,    0
109010,19790110,  121,    0
109010,19790111,   52,    0
109010,19790112,   20,    0
109010,19790113,    2,    0
109010,19790114,    0,    0
109010,19790115,    0,    0
109010,19790116,    0,    0
109010,19790117,    0,    0
109010,19790118,    0,    0
109010,19790119,    0,    0
109010,19790120,   53,    0
109010,19790121,    2,    0
109010,19790122,   52,    0
109010,19790123,   14,    0
109010,19790124,    9,    0
109010,19790125,   17,    0
109010,19790126,    3,    0
109010,19790127,    0,    0
109010,19790128,   18,    0
109010,19790129,   11,    0
109010,19790130,    2,    0
109010,19790131,    1,    0
109010,19790201,  141,    0
109010,19790202,    0,    0
109010,19790203,    0,    0
109010,19790204,    0,    0
109010,19790205,    0,    0
109010,19790206,    4,    0
109010,19790207,   46,    0
109010,19790208,    0,    0
109010,19790209,    0,    0
109010,19790210,    0,    0
109010,19790211,   76,    0
109010,19790212,    8,    0
109010,19790213,  127,    0
109010,19790214,   77,    0
109010,19790215,    5,    0
109010,19790216,    0,    0
109010,19790217,   20,    0
109010,19790218,    0,    0
109010,19790219,    0,    0
109010,19790220,    0,    0
109010,19790221,    0,    0
109010,19790222,   39,    0
109010,19790223,   38,    0
109010,19790224,    0,    0
109010,19790225,    0,    0
109010,19790226,    0,    0
109010,19790227,    0,    0
109010,19790228,    0,    0
109010,19790301,   19,    0
109010,19790302,   24,    0
109010,19790303,   47,    0
109010,19790304,   38,    0
109010,19790305,    0,    0
109010,19790306,    0,    0
109010,19790307,   31,    0
109010,19790308,   31,    0
109010,19790309,  182,    0
109010,19790310,   74,    0
109010,19790311,   90,    0
109010,19790312,    1,    0
109010,19790313,  138,    0
109010,19790314,   83,    0
109010,19790315,   74,    0
109010,19790316,    7,    0
109010,19790317,    5,    0
109010,19790318,    8,    0
109010,19790319,    0,    0
109010,19790320,    9,    0
109010,19790321,   19,    0
109010,19790322,   64,    0
109010,19790323,    1,    0
109010,19790324,   27,    0
109010,19790325,   28,    0
109010,19790326,   31,    0
109010,19790327,   51,    0
109010,19790328,   11,    0
109010,19790329,   18,    0
109010,19790330,    1,    0
109010,19790331,    7,    0
109010,19790401,    2,    0
109010,19790402,   28,    0
109010,19790403,   33,    0
109010,19790404,    1,    0
109010,19790405,   31,    0
109010,19790406,    0,    0
109010,19790407,    1,    0
109010,19790408,    0,    0
109010,19790409,    0,    0
109010,19790410,    0,    0
109010,19790411,   24,    0
109010,19790412,    8,    0
109010,19790413,    0,    0
109010,19790414,    0,    0
109010,19790415,    8,    0
109010,19790416,   10,    0
109010,19790417,    0,    0
109010,19790418,    1,    0
109010,19790419,   10,    0
109010,19790420,   45,    0
109010,19790421,    8,    0
109010,19790422,   23,    0
109010,19790423,   34,    0
109010,19790424,    5,    0
109010,19790425,  190,    0
109010,19790426,   85,    0
109010,19790427,    7,    0
109010,19790428,   32,    0
109010,19790429,   74,    0
109010,19790430,    3,    0
109010,19790501,  158,    0
109010,19790502,   41,    0
109010,19790503,   15,    0
109010,19790504,   10,    0
109010,19790505,  162,    0
109010,19790506,    1,    0
109010,19790507,    0,    0
109010,19790508,    0,    0
109010,19790509,    0,    0
109010,19790510,   70,    0
109010,19790511,   33,    0
109010,19790512,    0,    0
109010,19790513,    0,    0
109010,19790514,    0,    0
109010,19790515,    0,    0
109010,19790516,   12,    0
109010,19790517,    9,    0
109010,19790518,    0,    0
109010,19790519,    1,    0
109010,19790520,    8,    0
109010,19790521,   33,    0
109010,19790522,   10,    0
109010,19790523,   55,    0
109010,19790524,   15,    0
109010,19790525,   32,    0
109010,19790526,   55,    0
109010,19790527,   29,    0
109010,19790528,    0,    0
109010,19790529,   12,    0
109010,19790530,  335,    0
109010,19790531,  543,    0
109010,19790601,    2,    0
109010,19790602,    0,    0
109010,19790603,   20,    0
109010,19790604,   13,    0
109010,19790605,    1,    0
109010,19790606,   64,    0
109010,19790607,    4,    0
109010,19790608,   23,    0
109010,19790609,    0,    0
109010,19790610,   32,    0
109010,19790611,    0,    0
109010,19790612,   70,    0
109010,19790613,  106,    0
109010,19790614,   34,    0
109010,19790615,   23,    0
109010,19790616,    0,    0
109010,19790617,    0,    0
109010,19790618,    0,    0
109010,19790619,    0,    0
109010,19790620,    0,    0
109010,19790621,   69,    0
109010,19790622,    0,    0
109010,19790623,   14,    0
109010,19790624,   19,    0
109010,19790625,    1,    0
109010,19790626,   18,    0
