EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, DEURNE (STAID: 2390).
Blended and updated with sources: 109038 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109038,19790101,    0,    0
109038,19790102,   30,    0
109038,19790103,    0,    0
109038,19790104,    0,    0
109038,19790105,    0,    0
109038,19790106,    0,    0
109038,19790107,   43,    0
109038,19790108,   65,    0
109038,19790109,   53,    0
109038,19790110,   91,    0
109038,19790111,   37,    0
109038,19790112,   16,    0
109038,19790113,    0,    0
109038,19790114,    0,    0
109038,19790115,    0,    0
109038,19790116,    0,    0
109038,19790117,    0,    0
109038,19790118,    0,    0
109038,19790119,    0,    0
109038,19790120,   58,    0
109038,19790121,    0,    0
109038,19790122,   60,    0
109038,19790123,   17,    0
109038,19790124,    6,    0
109038,19790125,    6,    0
109038,19790126,    3,    0
109038,19790127,    0,    0
109038,19790128,   13,    0
109038,19790129,   11,    0
109038,19790130,    6,    0
109038,19790131,    1,    0
109038,19790201,  137,    0
109038,19790202,    0,    0
109038,19790203,    0,    0
109038,19790204,    0,    0
109038,19790205,    0,    0
109038,19790206,    0,    0
109038,19790207,   44,    0
109038,19790208,    0,    0
109038,19790209,    0,    0
109038,19790210,    0,    0
109038,19790211,   81,    0
109038,19790212,    8,    0
109038,19790213,  121,    0
109038,19790214,   63,    0
109038,19790215,    0,    0
109038,19790216,    0,    0
109038,19790217,   55,    0
109038,19790218,    0,    0
109038,19790219,    0,    0
109038,19790220,    0,    0
109038,19790221,    0,    0
109038,19790222,   28,    0
109038,19790223,   36,    0
109038,19790224,    1,    0
109038,19790225,    0,    0
109038,19790226,    0,    0
109038,19790227,    0,    0
109038,19790228,    0,    0
109038,19790301,   23,    0
109038,19790302,   16,    0
109038,19790303,   30,    0
109038,19790304,   57,    0
109038,19790305,    0,    0
109038,19790306,    6,    0
109038,19790307,   27,    0
109038,19790308,   15,    0
109038,19790309,  145,    0
109038,19790310,   62,    0
109038,19790311,  120,    0
109038,19790312,    0,    0
