EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, DRONTEN (STAID: 2395).
Blended and updated with sources: 109048 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109048,19790101,    0,    0
109048,19790102,   35,    0
109048,19790103,    9,    0
109048,19790104,    0,    0
109048,19790105,    0,    0
109048,19790106,    0,    0
109048,19790107,   60,    0
109048,19790108,   35,    0
109048,19790109,    0,    0
109048,19790110,   36,    0
109048,19790111,   23,    0
109048,19790112,   24,    0
109048,19790113,    4,    0
109048,19790114,    0,    0
109048,19790115,    0,    0
109048,19790116,    0,    0
109048,19790117,    1,    0
109048,19790118,    0,    0
109048,19790119,    0,    0
109048,19790120,    0,    0
109048,19790121,    0,    0
109048,19790122,    7,    0
109048,19790123,   55,    0
109048,19790124,    0,    0
109048,19790125,   16,    0
109048,19790126,    9,    0
109048,19790127,    0,    0
109048,19790128,    0,    0
109048,19790129,   16,    0
109048,19790130,    7,    0
109048,19790131,    1,    0
109048,19790201,  122,    0
109048,19790202,    0,    0
109048,19790203,    3,    0
109048,19790204,   15,    0
109048,19790205,    0,    0
109048,19790206,    0,    0
109048,19790207,   32,    0
109048,19790208,    0,    0
109048,19790209,    0,    0
109048,19790210,    0,    0
109048,19790211,   37,    0
109048,19790212,   73,    0
109048,19790213,  102,    0
109048,19790214,    4,    0
109048,19790215,    0,    0
109048,19790216,    0,    0
109048,19790217,    6,    0
109048,19790218,    1,    0
109048,19790219,    0,    0
109048,19790220,    0,    0
109048,19790221,    0,    0
109048,19790222,   21,    0
109048,19790223,    7,    0
109048,19790224,    1,    0
109048,19790225,    1,    0
109048,19790226,    0,    0
109048,19790227,    0,    0
109048,19790228,    0,    0
109048,19790301,   24,    0
109048,19790302,   10,    0
109048,19790303,  127,    0
