EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, GELDERMALSEN (STAID: 2414).
Blended and updated with sources: 109086 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109086,19790101,    0,    0
109086,19790102,   18,    0
109086,19790103,    0,    0
109086,19790104,    0,    0
109086,19790105,    0,    0
109086,19790106,    0,    0
109086,19790107,   78,    0
109086,19790108,   75,    0
109086,19790109,   17,    0
109086,19790110,   68,    0
109086,19790111,   35,    0
109086,19790112,   33,    0
109086,19790113,    2,    0
109086,19790114,    0,    0
109086,19790115,    0,    0
109086,19790116,    0,    0
109086,19790117,    0,    0
109086,19790118,    0,    0
109086,19790119,    0,    0
109086,19790120,   68,    0
109086,19790121,    0,    0
109086,19790122,   50,    0
109086,19790123,    5,    0
109086,19790124,    5,    0
109086,19790125,   46,    0
109086,19790126,   36,    0
109086,19790127,    0,    0
109086,19790128,   22,    0
109086,19790129,    7,    0
109086,19790130,    1,    0
109086,19790131,    1,    0
109086,19790201,  150,    0
109086,19790202,    0,    0
109086,19790203,    0,    0
109086,19790204,    0,    0
109086,19790205,    0,    0
109086,19790206,    0,    0
109086,19790207,   45,    0
109086,19790208,    0,    0
109086,19790209,    0,    0
109086,19790210,    0,    0
109086,19790211,   46,    0
109086,19790212,   53,    0
109086,19790213,  140,    0
109086,19790214,    8,    0
109086,19790215,    7,    0
109086,19790216,    0,    0
109086,19790217,    5,    0
109086,19790218,    0,    0
109086,19790219,    0,    0
109086,19790220,    0,    0
109086,19790221,    0,    0
109086,19790222,   44,    0
109086,19790223,   31,    0
109086,19790224,    0,    0
109086,19790225,    0,    0
109086,19790226,    0,    0
109086,19790227,    0,    0
109086,19790228,    0,    0
109086,19790301,    9,    0
109086,19790302,   28,    0
109086,19790303,   90,    0
109086,19790304,   18,    0
109086,19790305,    0,    0
109086,19790306,    0,    0
109086,19790307,   40,    0
109086,19790308,   54,    0
109086,19790309,  128,    0
109086,19790310,   72,    0
109086,19790311,   74,    0
109086,19790312,    0,    0
109086,19790313,  127,    0
109086,19790314,   57,    0
109086,19790315,   94,    0
109086,19790316,    7,    0
109086,19790317,    0,    0
109086,19790318,    0,    0
109086,19790319,    0,    0
109086,19790320,   13,    0
109086,19790321,   17,    0
109086,19790322,   59,    0
109086,19790323,    0,    0
109086,19790324,   33,    0
109086,19790325,   33,    0
109086,19790326,   42,    0
109086,19790327,  120,    0
109086,19790328,   13,    0
109086,19790329,    9,    0
109086,19790330,    6,    0
109086,19790331,    6,    0
109086,19790401,   10,    0
109086,19790402,   53,    0
109086,19790403,   33,    0
109086,19790404,    1,    0
109086,19790405,    8,    0
109086,19790406,    5,    0
109086,19790407,    0,    0
109086,19790408,    0,    0
109086,19790409,    0,    0
109086,19790410,    0,    0
109086,19790411,   13,    0
109086,19790412,   12,    0
109086,19790413,    0,    0
109086,19790414,    0,    0
109086,19790415,    8,    0
109086,19790416,    6,    0
109086,19790417,    1,    0
109086,19790418,    0,    0
109086,19790419,    8,    0
109086,19790420,   62,    0
109086,19790421,   26,    0
109086,19790422,   38,    0
109086,19790423,   24,    0
109086,19790424,   25,    0
109086,19790425,   62,    0
109086,19790426,   26,    0
109086,19790427,   10,    0
109086,19790428,   44,    0
109086,19790429,  104,    0
109086,19790430,    0,    0
109086,19790501,  221,    0
109086,19790502,   60,    0
109086,19790503,   24,    0
109086,19790504,  202,    0
109086,19790505,   65,    0
109086,19790506,    1,    0
109086,19790507,    0,    0
109086,19790508,    0,    0
109086,19790509,    0,    0
109086,19790510,   52,    0
109086,19790511,   25,    0
109086,19790512,    2,    0
109086,19790513,    0,    0
109086,19790514,    0,    0
109086,19790515,    0,    0
109086,19790516,    8,    0
109086,19790517,   21,    0
109086,19790518,    0,    0
109086,19790519,    0,    0
109086,19790520,    3,    0
109086,19790521,   30,    0
109086,19790522,   40,    0
109086,19790523,   43,    0
109086,19790524,   10,    0
109086,19790525,   29,    0
109086,19790526,   61,    0
109086,19790527,   19,    0
109086,19790528,    0,    0
109086,19790529,  214,    0
109086,19790530,  381,    0
109086,19790531,  435,    0
109086,19790601,    0,    0
109086,19790602,    0,    0
109086,19790603,   30,    0
109086,19790604,    0,    0
109086,19790605,    0,    0
109086,19790606,   61,    0
109086,19790607,    0,    0
109086,19790608,    2,    0
109086,19790609,    0,    0
109086,19790610,   28,    0
109086,19790611,   11,    0
109086,19790612,   88,    0
109086,19790613,   65,    0
109086,19790614,  132,    0
109086,19790615,   13,    0
109086,19790616,    0,    0
109086,19790617,    0,    0
109086,19790618,    0,    0
109086,19790619,    0,    0
109086,19790620,    0,    0
109086,19790621,    8,    0
109086,19790622,    0,    0
109086,19790623,    0,    0
109086,19790624,   84,    0
109086,19790625,    5,    0
109086,19790626,    7,    0
109086,19790627,    0,    0
109086,19790628,    5,    0
109086,19790629,    0,    0
109086,19790630,    0,    0
109086,19790701,    0,    0
109086,19790702,    0,    0
109086,19790703,    0,    0
109086,19790704,    0,    0
109086,19790705,    0,    0
109086,19790706,    0,    0
109086,19790707,    4,    0
109086,19790708,    4,    0
109086,19790709,   28,    0
109086,19790710,    0,    0
109086,19790711,    0,    0
109086,19790712,    0,    0
109086,19790713,    4,    0
109086,19790714,    0,    0
109086,19790715,    0,    0
109086,19790716,   16,    0
109086,19790717,    8,    0
109086,19790718,  150,    0
109086,19790719,    0,    0
109086,19790720,    0,    0
109086,19790721,   10,    0
109086,19790722,    0,    0
109086,19790723,    3,    0
109086,19790724,    0,    0
109086,19790725,    0,    0
109086,19790726,    0,    0
109086,19790727,    0,    0
109086,19790728,   36,    0
109086,19790729,   19,    0
109086,19790730,    0,    0
109086,19790731,    2,    0
109086,19790801,   46,    0
109086,19790802,    0,    0
109086,19790803,    0,    0
109086,19790804,   40,    0
109086,19790805,    0,    0
109086,19790806,    0,    0
109086,19790807,    4,    0
109086,19790808,   18,    0
109086,19790809,  173,    0
109086,19790810,    1,    0
109086,19790811,    0,    0
109086,19790812,   15,    0
109086,19790813,    0,    0
109086,19790814,    0,    0
109086,19790815,    1,    0
109086,19790816,    0,    0
109086,19790817,   41,    0
109086,19790818,    0,    0
109086,19790819,    0,    0
109086,19790820,    5,    0
109086,19790821,   14,    0
109086,19790822,    0,    0
109086,19790823,   33,    0
109086,19790824,   12,    0
109086,19790825,   29,    0
109086,19790826,   62,    0
109086,19790827,   15,    0
109086,19790828,    0,    0
109086,19790829,    0,    0
109086,19790830,    0,    0
109086,19790831,    0,    0
109086,19790901,    0,    0
109086,19790902,    0,    0
109086,19790903,   46,    0
109086,19790904,    0,    0
109086,19790905,    0,    0
109086,19790906,    0,    0
109086,19790907,    0,    0
109086,19790908,    0,    0
109086,19790909,    0,    0
109086,19790910,    0,    0
109086,19790911,    0,    0
109086,19790912,    0,    0
109086,19790913,    0,    0
109086,19790914,    3,    0
109086,19790915,    0,    0
109086,19790916,    0,    0
109086,19790917,    0,    0
109086,19790918,   40,    0
109086,19790919,   27,    0
109086,19790920,    7,    0
109086,19790921,    0,    0
109086,19790922,    0,    0
109086,19790923,   20,    0
109086,19790924,    0,    0
109086,19790925,    4,    0
109086,19790926,    0,    0
109086,19790927,   15,    0
109086,19790928,    0,    0
109086,19790929,    0,    0
109086,19790930,    0,    0
109086,19791001,    0,    0
109086,19791002,    0,    0
109086,19791003,   12,    0
109086,19791004,    7,    0
109086,19791005,    2,    0
109086,19791006,    0,    0
109086,19791007,    0,    0
109086,19791008,    0,    0
109086,19791009,    0,    0
109086,19791010,   20,    0
109086,19791011,  195,    0
109086,19791012,   13,    0
109086,19791013,   30,    0
109086,19791014,   10,    0
109086,19791015,   20,    0
109086,19791016,    5,    0
109086,19791017,   15,    0
109086,19791018,    0,    0
109086,19791019,    0,    0
109086,19791020,    0,    0
109086,19791021,    0,    0
109086,19791022,    0,    0
109086,19791023,    0,    0
109086,19791024,    0,    0
109086,19791025,    0,    0
109086,19791026,    0,    0
109086,19791027,    0,    0
109086,19791028,    8,    0
109086,19791029,   10,    0
109086,19791030,    7,    0
109086,19791031,   43,    0
109086,19791101,    4,    0
109086,19791102,    4,    0
109086,19791103,   12,    0
109086,19791104,  181,    0
109086,19791105,   51,    0
109086,19791106,   35,    0
109086,19791107,   91,    0
109086,19791108,   35,    0
109086,19791109,   59,    0
109086,19791110,   13,    0
109086,19791111,   32,    0
109086,19791112,   12,    0
109086,19791113,    0,    0
109086,19791114,   18,    0
109086,19791115,    0,    0
109086,19791116,    0,    0
109086,19791117,   13,    0
109086,19791118,   37,    0
109086,19791119,   27,    0
109086,19791120,    0,    0
109086,19791121,    0,    0
109086,19791122,    0,    0
109086,19791123,    6,    0
109086,19791124,    0,    0
109086,19791125,    0,    0
109086,19791126,   19,    0
109086,19791127,    1,    0
109086,19791128,    0,    0
109086,19791129,    0,    0
109086,19791130,   38,    0
109086,19791201,    0,    0
109086,19791202,    0,    0
109086,19791203,    0,    0
109086,19791204,    0,    0
109086,19791205,   56,    0
109086,19791206,    0,    0
109086,19791207,   55,    0
109086,19791208,   19,    0
109086,19791209,   84,    0
109086,19791210,  118,    0
109086,19791211,   60,    0
109086,19791212,   51,    0
109086,19791213,  126,    0
109086,19791214,   50,    0
109086,19791215,   37,    0
109086,19791216,   10,    0
