EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, HERBAYUM (STAID: 2437).
Blended and updated with sources: 109112 109132 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109112,19790101,    0,    0
109112,19790102,    0,    0
109112,19790103,    0,    0
109112,19790104,    0,    0
109112,19790105,    0,    0
109112,19790106,    0,    0
109112,19790107,   41,    0
109112,19790108,   22,    0
109112,19790109,   24,    0
109112,19790110,   30,    0
109112,19790111,   25,    0
109112,19790112,   14,    0
109112,19790113,    7,    0
109112,19790114,    0,    0
109112,19790115,    0,    0
109112,19790116,    0,    0
109112,19790117,    0,    0
109112,19790118,    0,    0
109112,19790119,    0,    0
109112,19790120,    0,    0
109112,19790121,    0,    0
109112,19790122,    0,    0
109112,19790123,   83,    0
109112,19790124,   11,    0
109112,19790125,   32,    0
109112,19790126,   40,    0
109112,19790127,    0,    0
109112,19790128,    0,    0
109112,19790129,   20,    0
109112,19790130,    5,    0
109112,19790131,   23,    0
109112,19790201,  101,    0
109112,19790202,    0,    0
109112,19790203,    1,    0
109112,19790204,    0,    0
109112,19790205,    0,    0
109112,19790206,    0,    0
109112,19790207,    7,    0
109112,19790208,    0,    0
109112,19790209,    0,    0
109112,19790210,    0,    0
109112,19790211,    0,    0
109112,19790212,   12,    0
109112,19790213,   45,    0
109112,19790214,    0,    0
109112,19790215,    0,    0
109112,19790216,    0,    0
109112,19790217,    0,    0
109112,19790218,    0,    0
109112,19790219,    0,    0
109112,19790220,    0,    0
109112,19790221,    0,    0
109112,19790222,   26,    0
109112,19790223,    0,    0
109112,19790224,    2,    0
109112,19790225,    0,    0
109112,19790226,    0,    0
109112,19790227,    0,    0
109112,19790228,   21,    0
109112,19790301,   21,    0
109112,19790302,   20,    0
109112,19790303,   50,    0
109112,19790304,    0,    0
109112,19790305,    0,    0
109112,19790306,   25,    0
109112,19790307,    0,    0
109112,19790308,   72,    0
109112,19790309,  118,    0
109112,19790310,   30,    0
109112,19790311,   75,    0
109112,19790312,    0,    0
109112,19790313,    0,    0
109112,19790314,    0,    0
109112,19790315,  121,    0
109112,19790316,   83,    0
109112,19790317,    2,    0
109112,19790318,    0,    0
109112,19790319,    0,    0
109112,19790320,   12,    0
109112,19790321,   51,    0
109112,19790322,   50,    0
109112,19790323,    0,    0
109112,19790324,   45,    0
109112,19790325,   23,    0
109112,19790326,   51,    0
109112,19790327,   18,    0
109112,19790328,   29,    0
109112,19790329,   19,    0
109112,19790330,    1,    0
109112,19790331,    0,    0
109112,19790401,   28,    0
109112,19790402,    3,    0
109112,19790403,    0,    0
109112,19790404,    3,    0
109112,19790405,   41,    0
109112,19790406,    0,    0
109112,19790407,    0,    0
109112,19790408,    0,    0
109112,19790409,    0,    0
109112,19790410,    0,    0
109112,19790411,    1,    0
109112,19790412,  102,    0
109112,19790413,    0,    0
109112,19790414,    0,    0
109112,19790415,   12,    0
109112,19790416,    2,    0
109112,19790417,    0,    0
109112,19790418,    0,    0
109112,19790419,   18,    0
109112,19790420,  105,    0
109112,19790421,   23,    0
109112,19790422,   38,    0
109112,19790423,   10,    0
109112,19790424,    3,    0
109112,19790425,    0,    0
109112,19790426,   11,    0
109112,19790427,    0,    0
109112,19790428,   31,    0
109112,19790429,  111,    0
109112,19790430,   22,    0
109112,19790501,  145,    0
109112,19790502,   26,    0
109112,19790503,   29,    0
109112,19790504,    0,    0
109112,19790505,    1,    0
109112,19790506,    0,    0
109112,19790507,   16,    0
109112,19790508,    0,    0
109112,19790509,    2,    0
109112,19790510,   32,    0
109112,19790511,   27,    0
109112,19790512,    0,    0
109112,19790513,    0,    0
109112,19790514,    0,    0
109112,19790515,    0,    0
109112,19790516,    7,    0
109112,19790517,    7,    0
109112,19790518,    0,    0
109112,19790519,    0,    0
109112,19790520,   15,    0
109112,19790521,   20,    0
109112,19790522,    4,    0
109112,19790523,   38,    0
109112,19790524,    8,    0
109112,19790525,   40,    0
109112,19790526,  135,    0
109112,19790527,   59,    0
109112,19790528,    1,    0
109112,19790529,  301,    0
109112,19790530,   38,    0
109112,19790531,  351,    0
109112,19790601,    0,    0
109112,19790602,    0,    0
109112,19790603,   14,    0
109112,19790604,   22,    0
109112,19790605,    3,    0
109112,19790606,    0,    0
109112,19790607,    1,    0
109112,19790608,    0,    0
109112,19790609,    0,    0
109112,19790610,    0,    0
109112,19790611,   45,    0
109112,19790612,    1,    0
109112,19790613,   36,    0
109112,19790614,   90,    0
109112,19790615,  119,    0
109112,19790616,    0,    0
109112,19790617,    0,    0
109112,19790618,    0,    0
109112,19790619,    0,    0
109112,19790620,    0,    0
109112,19790621,    3,    0
109112,19790622,    0,    0
109112,19790623,    0,    0
109112,19790624,  127,    0
109112,19790625,   63,    0
109112,19790626,   15,    0
109112,19790627,    0,    0
109112,19790628,   22,    0
109112,19790629,    2,    0
109112,19790630,   18,    0
109112,19790701,    6,    0
109112,19790702,    2,    0
109112,19790703,    0,    0
109112,19790704,    0,    0
109112,19790705,    0,    0
109112,19790706,    0,    0
109112,19790707,    5,    0
109112,19790708,   20,    0
109112,19790709,    0,    0
109112,19790710,    0,    0
109112,19790711,    0,    0
109112,19790712,    0,    0
109112,19790713,    0,    0
109112,19790714,    0,    0
109112,19790715,    0,    0
109112,19790716,   27,    0
109112,19790717,   11,    0
109112,19790718,    6,    0
109112,19790719,    0,    0
109112,19790720,   32,    0
109112,19790721,   93,    0
109112,19790722,   16,    0
109112,19790723,   22,    0
109112,19790724,  104,    0
109112,19790725,    0,    0
109112,19790726,    0,    0
109112,19790727,    0,    0
109112,19790728,   14,    0
109112,19790729,  124,    0
109112,19790730,    0,    0
109112,19790731,    3,    0
109112,19790801,  192,    0
109112,19790802,   16,    0
109112,19790803,   75,    0
109112,19790804,    0,    0
109112,19790805,    0,    0
109112,19790806,    0,    0
109112,19790807,   17,    0
109112,19790808,   39,    0
109112,19790809,   55,    0
109112,19790810,    7,    0
109112,19790811,    0,    0
109112,19790812,    0,    0
109112,19790813,    0,    0
109112,19790814,    0,    0
109112,19790815,    0,    0
109112,19790816,    0,    0
109112,19790817,    0,    0
109112,19790818,    0,    0
109112,19790819,   10,    0
109112,19790820,   38,    0
109112,19790821,    8,    0
109112,19790822,   48,    0
109112,19790823,   84,    0
109112,19790824,    0,    0
109112,19790825,   58,    0
109112,19790826,   38,    0
109112,19790827,   26,    0
109112,19790828,    0,    0
109112,19790829,    0,    0
109112,19790830,    0,    0
109112,19790831,    0,    0
109112,19790901,    0,    0
109112,19790902,   19,    0
109112,19790903,  282,    0
109112,19790904,    0,    0
109112,19790905,    0,    0
109112,19790906,    0,    0
109112,19790907,    0,    0
109112,19790908,    0,    0
109112,19790909,    0,    0
109112,19790910,    0,    0
109112,19790911,    0,    0
109112,19790912,    0,    0
109112,19790913,    0,    0
109112,19790914,    4,    0
109112,19790915,    0,    0
109112,19790916,    0,    0
109112,19790917,   18,    0
109112,19790918,    5,    0
109112,19790919,  100,    0
109112,19790920,   10,    0
109112,19790921,   58,    0
109112,19790922,   12,    0
109112,19790923,    8,    0
109112,19790924,    0,    0
109112,19790925,    6,    0
109112,19790926,   24,    0
109112,19790927,    3,    0
109112,19790928,    0,    0
109112,19790929,    0,    0
109112,19790930,    0,    0
109112,19791001,    0,    0
109112,19791002,    0,    0
109112,19791003,    0,    0
109112,19791004,   43,    0
109112,19791005,   16,    0
109112,19791006,    0,    0
109112,19791007,    0,    0
109112,19791008,    0,    0
109112,19791009,    0,    0
109112,19791010,    0,    0
109112,19791011,   39,    0
109112,19791012,  225,    0
109112,19791013,   36,    0
109112,19791014,   16,    0
109112,19791015,  380,    0
109112,19791016,    9,    0
109112,19791017,    8,    0
109112,19791018,    0,    0
109112,19791019,    6,    0
109112,19791020,    0,    0
109112,19791021,    0,    0
109112,19791022,    0,    0
109112,19791023,    0,    0
109112,19791024,    0,    0
109112,19791025,    0,    0
109112,19791026,    0,    0
109112,19791027,    0,    0
109112,19791028,    0,    0
109112,19791029,   12,    0
109112,19791030,   55,    0
109112,19791031,   42,    0
109112,19791101,    4,    0
109112,19791102,    6,    0
109112,19791103,   55,    0
109112,19791104,  186,    0
109112,19791105,  134,    0
109112,19791106,   66,    0
109112,19791107,   88,    0
109112,19791108,   37,    0
109112,19791109,   38,    0
109112,19791110,   75,    0
109112,19791111,   81,    0
109112,19791112,   61,    0
109112,19791113,    1,    0
109112,19791114,   20,    0
109112,19791115,    0,    0
109112,19791116,    0,    0
109112,19791117,  123,    0
109112,19791118,   36,    0
109112,19791119,    6,    0
109112,19791120,    6,    0
109112,19791121,    2,    0
109112,19791122,    2,    0
109112,19791123,    4,    0
109112,19791124,    0,    0
109112,19791125,    2,    0
109112,19791126,   52,    0
109112,19791127,    0,    0
109112,19791128,    0,    0
109112,19791129,    0,    0
109112,19791130,   15,    0
109112,19791201,    0,    0
109112,19791202,    0,    0
109112,19791203,    0,    0
109112,19791204,    3,    0
109112,19791205,   49,    0
109112,19791206,    3,    0
109112,19791207,   59,    0
109112,19791208,    4,    0
109112,19791209,  156,    0
109112,19791210,   58,    0
109112,19791211,   23,    0
109112,19791212,   81,    0
109112,19791213,  100,    0
109112,19791214,  165,    0
109112,19791215,  131,    0
109112,19791216,   12,    0
109112,19791217,   42,    0
109112,19791218,   40,    0
109112,19791219,   20,    0
109112,19791220,   18,    0
109112,19791221,    0,    0
109112,19791222,    1,    0
109112,19791223,   65,    0
109112,19791224,   26,    0
109112,19791225,    7,    0
109112,19791226,    1,    0
109112,19791227,   93,    0
109112,19791228,   47,    0
109112,19791229,   79,    0
109112,19791230,   14,    0
109112,19791231,   46,    0
109112,19800101,   24,    0
109112,19800102,    6,    0
109112,19800103,   21,    0
109112,19800104,   89,    0
109112,19800105,   78,    0
109112,19800106,    4,    0
109112,19800107,    0,    0
109112,19800108,    0,    0
109112,19800109,    0,    0
109112,19800110,    0,    0
109112,19800111,    0,    0
109112,19800112,    0,    0
109112,19800113,    0,    0
109112,19800114,    0,    0
109112,19800115,    0,    0
109112,19800116,    0,    0
109112,19800117,    0,    0
109112,19800118,    0,    0
109112,19800119,    0,    0
109112,19800120,    0,    0
109112,19800121,   57,    0
109112,19800122,    2,    0
109112,19800123,   54,    0
109112,19800124,   50,    0
109112,19800125,    5,    0
109112,19800126,    3,    0
109112,19800127,    0,    0
109112,19800128,   84,    0
109112,19800129,   39,    0
109112,19800130,   51,    0
109112,19800131,   49,    0
109112,19800201,    0,    0
109112,19800202,   82,    0
109112,19800203,  101,    0
109112,19800204,  120,    0
109112,19800205,   67,    0
109112,19800206,   32,    0
109112,19800207,   56,    0
109112,19800208,   63,    0
109112,19800209,   10,    0
109112,19800210,    3,    0
109112,19800211,    3,    0
109112,19800212,    0,    0
109112,19800213,    0,    0
109112,19800214,    0,    0
109112,19800215,   28,    0
109112,19800216,    0,    0
109112,19800217,    1,    0
109112,19800218,    0,    0
109112,19800219,    0,    0
109112,19800220,    0,    0
109112,19800221,    0,    0
109112,19800222,    0,    0
109112,19800223,    0,    0
109112,19800224,    0,    0
109112,19800225,    0,    0
109112,19800226,    0,    0
109112,19800227,    0,    0
109112,19800228,    0,    0
109112,19800229,    0,    0
109112,19800301,    0,    0
109112,19800302,    6,    0
109112,19800303,   25,    0
109112,19800304,    9,    0
109112,19800305,    0,    0
109112,19800306,   70,    0
109112,19800307,   28,    0
109112,19800308,    2,    0
109112,19800309,    0,    0
109112,19800310,    2,    0
109112,19800311,    0,    0
109112,19800312,  162,    0
109112,19800313,    0,    0
109112,19800314,    3,    0
109112,19800315,    0,    0
109112,19800316,    2,    0
109112,19800317,    3,    0
109112,19800318,    2,    0
109112,19800319,    0,    0
109112,19800320,    0,    0
109112,19800321,    8,    0
109112,19800322,    2,    0
109112,19800323,    0,    0
109112,19800324,    0,    0
109112,19800325,    0,    0
109112,19800326,    0,    0
109112,19800327,   42,    0
109112,19800328,   58,    0
109112,19800329,   86,    0
109112,19800330,    1,    0
109112,19800331,   19,    0
109112,19800401,   37,    0
109112,19800402,   14,    0
109112,19800403,    0,    0
109112,19800404,    0,    0
109112,19800405,    0,    0
109112,19800406,    0,    0
109112,19800407,    0,    0
109112,19800408,   10,    0
109112,19800409,    2,    0
109112,19800410,    0,    0
109112,19800411,    0,    0
109112,19800412,    0,    0
109112,19800413,    0,    0
109112,19800414,    0,    0
109112,19800415,    0,    0
109112,19800416,    0,    0
109112,19800417,    0,    0
109112,19800418,    1,    0
109112,19800419,   64,    0
109112,19800420,    9,    0
109112,19800421,    0,    0
109112,19800422,    0,    0
109112,19800423,    2,    0
109112,19800424,   15,    0
109112,19800425,    9,    0
109112,19800426,    0,    0
109112,19800427,    0,    0
109112,19800428,   12,    0
109112,19800429,    6,    0
109112,19800430,    0,    0
109112,19800501,    0,    0
109112,19800502,    0,    0
109112,19800503,    0,    0
109112,19800504,    0,    0
109112,19800505,    0,    0
109112,19800506,    3,    0
109112,19800507,    0,    0
109112,19800508,    0,    0
109112,19800509,    0,    0
109112,19800510,    0,    0
109112,19800511,    0,    0
109112,19800512,    0,    0
109112,19800513,    0,    0
109112,19800514,    0,    0
109112,19800515,    0,    0
109112,19800516,    0,    0
109112,19800517,    0,    0
109112,19800518,    0,    0
109112,19800519,    0,    0
109112,19800520,    0,    0
109112,19800521,    0,    0
109112,19800522,    0,    0
109112,19800523,    0,    0
109112,19800524,    0,    0
109112,19800525,    0,    0
109112,19800526,    0,    0
109112,19800527,    0,    0
109112,19800528,    0,    0
109112,19800529,  103,    0
109112,19800530,    0,    0
109112,19800531,    7,    0
109112,19800601,    0,    0
109112,19800602,    0,    0
109112,19800603,    0,    0
109112,19800604,    0,    0
109112,19800605,    0,    0
109112,19800606,    7,    0
109112,19800607,   23,    0
109112,19800608,    0,    0
109112,19800609,    0,    0
109112,19800610,    0,    0
109112,19800611,    0,    0
109112,19800612,    0,    0
109112,19800613,    9,    0
109112,19800614,    5,    0
109112,19800615,    0,    0
109112,19800616,   36,    0
109112,19800617,   43,    0
109112,19800618,   21,    0
109112,19800619,   69,    0
109112,19800620,   13,    0
109112,19800621,    1,    0
109112,19800622,    9,    0
109112,19800623,   67,    0
109112,19800624,  203,    0
109112,19800625,   71,    0
109112,19800626,  233,    0
109112,19800627,    5,    0
109112,19800628,   19,    0
109112,19800629,    4,    0
109112,19800630,  187,    0
109112,19800701,   63,    0
109112,19800702,    0,    0
109112,19800703,    0,    0
109112,19800704,   34,    0
109112,19800705,   24,    0
109112,19800706,   27,    0
109112,19800707,   36,    0
109112,19800708,  158,    0
109112,19800709,    0,    0
109112,19800710,    1,    0
109112,19800711,    9,    0
109112,19800712,  122,    0
109112,19800713,   46,    0
109112,19800714,  167,    0
109112,19800715,    0,    0
109112,19800716,    2,    0
109112,19800717,   21,    0
109112,19800718,   11,    0
109112,19800719,  128,    0
109112,19800720,    6,    0
109112,19800721,    1,    0
109112,19800722,    0,    0
109112,19800723,    0,    0
109112,19800724,    0,    0
109112,19800725,    0,    0
109112,19800726,    0,    0
109112,19800727,    0,    0
109112,19800728,    0,    0
109112,19800729,    0,    0
109112,19800730,    0,    0
109112,19800731,    0,    0
109112,19800801,    0,    0
109112,19800802,  263,    0
109112,19800803,   21,    0
109112,19800804,    9,    0
109112,19800805,    5,    0
109112,19800806,    1,    0
109112,19800807,   81,    0
109112,19800808,    0,    0
109112,19800809,    0,    0
109112,19800810,    0,    0
109112,19800811,   21,    0
109112,19800812,    1,    0
109112,19800813,    0,    0
109112,19800814,    0,    0
109112,19800815,    0,    0
109112,19800816,    0,    0
109112,19800817,   10,    0
109112,19800818,    0,    0
109112,19800819,    0,    0
109112,19800820,   32,    0
109112,19800821,   20,    0
109112,19800822,   58,    0
109112,19800823,   29,    0
109112,19800824,   17,    0
109112,19800825,    0,    0
109112,19800826,    0,    0
109112,19800827,    0,    0
109112,19800828,    0,    0
109112,19800829,   50,    0
109112,19800830,   34,    0
109112,19800831,   27,    0
109112,19800901,    0,    0
109112,19800902,    0,    0
109112,19800903,    0,    0
109112,19800904,    0,    0
109112,19800905,    0,    0
109112,19800906,    0,    0
109112,19800907,    0,    0
109112,19800908,    0,    0
109112,19800909,    0,    0
109112,19800910,  152,    0
109112,19800911,    0,    0
109112,19800912,   15,    0
109112,19800913,   96,    0
109112,19800914,   14,    0
109112,19800915,    8,    0
109112,19800916,   13,    0
109112,19800917,    0,    0
109112,19800918,    0,    0
109112,19800919,    0,    0
109112,19800920,    0,    0
109112,19800921,    0,    0
109112,19800922,    0,    0
109112,19800923,    0,    0
109112,19800924,    2,    0
109112,19800925,   16,    0
109112,19800926,    0,    0
109112,19800927,    0,    0
109112,19800928,    0,    0
109112,19800929,   30,    0
109112,19800930,    0,    0
109112,19801001,    0,    0
109112,19801002,    0,    0
109112,19801003,    0,    0
109112,19801004,    0,    0
109112,19801005,   13,    0
109112,19801006,  251,    0
109112,19801007,   72,    0
109112,19801008,   23,    0
109112,19801009,  113,    0
109112,19801010,    0,    0
109112,19801011,    0,    0
109112,19801012,    0,    0
109112,19801013,    0,    0
109112,19801014,    0,    0
109112,19801015,    0,    0
109112,19801016,    0,    0
109112,19801017,   28,    0
109112,19801018,   38,    0
109112,19801019,   93,    0
109112,19801020,   32,    0
109112,19801021,   30,    0
109112,19801022,   21,    0
109112,19801023,   10,    0
109112,19801024,   32,    0
109112,19801025,   13,    0
109112,19801026,  184,    0
109112,19801027,    0,    0
109112,19801028,   84,    0
109112,19801029,   16,    0
109112,19801030,    0,    0
109112,19801031,    0,    0
109112,19801101,    0,    0
109112,19801102,    0,    0
109112,19801103,    0,    0
109112,19801104,    0,    0
109112,19801105,    0,    0
109112,19801106,   82,    0
109112,19801107,   20,    0
109112,19801108,    8,    0
109112,19801109,    2,    0
109112,19801110,    0,    0
109112,19801111,  110,    0
109112,19801112,   16,    0
109112,19801113,    0,    0
109112,19801114,   81,    0
109112,19801115,  123,    0
109112,19801116,   22,    0
109112,19801117,   48,    0
109112,19801118,   56,    0
109112,19801119,   31,    0
109112,19801120,    8,    0
109112,19801121,   22,    0
109112,19801122,   69,    0
109112,19801123,   91,    0
109112,19801124,    2,    0
109112,19801125,   22,    0
109112,19801126,   31,    0
109112,19801127,   48,    0
109112,19801128,   87,    0
109112,19801129,    3,    0
109112,19801130,    0,    0
109112,19801201,   48,    0
109112,19801202,   21,    0
109112,19801203,   25,    0
109112,19801204,   42,    0
109112,19801205,   87,    0
109112,19801206,   10,    0
109112,19801207,    2,    0
109112,19801208,    1,    0
109112,19801209,    0,    0
109112,19801210,   71,    0
109112,19801211,    3,    0
109112,19801212,   22,    0
109112,19801213,    6,    0
109112,19801214,   23,    0
109112,19801215,   87,    0
109112,19801216,    2,    0
109112,19801217,  173,    0
109112,19801218,   17,    0
109112,19801219,   11,    0
109112,19801220,   52,    0
109112,19801221,   15,    0
109112,19801222,   23,    0
109112,19801223,    0,    0
109112,19801224,   15,    0
109112,19801225,    8,    0
109112,19801226,   22,    0
109112,19801227,    0,    0
109112,19801228,   11,    0
109112,19801229,    2,    0
109112,19801230,    0,    0
109112,19801231,   36,    0
109112,19810101,   30,    0
109112,19810102,  106,    0
109112,19810103,   21,    0
109112,19810104,   22,    0
109112,19810105,   28,    0
109112,19810106,   10,    0
109112,19810107,    1,    0
109112,19810108,   11,    0
109112,19810109,   61,    0
109112,19810110,    0,    0
109112,19810111,    9,    0
109112,19810112,   61,    0
109112,19810113,   60,    0
109112,19810114,  122,    0
109112,19810115,   31,    0
109112,19810116,   26,    0
109112,19810117,    6,    0
109112,19810118,   22,    0
109112,19810119,    4,    0
109112,19810120,    0,    0
109112,19810121,    2,    0
109112,19810122,    5,    0
109112,19810123,    5,    0
109112,19810124,    6,    0
109112,19810125,    0,    0
109112,19810126,    4,    0
109112,19810127,    3,    0
109112,19810128,    1,    0
109112,19810129,    0,    0
109112,19810130,    0,    0
109112,19810131,    0,    0
109112,19810201,    0,    0
109112,19810202,  119,    0
109112,19810203,    0,    0
109112,19810204,    3,    0
109112,19810205,   38,    0
109112,19810206,    3,    0
109112,19810207,    0,    0
