EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, HOLTEN (STAID: 2441).
Blended and updated with sources: 102036 109140 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
102036,19790101,    0,    0
102036,19790102,   36,    0
102036,19790103,    8,    0
102036,19790104,    0,    0
102036,19790105,    0,    0
102036,19790106,    0,    0
102036,19790107,   45,    0
102036,19790108,   60,    0
102036,19790109,   55,    0
102036,19790110,   25,    0
102036,19790111,   64,    0
102036,19790112,   37,    0
102036,19790113,    0,    0
102036,19790114,    0,    0
102036,19790115,    0,    0
102036,19790116,    0,    0
102036,19790117,    0,    0
102036,19790118,    0,    0
102036,19790119,    0,    0
102036,19790120,    0,    0
102036,19790121,    0,    0
102036,19790122,    4,    0
102036,19790123,   35,    0
102036,19790124,   10,    0
102036,19790125,   30,    0
102036,19790126,    0,    0
102036,19790127,    0,    0
102036,19790128,    0,    0
102036,19790129,   17,    0
102036,19790130,    6,    0
102036,19790131,    0,    0
102036,19790201,  159,    0
102036,19790202,    5,    0
102036,19790203,    0,    0
102036,19790204,    0,    0
102036,19790205,    0,    0
102036,19790206,    0,    0
102036,19790207,   47,    0
102036,19790208,    0,    0
102036,19790209,    0,    0
102036,19790210,    0,    0
102036,19790211,   43,    0
102036,19790212,   38,    0
102036,19790213,  146,    0
102036,19790214,   40,    0
102036,19790215,    0,    0
102036,19790216,    0,    0
102036,19790217,    0,    0
102036,19790218,    0,    0
102036,19790219,    0,    0
102036,19790220,    0,    0
102036,19790221,    0,    0
102036,19790222,   26,    0
102036,19790223,    0,    0
102036,19790224,    0,    0
102036,19790225,    0,    0
102036,19790226,    0,    0
102036,19790227,    0,    0
102036,19790228,    0,    0
102036,19790301,   20,    0
102036,19790302,   21,    0
102036,19790303,   69,    0
102036,19790304,   17,    0
102036,19790305,    0,    0
102036,19790306,   11,    0
102036,19790307,   42,    0
102036,19790308,   20,    0
102036,19790309,  101,    0
102036,19790310,   44,    0
102036,19790311,   63,    0
102036,19790312,    0,    0
102036,19790313,   21,    0
102036,19790314,   33,    0
102036,19790315,  112,    0
102036,19790316,   24,    0
102036,19790317,    1,    0
102036,19790318,    0,    0
102036,19790319,    0,    0
102036,19790320,   24,    0
102036,19790321,   25,    0
102036,19790322,   34,    0
102036,19790323,    0,    0
102036,19790324,   18,    0
102036,19790325,   30,    0
102036,19790326,   22,    0
102036,19790327,   62,    0
102036,19790328,    7,    0
102036,19790329,   12,    0
102036,19790330,    0,    0
102036,19790331,    5,    0
102036,19790401,    8,    0
102036,19790402,   42,    0
102036,19790403,   70,    0
102036,19790404,   11,    0
102036,19790405,    0,    0
102036,19790406,    0,    0
102036,19790407,    0,    0
102036,19790408,    0,    0
102036,19790409,    0,    0
102036,19790410,    0,    0
102036,19790411,    7,    0
102036,19790412,    0,    0
102036,19790413,    0,    0
102036,19790414,    0,    0
102036,19790415,   68,    0
102036,19790416,    7,    0
102036,19790417,    0,    0
102036,19790418,    0,    0
102036,19790419,    2,    0
102036,19790420,   90,    0
102036,19790421,   33,    0
102036,19790422,   25,    0
102036,19790423,   76,    0
102036,19790424,   35,    0
102036,19790425,    5,    0
102036,19790426,   54,    0
102036,19790427,    4,    0
102036,19790428,   11,    0
102036,19790429,  103,    0
102036,19790430,   20,    0
102036,19790501,  156,    0
102036,19790502,   36,    0
102036,19790503,   23,    0
102036,19790504,   58,    0
102036,19790505,    9,    0
102036,19790506,    0,    0
102036,19790507,    0,    0
102036,19790508,    0,    0
102036,19790509,    0,    0
102036,19790510,   56,    0
102036,19790511,   37,    0
102036,19790512,    0,    0
102036,19790513,    0,    0
102036,19790514,    0,    0
102036,19790515,    0,    0
102036,19790516,    6,    0
102036,19790517,    0,    0
102036,19790518,    0,    0
102036,19790519,    0,    0
102036,19790520,   34,    0
102036,19790521,   11,    0
102036,19790522,   18,    0
102036,19790523,   60,    0
102036,19790524,    4,    0
102036,19790525,   70,    0
102036,19790526,   90,    0
102036,19790527,   23,    0
102036,19790528,    0,    0
102036,19790529,    7,    0
102036,19790530,    2,    0
102036,19790531,    0,    0
102036,19790601,  112,    0
102036,19790602,    0,    0
102036,19790603,   57,    0
102036,19790604,   47,    0
102036,19790605,    0,    0
102036,19790606,    0,    0
102036,19790607,    9,    0
102036,19790608,   47,    0
102036,19790609,    0,    0
102036,19790610,   52,    0
102036,19790611,    0,    0
102036,19790612,   36,    0
102036,19790613,   95,    0
102036,19790614,   24,    0
102036,19790615,    9,    0
102036,19790616,    0,    0
102036,19790617,    0,    0
102036,19790618,    0,    0
102036,19790619,    0,    0
102036,19790620,    0,    0
102036,19790621,   21,    0
102036,19790622,    0,    0
102036,19790623,    3,    0
102036,19790624,   36,    0
102036,19790625,   11,    0
102036,19790626,    3,    0
102036,19790627,    0,    0
102036,19790628,    3,    0
102036,19790629,    6,    0
102036,19790630,   10,    0
102036,19790701,    7,    0
102036,19790702,    0,    0
102036,19790703,    0,    0
102036,19790704,    0,    0
102036,19790705,    0,    0
102036,19790706,    0,    0
102036,19790707,    6,    0
102036,19790708,   13,    0
102036,19790709,   15,    0
102036,19790710,    0,    0
102036,19790711,    0,    0
102036,19790712,    0,    0
102036,19790713,    0,    0
102036,19790714,    0,    0
102036,19790715,    0,    0
102036,19790716,   28,    0
102036,19790717,    0,    0
102036,19790718,   63,    0
102036,19790719,    0,    0
102036,19790720,    2,    0
102036,19790721,   33,    0
102036,19790722,    5,    0
102036,19790723,   82,    0
102036,19790724,    4,    0
102036,19790725,    0,    0
102036,19790726,    0,    0
102036,19790727,    0,    0
102036,19790728,   18,    0
102036,19790729,   69,    0
102036,19790730,    0,    0
102036,19790731,    0,    0
102036,19790801,   68,    0
102036,19790802,    0,    0
102036,19790803,   28,    0
102036,19790804,    0,    0
102036,19790805,    0,    0
102036,19790806,    0,    0
102036,19790807,   16,    0
102036,19790808,   14,    0
102036,19790809,   89,    0
102036,19790810,    0,    0
102036,19790811,   14,    0
102036,19790812,    0,    0
102036,19790813,    0,    0
102036,19790814,    2,    0
102036,19790815,   53,    0
102036,19790816,    4,    0
102036,19790817,    3,    0
102036,19790818,    0,    0
102036,19790819,    0,    0
102036,19790820,    0,    0
102036,19790821,   13,    0
102036,19790822,    0,    0
102036,19790823,    0,    0
102036,19790824,    6,    0
102036,19790825,    2,    0
102036,19790826,   84,    0
102036,19790827,   44,    0
102036,19790828,    5,    0
102036,19790829,    0,    0
102036,19790830,    0,    0
102036,19790831,    0,    0
102036,19790901,    0,    0
102036,19790902,   72,    0
102036,19790903,   55,    0
102036,19790904,    0,    0
102036,19790905,    0,    0
102036,19790906,    0,    0
102036,19790907,    0,    0
102036,19790908,    8,    0
102036,19790909,    0,    0
102036,19790910,    0,    0
102036,19790911,    0,    0
102036,19790912,    0,    0
102036,19790913,    0,    0
102036,19790914,   24,    0
102036,19790915,    0,    0
102036,19790916,    0,    0
102036,19790917,    0,    0
102036,19790918,   38,    0
102036,19790919,   48,    0
102036,19790920,   21,    0
102036,19790921,    0,    0
102036,19790922,    0,    0
102036,19790923,    6,    0
102036,19790924,    0,    0
102036,19790925,    0,    0
102036,19790926,    0,    0
102036,19790927,    6,    0
102036,19790928,    0,    0
102036,19790929,    0,    0
102036,19790930,    0,    0
102036,19791001,    0,    0
102036,19791002,    0,    0
102036,19791003,   10,    0
102036,19791004,   32,    0
102036,19791005,   16,    0
102036,19791006,    0,    0
102036,19791007,    0,    0
102036,19791008,    0,    0
102036,19791009,    0,    0
102036,19791010,    0,    0
102036,19791011,  248,    0
102036,19791012,    2,    0
102036,19791013,   13,    0
102036,19791014,   25,    0
102036,19791015,   20,    0
102036,19791016,    0,    0
102036,19791017,   14,    0
102036,19791018,    0,    0
102036,19791019,    7,    0
102036,19791020,    0,    0
102036,19791021,    0,    0
102036,19791022,    0,    0
102036,19791023,    0,    0
102036,19791024,    0,    0
102036,19791025,    0,    0
102036,19791026,    0,    0
102036,19791027,    0,    0
102036,19791028,   14,    0
102036,19791029,   43,    0
102036,19791030,    3,    0
102036,19791031,   31,    0
102036,19791101,    9,    0
102036,19791102,    0,    0
102036,19791103,   13,    0
102036,19791104,  190,    0
102036,19791105,  146,    0
102036,19791106,   26,    0
102036,19791107,   81,    0
102036,19791108,   26,    0
102036,19791109,   12,    0
102036,19791110,   23,    0
102036,19791111,   37,    0
102036,19791112,   32,    0
102036,19791113,    0,    0
102036,19791114,   24,    0
102036,19791115,    2,    0
102036,19791116,    1,    0
102036,19791117,    0,    0
102036,19791118,   34,    0
102036,19791119,    3,    0
102036,19791120,    1,    0
102036,19791121,    2,    0
102036,19791122,    1,    0
102036,19791123,   18,    0
102036,19791124,    1,    0
102036,19791125,    0,    0
102036,19791126,   29,    0
102036,19791127,    3,    0
102036,19791128,    0,    0
102036,19791129,    0,    0
102036,19791130,   27,    0
102036,19791201,    1,    0
102036,19791202,    0,    0
102036,19791203,    0,    0
102036,19791204,    0,    0
102036,19791205,   34,    0
102036,19791206,    0,    0
102036,19791207,   76,    0
102036,19791208,   92,    0
102036,19791209,  146,    0
102036,19791210,   20,    0
102036,19791211,   80,    0
102036,19791212,   40,    0
102036,19791213,   97,    0
102036,19791214,   58,    0
102036,19791215,   98,    0
102036,19791216,   47,    0
102036,19791217,   78,    0
102036,19791218,   58,    0
102036,19791219,    4,    0
102036,19791220,   25,    0
102036,19791221,    0,    0
102036,19791222,    3,    0
102036,19791223,   16,    0
102036,19791224,    1,    0
102036,19791225,    0,    0
102036,19791226,    0,    0
102036,19791227,   83,    0
102036,19791228,   37,    0
102036,19791229,   64,    0
102036,19791230,   29,    0
102036,19791231,   28,    0
102036,19800101,   33,    0
102036,19800102,   19,    0
102036,19800103,   31,    0
102036,19800104,   63,    0
102036,19800105,   50,    0
102036,19800106,   48,    0
102036,19800107,    1,    0
102036,19800108,    0,    0
102036,19800109,    0,    0
102036,19800110,    0,    0
102036,19800111,    0,    0
102036,19800112,    0,    0
102036,19800113,    0,    0
102036,19800114,    0,    0
102036,19800115,    0,    0
102036,19800116,    0,    0
102036,19800117,    0,    0
102036,19800118,    0,    0
102036,19800119,    0,    0
102036,19800120,    0,    0
102036,19800121,   28,    0
102036,19800122,    5,    0
102036,19800123,    7,    0
102036,19800124,   48,    0
102036,19800125,    6,    0
102036,19800126,    2,    0
102036,19800127,    0,    0
102036,19800128,   63,    0
102036,19800129,    8,    0
102036,19800130,   26,    0
102036,19800131,  113,    0
102036,19800201,   23,    0
102036,19800202,   88,    0
102036,19800203,  102,    0
102036,19800204,   68,    0
102036,19800205,   93,    0
102036,19800206,   18,    0
102036,19800207,    9,    0
102036,19800208,    3,    0
102036,19800209,    0,    0
102036,19800210,    0,    0
102036,19800211,   22,    0
102036,19800212,   19,    0
102036,19800213,   24,    0
102036,19800214,    0,    0
102036,19800215,   13,    0
102036,19800216,    0,    0
102036,19800217,    0,    0
102036,19800218,    0,    0
102036,19800219,    0,    0
