EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, HOOGWOUD (STAID: 2444).
Blended and updated with sources: 109146 109162 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109162,19790101,    0,    0
109162,19790102,   29,    0
109162,19790103,   38,    0
109162,19790104,    0,    0
109162,19790105,    0,    0
109162,19790106,    0,    0
109162,19790107,   34,    0
109162,19790108,   18,    0
109162,19790109,    3,    0
109162,19790110,   23,    0
109162,19790111,   30,    0
109162,19790112,   72,    0
109162,19790113,    0,    0
109162,19790114,    0,    0
109162,19790115,    0,    0
109162,19790116,    0,    0
109162,19790117,    0,    0
109162,19790118,    0,    0
109162,19790119,    0,    0
109162,19790120,    9,    0
109162,19790121,    0,    0
109162,19790122,   19,    0
109162,19790123,   62,    0
109162,19790124,   32,    0
109162,19790125,   34,    0
109162,19790126,   35,    0
109162,19790127,    2,    0
109162,19790128,   10,    0
109162,19790129,   10,    0
109162,19790130,    2,    0
109162,19790131,   12,    0
109162,19790201,  146,    0
109162,19790202,    0,    0
109162,19790203,    7,    0
109162,19790204,    0,    0
109162,19790205,    0,    0
109162,19790206,    0,    0
109162,19790207,   26,    0
109162,19790208,    0,    0
109162,19790209,    0,    0
109162,19790210,    0,    0
109162,19790211,   19,    0
109162,19790212,   55,    0
109162,19790213,  143,    0
109162,19790214,   25,    0
109162,19790215,   20,    0
109162,19790216,    0,    0
109162,19790217,    0,    0
109162,19790218,    0,    0
109162,19790219,    0,    0
109162,19790220,    0,    0
109162,19790221,    0,    0
109162,19790222,   31,    0
109162,19790223,   23,    0
109162,19790224,    0,    0
109162,19790225,    0,    0
109162,19790226,    4,    0
109162,19790227,    0,    0
109162,19790228,    8,    0
109162,19790301,   17,    0
109162,19790302,   22,    0
109162,19790303,   42,    0
109162,19790304,    0,    0
109162,19790305,    0,    0
109162,19790306,   13,    0
109162,19790307,    7,    0
109162,19790308,   37,    0
109162,19790309,   67,    0
109162,19790310,   44,    0
109162,19790311,   21,    0
109162,19790312,    0,    0
109162,19790313,    2,    0
109162,19790314,    2,    0
109162,19790315,  154,    0
109162,19790316,   68,    0
109162,19790317,    2,    0
109162,19790318,    0,    0
109162,19790319,    0,    0
109162,19790320,   23,    0
109162,19790321,   34,    0
109162,19790322,   29,    0
109162,19790323,    0,    0
109162,19790324,   48,    0
109162,19790325,   23,    0
109162,19790326,   49,    0
109162,19790327,   63,    0
109162,19790328,   31,    0
109162,19790329,   17,    0
109162,19790330,    0,    0
109162,19790331,    8,    0
109162,19790401,   23,    0
109162,19790402,   35,    0
109162,19790403,   20,    0
109162,19790404,    0,    0
109162,19790405,  101,    0
109162,19790406,   15,    0
109162,19790407,    0,    0
109162,19790408,    0,    0
109162,19790409,    0,    0
109162,19790410,    0,    0
109162,19790411,    4,    0
109162,19790412,   73,    0
109162,19790413,    0,    0
109162,19790414,    0,    0
109162,19790415,   28,    0
109162,19790416,    0,    0
109162,19790417,    2,    0
109162,19790418,    0,    0
109162,19790419,   36,    0
109162,19790420,   72,    0
109162,19790421,   43,    0
109162,19790422,   34,    0
109162,19790423,    1,    0
109162,19790424,   27,    0
109162,19790425,   14,    0
109162,19790426,    1,    0
109162,19790427,    4,    0
109162,19790428,   45,    0
109162,19790429,  100,    0
109162,19790430,   11,    0
109162,19790501,  172,    0
109162,19790502,  104,    0
109162,19790503,    4,    0
109162,19790504,   14,    0
109162,19790505,  147,    0
109162,19790506,    0,    0
109162,19790507,    3,    0
109162,19790508,    0,    0
109162,19790509,    0,    0
109162,19790510,   40,    0
109162,19790511,    5,    0
109162,19790512,    0,    0
109162,19790513,    0,    0
109162,19790514,    1,    0
109162,19790515,    0,    0
109162,19790516,    4,    0
109162,19790517,   14,    0
109162,19790518,    0,    0
109162,19790519,    0,    0
109162,19790520,   12,    0
109162,19790521,   24,    0
109162,19790522,    3,    0
109162,19790523,   52,    0
109162,19790524,   21,    0
109162,19790525,   12,    0
109162,19790526,  156,    0
109162,19790527,    4,    0
109162,19790528,  108,    0
109162,19790529,  191,    0
109162,19790530,   84,    0
109162,19790531,  416,    0
109162,19790601,    0,    0
109162,19790602,    0,    0
109162,19790603,   63,    0
109162,19790604,   12,    0
109162,19790605,    0,    0
109162,19790606,    4,    0
109162,19790607,    6,    0
109162,19790608,    0,    0
109162,19790609,    0,    0
109162,19790610,  164,    0
109162,19790611,   26,    0
109162,19790612,    0,    0
109162,19790613,  166,    0
109162,19790614,   76,    0
109162,19790615,    4,    0
109162,19790616,    0,    0
109162,19790617,    0,    0
109162,19790618,    0,    0
109162,19790619,    0,    0
109162,19790620,    1,    0
109162,19790621,   11,    0
109162,19790622,    0,    0
109162,19790623,   24,    0
109162,19790624,   32,    0
109162,19790625,   30,    0
109162,19790626,    0,    0
109162,19790627,    0,    0
109162,19790628,    7,    0
109162,19790629,   12,    0
109162,19790630,   38,    0
109162,19790701,    7,    0
109162,19790702,    0,    0
109162,19790703,    0,    0
109162,19790704,    0,    0
109162,19790705,    0,    0
109162,19790706,    0,    0
109162,19790707,   34,    0
109162,19790708,   35,    0
109162,19790709,    0,    0
109162,19790710,    0,    0
109162,19790711,    0,    0
109162,19790712,    0,    0
109162,19790713,    0,    0
109162,19790714,    0,    0
109162,19790715,    0,    0
109162,19790716,   32,    0
109162,19790717,    0,    0
109162,19790718,   51,    0
109162,19790719,    0,    0
109162,19790720,    9,    0
109162,19790721,   33,    0
109162,19790722,    2,    0
109162,19790723,    0,    0
109162,19790724,    0,    0
109162,19790725,    0,    0
109162,19790726,    0,    0
109162,19790727,    0,    0
109162,19790728,   14,    0
109162,19790729,   20,    0
109162,19790730,   14,    0
109162,19790731,   14,    0
109162,19790801,   53,    0
109162,19790802,   98,    0
109162,19790803,    1,    0
109162,19790804,    0,    0
109162,19790805,    0,    0
109162,19790806,    0,    0
109162,19790807,    6,    0
109162,19790808,    5,    0
109162,19790809,   78,    0
109162,19790810,    0,    0
109162,19790811,    0,    0
109162,19790812,    0,    0
109162,19790813,    2,    0
109162,19790814,    0,    0
109162,19790815,    0,    0
109162,19790816,    0,    0
109162,19790817,    0,    0
109162,19790818,    0,    0
109162,19790819,    0,    0
109162,19790820,   32,    0
109162,19790821,    7,    0
109162,19790822,   19,    0
109162,19790823,  219,    0
109162,19790824,   52,    0
109162,19790825,   46,    0
109162,19790826,   12,    0
109162,19790827,   28,    0
109162,19790828,    1,    0
109162,19790829,    1,    0
109162,19790830,    1,    0
109162,19790831,    1,    0
109162,19790901,    0,    0
109162,19790902,   36,    0
109162,19790903,  129,    0
109162,19790904,    1,    0
109162,19790905,    0,    0
109162,19790906,    1,    0
109162,19790907,    1,    0
109162,19790908,    0,    0
109162,19790909,    0,    0
109162,19790910,    0,    0
109162,19790911,    0,    0
109162,19790912,    0,    0
