EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, HULSHORST (STAID: 2445).
Blended and updated with sources: 109148 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109148,19790101,    0,    0
109148,19790102,   26,    0
109148,19790103,    0,    0
109148,19790104,    0,    0
109148,19790105,    0,    0
109148,19790106,    0,    0
109148,19790107,   82,    0
109148,19790108,   44,    0
109148,19790109,    1,    0
109148,19790110,   61,    0
109148,19790111,   26,    0
109148,19790112,   36,    0
109148,19790113,    9,    0
109148,19790114,    0,    0
109148,19790115,    0,    0
109148,19790116,    0,    0
109148,19790117,    3,    0
109148,19790118,    0,    0
109148,19790119,    0,    0
109148,19790120,    8,    0
109148,19790121,    0,    0
109148,19790122,   40,    0
109148,19790123,   32,    0
109148,19790124,    6,    0
109148,19790125,   12,    0
109148,19790126,   14,    0
109148,19790127,    0,    0
109148,19790128,   15,    0
109148,19790129,    6,    0
109148,19790130,   10,    0
109148,19790131,    3,    0
109148,19790201,  184,    0
109148,19790202,    3,    0
109148,19790203,    0,    0
109148,19790204,    0,    0
109148,19790205,    0,    0
109148,19790206,    0,    0
109148,19790207,   12,    0
109148,19790208,    0,    0
109148,19790209,    0,    0
109148,19790210,    0,    0
109148,19790211,   46,    0
109148,19790212,   54,    0
109148,19790213,  140,    0
109148,19790214,   32,    0
109148,19790215,    0,    0
109148,19790216,    0,    0
109148,19790217,    3,    0
109148,19790218,    6,    0
109148,19790219,    0,    0
109148,19790220,    0,    0
109148,19790221,    0,    0
109148,19790222,   34,    0
109148,19790223,    5,    0
109148,19790224,    0,    0
109148,19790225,    0,    0
109148,19790226,    0,    0
109148,19790227,    0,    0
109148,19790228,    2,    0
109148,19790301,    8,    0
109148,19790302,   15,    0
109148,19790303,   98,    0
109148,19790304,   25,    0
109148,19790305,    0,    0
109148,19790306,    7,    0
109148,19790307,   30,    0
109148,19790308,   37,    0
109148,19790309,   82,    0
109148,19790310,   41,    0
109148,19790311,   46,    0
109148,19790312,    0,    0
109148,19790313,   20,    0
109148,19790314,    7,    0
109148,19790315,  122,    0
109148,19790316,   40,    0
109148,19790317,    0,    0
109148,19790318,    0,    0
109148,19790319,    0,    0
109148,19790320,    6,    0
109148,19790321,   11,    0
109148,19790322,   45,    0
109148,19790323,    0,    0
109148,19790324,   22,    0
109148,19790325,   27,    0
109148,19790326,   36,    0
109148,19790327,   81,    0
109148,19790328,   21,    0
109148,19790329,   23,    0
109148,19790330,    0,    0
109148,19790331,    5,    0
109148,19790401,    9,    0
109148,19790402,   68,    0
109148,19790403,   18,    0
109148,19790404,   38,    0
109148,19790405,    6,    0
109148,19790406,   24,    0
109148,19790407,    0,    0
109148,19790408,    0,    0
109148,19790409,    0,    0
109148,19790410,    0,    0
109148,19790411,    5,    0
