EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, KRABBENDIJKE (STAID: 2457).
Blended and updated with sources: 109172 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109172,19790101,    0,    0
109172,19790102,   29,    0
109172,19790103,    0,    0
109172,19790104,    0,    0
109172,19790105,    0,    0
109172,19790106,    0,    0
109172,19790107,   47,    0
109172,19790108,   84,    0
109172,19790109,    3,    0
109172,19790110,  100,    0
109172,19790111,   43,    0
109172,19790112,   38,    0
109172,19790113,  114,    0
109172,19790114,    0,    0
109172,19790115,    0,    0
109172,19790116,    0,    0
109172,19790117,    0,    0
109172,19790118,    0,    0
109172,19790119,    0,    0
109172,19790120,   46,    0
109172,19790121,    0,    0
109172,19790122,   28,    0
109172,19790123,   14,    0
109172,19790124,   14,    0
109172,19790125,   23,    0
109172,19790126,    4,    0
109172,19790127,    0,    0
109172,19790128,   17,    0
109172,19790129,   11,    0
109172,19790130,    3,    0
109172,19790131,    0,    0
109172,19790201,  115,    0
109172,19790202,    0,    0
109172,19790203,    0,    0
109172,19790204,    0,    0
109172,19790205,    0,    0
109172,19790206,   36,    0
109172,19790207,   32,    0
109172,19790208,    0,    0
109172,19790209,    0,    0
109172,19790210,    0,    0
109172,19790211,   38,    0
109172,19790212,   12,    0
109172,19790213,  112,    0
109172,19790214,   52,    0
109172,19790215,    0,    0
109172,19790216,    0,    0
109172,19790217,    5,    0
109172,19790218,    0,    0
109172,19790219,    0,    0
109172,19790220,    0,    0
109172,19790221,    0,    0
109172,19790222,   39,    0
109172,19790223,   12,    0
109172,19790224,    0,    0
109172,19790225,    0,    0
109172,19790226,    0,    0
109172,19790227,    0,    0
109172,19790228,    2,    0
109172,19790301,   24,    0
109172,19790302,   16,    0
