EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, LIJNDEN (NH) (STAID: 2466).
Blended and updated with sources: 109190 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109190,19790101,   10,    0
109190,19790102,   17,    0
109190,19790103,    0,    0
109190,19790104,    0,    0
109190,19790105,    0,    0
109190,19790106,    0,    0
109190,19790107,   55,    0
109190,19790108,   31,    0
109190,19790109,    5,    0
109190,19790110,   32,    0
109190,19790111,   61,    0
109190,19790112,   27,    0
109190,19790113,    8,    0
109190,19790114,    0,    0
109190,19790115,    0,    0
109190,19790116,    0,    0
109190,19790117,    0,    0
109190,19790118,    0,    0
109190,19790119,    0,    0
109190,19790120,   85,    0
109190,19790121,    0,    0
109190,19790122,   29,    0
109190,19790123,   44,    0
109190,19790124,    8,    0
109190,19790125,   25,    0
109190,19790126,   19,    0
109190,19790127,    0,    0
109190,19790128,   28,    0
109190,19790129,   12,    0
109190,19790130,   36,    0
109190,19790131,   10,    0
109190,19790201,  220,    0
109190,19790202,    1,    0
109190,19790203,    0,    0
109190,19790204,    0,    0
109190,19790205,    1,    0
109190,19790206,    0,    0
109190,19790207,   21,    0
109190,19790208,    0,    0
109190,19790209,    0,    0
109190,19790210,    0,    0
109190,19790211,   71,    0
109190,19790212,   39,    0
109190,19790213,  113,    0
109190,19790214,    6,    0
109190,19790215,    2,    0
109190,19790216,    0,    0
109190,19790217,    3,    0
109190,19790218,    0,    0
109190,19790219,    0,    0
109190,19790220,    0,    0
109190,19790221,    0,    0
109190,19790222,   28,    0
109190,19790223,   23,    0
109190,19790224,    1,    0
109190,19790225,    0,    0
109190,19790226,    0,    0
109190,19790227,    0,    0
109190,19790228,    2,    0
109190,19790301,   28,    0
109190,19790302,   38,    0
109190,19790303,  171,    0
109190,19790304,    5,    0
109190,19790305,    0,    0
109190,19790306,    5,    0
109190,19790307,   17,    0
109190,19790308,   43,    0
109190,19790309,  100,    0
109190,19790310,   45,    0
109190,19790311,   50,    0
