EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, MAARHEEZE (STAID: 2470).
Blended and updated with sources: 109198 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109198,19790101,    0,    0
109198,19790102,   25,    0
109198,19790103,    0,    0
109198,19790104,    0,    0
109198,19790105,    0,    0
109198,19790106,    0,    0
109198,19790107,   15,    0
109198,19790108,   27,    0
109198,19790109,   40,    0
109198,19790110,   70,    0
109198,19790111,   35,    0
109198,19790112,   17,    0
109198,19790113,    0,    0
109198,19790114,    0,    0
109198,19790115,    0,    0
109198,19790116,    0,    0
109198,19790117,    0,    0
109198,19790118,    0,    0
109198,19790119,    0,    0
109198,19790120,   45,    0
109198,19790121,    0,    0
109198,19790122,   53,    0
109198,19790123,   11,    0
109198,19790124,    8,    0
109198,19790125,   11,    0
109198,19790126,    0,    0
109198,19790127,    0,    0
109198,19790128,   14,    0
109198,19790129,    3,    0
109198,19790130,    2,    0
109198,19790131,    2,    0
109198,19790201,  100,    0
109198,19790202,    0,    0
109198,19790203,    0,    0
109198,19790204,    0,    0
109198,19790205,    0,    0
109198,19790206,    4,    0
109198,19790207,   56,    0
109198,19790208,    0,    0
109198,19790209,    0,    0
109198,19790210,    0,    0
109198,19790211,   71,    0
109198,19790212,   10,    0
109198,19790213,   72,    0
109198,19790214,   68,    0
109198,19790215,    0,    0
109198,19790216,    0,    0
109198,19790217,   21,    0
109198,19790218,    0,    0
109198,19790219,    0,    0
109198,19790220,    0,    0
109198,19790221,    0,    0
109198,19790222,   37,    0
109198,19790223,   37,    0
109198,19790224,    0,    0
109198,19790225,    0,    0
109198,19790226,    0,    0
109198,19790227,    0,    0
109198,19790228,    0,    0
109198,19790301,   34,    0
109198,19790302,   15,    0
109198,19790303,   35,    0
109198,19790304,   54,    0
109198,19790305,    0,    0
109198,19790306,    0,    0
109198,19790307,   45,    0
109198,19790308,   20,    0
109198,19790309,  150,    0
109198,19790310,   58,    0
109198,19790311,  122,    0
109198,19790312,    0,    0
109198,19790313,  127,    0
109198,19790314,  126,    0
109198,19790315,   65,    0
109198,19790316,    8,    0
109198,19790317,   16,    0
109198,19790318,  171,    0
109198,19790319,    0,    0
109198,19790320,    1,    0
109198,19790321,   19,    0
109198,19790322,   78,    0
109198,19790323,    0,    0
109198,19790324,   20,    0
109198,19790325,   13,    0
109198,19790326,   20,    0
109198,19790327,  135,    0
109198,19790328,   16,    0
109198,19790329,    9,    0
109198,19790330,   30,    0
109198,19790331,    0,    0
109198,19790401,   14,    0
109198,19790402,   73,    0
109198,19790403,   10,    0
109198,19790404,    1,    0
109198,19790405,   15,    0
109198,19790406,    0,    0
