EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, NIEUW HELVOET (STAID: 2481).
Blended and updated with sources: 109220 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109220,19790101,   10,    0
109220,19790102,    0,    0
109220,19790103,    0,    0
109220,19790104,    0,    0
109220,19790105,    0,    0
109220,19790106,    0,    0
109220,19790107,   83,    0
109220,19790108,   34,    0
109220,19790109,    1,    0
109220,19790110,   71,    0
109220,19790111,   23,    0
109220,19790112,   34,    0
109220,19790113,   19,    0
109220,19790114,    0,    0
109220,19790115,    0,    0
109220,19790116,    0,    0
109220,19790117,    0,    0
109220,19790118,    0,    0
109220,19790119,    0,    0
109220,19790120,   58,    0
109220,19790121,    2,    0
109220,19790122,   36,    0
109220,19790123,   33,    0
109220,19790124,   19,    0
109220,19790125,   33,    0
109220,19790126,   10,    0
109220,19790127,    1,    0
109220,19790128,   28,    0
109220,19790129,   20,    0
109220,19790130,    2,    0
109220,19790131,    4,    0
109220,19790201,  156,    0
109220,19790202,    1,    0
109220,19790203,    0,    0
109220,19790204,    0,    0
109220,19790205,    0,    0
109220,19790206,   36,    0
109220,19790207,   16,    0
109220,19790208,    0,    0
109220,19790209,    0,    0
109220,19790210,    0,    0
109220,19790211,   54,    0
109220,19790212,   27,    0
109220,19790213,  132,    0
109220,19790214,    7,    0
109220,19790215,    2,    0
109220,19790216,    0,    0
109220,19790217,    0,    0
109220,19790218,    0,    0
109220,19790219,    0,    0
109220,19790220,    0,    0
109220,19790221,    0,    0
109220,19790222,   38,    0
109220,19790223,    3,    0
109220,19790224,    2,    0
109220,19790225,    1,    0
109220,19790226,    0,    0
109220,19790227,    0,    0
109220,19790228,    2,    0
109220,19790301,   39,    0
109220,19790302,    4,    0
109220,19790303,  142,    0
109220,19790304,    6,    0
109220,19790305,    0,    0
109220,19790306,    9,    0
109220,19790307,   17,    0
109220,19790308,   33,    0
109220,19790309,   86,    0
109220,19790310,   84,    0
109220,19790311,   71,    0
109220,19790312,    0,    0
109220,19790313,   97,    0
109220,19790314,   31,    0
109220,19790315,   90,    0
109220,19790316,    5,    0
109220,19790317,    0,    0
109220,19790318,    0,    0
109220,19790319,    0,    0
109220,19790320,    5,    0
109220,19790321,   33,    0
109220,19790322,   20,    0
109220,19790323,    0,    0
109220,19790324,   58,    0
109220,19790325,   14,    0
109220,19790326,   43,    0
109220,19790327,   35,    0
109220,19790328,   12,    0
109220,19790329,    8,    0
109220,19790330,    4,    0
109220,19790331,    8,    0
109220,19790401,    8,    0
109220,19790402,   44,    0
109220,19790403,    2,    0
109220,19790404,    0,    0
109220,19790405,   39,    0
109220,19790406,   55,    0
109220,19790407,    0,    0
109220,19790408,    0,    0
109220,19790409,    0,    0
109220,19790410,    0,    0
109220,19790411,    8,    0
109220,19790412,   47,    0
109220,19790413,    0,    0
109220,19790414,    0,    0
109220,19790415,    0,    0
109220,19790416,   14,    0
109220,19790417,    1,    0
109220,19790418,    0,    0
109220,19790419,   34,    0
109220,19790420,   50,    0
109220,19790421,   18,    0
109220,19790422,   25,    0
109220,19790423,    5,    0
109220,19790424,    0,    0
109220,19790425,    0,    0
109220,19790426,    6,    0
109220,19790427,   35,    0
109220,19790428,   84,    0
109220,19790429,   62,    0
109220,19790430,    0,    0
109220,19790501,  313,    0
109220,19790502,   18,    0
109220,19790503,    5,    0
109220,19790504,   38,    0
109220,19790505,    2,    0
109220,19790506,    0,    0
109220,19790507,    0,    0
109220,19790508,    0,    0
109220,19790509,    0,    0
109220,19790510,   76,    0
109220,19790511,    9,    0
109220,19790512,    0,    0
109220,19790513,    0,    0
109220,19790514,    0,    0
109220,19790515,    0,    0
109220,19790516,    2,    0
109220,19790517,    4,    0
109220,19790518,    0,    0
109220,19790519,    0,    0
109220,19790520,    3,    0
109220,19790521,   32,    0
109220,19790522,   60,    0
109220,19790523,   71,    0
109220,19790524,   63,    0
109220,19790525,   11,    0
109220,19790526,   93,    0
109220,19790527,   41,    0
109220,19790528,   68,    0
109220,19790529,   66,    0
109220,19790530,  151,    0
109220,19790531,   43,    0
109220,19790601,    0,    0
109220,19790602,    0,    0
109220,19790603,   41,    0
109220,19790604,    0,    0
109220,19790605,    0,    0
109220,19790606,    6,    0
109220,19790607,    7,    0
109220,19790608,    0,    0
109220,19790609,    0,    0
109220,19790610,   59,    0
109220,19790611,   16,    0
109220,19790612,  197,    0
109220,19790613,   66,    0
109220,19790614,  143,    0
109220,19790615,   53,    0
109220,19790616,    0,    0
109220,19790617,    0,    0
109220,19790618,    0,    0
109220,19790619,    0,    0
109220,19790620,    0,    0
109220,19790621,    0,    0
109220,19790622,    0,    0
109220,19790623,   66,    0
109220,19790624,   33,    0
109220,19790625,   29,    0
109220,19790626,    3,    0
109220,19790627,    0,    0
109220,19790628,    2,    0
109220,19790629,    0,    0
109220,19790630,    0,    0
109220,19790701,    0,    0
109220,19790702,    0,    0
109220,19790703,    0,    0
109220,19790704,    0,    0
109220,19790705,    0,    0
109220,19790706,    0,    0
109220,19790707,   38,    0
109220,19790708,   20,    0
109220,19790709,   25,    0
109220,19790710,    0,    0
109220,19790711,    0,    0
109220,19790712,    0,    0
109220,19790713,    3,    0
109220,19790714,    0,    0
109220,19790715,    0,    0
109220,19790716,    8,    0
109220,19790717,    0,    0
109220,19790718,   97,    0
109220,19790719,    0,    0
109220,19790720,    5,    0
109220,19790721,   30,    0
109220,19790722,    0,    0
109220,19790723,    0,    0
109220,19790724,    0,    0
109220,19790725,    0,    0
109220,19790726,    0,    0
109220,19790727,    0,    0
109220,19790728,   85,    0
109220,19790729,    6,    0
109220,19790730,    0,    0
109220,19790731,    2,    0
109220,19790801,   34,    0
109220,19790802,    0,    0
109220,19790803,    0,    0
109220,19790804,    0,    0
109220,19790805,    0,    0
109220,19790806,    0,    0
109220,19790807,    4,    0
109220,19790808,    5,    0
109220,19790809,   94,    0
109220,19790810,   64,    0
