EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, PURMEREND (STAID: 2498).
Blended and updated with sources: 109254 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109254,19790101,    0,    0
109254,19790102,  106,    0
109254,19790103,    0,    0
109254,19790104,    0,    0
109254,19790105,    0,    0
109254,19790106,    0,    0
109254,19790107,   54,    0
109254,19790108,   21,    0
109254,19790109,    2,    0
109254,19790110,   33,    0
109254,19790111,   43,    0
109254,19790112,   17,    0
109254,19790113,    1,    0
109254,19790114,    0,    0
109254,19790115,    0,    0
109254,19790116,    0,    0
109254,19790117,    0,    0
109254,19790118,    0,    0
109254,19790119,    0,    0
109254,19790120,   91,    0
109254,19790121,    0,    0
109254,19790122,   36,    0
109254,19790123,   47,    0
109254,19790124,   15,    0
109254,19790125,   41,    0
109254,19790126,   28,    0
109254,19790127,    0,    0
109254,19790128,   20,    0
109254,19790129,    9,    0
109254,19790130,    9,    0
109254,19790131,    7,    0
109254,19790201,  161,    0
109254,19790202,    0,    0
109254,19790203,    0,    0
109254,19790204,    0,    0
109254,19790205,    0,    0
109254,19790206,    0,    0
109254,19790207,   41,    0
109254,19790208,    0,    0
109254,19790209,    0,    0
109254,19790210,    0,    0
109254,19790211,   75,    0
109254,19790212,   60,    0
109254,19790213,  175,    0
109254,19790214,   35,    0
109254,19790215,    3,    0
109254,19790216,    0,    0
109254,19790217,    2,    0
109254,19790218,    0,    0
109254,19790219,    0,    0
109254,19790220,    0,    0
109254,19790221,    0,    0
109254,19790222,   31,    0
109254,19790223,   55,    0
109254,19790224,    0,    0
109254,19790225,    2,    0
109254,19790226,    0,    0
109254,19790227,    0,    0
109254,19790228,    5,    0
109254,19790301,   18,    0
109254,19790302,   16,    0
109254,19790303,  165,    0
109254,19790304,    0,    0
109254,19790305,    0,    0
109254,19790306,    5,    0
109254,19790307,   10,    0
