EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, SCHINVELD (STAID: 2511).
Blended and updated with sources: 109280 123574 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
123574,19790101,    1,    0
123574,19790102,   25,    0
123574,19790103,    0,    0
123574,19790104,    1,    0
123574,19790105,    0,    0
123574,19790106,    0,    0
123574,19790107,   21,    0
123574,19790108,   60,    0
123574,19790109,   68,    0
123574,19790110,   46,    0
123574,19790111,   36,    0
123574,19790112,    5,    0
123574,19790113,    5,    0
123574,19790114,    1,    0
123574,19790115,    0,    0
123574,19790116,    0,    0
123574,19790117,    0,    0
123574,19790118,    0,    0
123574,19790119,    0,    0
123574,19790120,   20,    0
123574,19790121,    0,    0
123574,19790122,   42,    0
123574,19790123,   20,    0
123574,19790124,    9,    0
123574,19790125,    4,    0
123574,19790126,   21,    0
123574,19790127,    1,    0
123574,19790128,    6,    0
123574,19790129,    5,    0
123574,19790130,   12,    0
123574,19790131,    1,    0
123574,19790201,   44,    0
123574,19790202,   31,    0
123574,19790203,    0,    0
123574,19790204,    0,    0
123574,19790205,    0,    0
123574,19790206,    0,    0
123574,19790207,   72,    0
123574,19790208,    0,    0
123574,19790209,    0,    0
123574,19790210,    0,    0
123574,19790211,   63,    0
123574,19790212,    6,    0
123574,19790213,   55,    0
123574,19790214,   38,    0
123574,19790215,    2,    0
123574,19790216,    0,    0
123574,19790217,   13,    0
123574,19790218,    0,    0
123574,19790219,    0,    0
123574,19790220,    0,    0
123574,19790221,    0,    0
123574,19790222,   43,    0
123574,19790223,   31,    0
123574,19790224,    4,    0
123574,19790225,    0,    0
123574,19790226,    0,    0
123574,19790227,    0,    0
123574,19790228,    0,    0
123574,19790301,    7,    0
123574,19790302,    5,    0
123574,19790303,    0,    0
123574,19790304,   80,    0
123574,19790305,    0,    0
123574,19790306,    5,    0
123574,19790307,   55,    0
123574,19790308,    0,    0
123574,19790309,  115,    0
