EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, VEENENDAAL (STAID: 2536).
Blended and updated with sources: 109330 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
109330,19790101,    0,    0
109330,19790102,   13,    0
109330,19790103,    0,    0
109330,19790104,    0,    0
109330,19790105,    0,    0
109330,19790106,    0,    0
109330,19790107,   67,    0
109330,19790108,   52,    0
109330,19790109,    2,    0
109330,19790110,   71,    0
109330,19790111,   24,    0
109330,19790112,   15,    0
109330,19790113,    5,    0
109330,19790114,    0,    0
109330,19790115,    0,    0
109330,19790116,    0,    0
109330,19790117,    5,    0
109330,19790118,    0,    0
109330,19790119,    0,    0
109330,19790120,  122,    0
109330,19790121,    0,    0
109330,19790122,   50,    0
109330,19790123,   62,    0
109330,19790124,    5,    0
109330,19790125,    5,    0
109330,19790126,   15,    0
109330,19790127,    0,    0
109330,19790128,   29,    0
109330,19790129,    8,    0
109330,19790130,    5,    0
109330,19790131,    0,    0
109330,19790201,  210,    0
109330,19790202,    2,    0
109330,19790203,    0,    0
109330,19790204,    0,    0
109330,19790205,    0,    0
109330,19790206,    0,    0
109330,19790207,   47,    0
109330,19790208,    0,    0
109330,19790209,    0,    0
109330,19790210,    0,    0
109330,19790211,   44,    0
109330,19790212,   14,    0
109330,19790213,  193,    0
109330,19790214,   13,    0
109330,19790215,    2,    0
109330,19790216,    0,    0
109330,19790217,   13,    0
109330,19790218,    0,    0
109330,19790219,    0,    0
109330,19790220,    0,    0
109330,19790221,    0,    0
109330,19790222,   19,    0
109330,19790223,   31,    0
109330,19790224,    0,    0
109330,19790225,    0,    0
109330,19790226,    0,    0
109330,19790227,    0,    0
109330,19790228,    0,    0
109330,19790301,   12,    0
109330,19790302,   30,    0
109330,19790303,  104,    0
109330,19790304,   13,    0
109330,19790305,    0,    0
109330,19790306,    0,    0
109330,19790307,   48,    0
109330,19790308,   50,    0
109330,19790309,  100,    0
109330,19790310,   48,    0
109330,19790311,   46,    0
109330,19790312,    0,    0
109330,19790313,   95,    0
109330,19790314,   37,    0
109330,19790315,   90,    0
109330,19790316,   27,    0
109330,19790317,    0,    0
109330,19790318,    0,    0
109330,19790319,    0,    0
109330,19790320,    2,    0
109330,19790321,   10,    0
109330,19790322,   48,    0
109330,19790323,    0,    0
109330,19790324,   28,    0
109330,19790325,   29,    0
109330,19790326,   26,    0
109330,19790327,   94,    0
109330,19790328,   30,    0
109330,19790329,   13,    0
109330,19790330,    0,    0
109330,19790331,   10,    0
109330,19790401,   15,    0
109330,19790402,   30,    0
109330,19790403,   30,    0
109330,19790404,   26,    0
109330,19790405,   14,    0
109330,19790406,    0,    0
109330,19790407,    0,    0
109330,19790408,    0,    0
109330,19790409,    0,    0
109330,19790410,    0,    0
109330,19790411,    6,    0
109330,19790412,    4,    0
109330,19790413,    0,    0
109330,19790414,    0,    0
109330,19790415,   11,    0
109330,19790416,    3,    0
109330,19790417,    2,    0
109330,19790418,    0,    0
109330,19790419,    0,    0
109330,19790420,   64,    0
109330,19790421,   35,    0
109330,19790422,   31,    0
109330,19790423,   57,    0
109330,19790424,   11,    0
109330,19790425,   21,    0
109330,19790426,   15,    0
109330,19790427,    3,    0
109330,19790428,   30,    0
109330,19790429,  105,    0
109330,19790430,    4,    0
109330,19790501,  200,    0
109330,19790502,  112,    0
109330,19790503,    5,    0
109330,19790504,   23,    0
109330,19790505,    2,    0
109330,19790506,    7,    0
109330,19790507,    0,    0
109330,19790508,    0,    0
109330,19790509,    0,    0
109330,19790510,   75,    0
109330,19790511,   20,    0
109330,19790512,    0,    0
109330,19790513,    0,    0
109330,19790514,    0,    0
109330,19790515,    0,    0
109330,19790516,    9,    0
109330,19790517,   15,    0
109330,19790518,    0,    0
109330,19790519,    0,    0
109330,19790520,    7,    0
109330,19790521,   27,    0
109330,19790522,   19,    0
109330,19790523,   59,    0
109330,19790524,   24,    0
109330,19790525,   84,    0
109330,19790526,   69,    0
109330,19790527,   14,    0
109330,19790528,   32,    0
109330,19790529,   72,    0
109330,19790530,  155,    0
109330,19790531,  342,    0
109330,19790601,    0,    0
109330,19790602,    0,    0
109330,19790603,   40,    0
109330,19790604,  290,    0
109330,19790605,    0,    0
109330,19790606,   22,    0
109330,19790607,   17,    0
109330,19790608,    1,    0
109330,19790609,    0,    0
109330,19790610,   50,    0
109330,19790611,   32,    0
109330,19790612,   84,    0
109330,19790613,  139,    0
109330,19790614,  117,    0
109330,19790615,   13,    0
109330,19790616,    0,    0
109330,19790617,    0,    0
109330,19790618,    0,    0
109330,19790619,    0,    0
109330,19790620,    0,    0
109330,19790621,   10,    0
109330,19790622,    0,    0
109330,19790623,    0,    0
109330,19790624,   50,    0
109330,19790625,   13,    0
109330,19790626,    1,    0
109330,19790627,    0,    0
109330,19790628,    5,    0
109330,19790629,    3,    0
109330,19790630,    0,    0
109330,19790701,    4,    0
109330,19790702,    0,    0
109330,19790703,    0,    0
109330,19790704,    0,    0
109330,19790705,    0,    0
109330,19790706,    0,    0
109330,19790707,   23,    0
109330,19790708,   14,    0
109330,19790709,   15,    0
109330,19790710,    0,    0
109330,19790711,    0,    0
109330,19790712,    0,    0
109330,19790713,    1,    0
109330,19790714,    0,    0
109330,19790715,    0,    0
109330,19790716,   14,    0
109330,19790717,    0,    0
109330,19790718,  115,    0
109330,19790719,    0,    0
109330,19790720,    0,    0
109330,19790721,   78,    0
109330,19790722,    0,    0
109330,19790723,   42,    0
109330,19790724,    0,    0
109330,19790725,    0,    0
109330,19790726,    0,    0
109330,19790727,    0,    0
109330,19790728,   47,    0
109330,19790729,   14,    0
109330,19790730,    0,    0
109330,19790731,    0,    0
109330,19790801,   35,    0
109330,19790802,    0,    0
109330,19790803,   36,    0
109330,19790804,  120,    0
109330,19790805,    0,    0
109330,19790806,    0,    0
109330,19790807,    0,    0
109330,19790808,    8,    0
109330,19790809,  181,    0
109330,19790810,    4,    0
109330,19790811,    0,    0
109330,19790812,   20,    0
109330,19790813,    0,    0
109330,19790814,    0,    0
109330,19790815,   11,    0
109330,19790816,    0,    0
109330,19790817,   24,    0
109330,19790818,    0,    0
109330,19790819,    0,    0
109330,19790820,    1,    0
109330,19790821,   15,    0
109330,19790822,    1,    0
109330,19790823,   33,    0
109330,19790824,    9,    0
109330,19790825,  190,    0
109330,19790826,   17,    0
109330,19790827,   33,    0
109330,19790828,    0,    0
109330,19790829,    0,    0
109330,19790830,    0,    0
109330,19790831,    0,    0
109330,19790901,    0,    0
109330,19790902,    0,    0
109330,19790903,   65,    0
109330,19790904,    0,    0
109330,19790905,    0,    0
109330,19790906,    0,    0
109330,19790907,    0,    0
109330,19790908,    0,    0
109330,19790909,    2,    0
109330,19790910,    0,    0
109330,19790911,    0,    0
109330,19790912,    0,    0
109330,19790913,    0,    0
109330,19790914,   10,    0
109330,19790915,    0,    0
109330,19790916,    0,    0
109330,19790917,    0,    0
109330,19790918,   42,    0
109330,19790919,   30,    0
109330,19790920,    0,    0
109330,19790921,    0,    0
109330,19790922,    0,    0
109330,19790923,    0,    0
109330,19790924,    0,    0
109330,19790925,    0,    0
109330,19790926,    0,    0
109330,19790927,   18,    0
109330,19790928,    0,    0
109330,19790929,    0,    0
109330,19790930,    0,    0
109330,19791001,    0,    0
109330,19791002,    0,    0
109330,19791003,    0,    0
109330,19791004,    4,    0
109330,19791005,   18,    0
109330,19791006,    0,    0
109330,19791007,    0,    0
109330,19791008,    0,    0
109330,19791009,    0,    0
109330,19791010,   14,    0
109330,19791011,  193,    0
109330,19791012,   20,    0
109330,19791013,   10,    0
109330,19791014,    4,    0
109330,19791015,   27,    0
109330,19791016,    0,    0
109330,19791017,   27,    0
109330,19791018,    1,    0
109330,19791019,    0,    0
109330,19791020,    0,    0
109330,19791021,    0,    0
109330,19791022,    0,    0
109330,19791023,    0,    0
109330,19791024,    0,    0
109330,19791025,    0,    0
109330,19791026,    0,    0
109330,19791027,    0,    0
109330,19791028,    0,    0
109330,19791029,    8,    0
109330,19791030,   18,    0
109330,19791031,   51,    0
109330,19791101,   39,    0
109330,19791102,    6,    0
109330,19791103,   30,    0
109330,19791104,  240,    0
109330,19791105,   95,    0
109330,19791106,   26,    0
109330,19791107,   64,    0
109330,19791108,   17,    0
109330,19791109,   25,    0
109330,19791110,   15,    0
109330,19791111,   16,    0
109330,19791112,   19,    0
109330,19791113,    0,    0
109330,19791114,   16,    0
109330,19791115,    1,    0
109330,19791116,    0,    0
109330,19791117,   23,    0
109330,19791118,   23,    0
109330,19791119,   41,    0
109330,19791120,    0,    0
109330,19791121,    0,    0
109330,19791122,    0,    0
109330,19791123,    8,    0
109330,19791124,    0,    0
109330,19791125,    0,    0
109330,19791126,   18,    0
109330,19791127,    0,    0
109330,19791128,    0,    0
109330,19791129,    0,    0
109330,19791130,   49,    0
109330,19791201,    5,    0
109330,19791202,    0,    0
109330,19791203,    0,    0
109330,19791204,    0,    0
109330,19791205,   48,    0
109330,19791206,    0,    0
109330,19791207,   71,    0
109330,19791208,   18,    0
109330,19791209,   95,    0
109330,19791210,   34,    0
109330,19791211,  116,    0
109330,19791212,   58,    0
109330,19791213,  142,    0
109330,19791214,   64,    0
109330,19791215,   25,    0
109330,19791216,   34,    0
109330,19791217,   55,    0
109330,19791218,    0,    0
109330,19791219,   24,    0
109330,19791220,   54,    0
109330,19791221,    2,    0
109330,19791222,    0,    0
109330,19791223,   28,    0
109330,19791224,    0,    0
109330,19791225,    0,    0
109330,19791226,    0,    0
109330,19791227,  150,    0
109330,19791228,   36,    0
109330,19791229,   54,    0
109330,19791230,  105,    0
109330,19791231,   30,    0
109330,19800101,   60,    0
109330,19800102,    0,    0
109330,19800103,   49,    0
109330,19800104,   62,    0
109330,19800105,   37,    0
109330,19800106,   74,    0
109330,19800107,    0,    0
109330,19800108,    3,    0
109330,19800109,    0,    0
109330,19800110,    0,    0
109330,19800111,    0,    0
109330,19800112,    0,    0
109330,19800113,    0,    0
109330,19800114,    0,    0
109330,19800115,    0,    0
109330,19800116,    0,    0
109330,19800117,    0,    0
109330,19800118,    0,    0
109330,19800119,    0,    0
109330,19800120,    0,    0
109330,19800121,   70,    0
109330,19800122,    5,    0
109330,19800123,    7,    0
109330,19800124,    8,    0
109330,19800125,    4,    0
109330,19800126,   16,    0
109330,19800127,    0,    0
109330,19800128,   34,    0
109330,19800129,    7,    0
109330,19800130,   48,    0
109330,19800131,  113,    0
109330,19800201,    5,    0
109330,19800202,   76,    0
109330,19800203,  158,    0
109330,19800204,  105,    0
109330,19800205,  141,    0
109330,19800206,   38,    0
109330,19800207,   12,    0
109330,19800208,    0,    0
109330,19800209,    3,    0
109330,19800210,    0,    0
109330,19800211,    6,    0
109330,19800212,    0,    0
109330,19800213,    0,    0
109330,19800214,    0,    0
109330,19800215,   34,    0
109330,19800216,    0,    0
109330,19800217,    0,    0
109330,19800218,    0,    0
109330,19800219,    0,    0
109330,19800220,    0,    0
109330,19800221,    0,    0
109330,19800222,    0,    0
109330,19800223,    0,    0
109330,19800224,    0,    0
109330,19800225,    0,    0
109330,19800226,    0,    0
109330,19800227,    0,    0
109330,19800228,    0,    0
109330,19800229,    0,    0
109330,19800301,    0,    0
109330,19800302,    0,    0
109330,19800303,    8,    0
109330,19800304,    0,    0
109330,19800305,    0,    0
109330,19800306,   82,    0
109330,19800307,   23,    0
109330,19800308,    0,    0
109330,19800309,    0,    0
109330,19800310,   35,    0
109330,19800311,    0,    0
109330,19800312,  230,    0
109330,19800313,   64,    0
109330,19800314,    0,    0
109330,19800315,    0,    0
109330,19800316,    0,    0
109330,19800317,    0,    0
109330,19800318,    0,    0
109330,19800319,    0,    0
109330,19800320,    0,    0
109330,19800321,    0,    0
109330,19800322,    0,    0
109330,19800323,    0,    0
109330,19800324,    0,    0
109330,19800325,    7,    0
109330,19800326,   53,    0
109330,19800327,   39,    0
109330,19800328,   84,    0
109330,19800329,   32,    0
109330,19800330,    0,    0
109330,19800331,   70,    0
109330,19800401,  185,    0
109330,19800402,   15,    0
109330,19800403,    5,    0
109330,19800404,    0,    0
109330,19800405,    0,    0
109330,19800406,    0,    0
109330,19800407,   11,    0
109330,19800408,   36,    0
109330,19800409,    4,    0
109330,19800410,    0,    0
109330,19800411,    0,    0
109330,19800412,    0,    0
109330,19800413,    0,    0
109330,19800414,    0,    0
109330,19800415,    0,    0
109330,19800416,    0,    0
109330,19800417,    0,    0
109330,19800418,   10,    0
109330,19800419,   63,    0
109330,19800420,   82,    0
109330,19800421,    0,    0
109330,19800422,    0,    0
109330,19800423,    3,    0
109330,19800424,   13,    0
109330,19800425,   30,    0
109330,19800426,    0,    0
109330,19800427,    0,    0
109330,19800428,   10,    0
109330,19800429,   24,    0
109330,19800430,    0,    0
109330,19800501,    0,    0
109330,19800502,    0,    0
109330,19800503,    0,    0
109330,19800504,    0,    0
109330,19800505,    0,    0
109330,19800506,    0,    0
109330,19800507,    4,    0
109330,19800508,    0,    0
109330,19800509,    0,    0
109330,19800510,    0,    0
109330,19800511,    0,    0
109330,19800512,    0,    0
109330,19800513,    0,    0
109330,19800514,    0,    0
109330,19800515,    0,    0
109330,19800516,    0,    0
109330,19800517,    0,    0
109330,19800518,    0,    0
109330,19800519,    0,    0
109330,19800520,    0,    0
109330,19800521,    0,    0
109330,19800522,    0,    0
109330,19800523,   11,    0
109330,19800524,    5,    0
109330,19800525,    0,    0
109330,19800526,    0,    0
109330,19800527,    0,    0
109330,19800528,    2,    0
109330,19800529,   24,    0
109330,19800530,    0,    0
109330,19800531,   48,    0
109330,19800601,    0,    0
109330,19800602,    0,    0
109330,19800603,    0,    0
109330,19800604,    0,    0
109330,19800605,    0,    0
109330,19800606,    9,    0
109330,19800607,  180,    0
109330,19800608,    0,    0
109330,19800609,    0,    0
109330,19800610,    0,    0
109330,19800611,    0,    0
